Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,监测站,32,优,NaN,21,32,0.7,16,61,63,22
20200402,08,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,商州区中学,29,优,NaN,20,24,0.5,24,51,58,4
20200402,09,监测站,33,优,NaN,21,33,0.7,21,51,63,6
20200402,09,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,商州区中学,32,优,NaN,22,31,0.5,40,29,55,4
20200402,10,监测站,28,优,NaN,18,28,0.7,25,52,62,5
20200402,10,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,商州区中学,33,优,NaN,20,33,0.5,39,36,52,4
20200402,11,监测站,23,优,NaN,16,17,0.7,22,62,61,15
20200402,11,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,商州区中学,30,优,NaN,18,30,0.6,30,53,51,5
20200402,12,监测站,28,优,NaN,16,28,0.8,21,67,60,29
20200402,12,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,商州区中学,30,优,NaN,14,30,0.6,22,72,52,30
20200402,13,监测站,26,优,NaN,16,26,0.7,21,65,60,18
20200402,13,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,商州区中学,41,优,NaN,17,41,0.6,25,78,54,42
20200402,14,监测站,23,优,NaN,16,21,0.7,17,68,61,12
20200402,14,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,商州区中学,51,良,颗粒物(PM10),18,52,0.6,25,75,56,36
20200402,15,监测站,28,优,NaN,17,28,0.8,22,59,61,11
20200402,15,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,商州区中学,52,良,颗粒物(PM10),17,54,0.6,26,71,58,NaN
20200402,16,监测站,30,优,NaN,14,30,0.9,23,47,59,10
20200402,16,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,商州区中学,40,优,NaN,18,40,NaN,NaN,54,58,34
20200402,17,监测站,11,优,NaN,6,10,0.9,19,35,57,4
20200402,17,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,商州区中学,54,良,颗粒物(PM10),17,57,0.7,43,41,60,33
20200402,18,监测站,13,优,NaN,9,13,1.0,26,33,54,5
20200402,18,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,商州区中学,61,良,颗粒物(PM10),20,72,0.9,55,39,60,135
20200402,19,监测站,24,优,NaN,14,24,1.0,35,24,50,6
20200402,19,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,商州区中学,62,良,颗粒物(PM10),12,74,0.9,42,29,57,55
20200402,20,监测站,18,优,NaN,12,18,1.0,23,29,45,4
20200402,20,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,商州区中学,30,优,NaN,8,30,0.9,30,22,51,4
20200402,20,监测站,18,优,NaN,12,18,1.0,23,29,45,4
20200402,20,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,商州区中学,30,优,NaN,8,30,0.9,30,22,51,4
20200402,22,监测站,25,优,NaN,17,22,1.0,19,37,38,3
20200402,22,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,商州区中学,23,优,NaN,16,NaN,0.9,42,12,37,3
20200402,23,监测站,26,优,NaN,18,19,0.9,18,29,34,3
20200402,23,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,商州区中学,26,优,NaN,18,22,0.8,32,19,31,2
20200403,00,监测站,26,优,NaN,18,NaN,0.9,25,24,31,3
20200403,00,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,商州区中学,30,优,NaN,21,21,0.8,33,12,25,2
20200403,01,监测站,26,优,NaN,18,NaN,0.9,22,22,22,3
20200403,01,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,商州区中学,29,优,NaN,20,25,0.7,31,14,14,2
20200403,02,监测站,24,优,NaN,16,24,0.9,20,18,20,4
20200403,02,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,商州区中学,26,优,NaN,18,20,0.7,26,14,14,2
20200403,03,监测站,20,优,NaN,14,NaN,0.9,22,10,17,3
20200403,03,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,商州区中学,26,优,NaN,18,18,0.7,26,11,13,2
20200403,03,监测站,20,优,NaN,14,NaN,0.9,22,10,17,3
20200403,03,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,商州区中学,26,优,NaN,18,18,0.7,26,11,13,2
20200403,08,监测站,22,优,NaN,15,21,0.9,15,16,15,5
20200403,08,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,商州区中学,30,优,NaN,21,NaN,0.8,24,8,9,4
20200403,09,监测站,25,优,NaN,17,22,1.0,16,16,14,6
20200403,09,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,商州区中学,29,优,NaN,20,24,0.8,26,9,8,4
20200403,10,监测站,25,优,NaN,17,23,1.0,13,23,15,8
20200403,10,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,商州区中学,43,优,NaN,20,43,0.8,23,17,9,6
20200403,11,监测站,35,优,NaN,16,35,0.9,12,28,17,5
20200403,11,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,商州区中学,55,良,颗粒物(PM10),23,60,0.8,26,21,10,7
20200403,12,监测站,28,优,NaN,17,28,0.9,15,33,20,4
20200403,12,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,12,商州区中学,53,良,颗粒物(PM10),23,56,0.8,21,31,13,4
20200403,13,监测站,29,优,NaN,20,NaN,0.9,16,41,23,4
20200403,13,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,13,商州区中学,51,良,颗粒物(PM10),25,52,0.8,20,42,18,4
20200403,14,监测站,47,优,NaN,20,47,0.9,16,54,28,4
20200403,14,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,14,商州区中学,51,良,颗粒物(PM10),25,52,0.7,16,69,26,4
20200403,15,监测站,44,优,NaN,22,44,0.8,11,84,37,4
20200403,15,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,15,商州区中学,54,良,颗粒物(PM10),30,57,0.6,16,82,35,4
20200403,16,监测站,44,优,NaN,22,44,0.6,8,99,47,4
20200403,16,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,16,商州区中学,53,良,颗粒物(PM10),30,55,0.5,13,94,46,3
20200403,17,监测站,33,优,NaN,23,31,0.6,9,101,58,4
20200403,17,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,17,商州区中学,56,良,颗粒物(PM10),29,62,0.5,15,95,56,3
20200403,18,监测站,38,优,NaN,23,38,0.6,11,100,68,4
20200403,18,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,18,商州区中学,52,良,颗粒物(PM10),27,54,0.5,16,97,66,3
20200403,19,监测站,48,优,NaN,26,48,0.7,16,86,75,4
20200403,19,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,19,商州区中学,53,良,颗粒物(PM10),29,55,0.6,29,78,74,3
20200403,20,监测站,57,良,颗粒物(PM10),33,63,0.9,35,49,77,4
20200403,20,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,20,商州区中学,59,良,颗粒物(PM10),31,67,0.7,63,23,72,3
20200403,21,监测站,65,良,颗粒物(PM10),32,80,0.9,32,40,77,4
20200403,21,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,21,商州区中学,54,良,颗粒物(PM10),30,57,0.6,45,52,74,2
20200403,22,监测站,56,良,颗粒物(PM10),27,62,0.8,28,37,74,4
20200403,22,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,22,商州区中学,51,良,颗粒物(PM10),29,52,0.6,61,12,67,3
20200403,23,监测站,54,良,颗粒物(PM10),24,57,0.7,39,25,67,4
20200403,23,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,23,商州区中学,49,优,NaN,27,49,0.5,62,7,57,3
20200404,00,监测站,55,良,颗粒物(PM10),22,59,0.7,31,28,58,5
20200404,00,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,00,商州区中学,46,优,NaN,27,46,0.5,47,14,47,2
20200404,01,监测站,48,优,NaN,24,48,0.7,24,30,30,5
20200404,01,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,01,商州区中学,43,优,NaN,26,43,0.5,28,29,29,2
20200404,02,监测站,38,优,NaN,23,38,0.7,20,32,31,5
20200404,02,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,02,商州区中学,42,优,NaN,28,42,0.5,33,18,24,2
20200404,03,监测站,33,优,NaN,22,33,0.6,18,31,31,5
20200404,03,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,03,商州区中学,45,优,NaN,27,45,0.5,29,19,22,2
20200404,03,监测站,33,优,NaN,22,33,0.6,18,31,31,5
20200404,03,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,03,商州区中学,45,优,NaN,27,45,0.5,29,19,22,2
20200404,08,监测站,32,优,NaN,22,32,0.7,29,13,23,4
20200404,08,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,08,商州区中学,39,优,NaN,27,31,0.5,24,18,20,2
20200404,09,监测站,33,优,NaN,23,28,0.7,27,18,21,5
20200404,09,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,09,商州区中学,55,良,颗粒物(PM10),30,60,0.5,28,17,18,4
20200404,10,监测站,37,优,NaN,25,37,0.7,24,31,21,5
20200404,10,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,10,商州区中学,59,良,颗粒物(PM10),29,68,0.5,24,30,20,5
20200404,11,监测站,42,优,NaN,26,42,0.7,20,48,23,7
20200404,11,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,11,商州区中学,60,良,颗粒物(PM10),30,70,0.6,27,43,23,6
20200404,12,监测站,39,优,NaN,27,36,0.7,15,71,29,7
20200404,12,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,12,商州区中学,57,良,颗粒物(PM10),27,63,0.5,17,76,30,5
20200404,13,监测站,43,优,NaN,29,43,0.6,12,99,38,8
20200404,13,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,13,商州区中学,46,优,NaN,32,NaN,0.4,11,109,40,5
20200404,14,监测站,39,优,NaN,27,39,0.5,9,123,52,7
20200404,14,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,14,商州区中学,51,良,颗粒物(PM10),28,52,0.4,10,126,54,6
20200404,15,监测站,39,优,NaN,27,38,0.5,11,120,65,6
20200404,15,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,15,商州区中学,50,优,NaN,24,50,0.4,14,125,68,5
20200404,16,监测站,44,优,NaN,28,44,0.5,12,123,79,6
20200404,16,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,16,商州区中学,54,良,颗粒物(PM10),23,57,0.4,14,126,82,6
20200404,17,监测站,41,优,NaN,23,41,0.5,13,115,91,6
20200404,17,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,17,商州区中学,55,良,颗粒物(PM10),18,60,0.4,14,122,95,6
20200404,18,监测站,37,优,NaN,23,37,0.4,14,108,101,5
20200404,18,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,18,商州区中学,57,良,颗粒物(PM10),15,63,0.4,14,112,105,5
20200404,19,监测站,33,优,NaN,22,30,NaN,14,105,108,5
20200404,19,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,19,商州区中学,56,良,颗粒物(PM10),17,61,0.4,23,93,111,5
20200404,20,监测站,39,优,NaN,27,31,0.5,26,80,109,5
20200404,20,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,20,商州区中学,56,良,颗粒物(PM10),20,61,0.5,32,77,111,9
20200404,21,监测站,46,优,NaN,29,46,0.7,41,43,102,5
20200404,21,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,21,商州区中学,45,优,NaN,22,45,0.5,41,57,105,24
20200404,22,监测站,52,良,颗粒物(PM10),32,53,0.6,42,39,92,5
20200404,22,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,22,商州区中学,52,良,颗粒物(PM10),26,54,0.5,66,20,92,13
20200404,22,监测站,52,良,颗粒物(PM10),32,53,0.6,42,39,92,5
20200404,22,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,22,商州区中学,52,良,颗粒物(PM10),26,54,0.5,66,20,92,13
20200405,08,监测站,38,优,NaN,26,37,0.6,33,20,32,9
20200405,08,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,08,商州区中学,60,良,细颗粒物(PM2.5),43,NaN,0.6,54,22,22,17
20200405,09,监测站,59,良,颗粒物(PM10),34,68,0.6,38,26,29,10
20200405,09,东龙山气象局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
