Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,一商场,75,良,颗粒物(PM10),38,100,0.9,38,44,38,24
20200402,08,境园,72,良,细颗粒物(PM2.5),52,75,1.0,30,53,43,22
20200402,09,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,一商场,85,良,颗粒物(PM10),40,119,0.8,31,58,40,21
20200402,09,境园,65,良,颗粒物(PM10),46,79,0.9,27,64,46,22
20200402,10,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,一商场,90,良,颗粒物(PM10),42,129,0.7,27,75,44,16
20200402,10,境园,71,良,颗粒物(PM10),51,92,0.9,23,76,49,18
20200402,11,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,一商场,88,良,颗粒物(PM10),58,126,0.6,25,90,51,15
20200402,11,境园,68,良,颗粒物(PM10),45,86,0.9,19,94,55,16
20200402,12,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,一商场,89,良,颗粒物(PM10),60,128,0.6,24,103,59,15
20200402,12,境园,67,良,细颗粒物(PM2.5),48,76,0.8,17,109,64,16
20200402,13,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,一商场,92,良,颗粒物(PM10),67,134,0.4,18,106,68,13
20200402,13,境园,67,良,细颗粒物(PM2.5),48,76,0.6,11,111,73,14
20200402,14,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,一商场,76,良,颗粒物(PM10),47,102,0.3,16,100,76,8
20200402,14,境园,62,良,颗粒物(PM10),29,74,0.5,14,102,81,13
20200402,15,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,一商场,59,良,颗粒物(PM10),32,67,0.2,14,99,84,6
20200402,15,境园,56,良,颗粒物(PM10),16,62,0.5,7,103,89,12
20200402,16,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,一商场,57,良,颗粒物(PM10),19,63,0.3,15,99,91,6
20200402,16,境园,42,优,NaN,14,42,0.4,8,106,96,10
20200402,17,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,一商场,60,良,颗粒物(PM10),15,70,0.3,17,98,96,7
20200402,17,境园,40,优,NaN,18,40,0.8,9,106,101,10
20200402,18,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,一商场,57,良,颗粒物(PM10),17,63,0.4,27,80,97,7
20200402,18,境园,45,优,NaN,13,45,1.8,18,88,102,15
20200402,19,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,一商场,49,优,NaN,16,49,0.6,44,62,93,9
20200402,19,境园,47,优,NaN,18,47,0.7,33,73,100,14
20200402,20,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,一商场,63,良,颗粒物(PM10),24,75,0.9,58,45,86,11
20200402,20,境园,70,良,细颗粒物(PM2.5),51,64,0.9,38,65,94,16
20200402,20,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,一商场,63,良,颗粒物(PM10),24,75,0.9,58,45,86,11
20200402,20,境园,70,良,细颗粒物(PM2.5),51,64,0.9,38,65,94,16
20200402,22,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,一商场,106,轻度污染,颗粒物(PM10),71,162,0.8,59,47,72,16
20200402,22,境园,160,中度污染,细颗粒物(PM2.5),122,126,0.8,52,39,82,16
20200402,23,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,一商场,124,轻度污染,细颗粒物(PM2.5),94,186,0.6,31,77,70,15
20200402,23,境园,160,中度污染,细颗粒物(PM2.5),122,144,0.7,44,58,76,14
20200403,00,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,一商场,129,轻度污染,细颗粒物(PM2.5),98,165,0.6,25,80,67,13
20200403,00,境园,118,轻度污染,细颗粒物(PM2.5),89,133,0.4,27,70,72,11
20200403,01,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,一商场,114,轻度污染,细颗粒物(PM2.5),86,137,0.6,27,79,79,16
20200403,01,境园,86,良,颗粒物(PM10),62,122,0.6,28,62,62,12
20200403,02,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,一商场,102,轻度污染,细颗粒物(PM2.5),76,NaN,0.6,33,62,70,18
20200403,02,境园,103,轻度污染,细颗粒物(PM2.5),77,110,0.7,31,57,60,13
20200403,03,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,一商场,98,良,细颗粒物(PM2.5),73,134,0.7,39,33,58,18
20200403,03,境园,107,轻度污染,细颗粒物(PM2.5),80,105,0.9,38,36,52,19
20200403,03,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,一商场,98,良,细颗粒物(PM2.5),73,134,0.7,39,33,58,18
20200403,03,境园,107,轻度污染,细颗粒物(PM2.5),80,105,0.9,38,36,52,19
20200403,08,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,一商场,115,轻度污染,颗粒物(PM10),84,180,1.1,44,42,36,18
20200403,08,境园,138,轻度污染,细颗粒物(PM2.5),105,113,1.1,37,49,38,16
20200403,09,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,一商场,120,轻度污染,颗粒物(PM10),86,190,0.8,29,71,35,15
20200403,09,境园,113,轻度污染,细颗粒物(PM2.5),85,116,0.9,24,76,40,15
20200403,10,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,一商场,109,轻度污染,细颗粒物(PM2.5),82,146,0.6,25,91,39,13
20200403,10,境园,97,良,细颗粒物(PM2.5),72,109,0.7,19,97,44,14
20200403,11,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,一商场,88,良,细颗粒物(PM2.5),65,122,0.5,22,99,47,10
20200403,11,境园,87,良,细颗粒物(PM2.5),64,103,0.6,15,114,54,13
20200403,12,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,12,一商场,103,轻度污染,颗粒物(PM10),56,156,0.4,19,102,57,8
20200403,12,境园,70,良,细颗粒物(PM2.5),51,88,0.5,10,114,66,9
20200403,13,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,13,一商场,126,轻度污染,颗粒物(PM10),46,202,0.3,17,92,67,7
20200403,13,境园,80,良,颗粒物(PM10),31,109,0.4,6,110,76,8
20200403,14,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,14,一商场,140,轻度污染,颗粒物(PM10),35,230,0.3,16,91,76,6
