Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,马园,54,良,细颗粒物(PM2.5),38,40,0.6,33,31,46,6
20200402,08,监测站,62,良,细颗粒物(PM2.5),44,NaN,0.9,20,55,76,7
20200402,08,新区,45,优,NaN,31,NaN,0.7,37,39,60,4
20200402,09,马园,50,优,NaN,35,39,0.6,22,45,45,7
20200402,09,监测站,55,良,细颗粒物(PM2.5),39,44,0.9,21,58,72,6
20200402,09,新区,39,优,NaN,27,30,0.7,19,63,60,4
20200402,10,马园,50,优,NaN,35,36,0.6,20,52,45,6
20200402,10,监测站,49,优,NaN,34,40,0.9,29,59,69,7
20200402,10,新区,40,优,NaN,28,NaN,0.7,29,57,57,5
20200402,11,马园,45,优,NaN,31,34,0.6,17,63,47,6
20200402,11,监测站,42,优,NaN,18,42,0.7,19,81,69,7
20200402,11,新区,36,优,NaN,20,36,0.6,23,73,57,5
20200402,12,马园,38,优,NaN,26,36,0.5,12,79,49,6
20200402,12,监测站,44,优,NaN,14,44,0.7,11,93,70,9
20200402,12,新区,40,优,NaN,14,40,0.5,12,91,58,6
20200402,13,马园,37,优,NaN,16,37,0.5,10,101,55,8
20200402,13,监测站,42,优,NaN,15,42,0.7,11,96,72,9
20200402,13,新区,44,优,NaN,14,44,0.5,12,94,62,6
20200402,14,马园,51,良,颗粒物(PM10),16,52,0.5,12,107,64,9
20200402,14,监测站,47,优,NaN,16,47,0.7,12,98,75,10
20200402,14,新区,49,优,NaN,14,49,0.5,12,99,68,6
20200402,15,马园,57,良,颗粒物(PM10),18,64,0.5,13,106,73,10
20200402,15,监测站,48,优,NaN,18,48,0.7,12,100,80,8
20200402,15,新区,47,优,NaN,16,47,0.5,16,98,77,6
20200402,16,马园,55,良,颗粒物(PM10),19,60,0.5,12,109,83,9
20200402,16,监测站,53,良,颗粒物(PM10),18,55,0.7,14,101,86,8
20200402,16,新区,50,优,NaN,16,50,0.5,17,98,84,6
20200402,17,马园,53,良,颗粒物(PM10),20,55,0.5,12,106,90,8
20200402,17,监测站,52,良,颗粒物(PM10),20,53,0.7,16,99,91,8
20200402,17,新区,48,优,NaN,17,48,0.5,18,98,88,6
20200402,18,马园,53,良,颗粒物(PM10),22,56,0.5,13,104,97,8
20200402,18,监测站,50,优,NaN,21,50,0.7,16,98,96,8
20200402,18,新区,49,优,NaN,18,49,0.5,24,89,92,5
20200402,19,马园,52,良,颗粒物(PM10),25,54,0.5,20,89,100,7
20200402,19,监测站,55,良,颗粒物(PM10),22,59,0.8,18,93,97,8
20200402,19,新区,51,良,颗粒物(PM10),21,51,0.6,29,77,93,5
20200402,20,马园,56,良,颗粒物(PM10),34,62,0.6,35,63,98,6
20200402,20,监测站,55,良,颗粒物(PM10),24,59,0.8,20,85,96,8
20200402,20,新区,51,良,颗粒物(PM10),24,52,0.6,40,59,89,5
20200402,20,马园,56,良,颗粒物(PM10),34,62,0.6,35,63,98,6
20200402,20,监测站,55,良,颗粒物(PM10),24,59,0.8,20,85,96,8
20200402,20,新区,51,良,颗粒物(PM10),24,52,0.6,40,59,89,5
20200402,22,马园,63,良,颗粒物(PM10),39,75,0.6,31,46,84,6
20200402,22,监测站,53,良,颗粒物(PM10),21,55,0.8,44,60,88,7
20200402,22,新区,49,优,NaN,21,49,0.5,43,52,78,5
20200402,23,马园,58,良,颗粒物(PM10),28,66,0.6,26,56,78,6
20200402,23,监测站,52,良,颗粒物(PM10),23,54,0.8,45,54,82,7
20200402,23,新区,46,优,NaN,22,46,0.5,45,51,72,5
20200403,00,马园,51,良,颗粒物(PM10),30,52,0.6,31,43,70,5
20200403,00,监测站,51,良,颗粒物(PM10),24,51,0.8,39,56,76,7
20200403,00,新区,44,优,NaN,23,44,0.5,33,63,67,5
20200403,01,马园,53,良,颗粒物(PM10),26,56,0.5,24,50,50,6
20200403,01,监测站,52,良,颗粒物(PM10),26,54,0.8,59,34,34,7
20200403,01,新区,41,优,NaN,24,41,0.6,38,58,58,5
20200403,02,马园,52,良,颗粒物(PM10),29,54,0.5,19,50,50,6
20200403,02,监测站,55,良,颗粒物(PM10),23,60,0.8,17,73,54,6
20200403,02,新区,50,优,NaN,24,50,0.6,39,52,55,5
20200403,03,马园,52,良,颗粒物(PM10),28,53,0.6,22,46,49,5
20200403,03,监测站,51,良,颗粒物(PM10),23,52,0.8,38,60,56,6
20200403,03,新区,46,优,NaN,22,46,0.6,32,64,58,6
20200403,08,马园,44,优,NaN,28,44,0.6,22,57,48,6
20200403,08,监测站,46,优,NaN,23,46,0.7,22,84,71,6
20200403,08,新区,35,优,NaN,22,35,0.6,31,70,70,5
20200403,09,马园,40,优,NaN,22,40,0.5,17,86,52,6
20200403,09,监测站,40,优,NaN,23,40,0.7,25,86,77,6
20200403,09,新区,30,优,NaN,21,30,0.6,27,82,72,5
20200403,10,马园,41,优,NaN,25,41,0.6,20,83,56,7
20200403,10,监测站,42,优,NaN,23,42,0.7,20,93,80,7
20200403,10,新区,35,优,NaN,21,35,0.6,25,87,77,5
20200403,11,马园,39,优,NaN,23,39,0.5,16,90,62,7
20200403,11,监测站,38,优,NaN,23,38,0.7,18,91,84,8
20200403,11,新区,36,优,NaN,21,36,0.7,23,90,80,6
20200403,12,马园,42,优,NaN,21,42,0.5,11,95,69,7
20200403,12,监测站,42,优,NaN,21,42,0.7,11,100,85,7
20200403,12,新区,36,优,NaN,20,36,0.5,15,100,84,6
20200403,13,马园,38,优,NaN,19,38,0.4,11,108,77,7
20200403,13,监测站,44,优,NaN,17,44,0.6,10,114,89,6
20200403,13,新区,39,优,NaN,15,39,0.5,10,112,88,5
20200403,14,马园,40,优,NaN,19,40,0.4,13,113,85,6
20200403,14,监测站,38,优,NaN,16,36,0.6,9,119,94,7
20200403,14,新区,38,优,NaN,14,36,0.4,10,119,92,5
20200403,15,马园,44,优,NaN,20,44,0.4,12,120,94,6
20200403,15,监测站,38,优,NaN,16,36,0.6,11,120,101,6
20200403,15,新区,38,优,NaN,14,34,0.4,12,120,98,5
20200403,16,马园,41,优,NaN,20,41,0.4,11,124,102,6
20200403,16,监测站,44,优,NaN,16,44,0.6,11,120,105,6
20200403,16,新区,38,优,NaN,14,36,0.4,12,120,104,5
20200403,17,马园,39,优,NaN,19,37,0.4,11,124,107,6
20200403,17,监测站,43,优,NaN,16,43,0.7,12,118,109,6
20200403,17,新区,39,优,NaN,13,39,0.4,13,120,108,5
20200403,18,马园,39,优,NaN,22,39,0.4,14,117,111,6
20200403,18,监测站,42,优,NaN,16,42,0.7,14,115,112,6
20200403,18,新区,38,优,NaN,13,36,0.4,12,119,112,5
20200403,19,马园,54,良,颗粒物(PM10),26,57,0.4,17,111,114,6
20200403,19,监测站,44,优,NaN,18,44,0.7,13,115,115,6
20200403,19,新区,37,优,NaN,15,37,0.5,18,112,115,5
20200403,20,马园,51,良,颗粒物(PM10),27,52,0.4,17,108,116,6
20200403,20,监测站,40,优,NaN,18,40,0.6,11,116,117,6
20200403,20,新区,39,优,NaN,16,39,0.4,12,116,117,5
20200403,21,马园,49,优,NaN,23,49,0.4,10,108,116,6
20200403,21,监测站,41,优,NaN,22,41,0.7,20,103,116,7
20200403,21,新区,36,优,NaN,18,36,0.5,24,100,116,5
20200403,22,马园,44,优,NaN,25,44,0.5,22,90,113,6
20200403,22,监测站,46,优,NaN,30,46,0.9,27,90,112,8
20200403,22,新区,40,优,NaN,21,40,0.5,34,83,111,5
20200403,23,马园,41,优,NaN,26,41,0.5,22,83,108,6
20200403,23,监测站,43,优,NaN,29,43,0.9,37,74,106,8
20200403,23,新区,34,优,NaN,17,34,0.6,23,97,108,5
20200404,00,马园,43,优,NaN,27,43,0.5,19,77,102,6
20200404,00,监测站,41,优,NaN,22,41,0.7,40,68,100,6
20200404,00,新区,27,优,NaN,15,25,0.5,27,84,104,5
20200404,01,马园,43,优,NaN,22,43,0.4,16,85,85,5
20200404,01,监测站,36,优,NaN,16,36,0.7,23,96,96,6
20200404,01,新区,32,优,NaN,17,32,0.5,16,101,101,5
20200404,02,马园,45,优,NaN,24,45,0.5,17,73,79,5
20200404,02,监测站,34,优,NaN,16,34,0.7,22,94,95,6
20200404,02,新区,32,优,NaN,22,30,0.5,20,89,95,5
20200404,03,马园,39,优,NaN,24,39,0.5,15,68,75,5
20200404,03,监测站,36,优,NaN,20,36,0.7,17,91,94,6
20200404,03,新区,40,优,NaN,28,38,0.5,17,83,91,4
20200404,08,马园,52,良,颗粒物(PM10),34,54,0.7,47,16,56,6
20200404,08,监测站,69,良,细颗粒物(PM2.5),50,69,2.0,56,18,54,16
20200404,08,新区,53,良,颗粒物(PM10),34,55,1.2,63,3,47,6
20200404,09,马园,61,良,颗粒物(PM10),34,71,0.8,26,45,52,7
20200404,09,监测站,59,良,颗粒物(PM10),29,67,1.0,56,35,46,12
20200404,09,新区,57,良,颗粒物(PM10),30,63,0.9,56,32,38,6
20200404,10,马园,46,优,NaN,26,46,0.6,18,83,53,8
20200404,10,监测站,48,优,NaN,28,48,1.1,54,48,41,14
20200404,10,新区,38,优,NaN,26,35,0.7,26,80,37,5
20200404,11,马园,52,良,颗粒物(PM10),22,53,0.5,15,103,57,7
20200404,11,监测站,63,良,颗粒物(PM10),21,75,0.8,26,98,42,8
20200404,11,新区,35,优,NaN,16,31,0.5,16,111,40,6
20200404,12,马园,39,优,NaN,17,32,0.4,12,123,65,6
20200404,12,监测站,39,优,NaN,16,36,0.7,13,123,48,7
20200404,12,新区,39,优,NaN,15,33,0.6,15,124,48,6
20200404,13,马园,41,优,NaN,15,26,0.4,11,130,74,7
20200404,13,监测站,40,优,NaN,13,33,0.6,10,128,61,7
20200404,13,新区,41,优,NaN,13,39,0.4,13,129,62,5
20200404,14,马园,42,优,NaN,16,28,0.3,10,133,84,7
20200404,14,监测站,42,优,NaN,12,28,0.6,10,133,77,6
20200404,14,新区,43,优,NaN,10,22,0.4,12,135,77,6
20200404,15,马园,43,优,NaN,17,28,0.3,11,137,96,7
20200404,15,监测站,42,优,NaN,12,25,0.6,11,134,90,6
20200404,15,新区,44,优,NaN,10,26,0.4,11,138,94,5
20200404,16,马园,44,优,NaN,18,32,0.3,12,138,112,6
20200404,16,监测站,42,优,NaN,13,26,0.6,12,134,104,6
20200404,16,新区,43,优,NaN,10,27,0.4,12,137,111,5
20200404,17,马园,43,优,NaN,17,34,0.3,12,137,123,6
20200404,17,监测站,43,优,NaN,13,37,0.6,13,135,117,6
