Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,甘井子,68,良,颗粒物(PM10),42,86,1.5,56,33,50,41
20200402,08,周水子,71,良,颗粒物(PM10),40,91,1.6,54,30,50,35
20200402,08,星海三站,38,优,NaN,19,38,0.9,56,31,62,20
20200402,08,青泥洼桥,58,良,颗粒物(PM10),26,66,1.4,76,14,42,26
20200402,08,傅家庄,40,优,NaN,20,40,0.6,29,53,62,15
20200402,08,七贤岭,52,良,颗粒物(PM10),18,54,0.8,48,33,61,15
20200402,08,旅顺,41,优,NaN,21,41,0.8,45,34,54,11
20200402,08,金州,63,良,颗粒物(PM10),27,76,0.9,49,43,53,18
20200402,08,开发区,43,优,NaN,28,43,1.0,52,35,54,18
20200402,08,双D港,38,优,NaN,9,38,0.8,28,62,65,18
20200402,09,甘井子,70,良,颗粒物(PM10),45,90,1.5,41,52,47,29
20200402,09,周水子,75,良,颗粒物(PM10),44,100,1.4,43,44,47,25
20200402,09,星海三站,45,优,NaN,28,45,1.0,50,42,58,20
20200402,09,青泥洼桥,59,良,颗粒物(PM10),32,67,1.4,67,28,37,26
20200402,09,傅家庄,54,良,颗粒物(PM10),28,57,0.8,32,53,59,15
20200402,09,七贤岭,59,良,颗粒物(PM10),26,67,0.8,28,65,60,15
20200402,09,旅顺,52,良,颗粒物(PM10),33,54,0.9,45,42,53,13
20200402,09,金州,68,良,颗粒物(PM10),32,85,1.3,41,50,51,20
20200402,09,开发区,62,良,细颗粒物(PM2.5),44,59,1.8,55,38,50,36
20200402,09,双D港,52,良,颗粒物(PM10),12,54,1.0,32,58,64,21
20200402,10,甘井子,72,良,颗粒物(PM10),48,94,1.1,32,68,47,23
20200402,10,周水子,73,良,颗粒物(PM10),43,95,0.9,34,58,46,18
20200402,10,星海三站,57,良,细颗粒物(PM2.5),40,56,0.9,31,68,57,14
20200402,10,青泥洼桥,58,良,颗粒物(PM10),33,66,1.1,40,54,37,19
20200402,10,傅家庄,59,良,颗粒物(PM10),34,68,0.7,33,54,57,11
20200402,10,七贤岭,64,良,颗粒物(PM10),32,77,0.7,24,73,59,14
20200402,10,旅顺,58,良,细颗粒物(PM2.5),41,63,0.9,38,54,52,14
20200402,10,金州,83,良,颗粒物(PM10),49,115,1.4,38,63,51,23
20200402,10,开发区,72,良,细颗粒物(PM2.5),52,72,1.5,49,48,48,28
20200402,10,双D港,70,良,颗粒物(PM10),23,90,1.5,38,59,62,30
20200402,11,甘井子,70,良,颗粒物(PM10),46,90,0.9,26,85,49,18
20200402,11,周水子,79,良,颗粒物(PM10),49,108,0.9,30,74,47,15
20200402,11,星海三站,50,优,NaN,32,50,0.7,23,87,58,10
20200402,11,青泥洼桥,57,良,颗粒物(PM10),35,64,0.7,24,76,39,13
20200402,11,傅家庄,61,良,颗粒物(PM10),37,71,0.6,34,58,56,10
20200402,11,七贤岭,65,良,颗粒物(PM10),37,80,0.6,22,84,60,12
20200402,11,旅顺,70,良,细颗粒物(PM2.5),51,73,0.8,36,66,52,14
20200402,11,金州,85,良,颗粒物(PM10),53,119,1.1,36,71,53,16
20200402,11,开发区,77,良,细颗粒物(PM2.5),56,81,1.3,41,65,48,22
20200402,11,双D港,76,良,颗粒物(PM10),29,101,1.3,31,73,63,24
20200402,12,甘井子,71,良,颗粒物(PM10),47,92,0.9,26,91,53,15
20200402,12,周水子,80,良,颗粒物(PM10),50,110,0.9,31,80,50,14
20200402,12,星海三站,60,良,细颗粒物(PM2.5),43,60,0.7,24,96,60,10
20200402,12,青泥洼桥,54,良,颗粒物(PM10),32,58,0.6,20,87,43,10
20200402,12,傅家庄,63,良,颗粒物(PM10),41,75,0.6,32,68,56,10
20200402,12,七贤岭,70,良,颗粒物(PM10),44,90,0.6,20,95,63,10
20200402,12,旅顺,75,良,细颗粒物(PM2.5),55,77,0.8,NaN,65,52,NaN
20200402,12,金州,89,良,颗粒物(PM10),60,128,1.2,36,77,56,17
20200402,12,开发区,78,良,细颗粒物(PM2.5),57,85,1.2,39,74,50,17
20200402,12,双D港,71,良,颗粒物(PM10),28,92,1.0,25,89,66,18
20200402,13,甘井子,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,周水子,68,良,颗粒物(PM10),39,86,0.6,26,90,54,10
20200402,13,星海三站,75,良,细颗粒物(PM2.5),55,76,0.8,27,99,65,11
20200402,13,青泥洼桥,65,良,细颗粒物(PM2.5),47,78,0.8,21,92,50,12
