Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市监测中心,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,南京路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,北辰科技园区,69,良,颗粒物(PM10),49,88,2.0,73,30,14,51
20200402,08,天山路,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,永明路,61,良,颗粒物(PM10),41,71,0.6,27,52,40,5
20200402,08,团泊洼,93,良,细颗粒物(PM2.5),69,83,1.0,28,166,94,18
20200402,08,南口路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,勤俭路,73,良,细颗粒物(PM2.5),53,93,2.1,75,36,18,49
20200402,08,大直沽八号路,68,良,细颗粒物(PM2.5),49,74,0.9,35,41,57,9
20200402,08,前进路,69,良,颗粒物(PM10),17,87,2.3,68,33,18,61
20200402,08,跃进路,77,良,细颗粒物(PM2.5),56,72,0.9,35,32,41,9
20200402,08,第四大街,85,良,细颗粒物(PM2.5),63,85,1.2,38,31,34,8
20200402,08,航天路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,汉北路,87,良,颗粒物(PM10),53,124,0.6,34,32,13,6
20200402,08,河西一经路,94,良,细颗粒物(PM2.5),70,95,0.7,44,27,22,17
20200402,08,津沽路,73,良,细颗粒物(PM2.5),53,89,0.9,28,40,36,10
20200402,08,宾水西道,67,良,细颗粒物(PM2.5),48,70,0.7,28,32,37,7
20200402,08,大理道,77,良,细颗粒物(PM2.5),56,75,0.6,30,37,49,10
20200402,08,中山北路,67,良,细颗粒物(PM2.5),48,81,0.7,30,37,52,6
20200402,08,勤俭道,87,良,细颗粒物(PM2.5),64,85,0.7,29,31,42,9
20200402,08,前进道,88,良,细颗粒物(PM2.5),65,NaN,0.8,27,42,51,8
20200402,08, 淮河道,NaN,,NaN,NaN,NaN,0.6,NaN,163,95,NaN
20200402,08,西四道,74,良,细颗粒物(PM2.5),54,72,0.8,28,35,47,7
20200402,08,市监测中心(停运150702),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,南口路(停运161122),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,南京路(停运160601),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,淮河道,83,良,细颗粒物(PM2.5),61,106,0.7,35,34,43,11
20200402,08,天山路(停运150702),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,梅江小区(停运150702),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,航天路(停运170426),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,团泊洼(对照点),63,良,细颗粒物(PM2.5),45,60,0.9,21,40,38,6
20200402,08,河西一经路(启用150702),NaN,严重污染,细颗粒物(PM2.5),270,NaN,2.8,98,10,9,15
20200402,08,津沽路(启用150702),336,严重污染,细颗粒物(PM2.5),286,301,3.1,90,6,14,8
20200402,08,宾水西道(启用150702),325,严重污染,细颗粒物(PM2.5),275,302,2.8,77,8,9,9
20200402,08,大理道(启用160601),NaN,严重污染,细颗粒物(PM2.5),287,NaN,2.9,102,8,10,10
20200402,08,中山北路(启用161122),314,严重污染,细颗粒物(PM2.5),264,282,3.1,94,8,7,7
20200402,08,西四道(启用170426),NaN,严重污染,细颗粒物(PM2.5),272,NaN,3.1,94,5,6,10
20200402,09,市监测中心,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,南京路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,北辰科技园区,69,良,颗粒物(PM10),49,88,2.0,73,30,14,51
20200402,09,天山路,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,永明路,65,良,细颗粒物(PM2.5),47,65,0.6,25,64,47,6
20200402,09,团泊洼,93,良,细颗粒物(PM2.5),69,83,1.0,28,166,94,18
20200402,09,南口路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,勤俭路,73,良,细颗粒物(PM2.5),53,93,2.1,75,36,18,49
20200402,09,大直沽八号路,87,良,细颗粒物(PM2.5),64,73,0.9,28,57,55,8
20200402,09,前进路,69,良,颗粒物(PM10),17,87,2.3,68,33,18,61
20200402,09,跃进路,74,良,细颗粒物(PM2.5),54,68,0.9,25,50,40,8
20200402,09,第四大街,85,良,细颗粒物(PM2.5),63,75,0.8,25,53,34,8
20200402,09,航天路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,汉北路,104,轻度污染,颗粒物(PM10),62,157,0.6,31,41,18,6
20200402,09,河西一经路,93,良,细颗粒物(PM2.5),69,78,0.6,25,50,23,7
20200402,09,津沽路,72,良,细颗粒物(PM2.5),52,88,0.8,21,56,37,11
20200402,09,宾水西道,65,良,细颗粒物(PM2.5),47,62,0.6,19,52,37,6
20200402,09,大理道,85,良,细颗粒物(PM2.5),63,70,0.6,24,53,48,9
20200402,09,中山北路,69,良,细颗粒物(PM2.5),50,76,0.6,25,55,51,10
20200402,09,勤俭道,80,良,细颗粒物(PM2.5),59,90,0.6,25,49,42,14
20200402,09,前进道,75,良,细颗粒物(PM2.5),55,NaN,0.7,20,59,50,7
20200402,09, 淮河道,NaN,,NaN,NaN,NaN,0.6,NaN,163,95,NaN
20200402,09,西四道,70,良,细颗粒物(PM2.5),51,73,0.8,24,48,46,7
20200402,09,市监测中心(停运150702),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,南口路(停运161122),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,南京路(停运160601),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,淮河道,87,良,细颗粒物(PM2.5),64,106,0.7,32,48,43,10
20200402,09,天山路(停运150702),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,梅江小区(停运150702),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,航天路(停运170426),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,团泊洼(对照点),64,良,细颗粒物(PM2.5),46,55,0.7,18,51,39,7
20200402,09,河西一经路(启用150702),NaN,严重污染,细颗粒物(PM2.5),270,NaN,2.8,98,10,9,15
20200402,09,津沽路(启用150702),336,严重污染,细颗粒物(PM2.5),286,301,3.1,90,6,14,8
20200402,09,宾水西道(启用150702),325,严重污染,细颗粒物(PM2.5),275,302,2.8,77,8,9,9
20200402,09,大理道(启用160601),NaN,严重污染,细颗粒物(PM2.5),287,NaN,2.9,102,8,10,10
20200402,09,中山北路(启用161122),314,严重污染,细颗粒物(PM2.5),264,282,3.1,94,8,7,7
20200402,09,西四道(启用170426),NaN,严重污染,细颗粒物(PM2.5),272,NaN,3.1,94,5,6,10
20200402,10,市监测中心,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,南京路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,北辰科技园区,69,良,颗粒物(PM10),49,88,2.0,73,30,14,51
20200402,10,天山路,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,永明路,70,良,细颗粒物(PM2.5),51,59,0.5,24,74,54,8
20200402,10,团泊洼,93,良,细颗粒物(PM2.5),69,83,1.0,28,166,94,18
20200402,10,南口路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,勤俭路,73,良,细颗粒物(PM2.5),53,93,2.1,75,36,18,49
20200402,10,大直沽八号路,77,良,细颗粒物(PM2.5),56,69,0.9,26,71,55,9
20200402,10,前进路,69,良,颗粒物(PM10),17,87,2.3,68,33,18,61
20200402,10,跃进路,84,良,细颗粒物(PM2.5),62,67,0.8,21,62,40,7
20200402,10,第四大街,75,良,细颗粒物(PM2.5),55,73,0.7,20,67,38,8
20200402,10,航天路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,汉北路,89,良,细颗粒物(PM2.5),66,100,0.6,22,59,24,5
20200402,10,河西一经路,77,良,细颗粒物(PM2.5),56,81,0.6,23,61,28,7
20200402,10,津沽路,73,良,细颗粒物(PM2.5),53,85,0.7,19,69,42,10
20200402,10,宾水西道,62,良,细颗粒物(PM2.5),44,62,0.6,17,66,40,7
20200402,10,大理道,78,良,细颗粒物(PM2.5),57,66,0.6,21,70,49,9
20200402,10,中山北路,75,良,细颗粒物(PM2.5),55,95,0.6,27,68,51,12
20200402,10,勤俭道,73,良,细颗粒物(PM2.5),53,93,0.6,26,64,43,12
20200402,10,前进道,80,良,细颗粒物(PM2.5),59,59,0.7,20,72,52,8
20200402,10, 淮河道,NaN,,NaN,NaN,NaN,0.6,NaN,163,95,NaN
20200402,10,西四道,67,良,细颗粒物(PM2.5),48,77,0.7,22,60,45,6
20200402,10,市监测中心(停运150702),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,南口路(停运161122),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,南京路(停运160601),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,淮河道,85,良,细颗粒物(PM2.5),63,83,0.6,29,63,43,7
20200402,10,天山路(停运150702),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,梅江小区(停运150702),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,航天路(停运170426),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,团泊洼(对照点),74,良,细颗粒物(PM2.5),54,NaN,0.6,16,69,42,8
20200402,10,河西一经路(启用150702),NaN,严重污染,细颗粒物(PM2.5),270,NaN,2.8,98,10,9,15
20200402,10,津沽路(启用150702),336,严重污染,细颗粒物(PM2.5),286,301,3.1,90,6,14,8
20200402,10,宾水西道(启用150702),325,严重污染,细颗粒物(PM2.5),275,302,2.8,77,8,9,9
20200402,10,大理道(启用160601),NaN,严重污染,细颗粒物(PM2.5),287,NaN,2.9,102,8,10,10
20200402,10,中山北路(启用161122),314,严重污染,细颗粒物(PM2.5),264,282,3.1,94,8,7,7
20200402,10,西四道(启用170426),NaN,严重污染,细颗粒物(PM2.5),272,NaN,3.1,94,5,6,10
20200402,11,市监测中心,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,南京路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,北辰科技园区,69,良,颗粒物(PM10),49,88,2.0,73,30,14,51
