Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,太仓市监测站,23,优,NaN,7,20,0.5,24,73,53,7
20200402,08,科教新城实小,26,优,NaN,8,26,0.5,29,76,44,7
20200402,09,太仓市监测站,31,优,NaN,7,19,0.5,12,98,57,7
20200402,09,科教新城实小,30,优,NaN,7,25,0.7,19,94,48,7
20200402,10,太仓市监测站,30,优,NaN,9,25,0.9,19,95,62,11
20200402,10,科教新城实小,35,优,NaN,11,35,NaN,29,85,52,8
20200402,11,太仓市监测站,32,优,NaN,11,32,1.2,24,95,68,15
20200402,11,科教新城实小,NaN,,NaN,14,44,0.9,29,NaN,50,9
20200402,12,太仓市监测站,48,优,NaN,11,32,1.2,25,153,81,16
20200402,12,科教新城实小,88,良,一氧化碳,11,34,8.8,27,85,57,242
20200402,13,太仓市监测站,33,优,NaN,9,30,0.8,17,103,82,11
20200402,13,科教新城实小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,太仓市监测站,32,优,NaN,10,32,0.7,17,101,90,12
20200402,14,科教新城实小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,太仓市监测站,101,轻度污染,臭氧1小时,12,34,0.5,NaN,201,110,NaN
20200402,15,科教新城实小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,太仓市监测站,38,优,NaN,11,34,0.6,16,119,116,9
20200402,16,科教新城实小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,太仓市监测站,38,优,NaN,11,34,0.6,16,119,116,9
20200402,17,科教新城实小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,太仓市监测站,38,优,NaN,11,34,0.6,16,119,116,9
20200402,17,科教新城实小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
