Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,华夏技校,39,优,NaN,20,39,0.5,18,66,73,13
20200402,08,山大分校,49,优,NaN,10,49,0.6,25,63,61,16
20200402,08,市监测站,54,良,颗粒物(PM10),17,58,0.7,39,48,60,15
20200402,09,华夏技校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,山大分校,49,优,NaN,11,49,0.5,17,73,62,16
20200402,09,市监测站,52,良,颗粒物(PM10),14,54,0.6,26,64,59,15
20200402,10,华夏技校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,山大分校,50,优,NaN,17,50,0.5,17,74,63,14
20200402,10,市监测站,53,良,颗粒物(PM10),15,56,0.6,20,72,60,14
20200402,11,华夏技校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,山大分校,52,良,颗粒物(PM10),17,54,0.6,20,74,64,13
20200402,11,市监测站,53,良,颗粒物(PM10),13,55,0.6,19,76,61,14
20200402,12,华夏技校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,山大分校,56,良,颗粒物(PM10),21,61,0.6,25,75,66,14
20200402,12,市监测站,59,良,颗粒物(PM10),23,67,0.7,20,86,64,14
20200402,13,华夏技校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,山大分校,66,良,颗粒物(PM10),28,82,0.6,27,81,69,14
20200402,13,市监测站,61,良,颗粒物(PM10),23,72,0.7,18,104,69,17
20200402,14,华夏技校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,山大分校,64,良,颗粒物(PM10),33,77,0.5,24,98,74,15
20200402,14,市监测站,65,良,颗粒物(PM10),35,79,0.7,17,132,78,10
20200402,15,华夏技校,68,良,颗粒物(PM10),44,85,0.6,17,123,94,6
20200402,15,山大分校,59,良,颗粒物(PM10),34,68,0.6,28,103,80,14
20200402,15,市监测站,65,良,颗粒物(PM10),35,80,0.7,23,113,87,14
20200402,16,华夏技校,67,良,细颗粒物(PM2.5),48,80,0.6,19,116,120,7
20200402,16,山大分校,60,良,颗粒物(PM10),40,70,0.6,31,105,85,10
20200402,16,市监测站,65,良,颗粒物(PM10),33,79,0.7,22,119,96,9
20200402,17,华夏技校,69,良,细颗粒物(PM2.5),50,84,0.6,22,116,118,5
20200402,17,山大分校,61,良,颗粒物(PM10),34,71,0.6,39,102,89,11
20200402,17,市监测站,65,良,颗粒物(PM10),38,79,0.6,30,114,102,9
