Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,文化路,49,优,NaN,34,NaN,0.7,10,42,42,5
20200402,08,东城区,35,优,NaN,24,26,0.7,11,44,42,2
20200402,09,文化路,38,优,NaN,21,38,0.7,10,46,43,4
20200402,09,东城区,40,优,NaN,28,31,0.7,12,46,43,3
20200402,10,文化路,51,良,颗粒物(PM10),31,51,0.7,9,56,45,7
20200402,10,东城区,40,优,NaN,28,38,0.7,10,54,44,4
20200402,11,文化路,55,良,细颗粒物(PM2.5),39,45,0.7,8,63,47,7
20200402,11,东城区,46,优,NaN,32,37,0.7,10,64,47,4
20200402,12,文化路,49,优,NaN,34,44,0.7,7,74,51,7
20200402,12,东城区,49,优,NaN,34,41,0.7,9,72,51,4
20200402,13,文化路,55,良,细颗粒物(PM2.5),39,58,0.7,9,77,55,9
20200402,13,东城区,52,良,细颗粒物(PM2.5),36,46,0.7,9,80,55,4
20200402,14,文化路,59,良,细颗粒物(PM2.5),42,55,0.7,8,86,61,8
20200402,14,东城区,64,良,细颗粒物(PM2.5),46,NaN,0.7,8,88,61,4
20200402,15,文化路,53,良,细颗粒物(PM2.5),37,48,0.7,7,98,68,6
20200402,15,东城区,59,良,细颗粒物(PM2.5),42,44,0.7,7,99,68,3
20200402,16,文化路,50,优,NaN,27,50,0.7,7,101,75,6
20200402,16,东城区,49,优,NaN,34,48,0.7,8,104,76,2
20200402,17,文化路,49,优,NaN,30,49,0.7,8,105,82,5
20200402,17,东城区,49,优,NaN,34,47,0.7,9,107,84,2
20200402,18,文化路,67,良,细颗粒物(PM2.5),48,59,0.8,11,102,88,6
20200402,18,东城区,58,良,细颗粒物(PM2.5),41,54,0.7,9,107,90,2
20200402,19,文化路,97,良,细颗粒物(PM2.5),72,82,0.9,13,100,93,5
20200402,19,东城区,65,良,细颗粒物(PM2.5),47,64,0.8,12,104,95,2
20200402,20,文化路,97,良,细颗粒物(PM2.5),72,90,0.9,13,104,97,5
20200402,20,东城区,82,良,细颗粒物(PM2.5),60,85,0.8,11,108,100,2
20200402,20,文化路,97,良,细颗粒物(PM2.5),72,90,0.9,13,104,97,5
20200402,20,东城区,82,良,细颗粒物(PM2.5),60,85,0.8,11,108,100,2
20200402,22,文化路,102,轻度污染,细颗粒物(PM2.5),76,95,0.9,12,86,100,6
20200402,22,东城区,84,良,细颗粒物(PM2.5),62,88,0.9,14,86,103,2
20200402,23,文化路,94,良,细颗粒物(PM2.5),70,88,0.8,9,70,97,4
20200402,23,东城区,92,良,细颗粒物(PM2.5),68,94,0.8,9,71,99,2
20200403,00,文化路,74,良,细颗粒物(PM2.5),54,71,0.8,12,58,91,6
20200403,00,东城区,97,良,细颗粒物(PM2.5),72,94,0.8,12,59,94,2
20200403,01,文化路,84,良,细颗粒物(PM2.5),62,75,0.8,12,54,54,5
20200403,01,东城区,80,良,细颗粒物(PM2.5),59,75,0.8,14,55,55,2
20200403,02,文化路,80,良,细颗粒物(PM2.5),59,84,0.8,11,54,54,6
20200403,02,东城区,83,良,细颗粒物(PM2.5),61,77,0.8,10,55,55,3
20200403,03,文化路,73,良,细颗粒物(PM2.5),53,72,0.8,11,53,54,6
20200403,03,东城区,84,良,细颗粒物(PM2.5),62,85,0.8,12,53,54,3
20200403,07,文化路,67,良,细颗粒物(PM2.5),48,66,0.7,12,37,47,7
20200403,07,东城区,63,良,细颗粒物(PM2.5),45,64,0.7,14,36,47,3
20200403,08,文化路,65,良,细颗粒物(PM2.5),47,71,0.7,14,34,45,7
20200403,08,东城区,65,良,细颗粒物(PM2.5),47,71,0.7,15,34,45,4
20200403,09,文化路,62,良,细颗粒物(PM2.5),44,63,0.8,15,33,43,7
20200403,09,东城区,65,良,细颗粒物(PM2.5),47,70,0.7,16,34,42,3
20200403,10,文化路,74,良,细颗粒物(PM2.5),54,67,0.8,13,41,41,7
20200403,10,东城区,65,良,细颗粒物(PM2.5),47,69,0.7,14,42,41,4
20200403,11,文化路,78,良,细颗粒物(PM2.5),57,73,0.8,12,52,41,8
20200403,11,东城区,85,良,细颗粒物(PM2.5),63,75,0.7,13,53,41,5
20200403,12,文化路,67,良,细颗粒物(PM2.5),48,70,0.7,12,67,43,9
20200403,12,东城区,77,良,细颗粒物(PM2.5),56,77,0.7,13,68,44,6
