Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,08,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,宁德市监测站,36,优,NaN,25,NaN,0.8,24,53,85,28
20200402,08,金涵水库(对照点),25,优,NaN,17,23,0.7,13,48,58,51
20200402,08,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,08,宁德一中,29,优,NaN,20,25,0.8,21,58,79,43
20200402,09,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,09,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,宁德市监测站,48,优,NaN,33,38,0.8,28,67,79,49
20200402,09,金涵水库(对照点),33,优,NaN,21,33,0.8,21,56,55,70
20200402,09,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,09,宁德一中,45,优,NaN,28,45,0.9,36,53,72,97
20200402,10,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,10,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,宁德市监测站,41,优,NaN,28,41,0.5,20,93,77,18
20200402,10,金涵水库(对照点),42,优,NaN,29,40,0.8,24,76,55,78
20200402,10,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,10,宁德一中,47,优,NaN,24,47,0.7,24,87,71,28
20200402,11,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,11,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,宁德市监测站,38,优,NaN,26,33,0.5,16,106,78,9
20200402,11,金涵水库(对照点),46,优,NaN,32,45,0.8,25,84,58,38
20200402,11,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,11,宁德一中,40,优,NaN,23,40,0.6,20,98,73,12
20200402,12,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,12,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,宁德市监测站,36,优,NaN,25,34,0.6,18,106,80,8
20200402,12,金涵水库(对照点),43,优,NaN,30,36,0.6,19,NaN,59,7
20200402,12,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,12,宁德一中,37,优,NaN,25,37,0.6,18,104,76,10
20200402,13,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,13,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,宁德市监测站,41,优,NaN,28,41,0.6,22,99,82,8
20200402,13,金涵水库(对照点),48,优,NaN,33,39,0.7,22,NaN,60,13
20200402,13,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,13,宁德一中,38,优,NaN,26,38,0.7,20,99,78,14
20200402,14,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,14,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,宁德市监测站,41,优,NaN,28,41,0.8,27,87,84,15
20200402,14,金涵水库(对照点),43,优,NaN,30,40,0.8,27,81,65,19
20200402,14,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,14,宁德一中,40,优,NaN,28,40,0.8,24,92,82,18
20200402,15,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,15,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,宁德市监测站,49,优,NaN,27,49,0.8,36,79,86,16
20200402,15,金涵水库(对照点),45,优,NaN,24,45,0.8,31,71,69,17
20200402,15,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,15,宁德一中,48,优,NaN,31,48,0.9,36,79,84,16
20200402,16,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,16,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,宁德市监测站,54,良,细颗粒物(PM2.5),38,46,0.8,39,68,88,8
20200402,16,金涵水库(对照点),47,优,NaN,23,47,0.8,29,58,71,11
20200402,16,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,16,宁德一中,50,优,NaN,35,47,0.9,32,69,85,11
20200402,17,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,17,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,宁德市监测站,62,良,细颗粒物(PM2.5),44,60,0.9,42,50,86,9
20200402,17,金涵水库(对照点),39,优,NaN,23,39,0.7,24,46,69,6
20200402,17,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,17,宁德一中,55,良,细颗粒物(PM2.5),39,43,1.0,36,54,85,11
20200402,18,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,18,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,宁德市监测站,49,优,NaN,33,49,0.7,39,48,80,7
20200402,18,金涵水库(对照点),36,优,NaN,25,28,0.7,23,42,64,5
20200402,18,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,18,宁德一中,53,良,细颗粒物(PM2.5),37,47,1.0,33,49,80,9
20200402,19,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,19,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,宁德市监测站,43,优,NaN,30,34,0.6,33,55,74,6
20200402,19,金涵水库(对照点),39,优,NaN,27,27,0.7,22,37,56,5
20200402,19,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,19,宁德一中,52,良,细颗粒物(PM2.5),36,46,0.9,30,47,74,8
20200402,20,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,20,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,宁德市监测站,49,优,NaN,34,35,0.6,29,54,68,6
20200402,20,金涵水库(对照点),46,优,NaN,32,NaN,0.7,22,40,54,5
20200402,20,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,20,宁德一中,50,优,NaN,35,38,0.7,28,51,68,7
20200402,20,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,20,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,宁德市监测站,49,优,NaN,34,35,0.6,29,54,68,6
20200402,20,金涵水库(对照点),46,优,NaN,32,NaN,0.7,22,40,54,5
20200402,20,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,20,宁德一中,50,优,NaN,35,38,0.7,28,51,68,7
20200402,22,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,22,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,宁德市监测站,55,良,细颗粒物(PM2.5),39,NaN,0.6,27,41,55,5
20200402,22,金涵水库(对照点),53,良,细颗粒物(PM2.5),37,NaN,0.7,19,40,47,4
20200402,22,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,22,宁德一中,57,良,细颗粒物(PM2.5),40,NaN,0.7,26,40,54,6
20200402,23,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200402,23,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,宁德市监测站,52,良,细颗粒物(PM2.5),36,NaN,0.6,20,52,52,5
20200402,23,金涵水库(对照点),55,良,细颗粒物(PM2.5),39,NaN,0.7,16,41,43,5
20200402,23,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200402,23,宁德一中,55,良,细颗粒物(PM2.5),39,NaN,0.8,24,40,49,6
20200403,00,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200403,00,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,宁德市监测站,60,良,细颗粒物(PM2.5),43,NaN,0.7,33,33,47,5
20200403,00,金涵水库(对照点),48,优,NaN,33,NaN,0.7,16,37,41,4
20200403,00,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200403,00,宁德一中,60,良,细颗粒物(PM2.5),43,NaN,0.8,27,32,44,5
20200403,01,金涵水库,77,良,细颗粒物(PM2.5),56,90,1.0,37,50,45,14
20200403,01,蕉城区农机局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,宁德市监测站,67,良,细颗粒物(PM2.5),48,NaN,0.7,30,32,32,5
20200403,01,金涵水库(对照点),43,优,NaN,30,NaN,0.7,14,36,36,4
20200403,01,宁德一中(20190319启用),NaN,良,细颗粒物(PM2.5),75,NaN,0.9,27,7,13,7
20200403,01,宁德一中,58,良,细颗粒物(PM2.5),41,NaN,0.8,22,29,29,5
