Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,监测站（原粮食局）,32,优,NaN,22,26,0.4,54,37,68,60
20200402,08,南峰招待所（原起重机厂）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,监测站（原粮食局）,28,优,NaN,15,28,0.4,29,77,68,20
20200402,09,南峰招待所（原起重机厂）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,监测站（原粮食局）,30,优,NaN,16,29,0.4,15,96,70,5
20200402,10,南峰招待所（原起重机厂）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,监测站（原粮食局）,32,优,NaN,18,32,0.4,13,94,71,4
20200402,11,南峰招待所（原起重机厂）,34,优,NaN,16,34,0.1,NaN,86,86,NaN
20200402,12,监测站（原粮食局）,33,优,NaN,16,33,0.4,11,89,73,3
20200402,12,南峰招待所（原起重机厂）,38,优,NaN,23,38,NaN,NaN,87,86,3
20200402,13,监测站（原粮食局）,30,优,NaN,17,30,0.4,11,85,74,3
20200402,13,南峰招待所（原起重机厂）,NaN,,NaN,NaN,NaN,0.2,5,NaN,86,3
20200402,14,监测站（原粮食局）,30,优,NaN,18,30,0.4,11,81,77,2
20200402,14,南峰招待所（原起重机厂）,45,优,NaN,20,45,0.3,6,80,84,3
20200402,14,监测站（原粮食局）,30,优,NaN,18,30,0.4,11,81,77,2
20200402,14,南峰招待所（原起重机厂）,45,优,NaN,20,45,0.3,6,80,84,3
20200402,15,监测站（原粮食局）,30,优,NaN,19,30,0.4,11,80,80,2
20200402,15,南峰招待所（原起重机厂）,41,优,NaN,27,41,0.7,7,78,83,3
20200402,16,监测站（原粮食局）,26,优,NaN,15,26,0.4,14,79,85,2
20200402,16,南峰招待所（原起重机厂）,31,优,NaN,15,31,0.6,6,83,83,1
20200402,17,监测站（原粮食局）,28,优,NaN,14,28,0.4,15,83,86,2
20200402,17,南峰招待所（原起重机厂）,25,优,NaN,11,23,0.4,14,77,82,2
20200402,18,监测站（原粮食局）,27,优,NaN,11,26,0.4,15,85,84,2
20200402,18,南峰招待所（原起重机厂）,23,优,NaN,7,21,0.4,21,72,80,1
20200402,19,监测站（原粮食局）,27,优,NaN,15,27,0.5,17,85,83,3
20200402,19,南峰招待所（原起重机厂）,23,优,NaN,9,22,0.5,21,72,78,1
20200402,20,监测站（原粮食局）,32,优,NaN,22,28,0.5,21,81,82,3
20200402,20,南峰招待所（原起重机厂）,24,优,NaN,8,22,0.4,17,75,77,3
20200402,20,监测站（原粮食局）,32,优,NaN,22,28,0.5,21,81,82,3
20200402,20,南峰招待所（原起重机厂）,24,优,NaN,8,22,0.4,17,75,77,3
20200402,22,监测站（原粮食局）,36,优,NaN,25,33,0.4,11,94,84,2
20200402,22,南峰招待所（原起重机厂）,32,优,NaN,22,29,0.5,11,81,78,1
20200402,23,监测站（原粮食局）,42,优,NaN,29,36,0.6,17,86,85,2
20200402,23,南峰招待所（原起重机厂）,36,优,NaN,23,36,0.4,21,64,76,1
20200403,00,监测站（原粮食局）,40,优,NaN,28,28,0.6,25,68,83,2
20200403,00,南峰招待所（原起重机厂）,40,优,NaN,28,36,0.4,22,59,73,1
20200403,01,监测站（原粮食局）,35,优,NaN,24,31,0.7,41,44,44,2
20200403,01,南峰招待所（原起重机厂）,39,优,NaN,27,33,0.5,53,21,21,1
20200403,02,监测站（原粮食局）,33,优,NaN,22,33,0.5,25,58,51,1
20200403,02,南峰招待所（原起重机厂）,39,优,NaN,27,30,0.5,56,17,19,2
20200403,03,监测站（原粮食局）,32,优,NaN,22,31,0.5,29,51,51,1
20200403,03,南峰招待所（原起重机厂）,35,优,NaN,24,34,0.4,41,26,21,4
20200403,08,监测站（原粮食局）,46,优,NaN,32,NaN,0.6,51,26,48,10
20200403,08,南峰招待所（原起重机厂）,35,优,NaN,24,33,0.5,48,14,16,2
20200403,09,监测站（原粮食局）,36,优,NaN,25,35,0.6,42,41,48,4
20200403,09,南峰招待所（原起重机厂）,40,优,NaN,28,38,0.6,45,18,15,3
20200403,10,监测站（原粮食局）,33,优,NaN,23,33,0.6,29,63,48,4
20200403,10,南峰招待所（原起重机厂）,40,优,NaN,28,34,0.5,40,34,18,3
20200403,11,监测站（原粮食局）,30,优,NaN,21,29,0.5,21,78,52,3
20200403,11,南峰招待所（原起重机厂）,40,优,NaN,25,40,0.5,20,77,24,2
20200403,12,监测站（原粮食局）,30,优,NaN,17,28,0.4,12,95,58,2
20200403,12,南峰招待所（原起重机厂）,36,优,NaN,25,34,0.4,14,83,32,3
20200403,13,监测站（原粮食局）,30,优,NaN,19,21,0.5,11,95,62,2
20200403,13,南峰招待所（原起重机厂）,25,优,NaN,16,25,0.6,16,80,42,2
20200403,14,监测站（原粮食局）,26,优,NaN,17,NaN,0.5,27,83,64,12
20200403,14,南峰招待所（原起重机厂）,29,优,NaN,16,23,0.5,12,90,52,1
20200403,15,监测站（原粮食局）,29,优,NaN,10,18,0.5,23,91,72,7
20200403,15,南峰招待所（原起重机厂）,33,优,NaN,11,15,0.6,50,52,56,98
20200403,16,监测站（原粮食局）,30,优,NaN,16,20,0.5,22,93,80,6
