Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,03,宜兴市环保局,60,良,颗粒物(PM10),29,69,0.8,34,75,87,9
20200402,03,宜园,56,良,颗粒物(PM10),28,61,1.0,24,80,80,10
20200402,03,宜兴市环保局,60,良,颗粒物(PM10),29,69,0.8,34,75,87,9
20200402,03,宜园,56,良,颗粒物(PM10),28,61,1.0,24,80,80,10
20200402,10,宜兴市环保局,29,优,NaN,8,26,0.5,28,91,71,7
20200402,10,宜园,29,优,NaN,7,23,0.7,23,90,77,10
20200402,11,宜兴市环保局,29,优,NaN,8,26,0.5,29,92,73,7
20200402,11,宜园,29,优,NaN,7,22,0.7,24,92,79,9
20200402,12,宜兴市环保局,30,优,NaN,10,29,0.5,29,96,77,7
20200402,12,宜园,30,优,NaN,8,23,0.7,25,94,81,9
20200402,13,宜兴市环保局,31,优,NaN,11,31,0.5,30,89,76,6
20200402,13,宜园,29,优,NaN,9,23,0.6,24,92,78,8
20200402,14,宜兴市环保局,32,优,NaN,11,32,0.5,28,96,81,6
20200402,14,宜园,30,优,NaN,10,24,0.7,25,94,82,8
20200402,15,宜兴市环保局,30,优,NaN,10,30,0.4,29,95,86,6
20200402,15,宜园,30,优,NaN,10,24,0.6,27,93,86,8
20200402,16,宜兴市环保局,36,优,NaN,12,36,0.4,37,90,88,6
20200402,16,宜园,28,优,NaN,11,27,0.6,31,89,88,8
20200402,16,宜兴市环保局,36,优,NaN,12,36,0.4,37,90,88,6
20200402,16,宜园,28,优,NaN,11,27,0.6,31,89,88,8
20200402,16,宜兴市环保局,36,优,NaN,12,36,0.4,37,90,88,6
20200402,16,宜园,28,优,NaN,11,27,0.6,31,89,88,8
20200402,19,宜兴市环保局,41,优,NaN,14,41,0.5,56,68,87,10
20200402,19,宜园,34,优,NaN,13,34,0.7,51,65,86,11
20200402,20,宜兴市环保局,48,优,NaN,16,48,0.5,60,57,83,12
20200402,20,宜园,37,优,NaN,14,37,0.7,44,63,83,10
20200402,21,宜兴市环保局,50,优,NaN,16,50,0.6,45,83,88,8
20200402,21,宜园,40,优,NaN,15,40,0.8,39,85,88,10
20200402,22,宜兴市环保局,44,优,NaN,13,44,0.5,37,80,80,6
20200402,22,宜园,36,优,NaN,14,36,0.7,30,81,80,9
20200402,23,宜兴市环保局,48,优,NaN,15,48,0.5,43,64,76,6
20200402,23,宜园,38,优,NaN,15,38,0.7,35,68,77,9
20200403,00,宜兴市环保局,45,优,NaN,14,45,0.5,48,56,72,5
20200403,00,宜园,42,优,NaN,17,42,0.7,38,59,73,9
20200403,01,宜兴市环保局,53,良,颗粒物(PM10),19,56,0.7,41,60,60,8
20200403,01,宜园,44,优,NaN,20,44,0.9,34,62,62,10
20200403,02,宜兴市环保局,52,良,颗粒物(PM10),20,54,0.6,34,71,66,8
20200403,02,宜园,44,优,NaN,20,44,0.9,29,70,66,12
20200403,03,宜兴市环保局,55,良,颗粒物(PM10),23,60,0.5,36,66,66,6
20200403,03,宜园,51,良,颗粒物(PM10),24,51,0.8,30,66,66,10
20200403,07,宜兴市环保局,56,良,颗粒物(PM10),27,61,0.5,39,56,63,9
20200403,07,宜园,53,良,颗粒物(PM10),28,55,0.7,26,65,66,9
20200403,08,宜兴市环保局,54,良,颗粒物(PM10),26,58,0.5,38,61,63,9
20200403,08,宜园,52,良,颗粒物(PM10),28,54,0.7,29,67,66,10
20200403,09,宜兴市环保局,57,良,颗粒物(PM10),29,64,0.5,36,67,64,10
20200403,09,宜园,54,良,颗粒物(PM10),32,58,0.7,29,68,67,11
20200403,10,宜兴市环保局,58,良,颗粒物(PM10),28,65,0.5,35,94,72,10
20200403,10,宜园,52,良,颗粒物(PM10),32,53,0.8,29,92,75,12
20200403,10,宜兴市环保局,58,良,颗粒物(PM10),28,65,0.5,35,94,72,10
20200403,10,宜园,52,良,颗粒物(PM10),32,53,0.8,29,92,75,12
20200403,12,宜兴市环保局,55,良,颗粒物(PM10),29,60,0.5,31,121,79,9
20200403,12,宜园,46,优,NaN,30,46,0.7,24,123,82,11
20200403,13,宜兴市环保局,52,良,颗粒物(PM10),28,54,0.4,26,120,82,7
20200403,13,宜园,42,优,NaN,29,42,0.7,21,118,85,10
20200403,14,宜兴市环保局,56,良,颗粒物(PM10),35,62,0.5,33,129,97,8
20200403,14,宜园,50,优,NaN,35,49,0.7,27,126,98,11
20200403,15,宜兴市环保局,57,良,颗粒物(PM10),37,64,0.5,35,129,106,8
20200403,15,宜园,54,良,细颗粒物(PM2.5),38,54,0.7,31,126,107,11
20200403,16,宜兴市环保局,57,良,颗粒物(PM10),36,64,0.5,38,128,114,9
20200403,16,宜园,58,良,细颗粒物(PM2.5),41,59,0.7,37,119,112,11
20200403,16,宜兴市环保局,57,良,颗粒物(PM10),36,64,0.5,38,128,114,9
20200403,16,宜园,58,良,细颗粒物(PM2.5),41,59,0.7,37,119,112,11
20200403,16,宜兴市环保局,57,良,颗粒物(PM10),36,64,0.5,38,128,114,9
20200403,16,宜园,58,良,细颗粒物(PM2.5),41,59,0.7,37,119,112,11
20200403,19,宜兴市环保局,65,良,颗粒物(PM10),46,80,0.7,51,114,125,13
20200403,19,宜园,60,良,细颗粒物(PM2.5),43,65,0.8,39,118,122,11
20200403,19,宜兴市环保局,65,良,颗粒物(PM10),46,80,0.7,51,114,125,13
20200403,19,宜园,60,良,细颗粒物(PM2.5),43,65,0.8,39,118,122,11
20200403,21,宜兴市环保局,70,良,颗粒物(PM10),48,90,1.0,118,23,106,12
