Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,石马中学,109,轻度污染,细颗粒物(PM2.5),82,132,0.7,18,49,33,7
20200402,08,市委,117,轻度污染,细颗粒物(PM2.5),88,100,0.9,32,34,22,8
20200402,08,宜宾四中,93,良,颗粒物(PM10),66,136,0.8,27,45,27,6
20200402,08,市政府,107,轻度污染,细颗粒物(PM2.5),80,98,0.7,25,42,24,7
20200402,08,黄金嘴,94,良,细颗粒物(PM2.5),70,NaN,0.7,18,52,29,6
20200402,08,沙坪中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,石马中学,107,轻度污染,细颗粒物(PM2.5),80,132,0.7,20,39,34,7
20200402,09,市委,119,轻度污染,细颗粒物(PM2.5),90,92,0.9,29,35,23,7
20200402,09,宜宾四中,100,良,颗粒物(PM10),70,149,0.8,30,34,28,6
20200402,09,市政府,107,轻度污染,细颗粒物(PM2.5),80,96,0.7,27,40,25,6
20200402,09,黄金嘴,92,良,细颗粒物(PM2.5),68,68,0.7,21,43,30,5
20200402,09,沙坪中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,石马中学,109,轻度污染,细颗粒物(PM2.5),82,135,0.7,21,39,36,7
20200402,10,市委,122,轻度污染,细颗粒物(PM2.5),92,100,0.8,31,30,24,6
20200402,10,宜宾四中,100,良,颗粒物(PM10),72,150,0.7,29,33,29,6
20200402,10,市政府,108,轻度污染,细颗粒物(PM2.5),81,96,0.7,29,35,26,6
20200402,10,黄金嘴,92,良,细颗粒物(PM2.5),68,73,0.6,22,38,31,5
20200402,10,沙坪中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,石马中学,110,轻度污染,细颗粒物(PM2.5),83,136,0.7,20,46,40,8
20200402,11,市委,125,轻度污染,细颗粒物(PM2.5),95,109,1.0,40,24,25,7
20200402,11,宜宾四中,NaN,,NaN,NaN,NaN,0.7,26,39,31,NaN
20200402,11,市政府,103,轻度污染,细颗粒物(PM2.5),77,91,0.7,29,34,27,8
20200402,11,黄金嘴,93,良,细颗粒物(PM2.5),69,72,0.6,20,43,34,5
20200402,11,沙坪中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
