Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,庙沟村,30,优,NaN,21,NaN,0.3,13,43,46,6
20200402,08,竹园沟,35,优,NaN,24,NaN,0.5,12,45,38,7
20200402,08,三陆医院,38,优,NaN,26,29,0.4,23,31,31,6
20200402,08,监测站,26,优,NaN,18,19,0.5,28,32,40,6
20200402,08,技工学校,35,优,NaN,24,NaN,0.3,18,38,42,4
20200402,08,陈仓环保局,46,优,NaN,32,38,0.7,28,20,31,4
20200402,08,文理学院,38,优,NaN,26,NaN,0.3,23,30,35,6
20200402,08,三迪小学,32,优,NaN,22,25,0.3,23,27,42,9
20200402,09,庙沟村,35,优,NaN,24,NaN,0.3,12,48,46,6
20200402,09,竹园沟,38,优,NaN,26,NaN,0.5,16,39,38,7
20200402,09,三陆医院,39,优,NaN,27,29,0.4,22,32,32,7
20200402,09,监测站,28,优,NaN,19,19,0.5,31,28,38,6
20200402,09,技工学校,35,优,NaN,24,NaN,0.3,13,45,42,5
20200402,09,陈仓环保局,50,优,NaN,35,50,0.7,30,20,29,4
20200402,09,文理学院,38,优,NaN,26,NaN,0.4,28,26,34,5
20200402,09,三迪小学,33,优,NaN,23,24,0.3,32,17,39,7
20200402,10,庙沟村,36,优,NaN,25,NaN,0.3,11,48,47,6
20200402,10,竹园沟,35,优,NaN,24,27,0.5,19,34,37,7
20200402,10,三陆医院,38,优,NaN,26,28,0.5,26,28,31,6
20200402,10,监测站,30,优,NaN,21,NaN,0.5,28,29,36,5
20200402,10,技工学校,38,优,NaN,26,NaN,0.3,16,40,41,4
20200402,10,陈仓环保局,47,优,NaN,30,47,0.6,31,20,28,4
20200402,10,文理学院,39,优,NaN,27,NaN,0.4,29,24,32,5
20200402,10,三迪小学,35,优,NaN,24,24,0.3,30,21,37,7
20200402,11,庙沟村,30,优,NaN,21,NaN,0.3,11,49,47,6
20200402,11,竹园沟,36,优,NaN,25,NaN,0.4,10,47,38,8
20200402,11,三陆医院,36,优,NaN,25,31,0.5,35,22,28,6
20200402,11,监测站,30,优,NaN,21,23,0.5,27,31,35,6
20200402,11,技工学校,39,优,NaN,27,NaN,0.3,15,43,41,5
20200402,11,陈仓环保局,38,优,NaN,26,30,0.5,33,13,26,6
20200402,11,文理学院,35,优,NaN,24,25,0.3,26,27,31,5
20200402,11,三迪小学,35,优,NaN,24,NaN,0.4,24,24,34,6
20200402,12,庙沟村,32,优,NaN,22,NaN,0.3,11,48,47,6
20200402,12,竹园沟,43,优,NaN,30,NaN,0.5,11,46,38,7
20200402,12,三陆医院,33,优,NaN,23,26,0.5,30,25,27,6
20200402,12,监测站,32,优,NaN,22,22,0.5,25,34,34,6
20200402,12,技工学校,40,优,NaN,28,NaN,0.3,14,43,41,5
20200402,12,陈仓环保局,38,优,NaN,26,29,0.5,30,16,24,4
20200402,12,文理学院,36,优,NaN,25,30,0.3,25,28,30,5
20200402,12,三迪小学,39,优,NaN,27,NaN,0.3,26,26,32,6
20200402,13,庙沟村,32,优,NaN,22,NaN,0.3,12,48,47,6
20200402,13,竹园沟,46,优,NaN,32,NaN,0.5,14,42,40,7
20200402,13,三陆医院,35,优,NaN,24,26,0.5,25,31,28,6
20200402,13,监测站,38,优,NaN,24,38,0.5,22,37,33,6
20200402,13,技工学校,39,优,NaN,27,NaN,0.3,16,42,41,4
20200402,13,陈仓环保局,38,优,NaN,26,33,0.5,29,20,22,4
20200402,13,文理学院,36,优,NaN,25,NaN,0.3,17,34,30,5
20200402,13,三迪小学,40,优,NaN,28,NaN,0.3,23,30,30,6
20200402,14,庙沟村,32,优,NaN,22,NaN,0.3,12,49,47,6
20200402,14,竹园沟,39,优,NaN,27,NaN,NaN,15,41,41,6
20200402,14,三陆医院,30,优,NaN,21,26,0.5,20,36,29,6
20200402,14,监测站,30,优,NaN,21,26,0.4,21,39,33,6
20200402,14,技工学校,38,优,NaN,26,NaN,0.3,14,45,41,4
20200402,14,陈仓环保局,35,优,NaN,24,27,0.5,20,28,21,4
20200402,14,文理学院,30,优,NaN,21,23,0.3,14,39,30,5
20200402,14,三迪小学,40,优,NaN,28,NaN,0.3,17,38,29,6
20200402,14,庙沟村,32,优,NaN,22,NaN,0.3,12,49,47,6
20200402,14,竹园沟,39,优,NaN,27,NaN,NaN,15,41,41,6
20200402,14,三陆医院,30,优,NaN,21,26,0.5,20,36,29,6
20200402,14,监测站,30,优,NaN,21,26,0.4,21,39,33,6
20200402,14,技工学校,38,优,NaN,26,NaN,0.3,14,45,41,4
20200402,14,陈仓环保局,35,优,NaN,24,27,0.5,20,28,21,4
20200402,14,文理学院,30,优,NaN,21,23,0.3,14,39,30,5
20200402,14,三迪小学,40,优,NaN,28,NaN,0.3,17,38,29,6
20200402,15,庙沟村,26,优,NaN,18,NaN,0.3,11,49,48,6
20200402,15,竹园沟,30,优,NaN,21,NaN,0.3,NaN,36,41,5
20200402,15,三陆医院,32,优,NaN,22,24,0.4,22,37,30,6
20200402,15,监测站,26,优,NaN,18,NaN,0.5,21,37,33,6
20200402,15,技工学校,38,优,NaN,26,NaN,0.3,14,47,43,5
20200402,15,陈仓环保局,36,优,NaN,25,25,0.5,22,29,21,3
20200402,15,文理学院,26,优,NaN,18,22,0.3,17,38,31,5
20200402,15,三迪小学,38,优,NaN,26,NaN,0.2,21,36,27,6
20200402,16,庙沟村,25,优,NaN,17,17,0.3,12,49,48,6
20200402,16,竹园沟,NaN,,NaN,NaN,NaN,0.4,17,39,40,6
20200402,16,三陆医院,35,优,NaN,24,NaN,0.4,26,33,30,6
20200402,16,监测站,25,优,NaN,17,22,0.5,25,35,34,5
20200402,16,技工学校,36,优,NaN,25,NaN,0.3,19,40,43,5
20200402,16,陈仓环保局,35,优,NaN,24,28,0.5,23,27,22,3
20200402,16,文理学院,30,优,NaN,21,22,0.4,28,28,30,5
20200402,16,三迪小学,38,优,NaN,26,NaN,0.3,28,29,28,6
20200402,17,庙沟村,20,优,NaN,14,NaN,0.4,11,49,49,6
20200402,17,竹园沟,35,优,NaN,24,26,0.4,18,37,40,5
20200402,17,三陆医院,35,优,NaN,24,29,0.5,33,27,30,6
20200402,17,监测站,28,优,NaN,19,21,0.5,27,30,34,5
20200402,17,技工学校,36,优,NaN,25,30,0.3,21,38,42,5
20200402,17,陈仓环保局,38,优,NaN,26,27,0.5,32,20,22,3
20200402,17,文理学院,30,优,NaN,21,26,0.3,23,31,31,5
20200402,17,三迪小学,36,优,NaN,25,NaN,0.3,28,28,29,6
20200402,18,庙沟村,25,优,NaN,17,NaN,0.4,12,47,48,6
20200402,18,竹园沟,39,优,NaN,27,NaN,0.4,17,35,40,5
20200402,18,三陆医院,35,优,NaN,24,27,0.5,35,24,29,6
20200402,18,监测站,30,优,NaN,21,21,0.5,33,25,34,6
20200402,18,技工学校,38,优,NaN,26,NaN,0.3,23,37,42,5
20200402,18,陈仓环保局,38,优,NaN,26,30,0.5,39,13,21,4
20200402,18,文理学院,29,优,NaN,20,26,0.4,20,33,32,5
20200402,18,三迪小学,38,优,NaN,26,26,0.3,35,20,29,6
