Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,市二中,34,优,NaN,19,34,1.4,20,38,64,6
20200402,08,鼎城区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,市技术监督局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,白鹤山,54,良,细颗粒物(PM2.5),38,44,0.7,7,47,66,6
20200402,08,武陵区永安(启用171130),NaN,轻度污染,细颗粒物(PM2.5),84,NaN,0.8,10,43,49,3
20200402,08,鼎城区玉霞(启用171130),NaN,轻度污染,细颗粒物(PM2.5),88,NaN,0.9,11,44,55,2
20200402,08,武陵区长庚,50,优,NaN,35,35,0.8,12,44,62,5
20200402,08,武陵区永安,55,良,细颗粒物(PM2.5),39,47,0.6,16,40,63,7
20200402,08,鼎城区玉霞,59,良,细颗粒物(PM2.5),42,NaN,0.6,16,42,67,7
20200402,09,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,市二中,40,优,NaN,NaN,40,0.7,26,33,58,6
20200402,09,鼎城区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,市技术监督局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,白鹤山,58,良,细颗粒物(PM2.5),41,NaN,0.7,7,48,60,7
20200402,09,武陵区永安(启用171130),NaN,轻度污染,细颗粒物(PM2.5),84,NaN,0.8,10,43,49,3
20200402,09,鼎城区玉霞(启用171130),NaN,轻度污染,细颗粒物(PM2.5),88,NaN,0.9,11,44,55,2
20200402,09,武陵区长庚,50,优,NaN,35,NaN,0.9,17,38,58,6
20200402,09,武陵区永安,57,良,细颗粒物(PM2.5),40,50,0.6,19,36,57,7
20200402,09,鼎城区玉霞,60,良,细颗粒物(PM2.5),43,NaN,0.7,17,40,61,6
20200402,10,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,市二中,44,优,NaN,21,44,0.6,27,32,51,8
20200402,10,鼎城区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,市技术监督局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,白鹤山,58,良,细颗粒物(PM2.5),41,42,0.7,8,49,55,9
20200402,10,武陵区永安(启用171130),NaN,轻度污染,细颗粒物(PM2.5),84,NaN,0.8,10,43,49,3
