Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,海虞子站,30,优,NaN,9,30,0.5,NaN,57,61,10
20200402,08,兴福子站,24,优,NaN,10,24,0.6,NaN,52,44,10
20200402,08,菱塘子站,31,优,NaN,11,31,0.5,NaN,NaN,NaN,11
20200402,09,海虞子站,26,优,NaN,8,26,0.4,NaN,80,61,10
20200402,09,兴福子站,23,优,NaN,9,22,0.4,NaN,73,46,11
20200402,09,菱塘子站,26,优,NaN,10,26,0.4,NaN,NaN,NaN,14
20200402,10,海虞子站,29,优,NaN,9,27,0.4,NaN,91,63,10
20200402,10,兴福子站,28,优,NaN,11,22,0.3,25,87,50,11
20200402,10,菱塘子站,26,优,NaN,11,26,0.4,NaN,NaN,NaN,13
20200402,11,海虞子站,31,优,NaN,12,31,0.4,NaN,90,67,10
20200402,11,兴福子站,28,优,NaN,12,24,0.3,28,87,56,11
20200402,11,菱塘子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,海虞子站,31,优,NaN,12,31,0.4,NaN,96,72,9
20200402,12,兴福子站,29,优,NaN,12,24,0.3,29,91,62,11
20200402,12,菱塘子站,30,优,NaN,14,30,0.4,22,90,90,12
20200402,13,海虞子站,32,优,NaN,12,30,0.3,NaN,100,72,8
20200402,13,兴福子站,31,优,NaN,12,24,0.2,21,97,65,9
20200402,13,菱塘子站,32,优,NaN,15,32,0.4,19,97,90,11
20200402,14,海虞子站,32,优,NaN,12,31,0.3,NaN,101,78,9
20200402,14,兴福子站,31,优,NaN,12,25,0.2,24,97,73,10
20200402,14,菱塘子站,32,优,NaN,15,32,0.4,NaN,101,93,10
20200402,14,海虞子站,32,优,NaN,12,31,0.3,NaN,101,78,9
20200402,14,兴福子站,31,优,NaN,12,25,0.2,24,97,73,10
20200402,14,菱塘子站,32,优,NaN,15,32,0.4,NaN,101,93,10
20200402,15,海虞子站,34,优,NaN,13,32,0.4,NaN,107,86,8
20200402,15,兴福子站,33,优,NaN,12,26,0.2,NaN,105,82,9
20200402,15,菱塘子站,35,优,NaN,16,34,0.4,22,109,97,9
20200402,16,海虞子站,35,优,NaN,14,34,0.4,NaN,111,93,8
20200402,16,兴福子站,34,优,NaN,13,28,0.2,NaN,108,90,9
20200402,16,菱塘子站,37,优,NaN,17,35,0.4,NaN,116,101,10
20200402,16,海虞子站,35,优,NaN,14,34,0.4,NaN,111,93,8
20200402,16,兴福子站,34,优,NaN,13,28,0.2,NaN,108,90,9
20200402,16,菱塘子站,37,优,NaN,17,35,0.4,NaN,116,101,10
20200402,16,海虞子站,35,优,NaN,14,34,0.4,NaN,111,93,8
20200402,16,兴福子站,34,优,NaN,13,28,0.2,NaN,108,90,9
20200402,16,菱塘子站,37,优,NaN,17,35,0.4,NaN,116,101,10
20200402,19,海虞子站,43,优,NaN,20,43,0.4,NaN,94,103,8
20200402,19,兴福子站,35,优,NaN,16,35,0.2,31,95,100,8
20200402,19,菱塘子站,44,优,NaN,22,44,0.3,28,95,103,9
20200402,20,海虞子站,48,优,NaN,22,48,0.4,NaN,75,101,8
20200402,20,兴福子站,38,优,NaN,18,38,0.2,NaN,78,99,NaN
20200402,20,菱塘子站,46,优,NaN,22,46,0.4,36,79,102,10
20200402,21,海虞子站,52,良,颗粒物(PM10),25,53,0.5,NaN,72,104,9
20200402,21,兴福子站,43,优,NaN,20,43,0.3,44,78,103,9
20200402,21,菱塘子站,50,优,NaN,24,50,0.4,NaN,72,105,12
20200402,22,海虞子站,46,优,NaN,21,46,0.4,NaN,74,94,8
20200402,22,兴福子站,39,优,NaN,18,39,0.2,35,75,93,8
20200402,22,菱塘子站,46,优,NaN,22,46,0.3,31,78,96,11
20200402,23,海虞子站,45,优,NaN,22,45,0.4,NaN,78,90,8
20200402,23,兴福子站,41,优,NaN,19,41,0.2,36,74,89,9
20200402,23,菱塘子站,44,优,NaN,21,44,0.3,22,88,93,11
20200403,00,海虞子站,40,优,NaN,18,40,0.4,NaN,81,86,8
20200403,00,兴福子站,36,优,NaN,15,36,0.2,NaN,84,86,8
20200403,00,菱塘子站,38,优,NaN,18,38,0.3,20,91,90,10
20200403,01,海虞子站,40,优,NaN,19,40,0.4,NaN,78,78,8
20200403,01,兴福子站,35,优,NaN,15,35,0.2,27,79,79,8
20200403,01,菱塘子站,38,优,NaN,18,38,0.3,22,83,83,9
20200403,02,海虞子站,37,优,NaN,17,37,0.4,NaN,72,75,8
20200403,02,兴福子站,35,优,NaN,15,35,0.2,NaN,72,76,8
20200403,02,菱塘子站,37,优,NaN,17,37,0.3,24,74,78,9
20200403,03,海虞子站,41,优,NaN,20,41,0.4,NaN,66,72,8
20200403,03,兴福子站,36,优,NaN,17,36,0.2,25,67,73,9
20200403,03,菱塘子站,40,优,NaN,19,40,0.3,28,63,73,9
20200403,08,海虞子站,57,良,颗粒物(PM10),33,64,0.5,NaN,34,55,10
20200403,08,兴福子站,54,良,细颗粒物(PM2.5),38,56,0.5,55,28,54,10
20200403,08,菱塘子站,55,良,颗粒物(PM10),31,60,0.4,46,41,60,12
20200403,09,海虞子站,56,良,颗粒物(PM10),33,62,0.8,NaN,41,51,12
20200403,09,兴福子站,55,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",39,60,0.6,NaN,44,50,13
20200403,09,菱塘子站,56,良,颗粒物(PM10),32,61,0.5,44,53,56,15
