Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,监测站,18,优,NaN,11,18,0.4,23,43,51,5
20200402,08,博物馆,25,优,NaN,17,25,0.3,31,37,62,7
20200402,09,监测站,23,优,NaN,16,21,0.3,15,65,50,5
20200402,09,博物馆,32,优,NaN,22,27,0.2,19,60,61,13
20200402,10,监测站,25,优,NaN,15,25,0.3,14,77,50,5
20200402,10,博物馆,29,优,NaN,12,29,0.3,18,70,61,12
20200402,11,监测站,26,优,NaN,18,22,0.3,13,81,52,5
20200402,11,博物馆,32,优,NaN,9,32,0.3,16,75,61,7
20200402,12,监测站,27,优,NaN,17,26,0.3,13,84,59,5
20200402,12,博物馆,38,优,NaN,15,38,0.2,NaN,83,63,6
20200402,13,监测站,31,优,NaN,14,31,0.3,13,87,65,6
20200402,13,博物馆,36,优,NaN,12,36,0.2,NaN,86,65,9
20200402,14,监测站,35,优,NaN,15,35,0.3,14,90,68,7
20200402,14,博物馆,37,优,NaN,12,37,0.3,13,88,68,NaN
20200402,15,监测站,40,优,NaN,10,40,0.3,17,87,77,6
20200402,15,博物馆,41,优,NaN,15,41,NaN,17,86,73,NaN
20200402,16,监测站,48,优,NaN,14,48,0.3,18,87,82,6
20200402,16,博物馆,44,优,NaN,11,44,NaN,18,86,79,7
20200402,17,监测站,52,良,颗粒物(PM10),19,54,0.3,16,88,85,6
20200402,17,博物馆,49,优,NaN,23,49,0.3,17,NaN,82,7
20200402,18,监测站,53,良,颗粒物(PM10),17,55,0.4,18,90,87,7
20200402,18,博物馆,56,良,颗粒物(PM10),18,62,0.5,18,93,85,9
20200402,19,监测站,53,良,颗粒物(PM10),23,56,0.4,27,81,87,6
20200402,19,博物馆,56,良,颗粒物(PM10),23,62,0.5,26,85,87,8
20200402,20,监测站,53,良,颗粒物(PM10),23,55,0.3,37,67,85,5
20200402,20,博物馆,56,良,颗粒物(PM10),25,61,0.4,32,78,86,8
20200402,20,监测站,53,良,颗粒物(PM10),23,55,0.3,37,67,85,5
20200402,20,博物馆,56,良,颗粒物(PM10),25,61,0.4,32,78,86,8
20200402,22,监测站,53,良,颗粒物(PM10),23,56,0.5,36,60,77,10
20200402,22,博物馆,57,良,颗粒物(PM10),26,63,0.6,29,72,82,9
20200402,23,监测站,60,良,颗粒物(PM10),25,70,0.5,53,32,70,8
20200402,23,博物馆,56,良,颗粒物(PM10),33,61,0.5,31,65,79,8
20200403,00,监测站,58,良,颗粒物(PM10),24,65,0.5,36,50,65,7
20200403,00,博物馆,54,良,颗粒物(PM10),25,57,0.5,29,62,76,7
20200403,01,监测站,46,优,NaN,21,46,0.4,67,16,16,7
20200403,01,博物馆,54,良,颗粒物(PM10),29,58,0.6,56,31,31,6
20200403,02,监测站,49,优,NaN,24,49,0.4,72,9,12,7
20200403,02,博物馆,55,良,颗粒物(PM10),22,59,0.5,65,23,27,6
20200403,03,监测站,53,良,颗粒物(PM10),20,55,0.4,51,34,20,5
20200403,03,博物馆,53,良,颗粒物(PM10),17,55,0.3,29,64,39,5
20200403,03,监测站,53,良,颗粒物(PM10),20,55,0.4,51,34,20,5
20200403,03,博物馆,53,良,颗粒物(PM10),17,55,0.3,29,64,39,5
