Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,1号,42,优,NaN,17,42,0.6,30,67,52,15
20200402,08,2号,51,良,颗粒物(PM10),29,52,0.7,39,52,52,11
20200402,09,1号,45,优,NaN,14,45,0.6,22,76,60,20
20200402,09,2号,59,良,颗粒物(PM10),28,67,0.8,23,69,57,17
20200402,10,1号,55,良,颗粒物(PM10),18,59,0.6,22,80,63,20
20200402,10,2号,52,良,颗粒物(PM10),21,53,0.8,17,78,62,15
20200402,11,1号,49,优,NaN,18,49,0.6,14,91,69,16
20200402,11,2号,47,优,NaN,20,47,0.7,13,87,66,12
20200402,12,1号,52,良,颗粒物(PM10),20,53,0.6,15,97,74,15
20200402,12,2号,43,优,NaN,21,43,0.7,12,95,70,10
20200402,13,1号,54,良,颗粒物(PM10),23,58,0.6,16,90,71,13
20200402,13,2号,48,优,NaN,25,48,0.6,13,89,68,9
20200402,14,1号,54,良,颗粒物(PM10),19,58,0.6,19,80,75,14
20200402,14,2号,51,良,颗粒物(PM10),26,51,0.7,20,76,70,10
20200402,15,1号,62,良,颗粒物(PM10),36,74,0.7,25,85,79,23
20200402,15,2号,57,良,颗粒物(PM10),29,63,0.7,27,74,74,14
20200402,16,1号,67,良,颗粒物(PM10),44,83,0.7,26,98,83,27
20200402,16,2号,68,良,颗粒物(PM10),38,85,0.8,29,88,79,21
20200402,16,1号,67,良,颗粒物(PM10),44,83,0.7,26,98,83,27
20200402,16,2号,68,良,颗粒物(PM10),38,85,0.8,29,88,79,21
20200402,16,1号,67,良,颗粒物(PM10),44,83,0.7,26,98,83,27
20200402,16,2号,68,良,颗粒物(PM10),38,85,0.8,29,88,79,21
20200402,19,1号,70,良,颗粒物(PM10),45,90,0.8,29,87,90,18
20200402,19,2号,67,良,颗粒物(PM10),39,84,0.8,31,76,84,13
20200402,20,1号,73,良,颗粒物(PM10),52,95,0.8,34,78,88,18
20200402,20,2号,77,良,颗粒物(PM10),49,104,0.8,45,57,80,14
20200402,21,1号,84,良,颗粒物(PM10),59,118,1.2,53,50,88,19
20200402,21,2号,87,良,细颗粒物(PM2.5),64,113,1.0,62,39,78,15
20200402,22,1号,93,良,细颗粒物(PM2.5),69,119,1.2,59,31,77,17
20200402,22,2号,87,良,细颗粒物(PM2.5),64,117,1.1,61,24,67,13
20200402,23,1号,103,轻度污染,细颗粒物(PM2.5),77,135,1.3,74,13,68,17
20200402,23,2号,95,良,细颗粒物(PM2.5),71,117,1.2,61,21,60,13
20200403,00,1号,110,轻度污染,细颗粒物(PM2.5),83,157,1.6,64,16,58,15
20200403,00,2号,98,良,细颗粒物(PM2.5),73,117,1.3,59,16,51,12
20200403,01,1号,113,轻度污染,细颗粒物(PM2.5),85,125,1.6,44,32,32,14
20200403,01,2号,102,轻度污染,细颗粒物(PM2.5),76,131,1.4,44,27,27,11
20200403,02,1号,120,轻度污染,细颗粒物(PM2.5),91,117,1.3,33,39,36,13
20200403,02,2号,113,轻度污染,细颗粒物(PM2.5),85,121,1.3,31,36,32,10
20200403,03,1号,124,轻度污染,细颗粒物(PM2.5),94,121,1.4,46,20,30,12
20200403,03,2号,112,轻度污染,细颗粒物(PM2.5),84,116,1.3,34,30,31,13
20200403,03,1号,124,轻度污染,细颗粒物(PM2.5),94,121,1.4,46,20,30,12
20200403,03,2号,112,轻度污染,细颗粒物(PM2.5),84,116,1.3,34,30,31,13
20200403,08,1号,127,轻度污染,细颗粒物(PM2.5),96,130,1.7,33,54,27,22
20200403,08,2号,144,轻度污染,细颗粒物(PM2.5),110,145,1.7,40,40,30,15
20200403,09,1号,128,轻度污染,细颗粒物(PM2.5),97,125,1.6,29,69,32,24
20200403,09,2号,120,轻度污染,细颗粒物(PM2.5),91,129,1.3,24,74,36,18
20200403,10,1号,110,轻度污染,细颗粒物(PM2.5),83,126,1.5,27,92,40,24
20200403,10,2号,NaN,,NaN,NaN,NaN,1.4,23,91,46,NaN
20200403,11,1号,108,轻度污染,细颗粒物(PM2.5),81,116,1.2,24,109,51,20
20200403,11,2号,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN
20200403,12,1号,73,良,细颗粒物(PM2.5),53,88,0.9,16,127,60,17
20200403,12,2号,95,良,细颗粒物(PM2.5),71,103,0.8,14,123,61,7
20200403,13,1号,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN
20200403,13,2号,65,良,细颗粒物(PM2.5),47,66,0.6,9,122,70,7
20200403,14,1号,NaN,,NaN,NaN,NaN,NaN,13,NaN,81,NaN
20200403,14,2号,69,良,细颗粒物(PM2.5),50,62,0.6,9,141,92,7
20200403,15,1号,55,良,颗粒物(PM10),33,60,0.5,12,142,101,9
20200403,15,2号,64,良,细颗粒物(PM2.5),46,70,0.6,8,145,108,8
20200403,16,1号,56,良,颗粒物(PM10),33,62,0.4,12,145,115,10
20200403,16,2号,58,良,颗粒物(PM10),37,65,0.5,8,147,123,8
20200403,16,1号,56,良,颗粒物(PM10),33,62,0.4,12,145,115,10
20200403,16,2号,58,良,颗粒物(PM10),37,65,0.5,8,147,123,8
20200403,16,1号,56,良,颗粒物(PM10),33,62,0.4,12,145,115,10
20200403,16,2号,58,良,颗粒物(PM10),37,65,0.5,8,147,123,8
20200403,19,1号,65,良,颗粒物(PM10),35,79,0.5,33,112,136,11
20200403,19,2号,59,良,颗粒物(PM10),36,68,0.5,22,122,138,8
20200403,20,1号,78,良,颗粒物(PM10),53,105,0.6,48,86,130,11
20200403,20,2号,62,良,颗粒物(PM10),41,74,0.7,41,91,134,9
20200403,21,1号,130,轻度污染,细颗粒物(PM2.5),99,165,1.0,76,64,120,11
20200403,21,2号,105,轻度污染,细颗粒物(PM2.5),79,134,0.9,60,70,127,10
20200403,22,1号,132,轻度污染,细颗粒物(PM2.5),100,169,1.1,72,62,113,11
20200403,22,2号,129,轻度污染,细颗粒物(PM2.5),98,150,1.0,66,57,116,10
20200403,23,1号,137,轻度污染,细颗粒物(PM2.5),104,179,1.2,78,42,100,12
20200403,23,2号,137,轻度污染,细颗粒物(PM2.5),104,155,1.0,95,21,101,10
20200404,00,1号,125,轻度污染,细颗粒物(PM2.5),95,167,1.2,88,18,84,12
20200404,00,2号,127,轻度污染,细颗粒物(PM2.5),96,169,1.0,77,18,84,9
20200404,01,1号,123,轻度污染,细颗粒物(PM2.5),93,151,1.2,87,12,12,12
20200404,01,2号,135,轻度污染,细颗粒物(PM2.5),103,153,1.0,69,21,21,9
20200404,02,1号,139,轻度污染,细颗粒物(PM2.5),106,154,1.3,77,20,16,12
20200404,02,2号,137,轻度污染,细颗粒物(PM2.5),104,145,1.0,66,19,20,9
20200404,03,1号,148,轻度污染,细颗粒物(PM2.5),113,162,1.4,77,18,17,12
20200404,03,2号,143,轻度污染,细颗粒物(PM2.5),109,154,1.1,73,21,20,14
20200404,03,1号,148,轻度污染,细颗粒物(PM2.5),113,162,1.4,77,18,17,12
20200404,03,2号,143,轻度污染,细颗粒物(PM2.5),109,154,1.1,73,21,20,14
20200404,08,1号,223,重度污染,颗粒物(PM10),31,366,0.3,13,82,51,9
20200404,08,2号,173,中度污染,颗粒物(PM10),52,296,0.4,9,79,54,7
20200404,09,1号,130,轻度污染,颗粒物(PM10),18,209,0.2,11,87,60,9
20200404,09,2号,139,轻度污染,颗粒物(PM10),50,228,0.4,7,86,62,6
20200404,10,1号,104,轻度污染,颗粒物(PM10),20,157,0.2,10,90,69,9
20200404,10,2号,95,良,颗粒物(PM10),26,139,0.4,6,89,71,6
20200404,11,1号,89,良,颗粒物(PM10),13,127,0.2,9,95,79,8
20200404,11,2号,78,良,颗粒物(PM10),20,106,0.4,6,94,80,6
20200404,12,1号,79,良,颗粒物(PM10),9,108,0.2,9,99,84,9
20200404,12,2号,69,良,颗粒物(PM10),20,87,0.4,3,99,84,6
20200404,13,1号,66,良,颗粒物(PM10),6,82,0.2,8,103,88,8
20200404,13,2号,59,良,颗粒物(PM10),15,68,0.3,3,102,87,6
20200404,14,1号,64,良,颗粒物(PM10),8,77,0.2,8,106,92,8
20200404,14,2号,52,良,颗粒物(PM10),17,53,0.3,3,104,91,6
20200404,15,1号,64,良,颗粒物(PM10),8,77,0.2,9,106,96,9
20200404,15,2号,51,良,颗粒物(PM10),12,51,0.3,4,107,95,6
20200404,16,1号,76,良,颗粒物(PM10),13,101,0.2,10,104,99,10
20200404,16,2号,61,良,颗粒物(PM10),19,72,0.3,6,102,98,8
20200404,16,1号,76,良,颗粒物(PM10),13,101,0.2,10,104,99,10
20200404,16,2号,61,良,颗粒物(PM10),19,72,0.3,6,102,98,8
20200404,16,1号,76,良,颗粒物(PM10),13,101,0.2,10,104,99,10
20200404,16,2号,61,良,颗粒物(PM10),19,72,0.3,6,102,98,8
20200404,19,1号,53,良,颗粒物(PM10),9,56,0.2,14,94,101,11
20200404,19,2号,49,优,NaN,14,49,0.3,9,93,101,8
20200404,20,1号,54,良,颗粒物(PM10),12,58,0.2,17,90,100,10
20200404,20,2号,50,优,NaN,17,50,0.3,11,88,99,7
20200404,21,1号,40,优,NaN,11,40,0.2,19,87,98,10
20200404,21,2号,44,优,NaN,13,44,0.3,16,78,96,7
20200404,22,1号,53,良,颗粒物(PM10),13,56,0.2,26,73,94,10
20200404,22,2号,49,优,NaN,16,49,0.3,55,34,87,7
20200404,22,1号,53,良,颗粒物(PM10),13,56,0.2,26,73,94,10
20200404,22,2号,49,优,NaN,16,49,0.3,55,34,87,7
20200405,08,1号,86,良,颗粒物(PM10),40,122,0.7,61,31,45,16
20200405,08,2号,78,良,细颗粒物(PM2.5),57,92,0.8,53,27,25,11
20200405,09,1号,68,良,颗粒物(PM10),16,86,0.3,31,72,46,13
20200405,09,2号,80,良,颗粒物(PM10),55,109,0.5,26,71,31,10
20200405,10,1号,51,良,颗粒物(PM10),9,52,0.2,18,90,53,11
20200405,10,2号,57,良,颗粒物(PM10),28,64,0.4,14,88,42,8
20200405,11,1号,46,优,NaN,11,46,0.2,17,94,59,10
20200405,11,2号,42,优,NaN,29,40,0.3,6,98,52,6
20200405,12,1号,37,优,NaN,7,37,0.1,13,101,64,9
20200405,12,2号,105,轻度污染,细颗粒物(PM2.5),79,30,0.3,8,99,58,6
20200405,13,1号,46,优,NaN,7,46,0.2,14,105,70,10
20200405,13,2号,60,良,细颗粒物(PM2.5),43,36,0.3,7,104,68,6
20200405,14,1号,57,良,颗粒物(PM10),19,64,0.2,15,110,78,10
20200405,14,2号,59,良,细颗粒物(PM2.5),42,39,0.3,8,111,78,7
20200405,15,1号,59,良,颗粒物(PM10),18,67,0.2,13,119,90,10
20200405,15,2号,51,良,颗粒物(PM10),30,51,0.3,10,117,89,7
20200405,16,1号,60,良,颗粒物(PM10),18,70,0.2,12,125,102,10
20200405,16,2号,56,良,颗粒物(PM10),30,61,0.3,9,123,101,7
20200405,16,1号,60,良,颗粒物(PM10),18,70,0.2,12,125,102,10
20200405,16,2号,56,良,颗粒物(PM10),30,61,0.3,9,123,101,7
20200405,18,1号,60,良,颗粒物(PM10),23,70,0.3,16,121,111,11
20200405,18,2号,60,良,颗粒物(PM10),29,69,0.4,10,123,111,7
20200405,19,1号,70,良,颗粒物(PM10),32,90,0.4,26,112,113,13
20200405,19,2号,60,良,颗粒物(PM10),29,69,0.4,19,116,113,9
20200405,20,1号,86,良,颗粒物(PM10),38,122,0.5,52,71,112,14
20200405,20,2号,73,良,颗粒物(PM10),38,95,0.5,53,64,110,9
20200405,21,1号,73,良,颗粒物(PM10),34,95,0.4,54,54,105,12
20200405,21,2号,77,良,颗粒物(PM10),37,103,0.5,44,56,104,9
20200405,21,1号,73,良,颗粒物(PM10),34,95,0.4,54,54,105,12
20200405,21,2号,77,良,颗粒物(PM10),37,103,0.5,44,56,104,9
20200405,23,1号,60,良,颗粒物(PM10),25,70,0.3,46,54,90,12
20200405,23,2号,60,良,颗粒物(PM10),24,70,0.4,40,53,90,8
20200406,00,1号,51,良,颗粒物(PM10),25,52,0.3,40,61,82,12
20200406,00,2号,55,良,颗粒物(PM10),28,59,0.4,36,59,82,8
20200406,01,1号,47,优,NaN,19,47,0.5,34,66,66,14
20200406,01,2号,53,良,颗粒物(PM10),30,56,0.4,34,58,58,9
20200406,02,1号,53,良,颗粒物(PM10),25,56,0.6,36,60,63,15
20200406,02,2号,54,良,颗粒物(PM10),25,58,0.5,35,55,56,10
20200406,03,1号,51,良,颗粒物(PM10),19,52,0.6,37,56,61,16
20200406,03,2号,53,良,颗粒物(PM10),24,55,0.6,39,49,54,10
20200407,07,1号,98,良,细颗粒物(PM2.5),73,123,1.0,59,16,20,14
20200407,07,2号,77,良,细颗粒物(PM2.5),56,101,0.8,48,15,14,11
20200407,08,1号,102,轻度污染,颗粒物(PM10),74,154,1.2,67,30,22,23
20200407,08,2号,97,良,细颗粒物(PM2.5),72,139,1.1,68,20,16,18
20200407,09,1号,112,轻度污染,细颗粒物(PM2.5),84,157,1.0,53,55,25,26
20200407,09,2号,120,轻度污染,细颗粒物(PM2.5),91,173,1.0,55,54,18,22
20200407,10,1号,110,轻度污染,细颗粒物(PM2.5),83,164,0.9,38,87,33,23
20200407,10,2号,118,轻度污染,细颗粒物(PM2.5),89,164,0.8,18,125,30,17
20200407,11,1号,113,轻度污染,细颗粒物(PM2.5),85,161,0.8,25,147,52,21
20200407,11,2号,119,轻度污染,细颗粒物(PM2.5),90,166,0.8,17,151,51,17
20200407,11,1号,113,轻度污染,细颗粒物(PM2.5),85,161,0.8,25,147,52,21
20200407,11,2号,119,轻度污染,细颗粒物(PM2.5),90,166,0.8,17,151,51,17
20200407,11,1号,113,轻度污染,细颗粒物(PM2.5),85,161,0.8,25,147,52,21
20200407,11,2号,119,轻度污染,细颗粒物(PM2.5),90,166,0.8,17,151,51,17
20200407,14,1号,138,轻度污染,颗粒物(PM10),102,225,1.0,25,159,102,19
20200407,14,2号,145,轻度污染,细颗粒物(PM2.5),111,188,0.9,20,161,109,16
20200407,15,1号,120,轻度污染,颗粒物(PM10),79,189,0.8,22,160,120,18
20200407,15,2号,128,轻度污染,细颗粒物(PM2.5),97,193,0.8,19,160,127,15
20200407,16,1号,112,轻度污染,颗粒物(PM10),71,174,0.7,21,160,136,17
20200407,16,2号,111,轻度污染,颗粒物(PM10),74,171,0.7,17,157,144,13
20200407,17,1号,106,轻度污染,颗粒物(PM10),72,161,0.7,23,156,149,16
20200407,17,2号,104,轻度污染,颗粒物(PM10),63,158,0.7,21,153,156,13
20200407,18,1号,103,轻度污染,颗粒物(PM10),65,156,0.7,30,132,153,16
20200407,18,2号,103,轻度污染,颗粒物(PM10),66,156,0.7,28,136,156,13
20200407,19,1号,99,良,颗粒物(PM10),56,148,0.7,32,112,149,15
20200407,19,2号,93,良,颗粒物(PM10),56,136,0.7,25,111,151,12
20200407,20,1号,103,轻度污染,颗粒物(PM10),53,156,0.6,26,108,144,14
20200407,20,2号,89,良,颗粒物(PM10),51,128,0.7,21,107,144,11
20200407,21,1号,90,良,颗粒物(PM10),43,130,0.6,20,113,138,12
20200407,21,2号,79,良,颗粒物(PM10),49,108,0.6,15,111,137,9
20200407,21,1号,90,良,颗粒物(PM10),43,130,0.6,20,113,138,12
20200407,21,2号,79,良,颗粒物(PM10),49,108,0.6,15,111,137,9
20200407,23,1号,60,良,颗粒物(PM10),26,70,0.4,18,98,123,11
20200407,23,2号,58,良,颗粒物(PM10),31,65,0.5,16,94,121,8
20200408,00,1号,79,良,颗粒物(PM10),37,107,0.4,23,91,114,11
20200408,00,2号,63,良,颗粒物(PM10),35,76,0.5,23,85,112,8
20200408,01,1号,71,良,颗粒物(PM10),32,91,0.4,18,94,94,11
20200408,01,2号,76,良,颗粒物(PM10),35,102,0.5,15,90,90,8
