Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,区环保局,23,优,NaN,16,NaN,0.7,6,50,47,7
20200402,08,粮贸总公司,30,优,NaN,21,NaN,0.8,11,55,54,8
20200402,08,市环保局,30,优,NaN,21,NaN,0.8,10,49,49,7
20200402,09,区环保局,26,优,NaN,18,26,0.7,6,50,48,7
20200402,09,粮贸总公司,35,优,NaN,24,27,0.8,14,52,54,8
20200402,09,市环保局,32,优,NaN,22,24,0.8,12,48,49,7
20200402,10,区环保局,33,优,NaN,23,28,0.7,6,51,48,7
20200402,10,粮贸总公司,45,优,NaN,31,33,0.9,14,53,53,8
20200402,10,市环保局,39,优,NaN,27,28,0.8,12,48,49,7
20200402,11,区环保局,28,优,NaN,18,28,0.7,5,64,50,8
20200402,11,粮贸总公司,38,优,NaN,25,38,0.8,12,64,55,10
20200402,11,市环保局,34,优,NaN,22,34,0.8,10,57,51,7
20200402,12,区环保局,44,优,NaN,16,44,0.7,5,73,53,9
20200402,12,粮贸总公司,50,优,NaN,18,50,0.8,12,76,57,12
20200402,12,市环保局,51,良,颗粒物(PM10),18,51,0.8,10,66,53,8
20200402,13,区环保局,46,优,NaN,15,46,0.7,5,79,57,9
20200402,13,粮贸总公司,51,良,颗粒物(PM10),19,52,0.8,12,81,60,12
20200402,13,市环保局,51,良,颗粒物(PM10),17,51,0.7,8,71,55,7
20200402,14,区环保局,46,优,NaN,16,46,0.7,5,89,62,9
20200402,14,粮贸总公司,46,优,NaN,19,46,0.8,11,92,65,11
20200402,14,市环保局,44,优,NaN,17,44,0.7,8,77,58,7
20200402,15,区环保局,50,优,NaN,16,50,0.7,5,97,69,9
20200402,15,粮贸总公司,48,优,NaN,18,48,0.8,11,101,72,10
20200402,15,市环保局,43,优,NaN,17,43,0.7,10,83,62,7
20200402,16,区环保局,48,优,NaN,16,48,0.7,5,101,76,10
20200402,16,粮贸总公司,51,良,颗粒物(PM10),17,51,0.8,12,103,78,11
20200402,16,市环保局,53,良,颗粒物(PM10),17,56,0.7,10,87,67,7
20200402,17,区环保局,53,良,颗粒物(PM10),15,55,0.7,5,102,82,10
20200402,17,粮贸总公司,55,良,颗粒物(PM10),17,60,0.8,12,102,84,13
20200402,17,市环保局,50,优,NaN,16,50,0.7,11,86,72,7
20200402,18,区环保局,53,良,颗粒物(PM10),16,55,0.7,5,103,88,10
20200402,18,粮贸总公司,54,良,颗粒物(PM10),19,58,0.8,12,103,90,13
20200402,18,市环保局,51,良,颗粒物(PM10),16,52,0.7,12,86,77,7
20200402,19,区环保局,56,良,颗粒物(PM10),26,61,0.7,6,101,93,10
20200402,19,粮贸总公司,55,良,颗粒物(PM10),22,59,0.9,13,101,95,12
