Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,永定新区,53,良,颗粒物(PM10),28,56,0.6,24,45,58,3
20200402,08,电业局,46,优,NaN,32,41,0.7,16,62,70,3
20200402,08,未央路,43,优,NaN,30,36,0.7,7,44,54,3
20200402,08,袁家界,48,优,NaN,23,48,0.5,8,95,96,3
20200402,09,永定新区,45,优,NaN,31,45,0.6,24,48,55,3
20200402,09,电业局,50,优,NaN,35,44,0.7,22,53,68,3
20200402,09,未央路,48,优,NaN,33,NaN,0.7,15,44,51,3
20200402,09,袁家界,49,优,NaN,31,49,0.5,8,90,96,3
20200402,10,永定新区,62,良,细颗粒物(PM2.5),44,59,0.6,29,44,52,3
20200402,10,电业局,54,良,细颗粒物(PM2.5),38,52,0.7,22,47,64,3
20200402,10,未央路,49,优,NaN,34,40,0.8,14,52,50,3
20200402,10,袁家界,51,良,颗粒物(PM10),30,52,0.4,8,83,95,2
20200402,11,永定新区,75,良,细颗粒物(PM2.5),55,67,0.5,20,50,50,3
20200402,11,电业局,60,良,细颗粒物(PM2.5),43,52,0.7,20,48,62,3
20200402,11,未央路,53,良,细颗粒物(PM2.5),37,47,0.7,11,52,50,3
20200402,11,袁家界,53,良,颗粒物(PM10),31,55,0.4,8,79,93,2
20200402,12,永定新区,72,良,细颗粒物(PM2.5),52,56,0.5,17,53,48,4
20200402,12,电业局,59,良,细颗粒物(PM2.5),42,50,0.7,18,51,59,3
20200402,12,未央路,52,良,细颗粒物(PM2.5),36,50,0.8,10,52,50,3
20200402,12,袁家界,52,良,颗粒物(PM10),30,53,0.4,8,77,90,2
20200402,13,永定新区,63,良,细颗粒物(PM2.5),45,53,0.5,16,56,49,3
20200402,13,电业局,53,良,细颗粒物(PM2.5),37,46,0.7,15,54,57,3
20200402,13,未央路,51,良,颗粒物(PM10),32,52,0.7,9,57,50,3
20200402,13,袁家界,51,良,颗粒物(PM10),27,52,0.5,7,80,88,2
20200402,14,永定新区,57,良,细颗粒物(PM2.5),40,44,0.4,14,60,51,3
20200402,14,电业局,48,优,NaN,33,39,0.7,14,61,56,4
20200402,14,未央路,46,优,NaN,28,46,0.7,8,61,51,3
20200402,14,袁家界,44,优,NaN,28,44,0.4,7,81,86,2
20200402,15,永定新区,42,优,NaN,29,42,0.4,14,63,52,3
20200402,15,电业局,38,优,NaN,26,34,0.7,15,62,55,3
20200402,15,未央路,38,优,NaN,26,38,0.7,9,63,53,3
20200402,15,袁家界,50,优,NaN,26,50,0.4,6,83,84,2
20200402,16,永定新区,39,优,NaN,26,39,0.5,14,62,54,3
20200402,16,电业局,37,优,NaN,23,37,0.7,16,62,55,3
20200402,16,未央路,39,优,NaN,26,39,0.7,9,64,56,3
20200402,16,袁家界,40,优,NaN,26,40,0.4,7,85,82,2
20200402,17,永定新区,47,优,NaN,28,47,0.5,18,55,55,3
20200402,17,电业局,37,优,NaN,22,37,0.7,17,57,55,3
20200402,17,未央路,40,优,NaN,28,36,0.7,11,58,57,3
20200402,17,袁家界,41,优,NaN,27,41,0.4,6,83,81,2
20200402,18,永定新区,50,优,NaN,32,50,0.5,20,54,57,3
20200402,18,电业局,34,优,NaN,20,34,0.7,19,53,56,3
20200402,18,未央路,42,优,NaN,29,42,0.8,10,59,58,3
20200402,18,袁家界,46,优,NaN,20,46,0.4,7,81,81,2
20200402,19,永定新区,53,良,颗粒物(PM10),36,56,0.4,18,55,57,3
20200402,19,电业局,40,优,NaN,28,36,0.7,16,56,57,3
20200402,19,未央路,48,优,NaN,30,48,0.7,8,58,59,3
20200402,19,袁家界,42,优,NaN,22,42,0.4,7,81,81,2
20200402,20,永定新区,53,良,颗粒物(PM10),36,56,0.5,17,58,58,3
20200402,20,电业局,39,优,NaN,27,38,0.6,14,62,58,3
20200402,20,未央路,49,优,NaN,30,49,0.8,8,49,59,3
20200402,20,袁家界,41,优,NaN,25,41,0.5,7,80,82,2
20200402,20,永定新区,53,良,颗粒物(PM10),36,56,0.5,17,58,58,3
20200402,20,电业局,39,优,NaN,27,38,0.6,14,62,58,3
20200402,20,未央路,49,优,NaN,30,49,0.8,8,49,59,3
20200402,20,袁家界,41,优,NaN,25,41,0.5,7,80,82,2
20200402,22,永定新区,50,优,NaN,35,49,0.4,18,56,57,3
20200402,22,电业局,48,优,NaN,30,48,0.7,18,51,58,3
20200402,22,未央路,41,优,NaN,28,41,0.8,8,40,54,3
20200402,22,袁家界,52,良,颗粒物(PM10),23,53,0.5,8,76,81,3
20200402,23,永定新区,57,良,细颗粒物(PM2.5),40,47,0.4,21,54,56,3
20200402,23,电业局,50,优,NaN,29,50,0.7,16,53,56,4
20200402,23,未央路,43,优,NaN,30,38,0.8,6,37,51,3
20200402,23,袁家界,51,良,颗粒物(PM10),25,51,0.4,8,78,80,2
20200403,00,永定新区,50,优,NaN,33,50,0.4,28,43,54,3
20200403,00,电业局,50,优,NaN,31,50,0.6,16,52,55,3
20200403,00,未央路,45,优,NaN,31,37,0.8,6,38,47,3
20200403,00,袁家界,51,良,颗粒物(PM10),28,51,0.5,8,78,79,3
20200403,01,永定新区,50,优,NaN,28,50,0.4,23,42,42,3
20200403,01,电业局,54,良,细颗粒物(PM2.5),38,46,0.6,12,54,54,3
20200403,01,未央路,42,优,NaN,29,36,0.8,6,33,33,3
20200403,01,袁家界,53,良,颗粒物(PM10),33,56,0.4,8,75,75,2
20200403,02,永定新区,53,良,颗粒物(PM10),26,56,0.4,19,38,40,3
20200403,02,电业局,49,优,NaN,34,42,0.6,14,53,54,3
20200403,02,未央路,36,优,NaN,25,34,0.8,5,30,32,3
20200403,02,袁家界,52,良,颗粒物(PM10),31,54,0.4,8,77,76,2
20200403,03,永定新区,46,优,NaN,27,46,0.5,24,29,36,3
20200403,03,电业局,41,优,NaN,28,41,0.6,12,55,54,3
