Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,林科所,32,优,NaN,21,32,1.0,6,67,74,8
20200402,08,河西地税局,51,良,颗粒物(PM10),24,51,1.1,8,63,69,10
20200402,08,市四医院,48,优,NaN,23,48,0.9,9,69,78,7
20200402,08,监测楼,45,优,NaN,31,41,0.7,11,69,77,4
20200402,08,市委党校,46,优,NaN,32,46,0.9,10,73,80,6
20200402,09,林科所,36,优,NaN,23,36,1.1,8,68,73,12
20200402,09,河西地税局,53,良,颗粒物(PM10),21,56,1.1,10,63,68,10
20200402,09,市四医院,52,良,颗粒物(PM10),27,54,1.0,15,66,76,5
20200402,09,监测楼,48,优,NaN,33,47,0.7,16,70,76,4
20200402,09,市委党校,52,良,颗粒物(PM10),34,54,0.9,18,68,78,5
20200402,10,林科所,40,优,NaN,28,35,1.1,8,70,72,13
20200402,10,河西地税局,52,良,颗粒物(PM10),29,53,1.2,10,67,68,9
20200402,10,市四医院,52,良,颗粒物(PM10),30,53,1.0,14,72,76,5
20200402,10,监测楼,53,良,细颗粒物(PM2.5),37,50,0.8,15,72,76,4
20200402,10,市委党校,52,良,颗粒物(PM10),35,54,0.9,14,71,77,5
20200402,11,林科所,43,优,NaN,30,32,1.2,8,68,71,12
20200402,11,河西地税局,51,良,颗粒物(PM10),31,52,1.2,14,65,67,10
20200402,11,市四医院,52,良,颗粒物(PM10),32,54,1.0,12,73,74,6
20200402,11,监测楼,55,良,颗粒物(PM10),35,60,0.7,16,72,75,5
20200402,11,市委党校,53,良,颗粒物(PM10),33,55,0.9,15,68,76,6
20200402,12,林科所,46,优,NaN,32,32,1.2,9,67,69,11
20200402,12,河西地税局,53,良,颗粒物(PM10),36,55,1.3,10,65,66,9
20200402,12,市四医院,53,良,颗粒物(PM10),36,55,1.1,11,73,73,NaN
20200402,12,监测楼,54,良,颗粒物(PM10),32,58,0.8,13,72,73,5
20200402,12,市委党校,54,良,颗粒物(PM10),36,58,0.9,13,70,73,6
20200402,13,林科所,49,优,NaN,34,35,1.2,8,67,68,10
20200402,13,河西地税局,55,良,颗粒物(PM10),37,60,1.3,11,64,65,8
20200402,13,市四医院,55,良,细颗粒物(PM2.5),39,58,NaN,NaN,68,71,5
20200402,13,监测楼,55,良,颗粒物(PM10),28,60,0.8,15,68,71,5
20200402,13,市委党校,54,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",38,58,1.0,13,69,71,5
20200402,14,林科所,53,良,细颗粒物(PM2.5),37,37,1.2,8,63,67,8
20200402,14,河西地税局,55,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",39,60,1.3,14,57,64,7
20200402,14,市四医院,59,良,细颗粒物(PM2.5),42,59,0.7,12,NaN,70,4
20200402,14,监测楼,57,良,颗粒物(PM10),33,63,0.8,14,67,70,4
20200402,14,市委党校,59,良,细颗粒物(PM2.5),42,61,1.0,14,66,70,5
20200402,15,林科所,55,良,细颗粒物(PM2.5),39,NaN,1.2,10,55,66,NaN
20200402,15,河西地税局,55,良,细颗粒物(PM2.5),39,56,1.3,17,48,62,6
20200402,15,市四医院,NaN,,NaN,NaN,NaN,0.8,16,56,68,4
20200402,15,监测楼,58,良,颗粒物(PM10),38,65,0.8,15,61,69,3
20200402,15,市委党校,56,良,颗粒物(PM10),39,62,1.0,15,57,68,4
20200402,16,林科所,57,良,细颗粒物(PM2.5),40,NaN,NaN,12,51,64,7
20200402,16,河西地税局,57,良,细颗粒物(PM2.5),40,55,1.3,14,46,59,6
20200402,16,市四医院,55,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",39,59,0.8,16,54,66,4
20200402,16,监测楼,59,良,颗粒物(PM10),37,68,0.8,16,57,67,3
20200402,16,市委党校,60,良,细颗粒物(PM2.5),43,64,1.0,15,55,66,4
20200402,17,林科所,60,良,细颗粒物(PM2.5),43,NaN,0.7,7,NaN,63,8
20200402,17,河西地税局,55,良,细颗粒物(PM2.5),39,55,1.3,11,47,57,7
20200402,17,市四医院,58,良,细颗粒物(PM2.5),41,54,0.7,11,60,65,4
20200402,17,监测楼,61,良,颗粒物(PM10),40,71,0.8,12,58,66,4
20200402,17,市委党校,61,良,颗粒物(PM10),43,72,1.0,12,54,64,5
20200402,18,林科所,NaN,,NaN,NaN,NaN,0.6,7,46,60,7
20200402,18,河西地税局,58,良,细颗粒物(PM2.5),41,57,1.3,14,43,54,7
20200402,18,市四医院,52,良,细颗粒物(PM2.5),36,52,0.7,13,56,63,4
20200402,18,监测楼,58,良,颗粒物(PM10),35,65,0.8,14,55,64,4
20200402,18,市委党校,59,良,颗粒物(PM10),34,68,1.0,14,51,61,4
20200402,19,林科所,59,良,细颗粒物(PM2.5),42,43,0.6,8,45,56,7
20200402,19,河西地税局,57,良,细颗粒物(PM2.5),40,50,1.3,12,42,52,6
20200402,19,市四医院,51,良,颗粒物(PM10),29,51,0.8,13,48,59,4
20200402,19,监测楼,57,良,细颗粒物(PM2.5),40,61,0.9,15,48,61,3
20200402,19,市委党校,58,良,颗粒物(PM10),37,65,1.0,13,48,59,4
20200402,20,林科所,54,良,细颗粒物(PM2.5),38,NaN,0.6,8,40,52,7
20200402,20,河西地税局,55,良,细颗粒物(PM2.5),39,52,1.3,16,34,48,7
20200402,20,市四医院,44,优,NaN,30,44,0.7,11,45,55,4
20200402,20,监测楼,54,良,颗粒物(PM10),35,58,0.8,14,44,57,3
20200402,20,市委党校,56,良,颗粒物(PM10),37,62,1.0,14,41,55,4
20200402,20,林科所,54,良,细颗粒物(PM2.5),38,NaN,0.6,8,40,52,7
20200402,20,河西地税局,55,良,细颗粒物(PM2.5),39,52,1.3,16,34,48,7
20200402,20,市四医院,44,优,NaN,30,44,0.7,11,45,55,4
20200402,20,监测楼,54,良,颗粒物(PM10),35,58,0.8,14,44,57,3
20200402,20,市委党校,56,良,颗粒物(PM10),37,62,1.0,14,41,55,4
20200402,22,林科所,38,优,NaN,26,NaN,0.6,8,46,47,5
20200402,22,河西地税局,48,优,NaN,33,42,1.3,14,34,42,6
20200402,22,市四医院,36,优,NaN,24,36,0.7,10,50,52,3
20200402,22,监测楼,44,优,NaN,20,44,0.8,14,49,52,2
20200402,22,市委党校,47,优,NaN,32,47,1.0,14,49,50,4
20200402,23,林科所,36,优,NaN,25,29,0.6,8,43,45,6
20200402,23,河西地税局,39,优,NaN,27,34,1.3,12,37,40,6
20200402,23,市四医院,34,优,NaN,23,34,0.7,8,52,51,3
20200402,23,监测楼,43,优,NaN,26,43,0.8,13,50,51,2
20200402,23,市委党校,48,优,NaN,33,48,1.1,12,52,49,4
20200403,00,林科所,32,优,NaN,22,26,0.6,7,49,45,5
20200403,00,河西地税局,36,优,NaN,25,32,1.3,8,41,40,5
20200403,00,市四医院,39,优,NaN,27,33,0.8,9,49,51,4
20200403,00,监测楼,42,优,NaN,21,42,0.8,14,48,50,4
