Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,城东财政所,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,邗江监测站,63,良,颗粒物(PM10),26,76,0.6,30,55,55,9
20200402,08,第四医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,五台山医院,60,良,颗粒物(PM10),22,70,0.5,43,38,36,12
20200402,08,五台山医院(启用161107),NaN,优,NaN,15,NaN,0.5,19,49,59,8
20200402,08,广陵建设局,64,良,颗粒物(PM10),36,77,0.5,35,47,39,15
20200402,08,城东财政所(停运180626),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,第四医院(停运161107),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,广陵建设局(启用180626),21,优,NaN,14,21,0.6,37,32,54,3
20200402,08,市体育局（181219启用）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN
20200402,08,市体育局,68,良,颗粒物(PM10),24,85,0.7,33,46,40,11
20200402,09,城东财政所,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,邗江监测站,57,良,颗粒物(PM10),14,64,0.4,22,73,56,7
20200402,09,第四医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,五台山医院,46,优,NaN,12,46,0.4,32,60,37,7
20200402,09,五台山医院(启用161107),NaN,优,NaN,15,NaN,0.5,19,49,59,8
20200402,09,广陵建设局,62,良,颗粒物(PM10),19,73,0.4,22,70,41,8
20200402,09,城东财政所(停运180626),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,第四医院(停运161107),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,广陵建设局(启用180626),21,优,NaN,14,21,0.6,37,32,54,3
20200402,09,市体育局（181219启用）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN
20200402,09,市体育局,59,良,颗粒物(PM10),15,67,0.5,25,69,44,8
20200402,10,城东财政所,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,邗江监测站,48,优,NaN,12,48,0.4,17,83,58,4
20200402,10,第四医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,五台山医院,33,优,NaN,8,33,0.3,21,76,41,1
20200402,10,五台山医院(启用161107),NaN,优,NaN,15,NaN,0.5,19,49,59,8
20200402,10,广陵建设局,52,良,颗粒物(PM10),14,54,0.3,18,79,44,5
20200402,10,城东财政所(停运180626),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,第四医院(停运161107),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,广陵建设局(启用180626),21,优,NaN,14,21,0.6,37,32,54,3
20200402,10,市体育局（181219启用）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN
20200402,10,市体育局,48,优,NaN,10,48,0.4,19,81,47,4
20200402,11,城东财政所,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,邗江监测站,43,优,NaN,9,43,0.4,13,92,61,4
20200402,11,第四医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,五台山医院,30,优,NaN,6,30,0.4,17,82,45,3
20200402,11,五台山医院(启用161107),NaN,优,NaN,15,NaN,0.5,19,49,59,8
20200402,11,广陵建设局,40,优,NaN,11,40,0.3,13,89,49,4
20200402,11,城东财政所(停运180626),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,第四医院(停运161107),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,广陵建设局(启用180626),21,优,NaN,14,21,0.6,37,32,54,3
20200402,11,市体育局（181219启用）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN
20200402,11,市体育局,41,优,NaN,8,41,0.4,16,90,51,4
20200402,12,城东财政所,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,邗江监测站,35,优,NaN,9,35,0.4,10,100,66,3
20200402,12,第四医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,五台山医院,28,优,NaN,6,28,0.3,15,88,51,3
20200402,12,五台山医院(启用161107),NaN,优,NaN,15,NaN,0.5,19,49,59,8
20200402,12,广陵建设局,34,优,NaN,12,34,0.3,14,91,57,4
20200402,12,城东财政所(停运180626),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,第四医院(停运161107),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,广陵建设局(启用180626),21,优,NaN,14,21,0.6,37,32,54,3
20200402,12,市体育局（181219启用）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN
20200402,12,市体育局,38,优,NaN,8,38,0.4,14,94,57,4
20200402,13,城东财政所,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,邗江监测站,34,优,NaN,12,33,0.4,10,107,74,3
20200402,13,第四医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,五台山医院,34,优,NaN,8,34,0.3,15,94,61,3
20200402,13,五台山医院(启用161107),NaN,优,NaN,15,NaN,0.5,19,49,59,8
20200402,13,广陵建设局,35,优,NaN,15,35,0.3,13,100,67,4
20200402,13,城东财政所(停运180626),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,第四医院(停运161107),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,广陵建设局(启用180626),21,优,NaN,14,21,0.6,37,32,54,3
