Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,沈抚新城,149,轻度污染,细颗粒物(PM2.5),114,170,1.6,72,28,19,72
20200402,08,望花区,117,轻度污染,细颗粒物(PM2.5),88,129,1.1,61,21,20,36
20200402,08,顺城区,102,轻度污染,细颗粒物(PM2.5),76,136,1.3,52,16,7,54
20200402,08,东洲区,78,良,细颗粒物(PM2.5),57,67,0.7,26,37,37,22
20200402,08,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,大伙房水库,67,良,细颗粒物(PM2.5),48,59,0.6,25,44,42,11
20200402,09,沈抚新城,118,轻度污染,颗粒物(PM10),74,185,1.6,48,56,23,52
20200402,09,望花区,119,轻度污染,细颗粒物(PM2.5),90,157,1.6,51,54,22,54
20200402,09,顺城区,94,良,颗粒物(PM10),69,138,1.6,63,28,10,50
20200402,09,东洲区,74,良,细颗粒物(PM2.5),54,79,1.2,39,62,40,46
20200402,09,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,大伙房水库,67,良,细颗粒物(PM2.5),48,59,0.7,22,59,43,14
20200402,10,沈抚新城,108,轻度污染,细颗粒物(PM2.5),81,163,1.7,47,70,28,33
20200402,10,望花区,119,轻度污染,细颗粒物(PM2.5),90,153,1.4,43,71,26,52
20200402,10,顺城区,106,轻度污染,颗粒物(PM10),65,162,1.5,45,65,17,42
20200402,10,东洲区,87,良,细颗粒物(PM2.5),64,115,1.4,53,69,44,47
20200402,10,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,大伙房水库,79,良,细颗粒物(PM2.5),58,79,1.3,41,78,46,34
20200402,11,沈抚新城,105,轻度污染,颗粒物(PM10),71,160,1.6,38,85,37,27
20200402,11,望花区,97,良,细颗粒物(PM2.5),72,130,1.3,NaN,77,33,29
20200402,11,顺城区,101,轻度污染,颗粒物(PM10),58,151,1.2,34,79,26,38
20200402,11,东洲区,87,良,颗粒物(PM10),39,123,0.9,27,82,48,34
20200402,11,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,大伙房水库,83,良,颗粒物(PM10),41,115,1.0,28,86,51,29
20200402,12,沈抚新城,82,良,颗粒物(PM10),46,114,1.0,29,92,46,17
20200402,12,望花区,78,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",57,106,1.0,28,77,41,NaN
20200402,12,顺城区,80,良,颗粒物(PM10),43,110,1.0,27,86,36,24
20200402,12,东洲区,73,良,颗粒物(PM10),41,95,0.8,23,87,54,26
20200402,12,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,大伙房水库,77,良,颗粒物(PM10),41,103,0.8,23,93,58,22
20200402,13,沈抚新城,71,良,颗粒物(PM10),38,92,0.7,22,105,57,11
20200402,13,望花区,69,良,颗粒物(PM10),44,88,0.8,24,96,52,18
20200402,13,顺城区,68,良,颗粒物(PM10),33,85,0.8,20,95,48,17
20200402,13,东洲区,64,良,颗粒物(PM10),29,77,0.6,16,93,60,21
20200402,13,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,大伙房水库,65,良,颗粒物(PM10),27,79,0.7,16,97,65,17
20200402,14,沈抚新城,66,良,颗粒物(PM10),23,82,0.5,15,109,70,8
20200402,14,望花区,67,良,颗粒物(PM10),32,83,0.8,21,101,64,26
20200402,14,顺城区,64,良,颗粒物(PM10),26,77,0.7,17,103,60,16
20200402,14,东洲区,60,良,颗粒物(PM10),23,70,0.5,16,98,70,18
20200402,14,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,大伙房水库,62,良,颗粒物(PM10),24,73,0.6,14,104,74,15
20200402,15,沈抚新城,57,良,颗粒物(PM10),18,63,0.5,15,109,82,8
20200402,15,望花区,65,良,颗粒物(PM10),24,80,1.1,20,101,75,31
20200402,15,顺城区,58,良,颗粒物(PM10),20,66,0.6,17,105,72,15
20200402,15,东洲区,61,良,颗粒物(PM10),23,72,0.5,16,105,79,18
20200402,15,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,大伙房水库,58,良,颗粒物(PM10),22,65,0.5,14,111,84,16
20200402,16,沈抚新城,55,良,颗粒物(PM10),18,60,0.4,16,108,92,8
20200402,16,望花区,60,良,颗粒物(PM10),23,69,0.9,22,100,85,28
20200402,16,顺城区,54,良,颗粒物(PM10),18,58,0.6,19,102,83,16
20200402,16,东洲区,58,良,颗粒物(PM10),20,66,0.5,18,104,88,18
20200402,16,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,大伙房水库,55,良,颗粒物(PM10),18,60,0.5,15,111,92,15
20200402,17,沈抚新城,53,良,颗粒物(PM10),16,56,0.4,17,107,98,10
20200402,17,望花区,78,良,细颗粒物(PM2.5),57,59,0.5,22,99,90,14
20200402,17,顺城区,49,优,NaN,18,49,0.6,23,98,92,15
20200402,17,东洲区,57,良,颗粒物(PM10),19,64,0.4,20,100,92,17
20200402,17,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,大伙房水库,47,优,NaN,19,47,0.5,16,108,98,16
20200402,18,沈抚新城,58,良,颗粒物(PM10),24,65,0.6,24,98,102,12
20200402,18,望花区,60,良,颗粒物(PM10),41,69,0.6,25,91,93,16
20200402,18,顺城区,55,良,颗粒物(PM10),23,60,0.6,29,89,95,14
20200402,18,东洲区,57,良,颗粒物(PM10),23,63,0.5,29,90,95,20
20200402,18,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,大伙房水库,51,良,颗粒物(PM10),21,51,0.5,19,102,102,16
20200402,19,沈抚新城,65,良,颗粒物(PM10),29,79,0.6,29,82,101,9
20200402,19,望花区,92,良,细颗粒物(PM2.5),68,100,0.9,45,65,91,24
20200402,19,顺城区,65,良,颗粒物(PM10),31,79,0.6,33,78,94,17
20200402,19,东洲区,63,良,颗粒物(PM10),32,76,0.7,33,80,95,37
20200402,19,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,大伙房水库,61,良,颗粒物(PM10),34,71,0.6,24,93,102,21
20200402,20,沈抚新城,67,良,细颗粒物(PM2.5),48,81,0.7,33,72,99,11
20200402,20,望花区,103,轻度污染,细颗粒物(PM2.5),77,113,0.8,49,50,88,23
20200402,20,顺城区,67,良,颗粒物(PM10),35,83,0.6,34,65,92,17
20200402,20,东洲区,65,良,颗粒物(PM10),38,79,0.6,29,71,93,24
20200402,20,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,大伙房水库,65,良,颗粒物(PM10),39,80,0.6,27,78,100,23
20200402,20,沈抚新城,67,良,细颗粒物(PM2.5),48,81,0.7,33,72,99,11
20200402,20,望花区,103,轻度污染,细颗粒物(PM2.5),77,113,0.8,49,50,88,23
20200402,20,顺城区,67,良,颗粒物(PM10),35,83,0.6,34,65,92,17
20200402,20,东洲区,65,良,颗粒物(PM10),38,79,0.6,29,71,93,24
20200402,20,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,大伙房水库,65,良,颗粒物(PM10),39,80,0.6,27,78,100,23
20200402,22,沈抚新城,100,良,细颗粒物(PM2.5),75,105,0.9,41,50,85,26
20200402,22,望花区,109,轻度污染,细颗粒物(PM2.5),82,115,0.9,54,37,74,27
20200402,22,顺城区,83,良,细颗粒物(PM2.5),61,103,0.8,28,60,81,27
20200402,22,东洲区,75,良,颗粒物(PM10),51,100,0.8,37,56,84,53
20200402,22,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,大伙房水库,69,良,颗粒物(PM10),48,88,0.6,25,64,92,20
20200402,23,沈抚新城,128,轻度污染,细颗粒物(PM2.5),97,123,2.0,65,32,75,80
20200402,23,望花区,133,轻度污染,细颗粒物(PM2.5),101,121,1.5,67,24,64,44
20200402,23,顺城区,93,良,细颗粒物(PM2.5),69,94,1.3,36,51,74,29
20200402,23,东洲区,70,良,颗粒物(PM10),50,89,1.0,32,60,78,36
20200402,23,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,大伙房水库,72,良,细颗粒物(PM2.5),52,75,0.8,31,62,86,24
20200403,00,沈抚新城,144,轻度污染,细颗粒物(PM2.5),110,159,2.4,81,20,64,74
20200403,00,望花区,170,中度污染,细颗粒物(PM2.5),129,150,1.8,73,20,54,63
20200403,00,顺城区,109,轻度污染,细颗粒物(PM2.5),82,109,1.5,54,28,65,38
20200403,00,东洲区,79,良,细颗粒物(PM2.5),58,82,1.1,41,44,71,37
20200403,00,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,大伙房水库,74,良,细颗粒物(PM2.5),54,85,0.9,32,50,78,26
20200403,01,沈抚新城,185,中度污染,细颗粒物(PM2.5),139,176,2.4,88,18,18,78
20200403,01,望花区,204,重度污染,细颗粒物(PM2.5),154,177,1.9,86,14,14,75
20200403,01,顺城区,110,轻度污染,细颗粒物(PM2.5),83,116,1.6,63,10,10,37
20200403,01,东洲区,98,良,细颗粒物(PM2.5),73,84,1.2,39,40,40,36
20200403,01,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,大伙房水库,82,良,细颗粒物(PM2.5),60,111,1.0,39,39,39,27
20200403,02,沈抚新城,214,重度污染,细颗粒物(PM2.5),164,230,2.5,93,17,18,72
20200403,02,望花区,268,重度污染,细颗粒物(PM2.5),218,229,2.0,87,22,18,82
20200403,02,顺城区,129,轻度污染,细颗粒物(PM2.5),98,126,1.8,64,6,8,37
20200403,02,东洲区,98,良,细颗粒物(PM2.5),73,96,1.2,46,32,36,41
20200403,02,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,大伙房水库,78,良,颗粒物(PM10),51,105,0.9,26,45,42,18
20200403,03,沈抚新城,239,重度污染,细颗粒物(PM2.5),189,248,2.6,95,17,17,65
20200403,03,望花区,294,重度污染,细颗粒物(PM2.5),244,321,2.5,93,22,19,103
20200403,03,顺城区,155,中度污染,细颗粒物(PM2.5),118,141,2.1,59,5,7,37
20200403,03,东洲区,102,轻度污染,细颗粒物(PM2.5),76,110,1.4,54,21,31,41
20200403,03,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,大伙房水库,64,良,细颗粒物(PM2.5),46,74,0.9,23,44,43,16
20200403,08,沈抚新城,179,中度污染,细颗粒物(PM2.5),135,194,1.6,50,44,22,29
20200403,08,望花区,219,重度污染,细颗粒物(PM2.5),169,206,1.8,50,44,22,46
20200403,08,顺城区,201,重度污染,细颗粒物(PM2.5),151,217,1.9,53,37,10,40
20200403,08,东洲区,148,轻度污染,细颗粒物(PM2.5),113,159,1.8,70,37,26,47
20200403,08,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,大伙房水库,84,良,细颗粒物(PM2.5),62,67,1.0,25,46,42,19
20200403,09,沈抚新城,180,中度污染,细颗粒物(PM2.5),136,206,1.6,46,64,28,38
20200403,09,望花区,189,中度污染,细颗粒物(PM2.5),142,198,2.0,42,63,28,46
20200403,09,顺城区,193,中度污染,细颗粒物(PM2.5),145,212,2.1,48,61,17,49
20200403,09,东洲区,172,中度污染,细颗粒物(PM2.5),130,200,2.0,64,55,28,64
20200403,09,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,大伙房水库,149,轻度污染,细颗粒物(PM2.5),114,117,1.6,43,66,45,34
20200403,10,沈抚新城,135,轻度污染,细颗粒物(PM2.5),103,188,1.6,38,82,36,39
20200403,10,望花区,160,中度污染,细颗粒物(PM2.5),122,169,1.4,38,83,36,39
20200403,10,顺城区,165,中度污染,细颗粒物(PM2.5),125,206,1.6,43,81,26,38
20200403,10,东洲区,133,轻度污染,细颗粒物(PM2.5),101,189,1.8,41,84,34,73
20200403,10,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,大伙房水库,139,轻度污染,细颗粒物(PM2.5),106,182,2.0,45,89,51,56
20200403,11,沈抚新城,91,良,颗粒物(PM10),64,132,0.9,35,88,44,14
20200403,11,望花区,118,轻度污染,细颗粒物(PM2.5),89,136,1.1,32,91,44,36
20200403,11,顺城区,108,轻度污染,细颗粒物(PM2.5),81,162,1.3,32,96,38,38
20200403,11,东洲区,110,轻度污染,细颗粒物(PM2.5),83,145,1.2,32,96,44,43
20200403,11,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,大伙房水库,113,轻度污染,细颗粒物(PM2.5),85,160,1.4,32,106,59,39
20200403,12,沈抚新城,70,良,颗粒物(PM10),42,90,0.6,25,106,56,8
20200403,12,望花区,77,良,细颗粒物(PM2.5),56,100,0.8,27,97,54,29
20200403,12,顺城区,79,良,颗粒物(PM10),54,107,1.1,29,97,49,32
20200403,12,东洲区,85,良,颗粒物(PM10),58,120,0.8,25,105,55,28
20200403,12,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
