Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,08,飞宇,51,良,颗粒物(PM10),29,52,0.8,40,2,3,23
20200402,08,第二水厂,52,良,颗粒物(PM10),35,53,1.2,38,14,10,30
20200402,08,市气象局,55,良,细颗粒物(PM2.5),39,52,0.9,30,12,15,21
20200402,08,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,北岗(对照点),39,优,NaN,27,36,0.6,15,20,22,17
20200402,08,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,08,新钢沁园村,53,良,颗粒物(PM10),35,56,1.1,40,7,14,26
20200402,09,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,09,飞宇,52,良,颗粒物(PM10),30,53,0.9,38,6,3,22
20200402,09,第二水厂,53,良,颗粒物(PM10),34,56,1.1,34,25,11,21
20200402,09,市气象局,50,优,NaN,33,50,1.0,31,18,14,16
20200402,09,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,北岗(对照点),44,优,NaN,28,44,0.7,14,23,22,9
20200402,09,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,09,新钢沁园村,53,良,细颗粒物(PM2.5),37,51,1.0,36,22,14,15
20200402,10,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,10,飞宇,51,良,颗粒物(PM10),29,52,0.7,29,16,4,17
20200402,10,第二水厂,51,良,颗粒物(PM10),34,52,1.1,41,15,12,18
20200402,10,市气象局,49,优,NaN,34,48,1.4,NaN,NaN,14,NaN
20200402,10,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,北岗(对照点),43,优,NaN,30,39,0.6,15,22,21,8
20200402,10,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,10,新钢沁园村,47,优,NaN,32,47,0.9,40,19,13,17
20200402,11,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,11,飞宇,47,优,NaN,29,47,0.6,22,28,7,12
20200402,11,第二水厂,50,优,NaN,32,50,1.0,28,25,14,15
20200402,11,市气象局,34,优,NaN,19,34,1.6,NaN,NaN,14,NaN
20200402,11,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,北岗(对照点),41,优,NaN,25,41,0.6,18,24,21,13
20200402,11,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,11,新钢沁园村,46,优,NaN,32,42,0.9,34,24,14,12
20200402,12,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,12,飞宇,42,优,NaN,25,42,0.5,17,39,12,13
20200402,12,第二水厂,38,优,NaN,26,35,1.0,25,35,17,14
20200402,12,市气象局,32,优,NaN,22,30,NaN,24,23,16,NaN
20200402,12,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,北岗(对照点),36,优,NaN,25,32,0.6,16,29,21,10
20200402,12,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,12,新钢沁园村,40,优,NaN,26,40,0.8,28,36,18,13
20200402,13,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,13,飞宇,36,优,NaN,23,36,0.5,21,36,16,16
20200402,13,第二水厂,36,优,NaN,25,36,1.0,32,29,19,16
20200402,13,市气象局,38,优,NaN,26,30,0.6,27,22,18,9
20200402,13,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,北岗(对照点),36,优,NaN,24,36,0.6,17,31,23,12
20200402,13,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,13,新钢沁园村,40,优,NaN,25,40,0.8,37,27,20,15
20200402,14,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,14,飞宇,33,优,NaN,19,33,0.5,22,35,20,15
20200402,14,第二水厂,34,优,NaN,23,34,1.0,37,24,22,15
20200402,14,市气象局,48,优,NaN,33,40,0.3,29,19,18,11
20200402,14,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,北岗(对照点),38,优,NaN,26,31,0.6,17,28,24,14
20200402,14,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,14,新钢沁园村,38,优,NaN,21,38,1.0,42,18,20,14
20200402,15,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,15,飞宇,32,优,NaN,22,32,0.6,22,35,25,20
20200402,15,第二水厂,39,优,NaN,26,39,1.0,40,18,23,16
20200402,15,市气象局,50,优,NaN,35,42,0.8,28,18,19,11
20200402,15,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,北岗(对照点),35,优,NaN,24,33,0.6,16,31,26,9
20200402,15,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,15,新钢沁园村,37,优,NaN,24,37,0.8,36,23,22,16
20200402,16,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,16,飞宇,36,优,NaN,21,36,0.6,26,30,28,16
20200402,16,第二水厂,41,优,NaN,28,41,1.0,NaN,16,23,NaN
20200402,16,市气象局,39,优,NaN,26,39,1.0,34,14,19,10
20200402,16,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,北岗(对照点),35,优,NaN,24,30,0.5,16,34,28,9
20200402,16,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,16,新钢沁园村,37,优,NaN,25,37,1.0,44,17,23,14
20200402,17,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,17,飞宇,39,优,NaN,25,39,0.5,23,42,33,10
20200402,17,第二水厂,48,优,NaN,33,40,NaN,38,20,23,12
20200402,17,市气象局,43,优,NaN,30,41,0.9,28,25,20,8
20200402,17,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,北岗(对照点),38,优,NaN,26,33,0.5,23,33,29,15
20200402,17,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,17,新钢沁园村,42,优,NaN,26,42,0.7,39,27,24,10
20200402,18,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,18,飞宇,42,优,NaN,24,42,0.5,26,35,35,9
20200402,18,第二水厂,53,良,细颗粒物(PM2.5),37,43,0.9,40,20,23,9
20200402,18,市气象局,42,优,NaN,27,42,1.0,30,29,21,6
20200402,18,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,北岗(对照点),42,优,NaN,29,36,0.6,20,31,30,12
20200402,18,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,18,新钢沁园村,46,优,NaN,25,46,0.9,41,29,25,8
20200402,19,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,19,飞宇,43,优,NaN,28,43,0.5,39,26,35,10
20200402,19,第二水厂,45,优,NaN,30,45,1.0,42,20,23,9
20200402,19,市气象局,47,优,NaN,32,47,1.1,36,19,21,7
20200402,19,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,北岗(对照点),46,优,NaN,32,45,0.6,20,28,31,8
20200402,19,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,19,新钢沁园村,46,优,NaN,28,46,1.1,48,18,24,8
20200402,20,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,20,飞宇,45,优,NaN,29,45,0.5,38,26,33,14
20200402,20,第二水厂,43,优,NaN,26,43,0.8,47,22,21,11
20200402,20,市气象局,45,优,NaN,29,45,0.9,34,25,21,8
20200402,20,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,北岗(对照点),48,优,NaN,33,47,0.5,17,30,31,5
20200402,20,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,20,新钢沁园村,44,优,NaN,29,44,0.8,47,30,24,11
20200402,20,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,20,飞宇,45,优,NaN,29,45,0.5,38,26,33,14
20200402,20,第二水厂,43,优,NaN,26,43,0.8,47,22,21,11
20200402,20,市气象局,45,优,NaN,29,45,0.9,34,25,21,8
20200402,20,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,北岗(对照点),48,优,NaN,33,47,0.5,17,30,31,5
20200402,20,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,20,新钢沁园村,44,优,NaN,29,44,0.8,47,30,24,11
20200402,22,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200402,22,飞宇,41,优,NaN,25,41,0.5,29,31,33,7
20200402,22,第二水厂,40,优,NaN,23,40,1.0,35,29,23,10
20200402,22,市气象局,45,优,NaN,31,45,0.8,28,31,25,6
20200402,22,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,北岗(对照点),39,优,NaN,26,39,0.5,12,30,32,5
20200402,22,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200402,22,新钢沁园村,45,优,NaN,31,43,1.1,42,28,27,8
20200402,23,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
