Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,日喀则监测站,33,优,NaN,4,11,0.5,5,105,100,2
20200402,08,日喀则鸿达公司,32,优,NaN,5,12,0.5,NaN,102,99,NaN
20200402,09,日喀则监测站,32,优,NaN,5,16,0.5,5,102,101,1
20200402,09,日喀则鸿达公司,30,优,NaN,6,19,0.5,NaN,95,100,NaN
20200402,10,日喀则监测站,34,优,NaN,5,22,0.5,5,106,102,1
20200402,10,日喀则鸿达公司,32,优,NaN,5,21,0.5,NaN,101,100,NaN
20200402,11,日喀则监测站,35,优,NaN,7,34,0.5,4,112,104,3
20200402,11,日喀则鸿达公司,34,优,NaN,3,31,0.5,NaN,108,102,NaN
20200402,12,日喀则监测站,50,优,NaN,11,50,0.4,5,116,106,4
20200402,12,日喀则鸿达公司,45,优,NaN,4,45,0.5,NaN,109,102,NaN
20200402,13,日喀则监测站,63,良,颗粒物(PM10),12,76,0.4,5,118,108,5
20200402,13,日喀则鸿达公司,49,优,NaN,6,49,0.5,NaN,112,104,NaN
20200402,14,日喀则监测站,52,良,颗粒物(PM10),12,54,0.4,6,124,111,3
20200402,14,日喀则鸿达公司,105,轻度污染,颗粒物(PM10),5,160,0.5,NaN,118,106,NaN
20200402,15,日喀则监测站,40,优,NaN,4,24,0.4,7,127,114,4
20200402,15,日喀则鸿达公司,41,优,NaN,5,41,0.5,NaN,116,108,NaN
20200402,16,日喀则监测站,44,优,NaN,10,44,0.4,7,127,116,3
20200402,16,日喀则鸿达公司,37,优,NaN,3,32,0.4,NaN,118,110,NaN
20200402,17,日喀则监测站,40,优,NaN,7,22,0.4,5,125,119,3
20200402,17,日喀则鸿达公司,36,优,NaN,3,22,0.5,NaN,115,112,NaN
20200402,18,日喀则监测站,40,优,NaN,8,20,0.4,5,126,122,3
20200402,18,日喀则鸿达公司,36,优,NaN,5,29,0.5,NaN,114,114,NaN
20200402,19,日喀则监测站,40,优,NaN,7,27,0.4,4,125,124,3
20200402,19,日喀则鸿达公司,37,优,NaN,7,36,0.5,NaN,118,115,NaN
20200402,20,日喀则监测站,40,优,NaN,8,29,0.4,6,128,125,2
20200402,20,日喀则鸿达公司,40,优,NaN,8,40,0.5,NaN,117,116,NaN
20200402,20,日喀则监测站,40,优,NaN,8,29,0.4,6,128,125,2
20200402,20,日喀则鸿达公司,40,优,NaN,8,40,0.5,NaN,117,116,NaN
20200402,22,日喀则监测站,57,良,颗粒物(PM10),12,63,0.4,11,121,125,2
20200402,22,日喀则鸿达公司,41,优,NaN,14,41,0.5,NaN,116,116,NaN
20200402,23,日喀则监测站,46,优,NaN,11,46,0.4,9,122,124,2
20200402,23,日喀则鸿达公司,37,优,NaN,11,26,0.4,NaN,116,116,NaN
20200403,00,日喀则监测站,39,优,NaN,8,26,0.4,7,123,124,2
20200403,00,日喀则鸿达公司,37,优,NaN,9,24,0.4,NaN,116,116,NaN
20200403,01,日喀则监测站,40,优,NaN,7,23,0.4,5,125,125,3
20200403,01,日喀则鸿达公司,37,优,NaN,6,27,0.4,NaN,116,116,NaN
20200403,02,日喀则监测站,37,优,NaN,6,20,0.4,6,118,122,4
20200403,02,日喀则鸿达公司,36,优,NaN,6,21,0.4,NaN,114,115,NaN
20200403,03,日喀则监测站,37,优,NaN,4,16,0.4,5,118,120,4
20200403,03,日喀则鸿达公司,36,优,NaN,5,15,0.4,NaN,114,115,NaN
20200403,03,日喀则监测站,37,优,NaN,4,16,0.4,5,118,120,4
20200403,03,日喀则鸿达公司,36,优,NaN,5,15,0.4,NaN,114,115,NaN
20200403,08,日喀则监测站,30,优,NaN,5,10,0.5,8,94,112,1
20200403,08,日喀则鸿达公司,32,优,NaN,5,20,0.5,NaN,101,110,NaN
20200403,09,日喀则监测站,30,优,NaN,7,15,0.5,12,94,108,2
20200403,09,日喀则鸿达公司,28,优,NaN,7,25,0.5,NaN,87,106,NaN
20200403,10,日喀则监测站,31,优,NaN,6,22,0.5,12,98,106,2
20200403,10,日喀则鸿达公司,41,优,NaN,10,41,0.6,NaN,95,104,NaN
20200403,11,日喀则监测站,34,优,NaN,7,17,0.5,8,107,104,2
20200403,11,日喀则鸿达公司,35,优,NaN,8,35,0.5,NaN,103,103,NaN
20200403,12,日喀则监测站,38,优,NaN,8,24,0.5,5,121,105,5
20200403,12,日喀则鸿达公司,35,优,NaN,8,20,0.5,NaN,111,102,NaN
20200403,13,日喀则监测站,39,优,NaN,5,16,0.5,5,122,106,4
20200403,13,日喀则鸿达公司,36,优,NaN,11,17,0.5,NaN,113,103,NaN
20200403,14,日喀则监测站,38,优,NaN,10,14,0.5,6,120,107,2
20200403,14,日喀则鸿达公司,36,优,NaN,5,17,0.5,NaN,113,104,NaN
20200403,15,日喀则监测站,38,优,NaN,10,26,0.4,5,119,109,3
20200403,15,日喀则鸿达公司,35,优,NaN,11,26,0.5,NaN,111,104,NaN
20200403,16,日喀则监测站,42,优,NaN,19,42,0.4,5,118,112,2
20200403,16,日喀则鸿达公司,36,优,NaN,9,36,0.5,NaN,113,106,NaN
20200403,17,日喀则监测站,44,优,NaN,9,44,0.4,4,121,116,4
20200403,17,日喀则鸿达公司,38,优,NaN,13,38,0.5,NaN,114,109,NaN
20200403,18,日喀则监测站,38,优,NaN,10,33,0.4,5,121,119,3
20200403,18,日喀则鸿达公司,47,优,NaN,9,47,0.5,NaN,114,112,NaN
20200403,19,日喀则监测站,47,优,NaN,8,47,0.4,5,124,121,2
20200403,19,日喀则鸿达公司,52,良,颗粒物(PM10),10,54,0.5,NaN,120,114,NaN
20200403,20,日喀则监测站,55,良,颗粒物(PM10),10,60,0.4,5,121,121,1
20200403,20,日喀则鸿达公司,52,良,颗粒物(PM10),12,54,0.5,NaN,113,114,NaN
20200403,21,日喀则监测站,51,良,颗粒物(PM10),10,52,0.4,10,117,120,2
20200403,21,日喀则鸿达公司,58,良,颗粒物(PM10),13,65,0.5,NaN,113,114,NaN
20200403,22,日喀则监测站,58,良,颗粒物(PM10),16,65,0.4,12,116,120,2
20200403,22,日喀则鸿达公司,63,良,颗粒物(PM10),16,76,0.5,NaN,112,114,NaN
20200403,23,日喀则监测站,60,良,颗粒物(PM10),18,69,0.5,9,111,119,1
20200403,23,日喀则鸿达公司,56,良,颗粒物(PM10),22,61,0.5,NaN,110,114,NaN
20200404,00,日喀则监测站,52,良,颗粒物(PM10),14,54,0.4,5,116,118,2
20200404,00,日喀则鸿达公司,45,优,NaN,18,45,0.4,NaN,110,113,NaN
20200404,01,日喀则监测站,37,优,NaN,8,26,0.4,6,116,116,2
20200404,01,日喀则鸿达公司,36,优,NaN,13,36,0.4,NaN,108,108,NaN
20200404,02,日喀则监测站,43,优,NaN,7,19,0.4,6,135,126,2
20200404,02,日喀则鸿达公司,34,优,NaN,10,27,0.5,NaN,107,108,NaN
20200404,03,日喀则监测站,46,优,NaN,5,11,0.4,5,146,132,3
20200404,03,日喀则鸿达公司,35,优,NaN,9,20,0.5,NaN,111,109,NaN
20200404,03,日喀则监测站,46,优,NaN,5,11,0.4,5,146,132,3
20200404,03,日喀则鸿达公司,35,优,NaN,9,20,0.5,NaN,111,109,NaN
20200404,08,日喀则监测站,23,优,NaN,7,14,0.5,18,73,109,2
20200404,08,日喀则鸿达公司,24,优,NaN,8,24,0.5,NaN,71,97,NaN
20200404,09,日喀则监测站,25,优,NaN,12,25,0.7,37,49,100,4
20200404,09,日喀则鸿达公司,48,优,NaN,9,48,0.6,NaN,57,90,NaN
20200404,10,日喀则监测站,52,良,颗粒物(PM10),14,54,0.6,24,78,93,4
20200404,10,日喀则鸿达公司,42,优,NaN,17,42,0.6,NaN,79,87,NaN
20200404,11,日喀则监测站,33,优,NaN,10,33,0.5,11,102,88,4
20200404,11,日喀则鸿达公司,32,优,NaN,12,26,0.5,NaN,100,86,NaN
20200404,12,日喀则监测站,34,优,NaN,11,22,0.5,7,108,86,4
20200404,12,日喀则鸿达公司,35,优,NaN,7,21,0.5,NaN,111,84,NaN
20200404,13,日喀则监测站,NaN,,NaN,NaN,NaN,NaN,5,130,90,5
20200404,13,日喀则鸿达公司,38,优,NaN,5,24,0.5,NaN,120,88,NaN
20200404,14,日喀则监测站,NaN,,NaN,NaN,NaN,0.4,4,137,96,5
20200404,14,日喀则鸿达公司,NaN,,NaN,NaN,NaN,0.5,NaN,NaN,88,NaN
20200404,15,日喀则监测站,43,优,NaN,6,25,0.4,4,136,102,3
20200404,15,日喀则鸿达公司,40,优,NaN,2,14,0.4,NaN,127,95,NaN
20200404,16,日喀则监测站,43,优,NaN,7,NaN,0.4,3,136,110,5
20200404,16,日喀则鸿达公司,39,优,NaN,2,18,0.4,NaN,123,102,NaN
20200404,17,日喀则监测站,43,优,NaN,2,NaN,0.4,5,137,120,5
20200404,17,日喀则鸿达公司,40,优,NaN,3,17,0.4,NaN,127,112,NaN
20200404,18,日喀则监测站,43,优,NaN,NaN,6,0.4,4,136,128,5
20200404,18,日喀则鸿达公司,39,优,NaN,4,34,0.4,NaN,124,119,NaN
20200404,19,日喀则监测站,42,优,NaN,7,21,0.4,4,133,132,5
20200404,19,日喀则鸿达公司,39,优,NaN,5,20,0.4,NaN,124,122,NaN
20200404,20,日喀则监测站,42,优,NaN,6,16,0.4,3,134,135,4
20200404,20,日喀则鸿达公司,36,优,NaN,6,22,0.5,NaN,115,123,NaN
20200404,21,日喀则监测站,37,优,NaN,6,14,0.5,14,118,133,2
20200404,21,日喀则鸿达公司,32,优,NaN,9,32,0.5,NaN,96,119,NaN
20200404,22,日喀则监测站,32,优,NaN,12,32,0.6,28,98,128,2
20200404,22,日喀则鸿达公司,87,良,颗粒物(PM10),22,124,0.5,NaN,86,115,NaN
20200404,22,日喀则监测站,32,优,NaN,12,32,0.6,28,98,128,2
20200404,22,日喀则鸿达公司,87,良,颗粒物(PM10),22,124,0.5,NaN,86,115,NaN
20200405,08,日喀则监测站,35,优,NaN,7,17,0.5,9,110,119,3
20200405,08,日喀则鸿达公司,35,优,NaN,7,15,0.5,NaN,110,118,NaN
20200405,09,日喀则监测站,33,优,NaN,9,22,0.5,13,104,116,2
20200405,09,日喀则鸿达公司,33,优,NaN,7,20,0.5,NaN,105,116,NaN
20200405,10,日喀则监测站,52,良,颗粒物(PM10),12,54,0.5,10,113,116,3
20200405,10,日喀则鸿达公司,35,优,NaN,9,27,0.5,NaN,109,115,NaN
20200405,11,日喀则监测站,58,良,颗粒物(PM10),13,66,0.5,7,121,116,5
20200405,11,日喀则鸿达公司,37,优,NaN,8,26,0.5,NaN,117,114,NaN
20200405,12,日喀则监测站,51,良,颗粒物(PM10),10,52,0.5,4,126,116,5
20200405,12,日喀则鸿达公司,37,优,NaN,7,24,0.5,NaN,117,114,NaN
20200405,13,日喀则监测站,39,优,NaN,5,23,0.5,4,122,116,2
20200405,13,日喀则鸿达公司,37,优,NaN,6,18,0.5,NaN,116,113,NaN
20200405,14,日喀则监测站,40,优,NaN,5,24,0.5,4,127,117,2
20200405,14,日喀则鸿达公司,37,优,NaN,5,16,0.5,NaN,118,114,NaN
20200405,15,日喀则监测站,41,优,NaN,4,29,0.4,4,130,119,4
20200405,15,日喀则鸿达公司,39,优,NaN,5,16,0.4,NaN,122,114,NaN
20200405,16,日喀则监测站,43,优,NaN,9,24,0.5,4,135,122,4
20200405,16,日喀则鸿达公司,39,优,NaN,4,18,0.4,NaN,124,116,NaN
20200405,17,日喀则监测站,42,优,NaN,7,16,0.4,4,134,126,5
20200405,17,日喀则鸿达公司,39,优,NaN,5,20,0.4,NaN,122,118,NaN
20200405,18,日喀则监测站,43,优,NaN,6,29,0.4,5,136,129,4
20200405,18,日喀则鸿达公司,38,优,NaN,7,29,0.5,NaN,121,120,NaN
20200405,19,日喀则监测站,43,优,NaN,6,28,0.5,4,135,131,4
20200405,19,日喀则鸿达公司,39,优,NaN,9,27,0.4,NaN,123,120,NaN
20200405,20,日喀则监测站,40,优,NaN,9,33,0.5,4,128,131,3
20200405,20,日喀则鸿达公司,35,优,NaN,9,31,0.4,NaN,111,120,NaN
20200405,21,日喀则监测站,40,优,NaN,13,37,0.5,5,126,131,2
20200405,21,日喀则鸿达公司,35,优,NaN,10,26,0.5,NaN,112,119,NaN
20200405,22,日喀则监测站,37,优,NaN,9,28,0.6,8,118,130,2
20200405,22,日喀则鸿达公司,34,优,NaN,8,22,0.5,NaN,107,118,NaN
20200405,23,日喀则监测站,33,优,NaN,9,19,0.6,10,104,127,2
20200405,23,日喀则鸿达公司,29,优,NaN,9,25,0.5,NaN,92,114,NaN
20200406,00,日喀则监测站,35,优,NaN,7,20,0.5,9,112,124,3
20200406,00,日喀则鸿达公司,65,良,颗粒物(PM10),20,79,0.6,NaN,76,108,NaN
20200406,01,日喀则监测站,38,优,NaN,6,20,0.4,5,120,120,4
20200406,01,日喀则鸿达公司,34,优,NaN,11,29,0.4,NaN,108,108,NaN
20200406,02,日喀则监测站,35,优,NaN,8,35,0.4,4,112,116,4
20200406,02,日喀则鸿达公司,42,优,NaN,9,42,0.4,NaN,107,108,NaN
20200406,03,日喀则监测站,37,优,NaN,7,21,0.4,4,117,116,5
20200406,03,日喀则鸿达公司,43,优,NaN,9,43,0.4,NaN,102,106,NaN
20200407,07,日喀则监测站,38,优,NaN,8,13,0.4,4,121,115,3
20200407,07,日喀则鸿达公司,37,优,NaN,5,14,0.4,NaN,118,112,NaN
20200407,08,日喀则监测站,36,优,NaN,6,15,0.5,7,115,115,3
20200407,08,日喀则鸿达公司,35,优,NaN,6,21,0.5,NaN,112,112,NaN
20200407,09,日喀则监测站,32,优,NaN,9,32,0.5,13,100,114,3
20200407,09,日喀则鸿达公司,34,优,NaN,6,19,0.5,NaN,108,112,NaN
20200407,10,日喀则监测站,36,优,NaN,9,29,0.5,8,115,114,4
