Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,关上,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,呈贡新区,60,良,细颗粒物(PM2.5),43,52,0.9,16,124,131,3
20200402,08,西山森林公园,26,优,NaN,18,21,2.0,23,48,52,18
20200402,08,龙泉镇,87,良,细颗粒物(PM2.5),64,92,0.9,25,NaN,NaN,10
20200402,08,东风东路,75,良,细颗粒物(PM2.5),55,89,1.0,24,103,104,10
20200402,08,金鼎山,97,良,细颗粒物(PM2.5),72,100,1.0,31,105,101,15
20200402,08,碧鸡广场,94,良,细颗粒物(PM2.5),70,111,1.0,29,103,50,17
20200402,08,西山森林公园(对照点),70,良,细颗粒物(PM2.5),51,67,0.7,9,126,131,8
20200402,08,官渡区博物馆（180930启用）,64,良,颗粒物(PM10),27,77,1.1,45,20,18,11
20200402,08,官渡区博物馆,71,良,颗粒物(PM10),51,91,0.9,19,109,130,10
20200402,09,关上,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,呈贡新区,65,良,细颗粒物(PM2.5),47,58,0.9,23,123,129,5
20200402,09,西山森林公园,26,优,NaN,18,21,2.0,23,48,52,18
20200402,09,龙泉镇,80,良,细颗粒物(PM2.5),59,77,0.9,NaN,NaN,NaN,NaN
20200402,09,东风东路,64,良,颗粒物(PM10),45,78,1.1,25,93,106,8
20200402,09,金鼎山,85,良,细颗粒物(PM2.5),63,87,0.9,31,106,108,11
20200402,09,碧鸡广场,85,良,细颗粒物(PM2.5),63,90,0.9,26,108,73,14
20200402,09,西山森林公园(对照点),67,良,细颗粒物(PM2.5),48,66,0.7,10,121,128,10
20200402,09,官渡区博物馆（180930启用）,64,良,颗粒物(PM10),27,77,1.1,45,20,18,11
20200402,09,官渡区博物馆,62,良,细颗粒物(PM2.5),44,69,0.8,18,111,129,8
20200402,10,关上,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,呈贡新区,64,良,细颗粒物(PM2.5),46,61,0.9,15,142,130,4
20200402,10,西山森林公园,26,优,NaN,18,21,2.0,23,48,52,18
20200402,10,龙泉镇,99,良,臭氧1小时,53,65,NaN,NaN,199,199,NaN
20200402,10,东风东路,64,良,细颗粒物(PM2.5),46,73,1.0,23,112,109,9
20200402,10,金鼎山,80,良,细颗粒物(PM2.5),59,66,1.0,28,114,110,12
