Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,自来水公司,125,轻度污染,细颗粒物(PM2.5),95,181,4.0,40,11,32,5
20200402,08,白云商贸,165,中度污染,细颗粒物(PM2.5),125,142,2.7,32,16,34,5
20200402,08,市环保局,155,中度污染,细颗粒物(PM2.5),118,137,3.9,38,11,32,14
20200402,08,技术学院,132,轻度污染,细颗粒物(PM2.5),100,144,2.8,33,15,34,6
20200402,08,泽州一中,152,中度污染,细颗粒物(PM2.5),116,121,2.6,37,17,38,5
20200402,08,白马寺,109,轻度污染,颗粒物(PM10),69,168,3.7,30,16,35,4
20200402,09,自来水公司,172,中度污染,细颗粒物(PM2.5),130,173,3.7,36,13,25,2
20200402,09,白云商贸,125,轻度污染,细颗粒物(PM2.5),95,158,2.5,34,13,28,5
20200402,09,市环保局,153,中度污染,细颗粒物(PM2.5),117,147,3.4,35,13,25,11
20200402,09,技术学院,140,轻度污染,细颗粒物(PM2.5),107,174,3.1,31,13,27,6
20200402,09,泽州一中,122,轻度污染,细颗粒物(PM2.5),92,124,2.6,39,12,32,5
20200402,09,白马寺,142,轻度污染,细颗粒物(PM2.5),108,151,2.7,27,18,30,4
20200402,10,自来水公司,159,中度污染,细颗粒物(PM2.5),121,121,2.9,35,16,18,2
20200402,10,白云商贸,145,轻度污染,细颗粒物(PM2.5),111,140,2.2,32,16,22,4
20200402,10,市环保局,145,轻度污染,细颗粒物(PM2.5),111,144,2.8,33,15,19,10
20200402,10,技术学院,156,中度污染,细颗粒物(PM2.5),119,136,3.0,30,18,21,5
20200402,10,泽州一中,140,轻度污染,细颗粒物(PM2.5),107,120,2.5,38,18,25,5
20200402,10,白马寺,128,轻度污染,细颗粒物(PM2.5),97,109,3.1,26,23,24,3
20200402,11,自来水公司,134,轻度污染,细颗粒物(PM2.5),102,108,2.8,33,26,15,2
20200402,11,白云商贸,128,轻度污染,细颗粒物(PM2.5),97,114,2.3,28,30,18,5
20200402,11,市环保局,120,轻度污染,细颗粒物(PM2.5),91,109,2.5,30,26,15,10
20200402,11,技术学院,147,轻度污染,细颗粒物(PM2.5),112,NaN,2.6,26,32,19,5
20200402,11,泽州一中,127,轻度污染,细颗粒物(PM2.5),96,NaN,2.4,32,34,21,5
20200402,11,白马寺,110,轻度污染,细颗粒物(PM2.5),83,130,3.8,21,35,24,4
