Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市环保局,147,轻度污染,细颗粒物(PM2.5),112,NaN,1.0,30,71,76,3
20200402,08,普洱第二中学,118,轻度污染,细颗粒物(PM2.5),89,92,1.0,49,57,55,5
20200402,09,市环保局,147,轻度污染,细颗粒物(PM2.5),112,134,1.1,38,66,72,4
20200402,09,普洱第二中学,100,良,细颗粒物(PM2.5),75,106,1.3,68,40,58,5
20200402,10,市环保局,138,轻度污染,细颗粒物(PM2.5),105,130,1.2,39,83,71,4
20200402,10,普洱第二中学,119,轻度污染,颗粒物(PM10),65,188,1.0,44,97,67,5
20200402,11,市环保局,132,轻度污染,细颗粒物(PM2.5),100,126,1.2,44,114,74,4
20200402,11,普洱第二中学,98,良,细颗粒物(PM2.5),73,123,0.9,31,133,78,NaN
20200402,12,市环保局,119,轻度污染,细颗粒物(PM2.5),90,123,1.0,22,158,84,4
20200402,12,普洱第二中学,94,良,细颗粒物(PM2.5),70,112,0.7,13,165,93,NaN
20200402,13,市环保局,94,良,细颗粒物(PM2.5),70,96,0.9,15,163,98,4
20200402,13,普洱第二中学,72,良,细颗粒物(PM2.5),52,88,0.7,NaN,168,107,5
20200402,14,市环保局,97,良,细颗粒物(PM2.5),72,84,0.8,12,152,109,3
20200402,14,普洱第二中学,69,良,细颗粒物(PM2.5),50,62,0.7,NaN,148,113,5
20200402,15,市环保局,84,良,细颗粒物(PM2.5),62,66,0.7,11,141,118,3
20200402,15,普洱第二中学,60,良,细颗粒物(PM2.5),43,62,NaN,NaN,142,119,5
20200402,16,市环保局,74,良,细颗粒物(PM2.5),54,62,0.6,10,138,127,3
20200402,16,普洱第二中学,63,良,颗粒物(PM10),38,75,NaN,10,128,128,4
20200402,17,市环保局,63,良,细颗粒物(PM2.5),45,68,0.6,12,143,136,3
20200402,17,普洱第二中学,53,良,臭氧1小时,32,53,NaN,11,162,143,4
20200402,18,市环保局,67,良,细颗粒物(PM2.5),48,66,0.7,12,144,144,3
20200402,18,普洱第二中学,54,良,颗粒物(PM10),37,58,0.5,13,96,143,3
