Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,西梁,64,良,颗粒物(PM10),38,77,1.3,25,38,29,17
20200402,08,河畔小区,53,良,颗粒物(PM10),30,56,1.2,23,46,40,18
20200402,08,八里堡,69,良,颗粒物(PM10),42,87,1.4,41,29,18,17
20200402,08,农业园区,98,良,细颗粒物(PM2.5),73,116,1.5,38,31,29,25
20200402,09,西梁,70,良,颗粒物(PM10),33,90,1.5,26,46,34,26
20200402,09,河畔小区,60,良,颗粒物(PM10),31,70,1.2,23,51,43,20
20200402,09,八里堡,69,良,颗粒物(PM10),23,88,1.6,35,48,23,27
20200402,09,农业园区,67,良,颗粒物(PM10),18,84,1.0,15,63,33,18
20200402,10,西梁,67,良,颗粒物(PM10),23,84,1.5,21,56,38,28
20200402,10,河畔小区,60,良,颗粒物(PM10),18,70,1.2,24,56,45,26
20200402,10,八里堡,63,良,颗粒物(PM10),13,76,1.7,34,54,28,34
20200402,10,农业园区,36,优,NaN,8,36,0.6,7,80,42,8
20200402,11,西梁,53,良,颗粒物(PM10),14,55,0.5,4,80,44,8
20200402,11,河畔小区,55,良,颗粒物(PM10),15,60,1.0,19,63,47,20
20200402,11,八里堡,57,良,颗粒物(PM10),6,64,0.7,17,76,35,12
20200402,11,农业园区,28,优,NaN,4,27,0.5,3,89,50,5
20200402,12,西梁,33,优,NaN,12,33,0.5,1,88,51,6
20200402,12,河畔小区,40,优,NaN,10,40,0.7,10,73,52,11
20200402,12,八里堡,40,优,NaN,4,40,0.5,9,87,43,8
20200402,12,农业园区,30,优,NaN,4,18,0.5,3,93,56,5
20200402,13,西梁,30,优,NaN,11,26,0.4,2,93,58,6
20200402,13,河畔小区,31,优,NaN,6,31,0.5,6,81,57,7
20200402,13,八里堡,32,优,NaN,2,32,0.5,5,93,52,7
20200402,13,农业园区,30,优,NaN,5,24,0.5,2,95,63,5
20200402,14,西梁,30,优,NaN,10,28,0.4,2,93,66,5
20200402,14,河畔小区,26,优,NaN,5,24,0.5,7,81,62,6
20200402,14,八里堡,30,优,NaN,2,30,0.5,6,93,62,7
20200402,14,农业园区,30,优,NaN,5,22,0.5,2,96,71,5
20200402,14,西梁,30,优,NaN,10,28,0.4,2,93,66,5
20200402,14,河畔小区,26,优,NaN,5,24,0.5,7,81,62,6
20200402,14,八里堡,30,优,NaN,2,30,0.5,6,93,62,7
20200402,14,农业园区,30,优,NaN,5,22,0.5,2,96,71,5
20200402,15,西梁,30,优,NaN,10,30,0.4,2,94,74,6
20200402,15,河畔小区,27,优,NaN,5,27,0.5,10,79,66,6
20200402,15,八里堡,41,优,NaN,2,41,0.5,5,95,72,6
20200402,15,农业园区,31,优,NaN,8,12,0.5,2,98,81,5
20200402,16,西梁,30,优,NaN,10,28,0.4,2,96,81,5
20200402,16,河畔小区,30,优,NaN,6,30,0.5,10,81,71,7
20200402,16,八里堡,30,优,NaN,3,26,0.5,5,96,80,7
20200402,16,农业园区,32,优,NaN,4,31,0.5,3,100,89,5
20200402,17,西梁,41,优,NaN,10,41,0.5,4,88,86,6
20200402,17,河畔小区,38,优,NaN,7,38,0.5,9,80,74,5
20200402,17,八里堡,52,良,颗粒物(PM10),4,54,0.5,6,93,86,7
20200402,17,农业园区,31,优,NaN,5,24,0.5,3,97,94,4
20200402,18,西梁,48,优,NaN,11,48,0.5,6,84,90,7
20200402,18,河畔小区,41,优,NaN,9,41,0.5,12,75,77,6
20200402,18,八里堡,59,良,颗粒物(PM10),8,68,0.5,8,87,90,8
20200402,18,农业园区,38,优,NaN,7,38,0.5,5,91,95,6
20200402,19,西梁,58,良,颗粒物(PM10),20,66,0.7,27,59,87,21
20200402,19,河畔小区,49,优,NaN,17,49,0.6,18,70,78,11
20200402,19,八里堡,77,良,颗粒物(PM10),14,104,0.6,16,79,90,14
20200402,19,农业园区,35,优,NaN,14,35,0.5,7,88,95,7
20200402,20,西梁,77,良,颗粒物(PM10),27,104,0.7,33,48,82,19
20200402,20,河畔小区,55,良,颗粒物(PM10),24,60,0.6,23,63,76,11
20200402,20,八里堡,75,良,颗粒物(PM10),28,99,0.7,32,58,87,24
20200402,20,农业园区,41,优,NaN,22,41,0.6,21,68,92,9
20200402,20,西梁,77,良,颗粒物(PM10),27,104,0.7,33,48,82,19
