Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,大峪,88,良,细颗粒物(PM2.5),65,86,1.5,50,18,20,24
20200402,08,溪湖,104,轻度污染,颗粒物(PM10),66,158,2.9,62,13,7,61
20200402,08,彩屯,159,中度污染,细颗粒物(PM2.5),121,245,5.3,64,13,8,120
20200402,08,东明,79,良,细颗粒物(PM2.5),58,105,2.8,59,21,12,83
20200402,08,威宁,98,良,细颗粒物(PM2.5),73,121,1.1,38,26,17,11
20200402,08,新立屯,97,良,细颗粒物(PM2.5),72,95,2.9,58,20,24,70
20200402,09,大峪,96,良,颗粒物(PM10),68,142,4.7,75,19,19,127
20200402,09,溪湖,125,轻度污染,颗粒物(PM10),88,199,5.6,80,15,8,141
20200402,09,彩屯,188,中度污染,细颗粒物(PM2.5),141,299,7.5,81,15,8,252
20200402,09,东明,113,轻度污染,颗粒物(PM10),84,175,5.6,85,27,14,183
20200402,09,威宁,90,良,细颗粒物(PM2.5),67,122,1.3,44,34,18,17
20200402,09,新立屯,98,良,颗粒物(PM10),63,145,3.2,60,35,25,80
20200402,10,大峪,145,轻度污染,颗粒物(PM10),96,240,7.6,100,22,19,226
20200402,10,溪湖,78,良,颗粒物(PM10),47,106,2.9,53,52,14,74
20200402,10,彩屯,73,良,颗粒物(PM10),41,96,2.9,39,55,14,80
20200402,10,东明,141,轻度污染,颗粒物(PM10),84,232,6.7,99,35,17,209
20200402,10,威宁,110,轻度污染,细颗粒物(PM2.5),83,153,2.3,55,41,20,56
20200402,10,新立屯,59,良,颗粒物(PM10),15,68,1.1,17,86,34,11
20200402,11,大峪,123,轻度污染,颗粒物(PM10),29,195,2.2,40,61,24,55
20200402,11,溪湖,39,优,NaN,15,39,1.1,20,85,24,20
20200402,11,彩屯,43,优,NaN,11,43,0.9,14,78,24,17
20200402,11,东明,104,轻度污染,颗粒物(PM10),24,158,2.4,50,56,23,70
20200402,11,威宁,102,轻度污染,颗粒物(PM10),65,153,1.5,32,78,28,33
20200402,11,新立屯,43,优,NaN,20,43,1.7,24,83,42,30
20200402,12,大峪,58,良,颗粒物(PM10),12,65,0.9,17,80,31,15
20200402,12,溪湖,30,优,NaN,9,30,0.6,12,95,35,9
20200402,12,彩屯,38,优,NaN,6,38,0.6,9,87,34,10
20200402,12,东明,57,良,颗粒物(PM10),13,63,1.0,27,75,31,29
20200402,12,威宁,59,良,颗粒物(PM10),23,68,0.7,14,91,38,10
20200402,12,新立屯,49,优,NaN,15,49,1.5,23,84,47,25
20200402,13,大峪,51,良,颗粒物(PM10),11,52,0.8,14,86,40,10
20200402,13,溪湖,39,优,NaN,13,39,0.8,15,96,46,11
20200402,13,彩屯,43,优,NaN,9,43,0.7,11,92,45,11
20200402,13,东明,58,良,颗粒物(PM10),11,65,0.7,21,84,40,24
20200402,13,威宁,54,良,颗粒物(PM10),11,58,0.7,13,96,49,10
20200402,13,新立屯,47,优,NaN,10,47,1.0,15,93,55,12
20200402,14,大峪,52,良,颗粒物(PM10),16,53,1.2,22,82,48,18
20200402,14,溪湖,41,优,NaN,14,41,0.8,17,94,57,14
20200402,14,彩屯,43,优,NaN,9,43,0.9,14,90,55,13
20200402,14,东明,61,良,颗粒物(PM10),16,72,1.3,38,72,48,38
20200402,14,威宁,58,良,颗粒物(PM10),12,66,0.9,18,92,59,14
20200402,14,新立屯,54,良,颗粒物(PM10),13,58,1.2,18,92,64,14
20200402,14,大峪,52,良,颗粒物(PM10),16,53,1.2,22,82,48,18
20200402,14,溪湖,41,优,NaN,14,41,0.8,17,94,57,14
20200402,14,彩屯,43,优,NaN,9,43,0.9,14,90,55,13
20200402,14,东明,61,良,颗粒物(PM10),16,72,1.3,38,72,48,38
20200402,14,威宁,58,良,颗粒物(PM10),12,66,0.9,18,92,59,14
20200402,14,新立屯,54,良,颗粒物(PM10),13,58,1.2,18,92,64,14
20200402,15,大峪,55,良,颗粒物(PM10),13,59,1.0,17,86,57,14
20200402,15,溪湖,34,优,NaN,11,34,0.6,11,101,69,10
20200402,15,彩屯,38,优,NaN,8,38,0.6,9,94,66,9
20200402,15,东明,60,良,颗粒物(PM10),11,69,1.0,34,75,56,28
20200402,15,威宁,64,良,颗粒物(PM10),16,78,0.7,13,96,69,13
20200402,15,新立屯,38,优,NaN,11,38,1.1,15,94,73,12
20200402,16,大峪,38,优,NaN,12,38,0.9,16,86,65,14
20200402,16,溪湖,33,优,NaN,10,33,0.6,12,100,80,10
20200402,16,彩屯,32,优,NaN,6,32,0.6,10,94,76,9
20200402,16,东明,53,良,颗粒物(PM10),10,55,0.9,23,83,63,22
20200402,16,威宁,61,良,颗粒物(PM10),6,71,0.7,12,98,78,11
20200402,16,新立屯,41,优,NaN,11,41,1.1,19,91,82,16
20200402,17,大峪,49,优,NaN,14,49,1.0,21,83,73,14
20200402,17,溪湖,39,优,NaN,13,39,0.8,17,95,90,13
20200402,17,彩屯,38,优,NaN,8,38,0.8,14,91,85,12
20200402,17,东明,54,良,颗粒物(PM10),12,58,1.2,37,72,69,34
20200402,17,威宁,55,良,颗粒物(PM10),11,60,0.8,16,95,86,13
20200402,17,新立屯,46,优,NaN,14,46,1.2,21,90,89,15
20200402,18,大峪,51,良,颗粒物(PM10),19,51,1.2,35,70,79,19
20200402,18,溪湖,42,优,NaN,15,42,0.9,25,85,94,13
20200402,18,彩屯,43,优,NaN,11,43,0.9,17,86,89,11
20200402,18,东明,58,良,颗粒物(PM10),16,65,1.2,44,64,73,33
20200402,18,威宁,59,良,颗粒物(PM10),19,68,0.9,21,90,92,14
20200402,18,新立屯,54,良,颗粒物(PM10),18,58,1.3,42,61,86,NaN
20200402,19,大峪,53,良,颗粒物(PM10),24,55,1.3,36,60,79,24
20200402,19,溪湖,51,良,颗粒物(PM10),19,51,0.9,27,76,93,12
20200402,19,彩屯,65,良,颗粒物(PM10),29,80,0.9,30,64,87,11
20200402,19,东明,55,良,颗粒物(PM10),27,60,1.0,35,64,74,21
20200402,19,威宁,55,良,颗粒物(PM10),17,59,0.9,26,80,92,12
20200402,19,新立屯,69,良,颗粒物(PM10),44,88,1.1,84,NaN,86,18
20200402,20,大峪,49,优,NaN,34,49,1.4,36,55,76,20
20200402,20,溪湖,59,良,颗粒物(PM10),28,68,1.0,26,73,90,14
20200402,20,彩屯,73,良,颗粒物(PM10),42,96,1.1,30,60,84,16
20200402,20,东明,71,良,颗粒物(PM10),40,92,1.8,62,42,70,58
20200402,20,威宁,53,良,颗粒物(PM10),19,56,0.9,35,58,88,13
20200402,20,新立屯,68,良,颗粒物(PM10),43,86,1.0,63,22,78,10
20200402,20,大峪,49,优,NaN,34,49,1.4,36,55,76,20
20200402,20,溪湖,59,良,颗粒物(PM10),28,68,1.0,26,73,90,14
20200402,20,彩屯,73,良,颗粒物(PM10),42,96,1.1,30,60,84,16
20200402,20,东明,71,良,颗粒物(PM10),40,92,1.8,62,42,70,58
20200402,20,威宁,53,良,颗粒物(PM10),19,56,0.9,35,58,88,13
20200402,20,新立屯,68,良,颗粒物(PM10),43,86,1.0,63,22,78,10
20200402,22,大峪,64,良,颗粒物(PM10),32,78,2.1,48,41,65,42
20200402,22,溪湖,46,优,NaN,20,46,0.8,19,82,85,13
20200402,22,彩屯,46,优,NaN,16,46,0.8,16,77,80,15
20200402,22,东明,66,良,颗粒物(PM10),31,81,2.3,54,39,59,57
20200402,22,威宁,65,良,颗粒物(PM10),29,79,1.1,26,60,80,15
20200402,22,新立屯,64,良,颗粒物(PM10),33,78,1.2,66,12,54,16
20200402,23,大峪,54,良,颗粒物(PM10),25,58,1.4,29,60,62,22
20200402,23,溪湖,51,良,颗粒物(PM10),23,51,1.5,38,63,80,40
20200402,23,彩屯,59,良,颗粒物(PM10),30,68,2.1,37,56,75,64
20200402,23,东明,55,良,颗粒物(PM10),20,60,1.2,25,64,58,23
20200402,23,威宁,56,良,颗粒物(PM10),22,61,1.4,36,42,73,20
20200402,23,新立屯,53,良,颗粒物(PM10),21,56,0.7,56,22,44,7
20200403,00,大峪,58,良,细颗粒物(PM2.5),41,45,1.2,33,48,57,14
20200403,00,溪湖,83,良,颗粒物(PM10),54,116,3.7,92,8,69,98
20200403,00,彩屯,80,良,颗粒物(PM10),56,109,2.7,52,26,66,68
20200403,00,东明,42,优,NaN,21,42,0.7,20,66,56,13
20200403,00,威宁,57,良,颗粒物(PM10),29,64,1.5,38,38,65,17
20200403,00,新立屯,32,优,NaN,20,32,0.8,47,38,37,8
20200403,01,大峪,57,良,颗粒物(PM10),28,63,1.2,31,48,48,14
20200403,01,溪湖,88,良,颗粒物(PM10),56,125,3.0,90,9,9,75
20200403,01,彩屯,77,良,颗粒物(PM10),53,104,2.8,66,9,9,61
20200403,01,东明,52,良,颗粒物(PM10),25,54,0.7,22,62,62,13
20200403,01,威宁,57,良,颗粒物(PM10),32,63,1.1,31,38,38,11
20200403,01,新立屯,38,优,NaN,26,38,0.8,55,29,29,8
20200403,02,大峪,52,良,颗粒物(PM10),30,54,1.4,39,38,43,23
20200403,02,溪湖,92,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",68,133,3.1,90,6,8,65
20200403,02,彩屯,78,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",57,106,3.3,71,6,8,73
20200403,02,东明,50,优,NaN,32,50,1.1,54,29,46,22
20200403,02,威宁,59,良,颗粒物(PM10),28,67,1.3,36,29,34,12
20200403,02,新立屯,55,良,细颗粒物(PM2.5),39,52,0.8,41,48,38,7
20200403,03,大峪,57,良,颗粒物(PM10),36,63,1.6,42,27,38,22
20200403,03,溪湖,115,轻度污染,细颗粒物(PM2.5),87,164,4.3,90,6,7,75
20200403,03,彩屯,94,良,细颗粒物(PM2.5),70,121,3.5,73,5,7,70
20200403,03,东明,68,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",49,86,1.8,81,7,33,50
20200403,03,威宁,67,良,颗粒物(PM10),38,83,1.2,42,21,29,10
20200403,03,新立屯,54,良,细颗粒物(PM2.5),38,42,0.8,46,42,40,7
20200403,08,大峪,100,良,细颗粒物(PM2.5),75,103,2.3,44,26,28,36
20200403,08,溪湖,101,轻度污染,颗粒物(PM10),75,151,2.6,61,13,8,40
20200403,08,彩屯,222,重度污染,细颗粒物(PM2.5),172,319,4.1,67,12,7,93
20200403,08,东明,90,良,细颗粒物(PM2.5),67,124,2.6,61,22,19,78
20200403,08,威宁,87,良,细颗粒物(PM2.5),64,120,1.5,46,17,19,19
20200403,08,新立屯,109,轻度污染,细颗粒物(PM2.5),82,NaN,3.7,66,24,27,117
20200403,09,大峪,137,轻度污染,细颗粒物(PM2.5),104,187,5.1,80,22,25,166
20200403,09,溪湖,102,轻度污染,细颗粒物(PM2.5),76,150,3.4,68,31,11,95
20200403,09,彩屯,199,中度污染,细颗粒物(PM2.5),149,274,4.2,66,27,10,127
20200403,09,东明,150,轻度污染,颗粒物(PM10),105,249,6.3,94,37,16,279
20200403,09,威宁,109,轻度污染,细颗粒物(PM2.5),82,156,2.0,52,25,18,38
20200403,09,新立屯,106,轻度污染,颗粒物(PM10),49,161,1.5,31,70,32,38
20200403,10,大峪,153,中度污染,颗粒物(PM10),81,256,3.7,74,37,25,115
20200403,10,溪湖,86,良,颗粒物(PM10),63,122,3.8,64,53,16,103
20200403,10,彩屯,87,良,颗粒物(PM10),59,124,4.9,67,40,14,139
20200403,10,东明,98,良,颗粒物(PM10),40,145,1.5,31,72,21,32
20200403,10,威宁,107,轻度污染,颗粒物(PM10),70,164,4.3,76,35,18,120
20200403,10,新立屯,46,优,NaN,32,46,0.8,17,91,37,9
20200403,11,大峪,91,良,颗粒物(PM10),49,132,3.0,55,59,29,75
20200403,11,溪湖,70,良,颗粒物(PM10),46,89,2.5,40,82,26,54
20200403,11,彩屯,65,良,颗粒物(PM10),33,79,2.0,27,81,23,49
20200403,11,东明,63,良,颗粒物(PM10),38,76,2.5,49,67,29,66
20200403,11,威宁,129,轻度污染,细颗粒物(PM2.5),98,198,3.1,61,67,24,80
20200403,11,新立屯,51,良,颗粒物(PM10),29,51,1.8,29,88,43,30
20200403,12,大峪,68,良,颗粒物(PM10),28,85,1.1,20,92,38,21
20200403,12,溪湖,55,良,颗粒物(PM10),29,59,0.8,15,108,39,13
20200403,12,彩屯,54,良,颗粒物(PM10),23,58,0.7,12,100,35,13
20200403,12,东明,63,良,颗粒物(PM10),27,76,0.9,25,94,40,26
20200403,12,威宁,96,良,颗粒物(PM10),63,142,1.0,20,103,35,18
20200403,12,新立屯,56,良,颗粒物(PM10),23,62,1.1,22,96,50,23
20200403,13,大峪,60,良,颗粒物(PM10),34,69,1.1,22,97,47,18
20200403,13,溪湖,61,良,颗粒物(PM10),35,72,1.0,19,110,52,18
20200403,13,彩屯,61,良,颗粒物(PM10),29,72,1.0,16,103,48,18
20200403,13,东明,64,良,颗粒物(PM10),33,78,1.0,30,95,51,30
20200403,13,威宁,71,良,颗粒物(PM10),25,92,1.0,18,108,47,18
20200403,13,新立屯,59,良,颗粒物(PM10),31,67,1.3,26,100,61,23
20200403,14,大峪,61,良,颗粒物(PM10),38,71,1.1,20,104,57,16
20200403,14,溪湖,60,良,颗粒物(PM10),33,70,0.8,15,120,66,13
20200403,14,彩屯,63,良,颗粒物(PM10),28,76,0.8,12,114,61,12
20200403,14,东明,63,良,颗粒物(PM10),38,75,1.2,33,97,62,33
20200403,14,威宁,84,良,颗粒物(PM10),32,117,0.9,16,116,61,15
20200403,14,新立屯,61,良,颗粒物(PM10),39,72,1.4,26,105,73,22
20200403,15,大峪,60,良,颗粒物(PM10),28,69,0.9,17,108,68,14
20200403,15,溪湖,53,良,颗粒物(PM10),25,56,0.7,12,124,80,9
20200403,15,彩屯,55,良,颗粒物(PM10),20,59,0.6,9,117,74,9
20200403,15,东明,68,良,颗粒物(PM10),28,86,1.1,32,98,73,33
20200403,15,威宁,72,良,颗粒物(PM10),35,94,0.7,13,121,74,11
20200403,15,新立屯,64,良,颗粒物(PM10),28,78,1.1,20,111,86,17
20200403,16,大峪,53,良,颗粒物(PM10),26,56,1.2,25,99,77,22
20200403,16,溪湖,51,良,颗粒物(PM10),22,52,0.7,14,119,93,11
20200403,16,彩屯,53,良,颗粒物(PM10),17,56,0.7,12,112,87,11
20200403,16,东明,68,良,颗粒物(PM10),24,85,1.5,36,86,81,42
20200403,16,威宁,71,良,颗粒物(PM10),46,91,0.8,14,117,86,13
20200403,16,新立屯,58,良,颗粒物(PM10),24,65,1.0,17,111,96,13
20200403,17,大峪,54,良,颗粒物(PM10),23,58,1.2,24,94,86,22
20200403,17,溪湖,52,良,颗粒物(PM10),22,53,0.7,15,115,104,12
20200403,17,彩屯,54,良,颗粒物(PM10),18,58,0.7,13,107,97,14
20200403,17,东明,68,良,颗粒物(PM10),22,85,1.6,40,79,86,37
20200403,17,威宁,63,良,颗粒物(PM10),26,75,1.0,26,102,96,24
20200403,17,新立屯,52,良,颗粒物(PM10),18,53,0.6,14,110,102,6
20200403,18,大峪,62,良,颗粒物(PM10),24,74,1.2,34,87,92,23
20200403,18,溪湖,53,良,颗粒物(PM10),21,56,0.7,16,113,111,12
20200403,18,彩屯,57,良,颗粒物(PM10),18,64,0.7,15,105,105,13
20200403,18,东明,79,良,颗粒物(PM10),26,107,1.8,47,78,87,49
20200403,18,威宁,71,良,颗粒物(PM10),25,92,0.7,18,108,105,14
20200403,18,新立屯,51,良,颗粒物(PM10),19,51,0.9,21,104,103,17
20200403,19,大峪,74,良,颗粒物(PM10),31,97,1.5,40,79,95,24
20200403,19,溪湖,74,良,颗粒物(PM10),32,98,1.2,31,95,113,22
20200403,19,彩屯,65,良,颗粒物(PM10),25,80,1.3,29,89,106,23
20200403,19,东明,90,良,颗粒物(PM10),30,130,1.6,55,70,87,53
20200403,19,威宁,73,良,颗粒物(PM10),26,95,1.2,30,94,109,21
20200403,19,新立屯,58,良,颗粒物(PM10),25,66,1.2,35,91,104,23
20200403,20,大峪,94,良,颗粒物(PM10),39,137,1.0,26,82,94,16
20200403,20,溪湖,131,轻度污染,颗粒物(PM10),40,212,0.8,23,92,111,20
20200403,20,彩屯,106,轻度污染,颗粒物(PM10),39,161,0.9,21,86,104,20
20200403,20,东明,98,良,颗粒物(PM10),38,146,1.3,38,72,84,38
20200403,20,威宁,157,中度污染,颗粒物(PM10),45,263,0.8,24,90,107,17
20200403,20,新立屯,89,良,颗粒物(PM10),41,127,1.8,55,61,99,41
20200403,21,大峪,500,严重污染,颗粒物(PM10),60,632,0.8,14,87,92,5
20200403,21,溪湖,482,严重污染,颗粒物(PM10),60,582,0.7,15,95,109,8
20200403,21,彩屯,418,严重污染,颗粒物(PM10),56,518,0.7,18,83,102,8
20200403,21,东明,484,严重污染,颗粒物(PM10),54,584,0.7,15,84,83,8
20200403,21,威宁,500,严重污染,颗粒物(PM10),51,609,0.8,15,92,105,8
20200403,21,新立屯,424,严重污染,颗粒物(PM10),60,524,0.7,14,91,98,4
20200403,22,大峪,500,严重污染,颗粒物(PM10),48,644,0.8,16,72,88,6
20200403,22,溪湖,218,重度污染,颗粒物(PM10),42,362,0.7,15,76,104,8
20200403,22,彩屯,187,中度污染,颗粒物(PM10),32,323,0.7,18,64,95,13
20200403,22,东明,500,严重污染,颗粒物(PM10),41,675,0.7,15,73,80,8
20200403,22,威宁,127,轻度污染,细颗粒物(PM2.5),96,NaN,0.7,17,74,100,10
20200403,22,新立屯,500,严重污染,颗粒物(PM10),48,685,0.6,14,82,95,4
20200403,23,大峪,198,中度污染,颗粒物(PM10),18,345,0.6,9,75,84,5
20200403,23,溪湖,102,轻度污染,颗粒物(PM10),18,153,0.5,8,85,99,7
20200403,23,彩屯,112,轻度污染,颗粒物(PM10),15,173,0.5,10,74,90,9
20200403,23,东明,226,重度污染,颗粒物(PM10),15,368,0.5,8,75,77,7
20200403,23,威宁,500,严重污染,颗粒物(PM10),62,686,0.6,10,82,95,8
20200403,23,新立屯,280,重度污染,颗粒物(PM10),17,406,0.5,9,78,91,4
20200404,00,大峪,96,良,颗粒物(PM10),14,142,0.6,8,74,81,6
20200404,00,溪湖,94,良,颗粒物(PM10),21,138,0.6,8,80,94,7
20200404,00,彩屯,94,良,颗粒物(PM10),18,138,0.5,10,73,85,10
20200404,00,东明,107,轻度污染,颗粒物(PM10),14,163,0.5,8,74,76,7
20200404,00,威宁,164,中度污染,颗粒物(PM10),21,278,0.6,10,79,90,8
20200404,00,新立屯,117,轻度污染,颗粒物(PM10),17,184,0.5,8,79,87,5
20200404,01,大峪,84,良,颗粒物(PM10),15,118,0.6,8,72,72,6
