Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,来宾二中,35,优,NaN,24,28,0.7,16,26,24,4
20200402,08,来冶招待所,29,优,NaN,18,29,0.7,16,33,29,5
20200402,09,来宾二中,32,优,NaN,22,NaN,0.6,18,27,24,4
20200402,09,来冶招待所,26,优,NaN,18,23,0.7,17,32,29,4
20200402,10,来宾二中,38,优,NaN,26,29,0.6,16,27,24,4
20200402,10,来冶招待所,32,优,NaN,22,26,0.7,17,32,29,4
20200402,11,来宾二中,35,优,NaN,24,26,0.6,17,29,25,4
20200402,11,来冶招待所,30,优,NaN,21,30,0.7,15,37,30,4
20200402,12,来宾二中,35,优,NaN,24,33,0.6,18,28,26,4
20200402,12,来冶招待所,30,优,NaN,21,27,0.7,18,33,31,4
20200402,13,来宾二中,26,优,NaN,18,26,0.7,18,30,26,4
20200402,13,来冶招待所,24,优,NaN,16,24,0.8,19,33,32,4
20200402,14,来宾二中,28,优,NaN,19,23,0.7,18,29,27,4
20200402,14,来冶招待所,26,优,NaN,15,26,0.8,19,33,32,5
20200402,15,来宾二中,18,优,NaN,12,18,0.7,21,26,28,4
20200402,15,来冶招待所,22,优,NaN,12,22,0.8,22,31,33,5
20200402,16,来宾二中,11,优,NaN,5,10,0.6,15,33,29,4
20200402,16,来冶招待所,14,优,NaN,8,14,0.7,17,37,34,4
20200402,17,来宾二中,12,优,NaN,5,12,0.6,14,32,29,3
20200402,17,来冶招待所,12,优,NaN,7,10,0.7,16,37,34,4
20200402,18,来宾二中,10,优,NaN,5,6,0.6,16,32,30,4
20200402,18,来冶招待所,12,优,NaN,7,11,0.7,17,36,35,4
20200402,19,来宾二中,11,优,NaN,7,8,0.7,22,24,29,4
20200402,19,来冶招待所,12,优,NaN,8,12,0.8,22,30,34,4
20200402,20,来宾二中,20,优,NaN,6,20,0.7,25,18,28,4
20200402,20,来冶招待所,17,优,NaN,8,17,0.8,22,26,33,4
20200402,20,来宾二中,20,优,NaN,6,20,0.7,25,18,28,4
20200402,20,来冶招待所,17,优,NaN,8,17,0.8,22,26,33,4
20200402,22,来宾二中,18,优,NaN,12,12,0.7,25,17,25,4
20200402,22,来冶招待所,21,优,NaN,11,21,0.8,24,23,30,4
20200402,23,来宾二中,20,优,NaN,14,18,0.8,25,18,24,4
20200402,23,来冶招待所,19,优,NaN,13,18,1.0,26,22,29,5
20200403,00,来宾二中,29,优,NaN,20,23,0.9,24,16,22,5
20200403,00,来冶招待所,27,优,NaN,16,27,1.0,24,20,27,6
20200403,01,来宾二中,29,优,NaN,20,24,0.8,20,18,18,5
20200403,01,来冶招待所,26,优,NaN,14,26,0.9,19,24,24,5
20200403,02,来宾二中,16,优,NaN,10,16,0.7,14,27,22,4
20200403,02,来冶招待所,15,优,NaN,10,13,0.8,15,33,28,5
20200403,03,来宾二中,15,优,NaN,10,13,0.7,14,29,25,4
20200403,03,来冶招待所,15,优,NaN,10,15,0.8,15,33,30,4
20200403,03,来宾二中,15,优,NaN,10,13,0.7,14,29,25,4
20200403,03,来冶招待所,15,优,NaN,10,15,0.8,15,33,30,4
20200403,08,来宾二中,10,优,NaN,5,9,0.7,11,31,26,4
20200403,08,来冶招待所,11,优,NaN,6,11,0.8,14,33,30,5
20200403,09,来宾二中,11,优,NaN,4,11,0.7,14,28,27,4
20200403,09,来冶招待所,10,优,NaN,5,9,0.8,15,32,31,5
20200403,10,来宾二中,10,优,NaN,3,5,0.7,14,29,28,3
20200403,10,来冶招待所,10,优,NaN,5,9,0.8,16,32,31,4
20200403,11,来宾二中,13,优,NaN,2,11,0.7,10,39,29,4
20200403,11,来冶招待所,13,优,NaN,4,NaN,0.8,12,40,32,4
20200403,12,来宾二中,12,优,NaN,7,8,0.8,12,38,31,4
20200403,12,来冶招待所,12,优,NaN,6,8,0.9,14,38,33,5
20200403,13,来宾二中,22,优,NaN,15,NaN,1.1,20,26,31,5
20200403,13,来冶招待所,15,优,NaN,10,12,1.2,22,30,34,5
20200403,14,来宾二中,15,优,NaN,10,15,0.9,18,25,31,4
20200403,14,来冶招待所,16,优,NaN,11,15,1.1,21,26,33,7
20200403,15,来宾二中,14,优,NaN,6,14,0.8,18,24,30,5
20200403,15,来冶招待所,14,优,NaN,9,14,1.0,19,28,32,5
20200403,16,来宾二中,13,优,NaN,7,13,0.8,19,24,29,4
20200403,16,来冶招待所,13,优,NaN,9,12,0.9,20,28,32,5
20200403,17,来宾二中,12,优,NaN,7,12,0.8,14,29,29,4
20200403,17,来冶招待所,12,优,NaN,8,12,0.9,16,31,32,4
20200403,18,来宾二中,20,优,NaN,14,NaN,1.0,18,26,29,5
20200403,18,来冶招待所,15,优,NaN,10,11,1.0,18,30,31,5
20200403,19,来宾二中,23,优,NaN,16,21,1.0,25,19,26,5
20200403,19,来冶招待所,23,优,NaN,16,21,1.1,24,26,30,5
20200403,20,来宾二中,26,优,NaN,18,24,0.9,23,18,24,5
20200403,20,来冶招待所,20,优,NaN,13,20,1.0,24,23,28,5
20200403,21,来宾二中,23,优,NaN,16,21,0.9,18,20,23,5
20200403,21,来冶招待所,16,优,NaN,11,13,0.9,18,25,27,5
20200403,22,来宾二中,16,优,NaN,11,14,0.8,16,19,22,4
20200403,22,来冶招待所,13,优,NaN,9,12,0.9,14,27,27,4
20200403,23,来宾二中,18,优,NaN,12,NaN,0.9,14,22,22,5
20200403,23,来冶招待所,15,优,NaN,10,12,0.9,15,26,27,5
20200404,00,来宾二中,26,优,NaN,18,NaN,0.8,13,28,23,4
20200404,00,来冶招待所,18,优,NaN,12,18,0.9,15,30,27,5
20200404,01,来宾二中,28,优,NaN,19,NaN,0.8,13,24,24,5
20200404,01,来冶招待所,19,优,NaN,13,17,0.9,15,26,26,5
20200404,02,来宾二中,32,优,NaN,22,22,0.8,14,21,22,5
20200404,02,来冶招待所,21,优,NaN,14,21,0.9,15,25,26,5
20200404,03,来宾二中,35,优,NaN,24,NaN,0.8,9,28,24,5
20200404,03,来冶招待所,22,优,NaN,15,19,0.9,13,28,26,5
20200404,08,来宾二中,18,优,NaN,12,17,0.8,11,31,29,5
20200404,08,来冶招待所,23,优,NaN,10,23,0.9,12,35,32,5
20200404,09,来宾二中,15,优,NaN,9,15,0.8,11,32,30,5
20200404,09,来冶招待所,16,优,NaN,10,16,1.0,14,33,33,5
20200404,10,来宾二中,14,优,NaN,9,14,0.8,12,31,31,5
20200404,10,来冶招待所,17,优,NaN,10,17,1.0,17,31,33,5
20200404,11,来宾二中,15,优,NaN,10,12,0.8,12,31,31,5
20200404,11,来冶招待所,18,优,NaN,10,18,0.9,13,34,34,5
20200404,12,来宾二中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,12,来冶招待所,14,优,NaN,9,14,0.9,11,37,35,6
20200404,13,来宾二中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,13,来冶招待所,15,优,NaN,10,12,0.9,12,42,35,7
20200404,14,来宾二中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,14,来冶招待所,21,优,NaN,10,21,1.0,14,45,36,7
20200404,15,来宾二中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,31,NaN
20200404,15,来冶招待所,16,优,NaN,11,16,1.0,14,48,38,9
20200404,16,来宾二中,23,优,NaN,7,23,0.9,12,45,35,6
20200404,16,来冶招待所,24,优,NaN,12,24,1.0,14,47,40,7
20200404,17,来宾二中,24,优,NaN,8,24,0.9,12,43,38,6
20200404,17,来冶招待所,22,优,NaN,12,22,1.0,14,46,41,6
20200404,18,来宾二中,25,优,NaN,12,25,0.9,12,41,40,6
20200404,18,来冶招待所,21,优,NaN,13,21,1.0,15,43,43,7
20200404,19,来宾二中,27,优,NaN,13,27,0.9,10,42,43,6
20200404,19,来冶招待所,25,优,NaN,14,25,1.0,14,44,44,7
20200404,20,来宾二中,28,优,NaN,11,28,0.9,11,39,42,6
20200404,20,来冶招待所,27,优,NaN,15,27,0.9,14,40,44,7
20200404,21,来宾二中,28,优,NaN,15,28,0.9,13,39,42,5
20200404,21,来冶招待所,28,优,NaN,17,28,1.0,15,40,44,5
20200404,22,来宾二中,20,优,NaN,14,20,0.8,9,42,42,4
20200404,22,来冶招待所,22,优,NaN,15,20,1.0,12,43,44,4
20200404,22,来宾二中,20,优,NaN,14,20,0.8,9,42,42,4
20200404,22,来冶招待所,22,优,NaN,15,20,1.0,12,43,44,4
20200405,08,来宾二中,22,优,NaN,15,18,0.8,10,60,58,4
20200405,08,来冶招待所,22,优,NaN,15,20,0.9,13,58,60,5
20200405,09,来宾二中,22,优,NaN,15,NaN,0.8,12,64,60,4
20200405,09,来冶招待所,22,优,NaN,14,17,0.9,13,69,62,5
20200405,10,来宾二中,20,优,NaN,14,17,0.8,15,60,60,5
20200405,10,来冶招待所,23,优,NaN,16,17,0.9,16,63,63,5
20200405,11,来宾二中,26,优,NaN,15,26,0.9,18,51,58,5
20200405,11,来冶招待所,28,优,NaN,16,28,1.0,17,57,62,6
20200405,12,来宾二中,30,优,NaN,21,26,0.9,16,49,56,5
20200405,12,来冶招待所,26,优,NaN,18,20,1.0,19,49,59,6
20200405,13,来宾二中,32,优,NaN,22,27,0.8,15,57,55,6
20200405,13,来冶招待所,32,优,NaN,22,24,0.9,17,57,58,6
20200405,14,来宾二中,39,优,NaN,27,27,0.8,16,53,56,6
20200405,14,来冶招待所,40,优,NaN,28,NaN,0.9,16,57,58,8
20200405,15,来宾二中,39,优,NaN,27,36,0.7,9,68,58,6
20200405,15,来冶招待所,40,优,NaN,28,29,0.8,11,71,60,6
20200405,16,来宾二中,40,优,NaN,28,33,0.8,11,71,59,5
20200405,16,来冶招待所,40,优,NaN,28,37,0.8,12,75,62,6
20200405,17,来宾二中,45,优,NaN,31,34,0.8,15,64,59,5
20200405,17,来冶招待所,48,优,NaN,33,39,0.9,15,70,62,6
20200405,18,来宾二中,53,良,细颗粒物(PM2.5),37,38,0.8,16,62,59,5
20200405,18,来冶招待所,50,优,NaN,35,36,0.9,16,69,63,5
20200405,19,来宾二中,59,良,细颗粒物(PM2.5),42,42,0.8,15,65,61,4
20200405,19,来冶招待所,57,良,细颗粒物(PM2.5),40,42,0.9,16,70,65,5
20200405,20,来宾二中,67,良,细颗粒物(PM2.5),48,NaN,0.8,15,64,63,4
20200405,20,来冶招待所,58,良,细颗粒物(PM2.5),41,NaN,0.9,16,68,67,5
20200405,21,来宾二中,64,良,细颗粒物(PM2.5),46,NaN,0.7,9,78,66,4
20200405,21,来冶招待所,58,良,细颗粒物(PM2.5),41,NaN,0.9,12,78,70,5
20200405,22,来宾二中,67,良,细颗粒物(PM2.5),48,NaN,0.8,10,86,70,4
20200405,22,来冶招待所,62,良,细颗粒物(PM2.5),44,NaN,0.8,12,90,74,5
20200405,23,来宾二中,72,良,细颗粒物(PM2.5),52,NaN,0.7,12,82,72,4
20200405,23,来冶招待所,64,良,细颗粒物(PM2.5),46,NaN,0.8,13,89,76,5
20200406,00,来宾二中,63,良,细颗粒物(PM2.5),45,NaN,0.7,12,81,73,4
20200406,00,来冶招待所,59,良,细颗粒物(PM2.5),42,56,0.8,12,85,77,5
20200406,01,来宾二中,60,良,细颗粒物(PM2.5),43,45,0.7,13,74,74,4
20200406,01,来冶招待所,60,良,细颗粒物(PM2.5),43,51,0.8,15,76,76,5
20200406,02,来宾二中,63,良,细颗粒物(PM2.5),45,NaN,0.7,14,68,71,5
20200406,02,来冶招待所,58,良,细颗粒物(PM2.5),41,48,0.8,12,78,77,5
20200406,03,来宾二中,67,良,细颗粒物(PM2.5),48,48,0.7,15,65,69,5
20200406,03,来冶招待所,59,良,细颗粒物(PM2.5),42,50,0.8,15,72,75,6
20200406,03,来宾二中,67,良,细颗粒物(PM2.5),48,48,0.7,15,65,69,5
20200406,03,来冶招待所,59,良,细颗粒物(PM2.5),42,50,0.8,15,72,75,6
20200407,08,来宾二中,65,良,细颗粒物(PM2.5),47,74,1.2,26,2,4,7
20200407,08,来冶招待所,62,良,细颗粒物(PM2.5),44,67,1.1,24,11,11,17
20200407,09,来宾二中,69,良,细颗粒物(PM2.5),50,80,1.2,26,8,4,17
20200407,09,来冶招待所,69,良,细颗粒物(PM2.5),50,76,1.3,25,18,12,24
20200407,10,来宾二中,69,良,细颗粒物(PM2.5),50,80,1.0,20,41,8,18
20200407,10,来冶招待所,70,良,细颗粒物(PM2.5),51,73,1.2,23,47,18,19
20200407,11,来宾二中,70,良,细颗粒物(PM2.5),51,70,0.9,16,81,18,17
20200407,11,来冶招待所,69,良,细颗粒物(PM2.5),50,76,1.1,19,78,27,17
20200407,12,来宾二中,74,良,细颗粒物(PM2.5),54,76,1.0,15,96,30,16
20200407,12,来冶招待所,69,良,细颗粒物(PM2.5),50,73,1.1,16,98,38,16
20200407,13,来宾二中,70,良,细颗粒物(PM2.5),51,72,0.9,13,119,45,16
20200407,13,来冶招待所,NaN,,NaN,NaN,NaN,1.0,NaN,116,50,NaN
20200407,14,来宾二中,64,良,细颗粒物(PM2.5),46,64,0.9,10,136,61,12
20200407,14,来冶招待所,62,良,细颗粒物(PM2.5),44,67,NaN,12,136,65,11
20200407,15,来宾二中,57,良,颗粒物(PM10),38,64,0.8,9,140,78,8
20200407,15,来冶招待所,57,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",40,64,0.8,12,NaN,72,8
20200407,16,来宾二中,57,良,细颗粒物(PM2.5),40,59,0.8,9,147,96,9
20200407,16,来冶招待所,60,良,细颗粒物(PM2.5),43,66,0.9,13,149,92,10
20200407,17,来宾二中,57,良,细颗粒物(PM2.5),40,54,0.8,9,150,114,8
20200407,17,来冶招待所,63,良,细颗粒物(PM2.5),45,67,0.9,13,153,111,10
20200407,18,来宾二中,55,良,颗粒物(PM10),37,60,0.8,11,141,126,7
20200407,18,来冶招待所,65,良,细颗粒物(PM2.5),47,67,0.9,15,141,124,13
20200407,19,来宾二中,57,良,颗粒物(PM10),37,64,0.9,14,116,131,9
20200407,19,来冶招待所,67,良,细颗粒物(PM2.5),48,67,0.9,17,124,131,12
20200407,20,来宾二中,63,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",45,75,1.0,27,88,130,8
20200407,20,来冶招待所,72,良,细颗粒物(PM2.5),52,79,1.0,32,92,130,13
20200407,21,来宾二中,75,良,细颗粒物(PM2.5),55,87,1.2,40,53,121,9
20200407,21,来冶招待所,69,良,细颗粒物(PM2.5),50,73,1.0,36,78,125,8
20200407,21,来宾二中,75,良,细颗粒物(PM2.5),55,87,1.2,40,53,121,9
20200407,21,来冶招待所,69,良,细颗粒物(PM2.5),50,73,1.0,36,78,125,8
20200407,23,来宾二中,69,良,细颗粒物(PM2.5),50,83,1.1,38,32,97,11
20200407,23,来冶招待所,74,良,颗粒物(PM10),47,98,1.0,31,46,105,7
20200408,00,来宾二中,70,良,细颗粒物(PM2.5),51,80,1.0,53,11,80,13
20200408,00,来冶招待所,65,良,细颗粒物(PM2.5),47,77,1.0,34,38,91,12
20200408,01,来宾二中,70,良,细颗粒物(PM2.5),51,75,1.0,55,2,2,12
20200408,01,来冶招待所,69,良,细颗粒物(PM2.5),50,77,1.2,40,19,19,14
20200408,02,来宾二中,77,良,细颗粒物(PM2.5),56,74,1.1,50,2,2,9
20200408,02,来冶招待所,70,良,细颗粒物(PM2.5),51,82,1.3,40,5,12,8
20200408,03,来宾二中,74,良,细颗粒物(PM2.5),54,74,1.0,42,4,3,7
20200408,03,来冶招待所,72,良,细颗粒物(PM2.5),52,81,1.1,30,22,15,6
