Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,江北,35,优,NaN,22,35,0.4,20,42,36,3
20200402,09,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,江北,40,优,NaN,18,40,0.3,13,60,39,2
20200402,10,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,江北,44,优,NaN,8,44,0.5,18,77,44,4
20200402,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,江北,55,良,颗粒物(PM10),23,59,0.5,18,111,53,5
20200402,12,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,江北,76,良,颗粒物(PM10),45,102,0.4,14,109,62,2
20200402,13,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,江北,79,良,颗粒物(PM10),43,108,0.3,12,111,72,1
20200402,14,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,江北,62,良,颗粒物(PM10),18,74,0.4,13,119,82,5
20200402,15,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,江北,58,良,颗粒物(PM10),26,66,0.3,14,116,93,6
20200402,16,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,江北,56,良,颗粒物(PM10),38,62,0.3,13,111,102,4
20200402,17,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,江北,57,良,颗粒物(PM10),24,63,0.3,11,108,108,1
20200402,18,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,江北,53,良,颗粒物(PM10),17,55,0.3,15,98,110,3
20200402,19,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,江北,48,优,NaN,8,48,0.4,24,80,106,7
20200402,20,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,江北,42,优,NaN,12,42,0.5,21,77,102,5
20200402,20,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,江北,42,优,NaN,12,42,0.5,21,77,102,5
20200402,22,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,江北,45,优,NaN,18,45,0.4,24,66,91,7
20200402,23,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,江北,41,优,NaN,23,41,0.4,19,71,86,5
20200403,00,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,江北,35,优,NaN,20,35,0.5,24,71,81,6
20200403,01,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,江北,51,良,颗粒物(PM10),32,52,0.4,19,72,72,3
20200403,02,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,江北,57,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",40,64,0.7,28,63,68,7
20200403,03,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,江北,77,良,细颗粒物(PM2.5),56,76,1.1,56,51,62,15
20200403,03,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,江北,77,良,细颗粒物(PM2.5),56,76,1.1,56,51,62,15
20200403,08,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,江北,114,轻度污染,细颗粒物(PM2.5),86,139,0.9,29,64,58,9
20200403,09,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,江北,135,轻度污染,细颗粒物(PM2.5),103,160,0.9,28,82,59,3
20200403,10,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,江北,170,中度污染,细颗粒物(PM2.5),129,197,0.5,16,87,62,1
20200403,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,江北,119,轻度污染,细颗粒物(PM2.5),90,181,0.5,17,99,68,2
20200403,12,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,12,江北,109,轻度污染,颗粒物(PM10),48,168,0.6,22,114,76,2
20200403,13,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,13,江北,150,轻度污染,颗粒物(PM10),67,249,0.4,11,NaN,81,4
20200403,14,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,14,江北,325,严重污染,颗粒物(PM10),51,440,NaN,9,NaN,84,NaN
20200403,15,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,15,江北,NaN,,NaN,NaN,NaN,0.5,NaN,73,86,1
20200403,16,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,16,江北,423,严重污染,颗粒物(PM10),32,523,0.5,13,70,88,2
20200403,17,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,17,江北,182,中度污染,颗粒物(PM10),23,314,0.3,11,72,86,2
20200403,18,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,18,江北,84,良,颗粒物(PM10),7,118,0.2,10,72,83,3
20200403,19,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,19,江北,77,良,颗粒物(PM10),7,104,0.3,10,71,79,2
20200403,20,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,20,江北,64,良,颗粒物(PM10),6,77,0.3,8,68,71,4
20200403,21,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,21,江北,53,良,颗粒物(PM10),10,56,0.2,8,66,70,6
20200403,22,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,22,江北,44,优,NaN,12,44,0.2,7,62,69,1
20200403,23,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,23,江北,30,优,NaN,9,30,0.3,8,58,67,3
20200404,00,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,00,江北,26,优,NaN,3,26,0.3,10,60,66,2
20200404,01,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,01,江北,28,优,NaN,6,28,0.4,14,60,60,4
20200404,02,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,02,江北,37,优,NaN,18,37,0.5,15,59,60,3
20200404,03,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,03,江北,60,良,细颗粒物(PM2.5),43,48,0.4,14,57,59,1
20200404,03,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,03,江北,60,良,细颗粒物(PM2.5),43,48,0.4,14,57,59,1
20200404,08,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,08,江北,22,优,NaN,12,21,0.3,8,69,62,4
20200404,09,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,09,江北,46,优,NaN,9,46,0.3,9,71,64,2
20200404,10,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,10,江北,49,优,NaN,8,49,0.3,7,74,65,1
20200404,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,11,江北,60,良,颗粒物(PM10),5,70,0.2,6,76,68,3
20200404,12,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,12,江北,69,良,颗粒物(PM10),2,88,0.2,6,77,70,1
20200404,13,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,13,江北,59,良,颗粒物(PM10),5,67,0.2,6,78,72,1
20200404,14,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,14,江北,59,良,颗粒物(PM10),7,67,0.3,7,79,74,1
20200404,15,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,15,江北,58,良,颗粒物(PM10),4,65,0.3,7,80,76,3
20200404,16,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,16,江北,54,良,颗粒物(PM10),2,57,0.2,6,80,77,1
20200404,17,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,17,江北,49,优,NaN,7,49,0.3,7,78,78,1
20200404,18,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,18,江北,35,优,NaN,7,35,0.3,7,76,78,2
20200404,19,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,19,江北,30,优,NaN,7,30,0.3,10,69,77,4
20200404,20,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,20,江北,49,优,NaN,16,49,0.4,14,63,75,5
20200404,21,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,21,江北,50,优,NaN,14,50,0.6,19,60,73,6
20200404,22,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,22,江北,55,良,颗粒物(PM10),26,60,1.3,48,46,69,11
20200404,22,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,22,江北,55,良,颗粒物(PM10),26,60,1.3,48,46,69,11
20200405,08,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,08,江北,169,中度污染,细颗粒物(PM2.5),128,145,0.7,19,66,38,5
20200405,09,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,09,江北,138,轻度污染,细颗粒物(PM2.5),105,113,0.5,14,83,41,1
20200405,10,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,10,江北,104,轻度污染,细颗粒物(PM2.5),78,94,0.5,11,91,50,1
20200405,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,11,江北,72,良,细颗粒物(PM2.5),52,78,0.4,11,99,60,3
20200405,12,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,12,江北,58,良,细颗粒物(PM2.5),41,48,0.3,9,97,69,1
20200405,13,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,13,江北,48,优,NaN,33,NaN,0.3,9,104,78,4
20200405,14,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,14,江北,35,优,NaN,19,26,0.4,9,111,87,4
20200405,15,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,15,江北,43,优,NaN,25,36,0.4,12,136,98,6
20200405,16,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,16,江北,58,良,细颗粒物(PM2.5),41,51,0.4,12,130,106,7
20200405,17,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,17,江北,62,良,细颗粒物(PM2.5),44,51,0.3,10,104,109,5
20200405,18,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,18,江北,43,优,NaN,30,37,0.4,11,102,110,5
20200405,19,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,19,江北,40,优,NaN,28,35,0.4,12,96,110,6
20200405,20,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,20,江北,52,良,细颗粒物(PM2.5),36,NaN,0.5,22,81,108,6
20200405,21,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,21,江北,53,良,细颗粒物(PM2.5),37,41,0.8,56,44,100,12
20200405,22,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,22,江北,68,良,细颗粒物(PM2.5),49,80,0.8,64,34,91,17
20200405,23,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200405,23,江北,83,良,细颗粒物(PM2.5),61,106,0.8,42,61,82,16
20200406,00,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200406,00,江北,112,轻度污染,细颗粒物(PM2.5),84,102,1.1,48,70,74,15
20200406,01,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200406,01,江北,199,中度污染,细颗粒物(PM2.5),149,NaN,1.0,41,68,68,14
20200406,02,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200406,02,江北,210,重度污染,细颗粒物(PM2.5),160,181,1.0,35,59,64,9
20200406,03,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200406,03,江北,173,中度污染,细颗粒物(PM2.5),131,171,0.8,29,56,61,7
20200407,07,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,07,江北,51,良,颗粒物(PM10),35,51,0.4,16,55,46,8
20200407,08,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,08,江北,50,优,NaN,35,47,0.5,14,69,49,10
20200407,09,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,09,江北,53,良,颗粒物(PM10),35,56,0.5,12,81,53,2
20200407,10,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,10,江北,60,良,颗粒物(PM10),35,69,0.3,8,81,59,2
20200407,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,11,江北,62,良,颗粒物(PM10),35,73,0.3,8,82,64,3
20200407,12,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,12,江北,60,良,颗粒物(PM10),35,69,0.3,8,83,68,1
20200407,13,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,13,江北,63,良,颗粒物(PM10),35,76,0.3,8,84,73,3
20200407,14,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,14,江北,66,良,颗粒物(PM10),35,81,0.3,8,82,77,5
20200407,15,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,15,江北,55,良,颗粒物(PM10),35,60,0.2,7,79,80,4
20200407,16,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200407,16,江北,51,良,颗粒物(PM10),35,52,0.2,7,79,81,2
