Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,林芝监测站,33,优,NaN,10,11,0.6,6,104,100,11
20200402,08,林芝人民医院,26,优,NaN,10,15,0.7,6,81,90,8
20200402,09,林芝监测站,31,优,NaN,10,NaN,0.6,10,97,100,11
20200402,09,林芝人民医院,28,优,NaN,8,14,0.7,8,89,90,8
20200402,10,林芝监测站,33,优,NaN,8,10,0.6,10,104,102,11
20200402,10,林芝人民医院,29,优,NaN,8,14,0.8,9,92,90,8
20200402,11,林芝监测站,32,优,NaN,8,8,0.6,9,101,102,11
20200402,11,林芝人民医院,29,优,NaN,7,14,0.8,9,91,90,8
20200402,12,林芝监测站,33,优,NaN,8,10,0.6,8,104,102,11
20200402,12,林芝人民医院,30,优,NaN,6,12,0.8,8,94,90,8
20200402,13,林芝监测站,31,优,NaN,9,18,0.6,9,99,101,11
20200402,13,林芝人民医院,29,优,NaN,6,18,0.8,8,91,90,8
20200402,14,林芝监测站,33,优,NaN,8,12,0.6,7,103,101,11
20200402,14,林芝人民医院,30,优,NaN,3,12,0.7,5,95,90,8
20200402,15,林芝监测站,33,优,NaN,7,14,0.6,6,105,102,11
20200402,15,林芝人民医院,31,优,NaN,1,10,0.6,5,97,91,8
20200402,16,林芝监测站,33,优,NaN,6,7,0.6,7,105,102,11
20200402,16,林芝人民医院,32,优,NaN,3,10,0.6,4,101,94,9
20200402,17,林芝监测站,34,优,NaN,4,13,0.6,6,107,104,11
20200402,17,林芝人民医院,32,优,NaN,4,10,0.6,4,102,95,8
20200402,18,林芝监测站,33,优,NaN,6,12,0.6,8,104,104,11
20200402,18,林芝人民医院,32,优,NaN,5,25,0.6,4,102,97,9
20200402,19,林芝监测站,33,优,NaN,6,22,0.6,8,103,104,11
20200402,19,林芝人民医院,31,优,NaN,6,23,0.6,5,98,98,9
20200402,20,林芝监测站,32,优,NaN,2,18,0.6,8,101,103,11
20200402,20,林芝人民医院,30,优,NaN,6,22,0.6,5,94,98,9
20200402,20,林芝监测站,32,优,NaN,2,18,0.6,8,101,103,11
20200402,20,林芝人民医院,30,优,NaN,6,22,0.6,5,94,98,9
20200402,22,林芝监测站,31,优,NaN,5,14,0.6,7,98,103,11
20200402,22,林芝人民医院,29,优,NaN,7,18,0.6,6,92,97,8
20200402,23,林芝监测站,32,优,NaN,8,13,0.5,5,100,102,11
20200402,23,林芝人民医院,29,优,NaN,7,12,0.6,5,90,96,8
20200403,00,林芝监测站,31,优,NaN,4,10,0.5,5,98,102,10
20200403,00,林芝人民医院,28,优,NaN,6,11,0.6,5,88,95,8
