Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,玛沁县大武镇,29,优,NaN,11,29,0.3,11,55,37,17
20200402,09,玛沁县大武镇,32,优,NaN,10,32,0.3,12,60,40,17
20200402,10,玛沁县大武镇,28,优,NaN,7,28,0.3,11,71,45,17
20200402,11,玛沁县大武镇,23,优,NaN,5,21,0.3,10,72,49,16
20200402,12,玛沁县大武镇,21,优,NaN,5,17,0.4,12,67,52,17
20200402,13,玛沁县大武镇,26,优,NaN,5,14,0.4,12,82,59,22
20200402,14,玛沁县大武镇,NaN,,NaN,NaN,NaN,0.5,10,92,66,29
20200402,15,玛沁县大武镇,NaN,,NaN,NaN,NaN,0.7,12,NaN,71,28
20200402,16,玛沁县大武镇,NaN,,NaN,NaN,NaN,0.7,10,89,76,26
20200402,17,玛沁县大武镇,26,优,NaN,5,14,0.8,10,81,79,24
20200402,18,玛沁县大武镇,25,优,NaN,8,23,0.8,12,78,80,24
20200402,19,玛沁县大武镇,31,优,NaN,19,31,0.7,12,72,80,27
20200402,20,玛沁县大武镇,24,优,NaN,14,24,0.6,13,65,80,30
20200402,20,玛沁县大武镇,24,优,NaN,14,24,0.6,13,65,80,30
20200402,22,玛沁县大武镇,18,优,NaN,10,11,0.6,15,56,72,25
20200402,23,玛沁县大武镇,17,优,NaN,7,12,0.5,13,53,70,24
20200403,00,玛沁县大武镇,18,优,NaN,6,8,0.5,13,56,65,20
20200403,01,玛沁县大武镇,19,优,NaN,6,6,0.5,13,60,60,16
20200403,02,玛沁县大武镇,20,优,NaN,6,NaN,0.5,12,62,61,16
20200403,03,玛沁县大武镇,20,优,NaN,5,5,0.5,12,63,62,16
20200403,08,玛沁县大武镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,玛沁县大武镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,玛沁县大武镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,55,NaN
20200403,11,玛沁县大武镇,26,优,NaN,6,23,0.9,NaN,70,56,77
20200403,12,玛沁县大武镇,73,良,颗粒物(PM10),21,96,1.0,15,97,64,NaN
20200403,13,玛沁县大武镇,39,优,NaN,27,39,NaN,13,108,75,23
20200403,14,玛沁县大武镇,38,优,NaN,18,37,NaN,15,120,89,22
20200403,15,玛沁县大武镇,34,优,NaN,17,32,0.4,15,108,101,24
20200403,16,玛沁县大武镇,27,优,NaN,12,18,0.3,13,86,98,21
20200403,17,玛沁县大武镇,24,优,NaN,9,12,0.3,12,75,95,14
20200403,18,玛沁县大武镇,23,优,NaN,7,7,0.2,13,72,92,13
20200403,19,玛沁县大武镇,21,优,NaN,5,5,0.2,13,67,92,14
20200403,20,玛沁县大武镇,22,优,NaN,9,9,0.2,14,69,88,14
20200403,21,玛沁县大武镇,22,优,NaN,11,12,0.2,13,68,83,13
20200403,22,玛沁县大武镇,22,优,NaN,11,15,0.2,13,70,77,12
20200403,23,玛沁县大武镇,23,优,NaN,8,15,0.2,13,72,72,12
20200404,00,玛沁县大武镇,24,优,NaN,8,14,0.2,12,76,71,11
20200404,01,玛沁县大武镇,24,优,NaN,6,15,0.2,12,76,76,15
20200404,02,玛沁县大武镇,24,优,NaN,5,14,0.2,12,74,75,18
20200404,03,玛沁县大武镇,23,优,NaN,6,11,0.2,13,72,74,16
20200404,08,玛沁县大武镇,21,优,NaN,5,16,0.2,17,65,71,28
20200404,09,玛沁县大武镇,22,优,NaN,6,16,0.2,14,69,70,19
20200404,10,玛沁县大武镇,21,优,NaN,9,17,0.2,18,67,69,17
20200404,11,玛沁县大武镇,22,优,NaN,7,15,0.2,16,68,69,18
20200404,12,玛沁县大武镇,23,优,NaN,8,16,0.2,15,71,69,18
20200404,13,玛沁县大武镇,24,优,NaN,6,16,0.2,14,74,69,16
20200404,14,玛沁县大武镇,24,优,NaN,10,16,0.2,13,76,70,16
20200404,15,玛沁县大武镇,23,优,NaN,6,14,0.2,13,72,70,16
20200404,16,玛沁县大武镇,24,优,NaN,6,12,0.2,13,74,71,17
20200404,17,玛沁县大武镇,23,优,NaN,9,13,0.2,12,72,72,16
20200404,18,玛沁县大武镇,23,优,NaN,9,15,0.2,13,72,72,16
20200404,19,玛沁县大武镇,23,优,NaN,16,17,0.2,13,68,72,16
20200404,20,玛沁县大武镇,23,优,NaN,13,16,0.2,12,72,72,17
20200404,21,玛沁县大武镇,24,优,NaN,10,16,0.2,13,74,72,17
20200404,22,玛沁县大武镇,24,优,NaN,8,21,0.2,12,75,72,16
20200405,08,玛沁县大武镇,29,优,NaN,15,29,0.3,17,60,70,26
20200405,09,玛沁县大武镇,38,优,NaN,22,38,0.2,15,63,69,30
20200405,10,玛沁县大武镇,37,优,NaN,12,37,0.3,20,70,68,38
20200405,11,玛沁县大武镇,34,优,NaN,8,34,0.2,15,70,68,34
20200405,12,玛沁县大武镇,26,优,NaN,6,26,0.2,14,72,68,22
20200405,13,玛沁县大武镇,24,优,NaN,7,18,0.1,12,75,68,16
20200405,14,玛沁县大武镇,24,优,NaN,7,17,0.1,12,76,69,15
20200405,15,玛沁县大武镇,24,优,NaN,10,23,0.1,12,76,70,16
20200405,16,玛沁县大武镇,25,优,NaN,11,22,0.1,12,80,73,16
20200405,17,玛沁县大武镇,26,优,NaN,13,22,NaN,10,83,75,16
20200405,18,玛沁县大武镇,28,优,NaN,15,24,NaN,11,87,77,14
20200405,19,玛沁县大武镇,33,优,NaN,20,33,NaN,11,89,80,14
20200405,20,玛沁县大武镇,36,优,NaN,25,34,0.1,11,85,81,15
20200405,21,玛沁县大武镇,49,优,NaN,30,49,0.1,12,74,81,15
20200405,22,玛沁县大武镇,47,优,NaN,28,47,0.1,13,68,80,15
20200405,23,玛沁县大武镇,53,良,颗粒物(PM10),28,56,0.1,14,66,79,16
20200406,00,玛沁县大武镇,52,良,颗粒物(PM10),26,54,0.1,13,56,76,16
20200406,01,玛沁县大武镇,49,优,NaN,23,49,0.2,14,51,51,16
