Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,柳东小学,28,优,NaN,19,27,0.3,7,44,46,5
20200402,08,环保监测站,30,优,NaN,21,27,0.6,13,40,41,3
20200402,08,河西水厂,29,优,NaN,20,24,0.5,14,42,45,10
20200402,08,市四中,38,优,NaN,26,NaN,0.6,18,37,38,7
20200402,08,市九中,40,优,NaN,28,35,0.7,23,26,35,11
20200402,08,古亭山,33,优,NaN,23,31,0.5,17,37,43,6
20200402,09,柳东小学,38,优,NaN,26,29,0.4,7,50,46,5
20200402,09,环保监测站,39,优,NaN,27,33,0.6,12,44,41,3
20200402,09,河西水厂,32,优,NaN,22,27,0.7,14,56,47,7
20200402,09,市四中,38,优,NaN,26,36,0.6,18,41,38,6
20200402,09,市九中,38,优,NaN,25,38,0.9,22,27,34,11
20200402,09,古亭山,30,优,NaN,21,29,0.5,16,42,42,6
20200402,10,柳东小学,35,优,NaN,24,25,0.4,9,48,46,5
20200402,10,环保监测站,35,优,NaN,24,33,0.6,16,37,41,2
20200402,10,河西水厂,30,优,NaN,21,27,0.5,18,42,47,5
20200402,10,市四中,33,优,NaN,23,33,0.6,28,32,38,6
20200402,10,市九中,43,优,NaN,30,36,0.7,20,29,33,9
20200402,10,古亭山,24,优,NaN,15,24,0.5,15,51,43,5
20200402,11,柳东小学,30,优,NaN,21,21,0.4,12,45,46,5
20200402,11,环保监测站,29,优,NaN,20,28,0.6,16,38,40,2
20200402,11,河西水厂,23,优,NaN,16,22,0.6,19,39,46,6
20200402,11,市四中,32,优,NaN,22,31,0.7,31,28,36,6
20200402,11,市九中,40,优,NaN,28,32,0.8,25,25,32,8
20200402,11,古亭山,18,优,NaN,12,14,0.6,15,52,44,5
20200402,12,柳东小学,26,优,NaN,18,NaN,0.4,7,52,46,5
20200402,12,环保监测站,33,优,NaN,23,NaN,0.7,14,42,40,2
20200402,12,河西水厂,26,优,NaN,18,22,0.5,18,39,44,4
20200402,12,市四中,29,优,NaN,20,24,0.7,36,24,34,7
20200402,12,市九中,42,优,NaN,29,NaN,0.7,26,24,30,8
20200402,12,古亭山,15,优,NaN,10,12,0.6,15,48,44,5
20200402,13,柳东小学,16,优,NaN,10,11,0.5,8,51,47,5
