Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,电子科大尧山校区,39,优,NaN,27,33,1.0,6,61,64,5
20200402,08,监测站,40,优,NaN,28,32,0.8,19,42,50,6
20200402,08,龙隐路小学,42,优,NaN,28,42,0.6,16,33,39,12
20200402,08,八中,35,优,NaN,24,26,1.0,28,32,37,8
20200402,09,电子科大尧山校区,32,优,NaN,22,30,1.0,7,58,63,7
20200402,09,监测站,45,优,NaN,31,NaN,0.8,19,44,48,6
20200402,09,龙隐路小学,45,优,NaN,31,34,0.6,17,34,38,17
20200402,09,八中,40,优,NaN,26,40,1.0,26,34,40,8
20200402,10,电子科大尧山校区,26,优,NaN,18,26,1.0,7,60,62,5
20200402,10,监测站,50,优,NaN,35,NaN,0.8,21,46,48,9
20200402,10,龙隐路小学,45,优,NaN,31,40,0.6,17,38,38,18
20200402,10,八中,38,优,NaN,26,32,1.0,26,37,39,8
20200402,11,电子科大尧山校区,29,优,NaN,20,27,1.0,8,60,62,9
20200402,11,监测站,50,优,NaN,35,NaN,0.8,21,46,47,10
20200402,11,龙隐路小学,43,优,NaN,30,34,0.6,16,40,38,16
20200402,11,八中,36,优,NaN,25,33,1.0,23,44,39,11
20200402,12,电子科大尧山校区,33,优,NaN,23,30,1.0,NaN,56,60,NaN
20200402,12,监测站,50,优,NaN,35,49,0.8,20,46,46,7
20200402,12,龙隐路小学,48,优,NaN,33,41,0.6,18,39,38,34
20200402,12,八中,36,优,NaN,25,35,1.0,24,42,38,13
20200402,13,电子科大尧山校区,NaN,,NaN,NaN,NaN,NaN,8,53,59,5
20200402,13,监测站,50,优,NaN,35,48,0.8,18,50,46,6
20200402,13,龙隐路小学,48,优,NaN,33,41,0.6,16,42,38,8
20200402,13,八中,40,优,NaN,28,38,0.9,20,47,39,7
20200402,14,电子科大尧山校区,28,优,NaN,19,28,0.7,9,NaN,59,5
20200402,14,监测站,45,优,NaN,31,37,0.7,17,53,47,6
20200402,14,龙隐路小学,39,优,NaN,27,36,0.5,17,42,38,7
20200402,14,八中,36,优,NaN,25,29,0.9,20,48,40,6
20200402,15,电子科大尧山校区,20,优,NaN,9,12,0.7,8,62,59,7
20200402,15,监测站,33,优,NaN,23,32,0.7,17,51,47,6
20200402,15,龙隐路小学,25,优,NaN,16,25,0.6,17,42,39,6
20200402,15,八中,26,优,NaN,18,25,0.9,23,42,41,6
20200402,16,电子科大尧山校区,21,优,NaN,10,13,0.7,8,65,59,6
20200402,16,监测站,26,优,NaN,18,NaN,0.7,15,56,49,10
20200402,16,龙隐路小学,27,优,NaN,13,27,0.5,16,46,40,10
20200402,16,八中,19,优,NaN,13,16,0.9,18,48,43,8
20200402,17,电子科大尧山校区,20,优,NaN,14,18,0.7,8,62,60,5
20200402,17,监测站,28,优,NaN,19,21,0.7,19,50,50,7
20200402,17,龙隐路小学,26,优,NaN,18,25,0.5,17,47,42,8
20200402,17,八中,NaN,,NaN,NaN,NaN,0.9,20,43,44,NaN
20200402,18,电子科大尧山校区,32,优,NaN,22,30,0.7,9,61,60,6
20200402,18,监测站,39,优,NaN,27,30,0.8,24,41,49,6
20200402,18,龙隐路小学,28,优,NaN,19,28,0.6,21,33,41,6
20200402,18,八中,25,优,NaN,17,21,NaN,NaN,33,43,7
20200402,19,电子科大尧山校区,30,优,NaN,21,28,0.7,8,59,60,5
