Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,监测站,50,优,NaN,23,50,0.5,6,74,63,4
20200402,08,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,08,东关招商场,52,良,颗粒物(PM10),22,53,0.4,6,80,65,5
20200402,09,监测站,53,良,颗粒物(PM10),20,55,0.6,13,65,67,5
20200402,09,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,09,东关招商场,54,良,颗粒物(PM10),24,58,0.4,15,72,69,6
20200402,10,监测站,54,良,颗粒物(PM10),21,57,0.5,10,70,70,5
20200402,10,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,10,东关招商场,56,良,颗粒物(PM10),25,61,0.4,11,79,75,5
20200402,11,监测站,55,良,颗粒物(PM10),22,60,0.5,8,74,72,5
20200402,11,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,11,东关招商场,56,良,颗粒物(PM10),26,61,0.4,10,84,78,6
20200402,12,监测站,54,良,颗粒物(PM10),23,57,0.5,8,77,72,4
20200402,12,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,12,东关招商场,55,良,颗粒物(PM10),26,60,0.4,9,83,78,5
20200402,13,监测站,56,良,颗粒物(PM10),24,62,0.5,10,77,73,4
20200402,13,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,13,东关招商场,56,良,颗粒物(PM10),26,62,0.4,10,84,80,5
20200402,14,监测站,56,良,颗粒物(PM10),25,62,0.5,11,78,74,5
20200402,14,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,14,东关招商场,57,良,颗粒物(PM10),27,64,0.4,11,87,81,5
20200402,15,监测站,58,良,颗粒物(PM10),27,65,0.5,11,82,75,5
20200402,15,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,15,东关招商场,61,良,颗粒物(PM10),29,71,0.5,14,88,82,6
20200402,16,监测站,58,良,颗粒物(PM10),30,65,0.5,12,87,76,5
20200402,16,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,16,东关招商场,61,良,颗粒物(PM10),30,72,0.5,12,99,84,5
20200402,17,监测站,61,良,颗粒物(PM10),28,72,0.5,7,100,81,4
20200402,17,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,17,东关招商场,61,良,颗粒物(PM10),28,71,0.5,8,111,89,5
20200402,18,监测站,59,良,颗粒物(PM10),29,68,0.5,7,100,84,4
20200402,18,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,18,东关招商场,64,良,颗粒物(PM10),29,78,0.5,10,109,93,4
20200402,19,监测站,64,良,颗粒物(PM10),34,78,0.6,13,91,86,4
20200402,19,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,19,东关招商场,61,良,颗粒物(PM10),32,72,0.5,14,103,96,4
20200402,20,监测站,61,良,颗粒物(PM10),39,71,0.6,18,81,87,4
20200402,20,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,20,东关招商场,64,良,颗粒物(PM10),36,78,0.6,18,94,97,5
20200402,20,监测站,61,良,颗粒物(PM10),39,71,0.6,18,81,87,4
20200402,20,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200402,20,东关招商场,64,良,颗粒物(PM10),36,78,0.6,18,94,97,5
20200402,23,监测站,62,良,颗粒物(PM10),35,73,0.5,13,86,85,6
