Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,小河沿,92,良,细颗粒物(PM2.5),68,120,1.8,53,37,39,33
20200402,08,太原街,109,轻度污染,细颗粒物(PM2.5),82,125,2.1,56,32,33,32
20200402,08,浑南东路,92,良,细颗粒物(PM2.5),68,116,1.5,44,44,30,40
20200402,08,新秀街,122,轻度污染,细颗粒物(PM2.5),92,164,2.2,53,34,17,53
20200402,08,沧海路,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,东陵路,155,中度污染,细颗粒物(PM2.5),118,182,1.7,60,25,18,52
20200402,08,陵东街,93,良,细颗粒物(PM2.5),69,91,1.9,52,40,41,36
20200402,08,文化路,105,轻度污染,细颗粒物(PM2.5),79,151,2.0,47,48,40,36
20200402,08,南十东路,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,京沈街,93,良,细颗粒物(PM2.5),69,118,1.9,50,38,37,32
20200402,08,森林路,103,轻度污染,细颗粒物(PM2.5),77,113,1.8,42,34,17,55
20200402,08,沈辽西路,168,中度污染,细颗粒物(PM2.5),127,210,2.2,51,36,24,29
20200402,08,裕农路,125,轻度污染,细颗粒物(PM2.5),95,116,1.6,56,34,26,46
20200402,09,小河沿,132,轻度污染,细颗粒物(PM2.5),100,168,2.0,56,50,38,32
20200402,09,太原街,166,中度污染,细颗粒物(PM2.5),126,183,2.4,56,50,34,30
20200402,09,浑南东路,133,轻度污染,细颗粒物(PM2.5),101,163,1.9,50,52,33,37
20200402,09,新秀街,128,轻度污染,细颗粒物(PM2.5),97,178,2.5,47,NaN,17,46
20200402,09,沧海路,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,东陵路,93,良,颗粒物(PM10),60,135,1.8,42,50,23,33
20200402,09,陵东街,129,轻度污染,细颗粒物(PM2.5),98,115,2.0,57,51,40,33
20200402,09,文化路,137,轻度污染,细颗粒物(PM2.5),104,188,2.1,50,59,40,32
