Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,沧县城建局,62,良,颗粒物(PM10),40,74,0.4,12,50,47,5
20200402,08,电视转播站,55,良,颗粒物(PM10),37,60,0.6,17,55,48,5
20200402,08,市环保局,53,良,细颗粒物(PM2.5),37,53,0.7,15,54,49,5
20200402,09,沧县城建局,48,优,NaN,33,45,0.4,8,63,50,6
20200402,09,电视转播站,53,良,颗粒物(PM10),31,56,0.6,17,56,49,5
20200402,09,市环保局,54,良,细颗粒物(PM2.5),38,45,0.7,15,58,50,5
20200402,10,沧县城建局,52,良,颗粒物(PM10),34,53,0.4,6,74,54,6
20200402,10,电视转播站,50,优,NaN,32,50,0.5,16,70,53,5
20200402,10,市环保局,53,良,细颗粒物(PM2.5),37,49,0.6,15,69,54,5
20200402,11,沧县城建局,51,良,颗粒物(PM10),31,51,0.4,6,86,62,6
20200402,11,电视转播站,51,良,颗粒物(PM10),28,51,0.5,15,83,60,5
20200402,11,市环保局,50,优,NaN,35,46,0.6,11,83,60,5
20200402,12,沧县城建局,48,优,NaN,29,48,0.3,3,102,70,6
20200402,12,电视转播站,48,优,NaN,28,48,0.5,13,95,67,6
20200402,12,市环保局,43,优,NaN,30,43,0.6,9,98,67,6
20200402,13,沧县城建局,44,优,NaN,28,44,0.3,1,110,75,6
20200402,13,电视转播站,43,优,NaN,28,43,0.5,12,103,72,5
20200402,13,市环保局,47,优,NaN,31,47,0.6,7,107,73,5
20200402,14,沧县城建局,43,优,NaN,26,43,0.2,1,114,82,5
20200402,14,电视转播站,41,优,NaN,26,41,0.5,12,106,78,5
20200402,14,市环保局,42,优,NaN,29,42,0.5,9,110,79,5
20200402,14,沧县城建局,43,优,NaN,26,43,0.2,1,114,82,5
20200402,14,电视转播站,41,优,NaN,26,41,0.5,12,106,78,5
20200402,14,市环保局,42,优,NaN,29,42,0.5,9,110,79,5
20200402,15,沧县城建局,46,优,NaN,21,46,0.2,3,115,89,5
20200402,15,电视转播站,37,优,NaN,20,37,0.5,11,112,85,5
20200402,15,市环保局,41,优,NaN,20,41,0.5,7,116,87,5
20200402,16,沧县城建局,42,优,NaN,22,42,0.1,3,117,98,5
20200402,16,电视转播站,39,优,NaN,16,39,0.5,10,113,92,5
20200402,16,市环保局,37,优,NaN,20,30,0.5,6,116,95,5
20200402,18,沧县城建局,40,优,NaN,25,40,0.2,6,118,110,5
20200402,18,电视转播站,NaN,,NaN,NaN,NaN,0.3,NaN,113,105,5
20200402,18,市环保局,38,优,NaN,26,32,0.5,8,118,108,6
20200402,19,沧县城建局,44,优,NaN,28,44,0.2,17,104,112,6
20200402,19,电视转播站,49,优,NaN,27,49,0.4,11,NaN,108,5
20200402,19,市环保局,49,优,NaN,34,34,0.6,13,111,112,6
20200402,20,沧县城建局,76,良,颗粒物(PM10),35,101,0.3,28,81,110,6
20200402,20,电视转播站,66,良,颗粒物(PM10),28,81,0.4,24,89,107,5
20200402,20,市环保局,61,良,颗粒物(PM10),41,72,0.6,25,91,111,5
