Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,监测站,59,良,细颗粒物(PM2.5),42,56,0.8,27,54,58,12
20200402,08,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,电力学校,69,良,细颗粒物(PM2.5),50,59,0.8,24,51,41,12
20200402,09,监测站,58,良,细颗粒物(PM2.5),41,59,0.9,28,56,59,15
20200402,09,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,电力学校,62,良,细颗粒物(PM2.5),44,63,0.9,26,52,42,14
20200402,10,监测站,56,良,颗粒物(PM10),38,62,1.0,30,55,59,16
20200402,10,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,电力学校,59,良,细颗粒物(PM2.5),42,63,0.9,27,52,43,15
20200402,11,监测站,57,良,颗粒物(PM10),38,63,0.9,27,65,61,20
20200402,11,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,电力学校,60,良,颗粒物(PM10),42,70,0.9,29,52,49,17
20200402,12,监测站,63,良,细颗粒物(PM2.5),45,67,0.9,29,66,60,18
20200402,12,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,电力学校,68,良,细颗粒物(PM2.5),49,70,0.8,30,54,49,16
20200402,13,监测站,82,良,细颗粒物(PM2.5),60,71,0.8,28,78,61,15
20200402,13,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,电力学校,80,良,细颗粒物(PM2.5),59,75,0.8,30,58,50,15
20200402,14,监测站,80,良,细颗粒物(PM2.5),59,76,0.7,27,83,64,15
20200402,14,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,电力学校,88,良,细颗粒物(PM2.5),65,73,0.8,28,62,54,14
20200402,15,监测站,79,良,细颗粒物(PM2.5),58,83,0.7,26,90,68,15
20200402,15,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,电力学校,85,良,细颗粒物(PM2.5),63,79,0.7,23,71,56,13
20200402,16,监测站,77,良,细颗粒物(PM2.5),56,83,0.7,27,86,72,15
20200402,16,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,电力学校,82,良,细颗粒物(PM2.5),60,78,0.7,24,72,59,14
20200402,17,监测站,77,良,细颗粒物(PM2.5),56,77,0.7,28,85,76,15
20200402,17,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,电力学校,83,良,细颗粒物(PM2.5),61,82,0.7,27,68,61,15
20200402,18,监测站,83,良,细颗粒物(PM2.5),61,78,0.7,31,79,79,14
20200402,18,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,电力学校,88,良,细颗粒物(PM2.5),65,83,0.7,26,69,63,13
20200402,19,监测站,95,良,细颗粒物(PM2.5),71,87,0.7,32,73,80,14
20200402,19,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,电力学校,99,良,细颗粒物(PM2.5),74,88,0.7,28,66,65,12
20200402,20,监测站,105,轻度污染,细颗粒物(PM2.5),79,93,0.7,32,65,80,14
20200402,20,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,电力学校,143,轻度污染,细颗粒物(PM2.5),109,NaN,0.8,31,55,65,13
20200402,20,监测站,105,轻度污染,细颗粒物(PM2.5),79,93,0.7,32,65,80,14
20200402,20,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,电力学校,143,轻度污染,细颗粒物(PM2.5),109,NaN,0.8,31,55,65,13
20200402,22,监测站,95,良,细颗粒物(PM2.5),71,101,0.7,38,38,70,10
20200402,22,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,电力学校,137,轻度污染,细颗粒物(PM2.5),104,111,0.9,52,20,57,9
20200402,23,监测站,112,轻度污染,细颗粒物(PM2.5),84,98,0.9,46,18,61,10
20200402,23,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,电力学校,103,轻度污染,细颗粒物(PM2.5),77,114,0.8,39,35,53,8
20200403,00,监测站,114,轻度污染,细颗粒物(PM2.5),86,108,0.8,42,17,53,9
20200403,00,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,电力学校,77,良,细颗粒物(PM2.5),56,92,0.7,30,45,49,7
20200403,01,监测站,109,轻度污染,细颗粒物(PM2.5),82,104,0.8,41,12,12,9
20200403,01,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,电力学校,77,良,细颗粒物(PM2.5),56,70,0.7,42,32,32,7
20200403,02,监测站,105,轻度污染,细颗粒物(PM2.5),79,97,0.8,47,5,8,8
20200403,02,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,电力学校,134,轻度污染,细颗粒物(PM2.5),102,NaN,1.1,57,1,16,10
20200403,03,监测站,107,轻度污染,细颗粒物(PM2.5),80,98,0.9,51,17,11,10
20200403,03,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,电力学校,124,轻度污染,细颗粒物(PM2.5),94,138,0.9,56,NaN,11,9
20200403,03,监测站,107,轻度污染,细颗粒物(PM2.5),80,98,0.9,51,17,11,10
20200403,03,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,电力学校,124,轻度污染,细颗粒物(PM2.5),94,138,0.9,56,NaN,11,9
20200403,08,监测站,83,良,细颗粒物(PM2.5),61,96,0.9,42,33,17,10
20200403,08,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,电力学校,104,轻度污染,细颗粒物(PM2.5),78,136,1.0,49,15,6,11
20200403,09,监测站,117,轻度污染,细颗粒物(PM2.5),88,97,1.4,38,58,23,16
20200403,09,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,电力学校,112,轻度污染,细颗粒物(PM2.5),84,142,2.0,36,45,8,17
20200403,10,监测站,119,轻度污染,细颗粒物(PM2.5),90,135,1.4,34,91,33,18
20200403,10,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,电力学校,100,良,细颗粒物(PM2.5),75,135,1.3,30,69,16,14
20200403,11,监测站,105,轻度污染,细颗粒物(PM2.5),79,121,0.9,35,98,44,13
20200403,11,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,电力学校,89,良,细颗粒物(PM2.5),66,114,0.8,33,76,26,12
20200403,12,监测站,83,良,颗粒物(PM10),59,116,0.7,32,112,54,14
20200403,12,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,12,电力学校,80,良,颗粒物(PM10),42,110,0.5,24,90,37,14
20200403,13,监测站,70,良,颗粒物(PM10),39,89,0.6,24,128,68,12
20200403,13,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,13,电力学校,61,良,颗粒物(PM10),30,72,0.4,16,102,50,9
20200403,14,监测站,54,良,颗粒物(PM10),35,57,0.5,23,131,83,10
20200403,14,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,14,电力学校,52,良,颗粒物(PM10),29,53,0.4,16,106,63,9
20200403,15,监测站,64,良,细颗粒物(PM2.5),46,60,0.6,23,NaN,93,11
20200403,15,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,15,电力学校,52,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",36,53,0.5,16,112,77,9
20200403,16,监测站,69,良,颗粒物(PM10),43,87,NaN,NaN,122,106,NaN
20200403,16,人口学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,16,电力学校,57,良,颗粒物(PM10),34,63,0.5,16,114,89,9
20200403,17,监测站,64,良,颗粒物(PM10),35,78,0.6,18,126,115,11
20200403,17,人口学校,57,良,颗粒物(PM10),25,63,0.5,16,117,117,10
20200403,17,电力学校,59,良,颗粒物(PM10),29,67,0.4,17,105,97,10
20200403,18,监测站,57,良,细颗粒物(PM2.5),40,61,0.6,25,108,118,14
20200403,18,人口学校,57,良,颗粒物(PM10),30,63,0.6,22,105,111,12
20200403,18,电力学校,58,良,颗粒物(PM10),31,66,0.5,25,89,99,14
20200403,19,监测站,60,良,颗粒物(PM10),38,70,0.6,32,95,117,13
20200403,19,人口学校,69,良,颗粒物(PM10),26,88,0.5,25,98,107,11
20200403,19,电力学校,63,良,颗粒物(PM10),32,76,0.5,40,73,99,17
20200403,20,监测站,65,良,颗粒物(PM10),37,80,0.6,31,94,115,11
20200403,20,人口学校,63,良,颗粒物(PM10),27,75,0.6,23,99,105,10
20200403,20,电力学校,66,良,颗粒物(PM10),30,82,0.5,37,77,97,11
20200403,21,监测站,64,良,颗粒物(PM10),41,77,0.7,36,70,107,12
20200403,21,人口学校,58,良,颗粒物(PM10),24,65,0.6,22,85,101,10
20200403,21,电力学校,64,良,颗粒物(PM10),40,77,0.6,70,42,90,10
20200403,22,监测站,68,良,细颗粒物(PM2.5),49,79,0.8,68,10,89,12
20200403,22,人口学校,53,良,颗粒物(PM10),19,55,0.5,27,64,95,8
20200403,22,电力学校,79,良,颗粒物(PM10),47,107,0.6,116,1,77,12
20200403,23,监测站,81,良,颗粒物(PM10),44,111,0.8,73,NaN,78,11
20200403,23,人口学校,52,良,颗粒物(PM10),20,53,0.5,28,60,90,8
20200403,23,电力学校,89,良,颗粒物(PM10),56,128,0.7,112,1,63,12
20200404,00,监测站,76,良,颗粒物(PM10),51,101,0.9,68,NaN,63,13
20200404,00,人口学校,58,良,颗粒物(PM10),25,66,0.5,34,55,85,8
20200404,00,电力学校,96,良,颗粒物(PM10),59,142,0.7,107,4,49,11
20200404,01,监测站,80,良,颗粒物(PM10),56,109,0.9,67,NaN,NaN,13
20200404,01,人口学校,60,良,颗粒物(PM10),29,69,0.5,52,27,27,8
20200404,01,电力学校,86,良,颗粒物(PM10),57,122,0.6,105,4,4,10
20200404,02,监测站,85,良,颗粒物(PM10),58,119,0.8,63,NaN,NaN,12
20200404,02,人口学校,71,良,颗粒物(PM10),34,91,0.5,37,50,38,8
20200404,02,电力学校,84,良,细颗粒物(PM2.5),62,108,0.6,84,25,14,11
20200404,03,监测站,88,良,颗粒物(PM10),64,126,0.7,70,NaN,NaN,14
20200404,03,人口学校,71,良,颗粒物(PM10),41,91,0.6,28,70,49,9
20200404,03,电力学校,89,良,细颗粒物(PM2.5),66,105,0.6,86,20,16,11
20200404,03,监测站,88,良,颗粒物(PM10),64,126,0.7,70,NaN,NaN,14
20200404,03,人口学校,71,良,颗粒物(PM10),41,91,0.6,28,70,49,9
20200404,03,电力学校,89,良,细颗粒物(PM2.5),66,105,0.6,86,20,16,11
20200404,08,监测站,93,良,细颗粒物(PM2.5),69,129,1.1,41,59,10,22
20200404,08,人口学校,68,良,颗粒物(PM10),45,85,1.0,27,78,56,13
20200404,08,电力学校,107,轻度污染,颗粒物(PM10),65,163,0.9,42,50,14,23
20200404,09,监测站,118,轻度污染,细颗粒物(PM2.5),89,118,1.6,48,52,17,36
20200404,09,人口学校,75,良,细颗粒物(PM2.5),55,97,1.4,36,63,60,16
20200404,09,电力学校,109,轻度污染,细颗粒物(PM2.5),82,122,1.5,52,41,19,30
20200404,10,监测站,135,轻度污染,细颗粒物(PM2.5),103,176,1.3,40,86,28,33
20200404,10,人口学校,98,良,细颗粒物(PM2.5),73,144,1.2,36,80,64,16
20200404,10,电力学校,122,轻度污染,细颗粒物(PM2.5),92,174,1.3,43,70,24,30
20200404,11,监测站,122,轻度污染,颗粒物(PM10),64,194,1.0,28,98,40,21
20200404,11,人口学校,115,轻度污染,颗粒物(PM10),54,179,0.9,23,95,67,16
20200404,11,电力学校,120,轻度污染,颗粒物(PM10),59,190,1.1,28,82,32,22
20200404,12,监测站,198,中度污染,颗粒物(PM10),37,346,0.8,20,102,53,14
20200404,12,人口学校,177,中度污染,颗粒物(PM10),31,304,0.7,15,100,71,12
20200404,12,电力学校,177,中度污染,颗粒物(PM10),28,303,0.7,17,86,43,14
20200404,13,监测站,187,中度污染,颗粒物(PM10),33,323,0.8,19,109,66,16
20200404,13,人口学校,176,中度污染,颗粒物(PM10),24,301,0.6,13,103,77,11
20200404,13,电力学校,168,中度污染,颗粒物(PM10),23,286,0.6,15,94,54,15
20200404,14,监测站,152,中度污染,颗粒物(PM10),34,254,0.8,18,117,80,17
20200404,14,人口学校,161,中度污染,颗粒物(PM10),22,271,0.6,13,107,84,11
20200404,14,电力学校,156,中度污染,颗粒物(PM10),23,262,0.6,14,101,67,16
20200404,15,监测站,135,轻度污染,颗粒物(PM10),32,219,0.8,18,120,93,17
20200404,15,人口学校,142,轻度污染,颗粒物(PM10),21,234,0.6,14,111,92,12
20200404,15,电力学校,139,轻度污染,颗粒物(PM10),21,227,0.7,16,101,78,17
20200404,16,监测站,123,轻度污染,颗粒物(PM10),31,196,0.7,17,121,101,14
20200404,16,人口学校,127,轻度污染,颗粒物(PM10),21,203,0.5,14,113,96,12
20200404,16,电力学校,129,轻度污染,颗粒物(PM10),20,208,0.6,15,104,85,14
20200404,17,监测站,115,轻度污染,颗粒物(PM10),27,179,0.5,18,117,109,12
20200404,17,人口学校,123,轻度污染,颗粒物(PM10),17,195,0.4,14,107,102,10
20200404,17,电力学校,116,轻度污染,颗粒物(PM10),17,181,0.4,15,100,92,10
20200404,18,监测站,97,良,颗粒物(PM10),22,144,0.6,21,106,111,11
20200404,18,人口学校,105,轻度污染,颗粒物(PM10),15,160,0.5,16,106,105,10
20200404,18,电力学校,102,轻度污染,颗粒物(PM10),15,154,0.4,17,93,95,10
20200404,19,监测站,90,良,颗粒物(PM10),27,129,0.6,24,95,111,11
20200404,19,人口学校,90,良,颗粒物(PM10),16,129,0.5,17,100,106,10
20200404,19,电力学校,93,良,颗粒物(PM10),15,136,0.4,23,79,95,10
20200404,20,监测站,90,良,颗粒物(PM10),30,130,0.6,29,78,108,12
20200404,20,人口学校,92,良,颗粒物(PM10),16,133,0.5,20,89,104,10
20200404,20,电力学校,87,良,颗粒物(PM10),16,124,0.4,26,71,93,10
20200404,21,监测站,101,轻度污染,颗粒物(PM10),31,152,0.6,32,69,103,13
20200404,21,人口学校,89,良,颗粒物(PM10),15,127,0.5,21,79,102,10
20200404,21,电力学校,91,良,颗粒物(PM10),15,132,0.4,26,66,89,9
20200404,22,监测站,94,良,颗粒物(PM10),23,137,0.7,29,73,97,13
20200404,22,人口学校,84,良,颗粒物(PM10),13,118,0.6,19,80,98,9
20200404,22,电力学校,81,良,颗粒物(PM10),15,112,0.8,26,63,85,15
20200404,22,监测站,94,良,颗粒物(PM10),23,137,0.7,29,73,97,13
20200404,22,人口学校,84,良,颗粒物(PM10),13,118,0.6,19,80,98,9
20200404,22,电力学校,81,良,颗粒物(PM10),15,112,0.8,26,63,85,15
20200405,08,监测站,47,优,NaN,24,47,0.7,20,80,62,17
20200405,08,人口学校,38,优,NaN,14,38,0.6,17,75,66,11
20200405,08,电力学校,52,良,颗粒物(PM10),27,54,0.5,23,59,53,18
20200405,09,监测站,55,良,颗粒物(PM10),22,60,0.7,20,85,64,15
20200405,09,人口学校,51,良,颗粒物(PM10),13,52,0.6,18,79,66,10
20200405,09,电力学校,61,良,颗粒物(PM10),21,71,0.5,22,64,54,16
20200405,10,监测站,57,良,颗粒物(PM10),32,64,0.7,25,78,66,18
20200405,10,人口学校,52,良,颗粒物(PM10),16,53,0.6,22,77,66,11
