Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,公园路,67,良,细颗粒物(PM2.5),48,82,0.7,26,51,48,9
20200402,08,莲花,55,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",39,59,0.7,21,47,51,9
20200402,08,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,留学生创业园,53,良,颗粒物(PM10),23,56,0.6,30,61,57,7
20200402,08,王营,58,良,细颗粒物(PM2.5),41,64,0.6,23,50,41,6
20200402,09,公园路,61,良,颗粒物(PM10),37,71,0.6,15,78,49,8
20200402,09,莲花,62,良,细颗粒物(PM2.5),44,68,0.6,13,74,51,7
20200402,09,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,留学生创业园,56,良,颗粒物(PM10),27,61,0.6,21,78,58,6
20200402,09,王营,56,良,颗粒物(PM10),30,62,0.5,11,78,43,5
20200402,10,公园路,49,优,NaN,16,49,0.5,11,90,53,6
20200402,10,莲花,50,优,NaN,19,50,0.5,10,87,55,6
20200402,10,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,留学生创业园,43,优,NaN,16,43,0.5,16,90,61,6
20200402,10,王营,38,优,NaN,17,38,0.4,8,90,48,5
20200402,11,公园路,35,优,NaN,14,35,0.5,12,92,57,6
20200402,11,莲花,38,优,NaN,19,38,0.5,12,91,59,5
20200402,11,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,留学生创业园,39,优,NaN,11,39,0.5,17,92,65,5
20200402,11,王营,32,优,NaN,16,32,0.4,8,96,56,4
20200402,12,公园路,39,优,NaN,22,39,0.5,10,102,63,6
20200402,12,莲花,44,优,NaN,21,44,0.5,10,104,65,5
20200402,12,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,留学生创业园,39,优,NaN,16,39,0.5,15,103,71,5
20200402,12,王营,35,优,NaN,17,35,0.4,7,106,67,4
20200402,13,公园路,38,优,NaN,18,38,0.5,9,114,72,6
20200402,13,莲花,39,优,NaN,25,39,0.4,9,114,75,5
20200402,13,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,留学生创业园,40,优,NaN,19,40,0.5,13,114,80,5
20200402,13,王营,37,优,NaN,14,28,0.4,6,116,76,4
20200402,14,公园路,38,优,NaN,11,37,0.5,8,120,86,5
20200402,14,莲花,39,优,NaN,20,36,0.4,9,122,85,5
20200402,14,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,留学生创业园,40,优,NaN,17,40,0.5,14,123,90,5
20200402,14,王营,39,优,NaN,19,30,0.4,6,124,86,4
20200402,15,公园路,39,优,NaN,15,36,0.4,7,122,96,5
20200402,15,莲花,40,优,NaN,23,38,0.4,10,126,96,5
20200402,15,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,留学生创业园,40,优,NaN,18,39,NaN,14,126,98,5
20200402,15,王营,40,优,NaN,15,29,0.4,5,125,98,4
20200402,16,公园路,38,优,NaN,16,28,0.4,8,120,105,5
20200402,16,莲花,39,优,NaN,22,39,0.3,9,123,105,5
20200402,16,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,留学生创业园,NaN,,NaN,NaN,NaN,0.5,14,NaN,104,5
20200402,16,王营,40,优,NaN,10,25,0.4,6,125,108,4
20200402,17,公园路,37,优,NaN,19,34,0.4,8,118,110,5
20200402,17,莲花,42,优,NaN,19,42,0.3,10,121,111,4
20200402,17,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,留学生创业园,44,优,NaN,24,44,0.5,14,120,110,5
20200402,17,王营,39,优,NaN,12,29,0.4,7,123,113,4
20200402,18,公园路,36,优,NaN,13,27,0.5,10,113,113,5
20200402,18,莲花,39,优,NaN,18,39,0.3,NaN,114,114,5
20200402,18,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,留学生创业园,40,优,NaN,19,40,0.5,16,115,113,5
20200402,18,王营,36,优,NaN,16,34,0.4,10,115,116,4
20200402,19,公园路,34,优,NaN,18,34,0.5,14,98,113,5
20200402,19,莲花,NaN,,NaN,NaN,NaN,0.4,16,NaN,118,5
20200402,19,高港区政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
