Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,监测站,69,良,颗粒物(PM10),29,87,0.5,37,46,65,5
20200402,08,烈山区政府,62,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",44,73,0.4,22,64,64,6
20200402,08,职业技术学院,66,良,颗粒物(PM10),29,82,0.6,21,57,71,4
20200402,09,监测站,66,良,颗粒物(PM10),21,82,0.4,28,62,62,6
20200402,09,烈山区政府,61,良,颗粒物(PM10),38,72,0.4,17,72,64,8
20200402,09,职业技术学院,63,良,颗粒物(PM10),24,76,0.5,19,64,67,5
20200402,10,监测站,64,良,颗粒物(PM10),23,77,0.4,27,63,60,6
20200402,10,烈山区政府,64,良,颗粒物(PM10),33,78,0.3,16,76,64,6
20200402,10,职业技术学院,58,良,颗粒物(PM10),21,66,0.4,14,70,66,6
20200402,11,监测站,60,良,颗粒物(PM10),20,70,0.4,19,78,61,5
20200402,11,烈山区政府,56,良,颗粒物(PM10),27,62,0.3,13,84,68,6
20200402,11,职业技术学院,57,良,颗粒物(PM10),20,63,0.4,12,79,67,5
20200402,12,监测站,55,良,颗粒物(PM10),24,59,0.4,19,85,63,4
20200402,12,烈山区政府,51,良,颗粒物(PM10),20,52,0.3,13,88,71,6
20200402,12,职业技术学院,54,良,颗粒物(PM10),23,57,0.4,9,87,69,10
20200402,13,监测站,54,良,颗粒物(PM10),23,58,0.3,14,92,67,4
20200402,13,烈山区政府,51,良,颗粒物(PM10),22,51,0.3,14,88,75,7
20200402,13,职业技术学院,51,良,颗粒物(PM10),24,51,0.4,9,91,72,5
20200402,14,监测站,51,良,颗粒物(PM10),23,52,0.3,16,92,71,4
20200402,14,烈山区政府,50,优,NaN,22,50,0.3,14,94,78,6
20200402,14,职业技术学院,49,优,NaN,23,49,0.4,11,92,75,7
20200402,15,监测站,52,良,颗粒物(PM10),28,53,0.5,21,87,76,5
