Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,荔园,63,良,细颗粒物(PM2.5),45,63,0.9,24,61,61,8
20200402,08,洪湖,35,优,NaN,16,35,0.7,20,61,58,5
20200402,08,华侨城,35,优,NaN,18,35,0.5,16,77,72,7
20200402,08,南油,65,良,细颗粒物(PM2.5),47,67,1.1,38,53,53,9
20200402,08,盐田,29,优,NaN,13,29,0.6,50,23,33,9
20200402,08,龙岗,51,良,颗粒物(PM10),26,51,0.7,42,16,11,5
20200402,08,西乡,53,良,颗粒物(PM10),28,55,0.8,42,25,12,7
20200402,08,南澳,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,葵涌,34,优,NaN,19,34,0.6,12,74,77,5
20200402,08,梅沙,26,优,NaN,15,25,0.6,10,81,81,6
20200402,08,观澜,50,优,NaN,23,50,0.8,27,36,14,5
20200402,08,通心岭子站,34,优,NaN,17,34,0.6,10,78,75,6
20200402,08,南海子站,36,优,NaN,14,36,0.8,16,69,62,4
20200402,09,荔园,63,良,细颗粒物(PM2.5),45,63,0.9,24,61,61,8
20200402,09,洪湖,37,优,NaN,16,37,0.7,17,64,61,5
20200402,09,华侨城,34,优,NaN,17,34,0.5,19,76,75,6
20200402,09,南油,65,良,细颗粒物(PM2.5),47,67,1.1,38,53,53,9
20200402,09,盐田,28,优,NaN,12,28,0.6,49,32,34,7
20200402,09,龙岗,49,优,NaN,25,49,0.7,44,18,14,5
20200402,09,西乡,44,优,NaN,18,44,0.7,30,57,19,7
20200402,09,南澳,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,葵涌,29,优,NaN,18,29,NaN,12,86,80,5
20200402,09,梅沙,26,优,NaN,14,24,0.5,13,83,84,6
20200402,09,观澜,45,优,NaN,18,45,0.8,29,41,20,5
20200402,09,通心岭子站,35,优,NaN,15,35,0.6,8,80,79,5
20200402,09,南海子站,30,优,NaN,15,30,0.8,17,73,66,4
20200402,10,荔园,63,良,细颗粒物(PM2.5),45,63,0.9,24,61,61,8
20200402,10,洪湖,38,优,NaN,15,38,0.6,16,66,63,5
20200402,10,华侨城,31,优,NaN,14,31,0.5,19,72,77,6
20200402,10,南油,65,良,细颗粒物(PM2.5),47,67,1.1,38,53,53,9
20200402,10,盐田,29,优,NaN,12,27,0.6,58,32,34,8
20200402,10,龙岗,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,西乡,39,优,NaN,17,39,0.6,28,66,27,7
20200402,10,南澳,28,优,NaN,11,23,0.5,9,87,86,5
20200402,10,葵涌,28,优,NaN,17,27,0.5,11,88,82,5
20200402,10,梅沙,28,优,NaN,14,19,0.5,14,88,85,6
