Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,凤城街办,33,优,NaN,23,NaN,0.8,30,16,12,6
20200402,08,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,环保大楼,20,优,NaN,14,NaN,0.8,25,16,12,5
20200402,08,技师学院,23,优,NaN,16,19,1.1,34,6,9,6
20200402,09,凤城街办,29,优,NaN,20,NaN,1.0,34,11,12,6
20200402,09,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,环保大楼,18,优,NaN,12,16,0.8,25,14,13,6
20200402,09,技师学院,23,优,NaN,16,23,0.9,34,7,9,6
20200402,10,凤城街办,23,优,NaN,16,18,0.9,33,12,12,6
20200402,10,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,环保大楼,16,优,NaN,11,15,0.8,25,13,14,6
20200402,10,技师学院,21,优,NaN,14,21,0.8,32,9,9,7
20200402,11,凤城街办,21,优,NaN,13,21,0.8,32,10,12,6
20200402,11,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,环保大楼,13,优,NaN,6,11,0.8,26,12,14,4
20200402,11,技师学院,19,优,NaN,13,18,0.8,32,9,10,6
20200402,12,凤城街办,20,优,NaN,14,19,0.8,31,12,13,6
20200402,12,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,环保大楼,13,优,NaN,8,12,0.8,25,13,15,4
20200402,12,技师学院,18,优,NaN,12,18,0.8,31,12,10,5
20200402,13,凤城街办,20,优,NaN,14,19,0.8,31,14,13,6
20200402,13,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,环保大楼,13,优,NaN,8,13,0.8,25,15,15,4
20200402,13,技师学院,18,优,NaN,12,14,0.8,30,12,11,5
20200402,14,凤城街办,20,优,NaN,14,NaN,0.8,31,15,13,6
20200402,14,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,环保大楼,13,优,NaN,8,NaN,0.8,26,16,15,5
20200402,14,技师学院,20,优,NaN,12,20,0.8,32,12,10,6
20200402,15,凤城街办,22,优,NaN,15,NaN,0.9,33,13,13,6
20200402,15,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,环保大楼,13,优,NaN,5,12,0.8,26,15,14,4
20200402,15,技师学院,20,优,NaN,13,20,0.8,32,10,10,5
20200402,16,凤城街办,19,优,NaN,13,18,0.9,38,10,12,6
20200402,16,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,环保大楼,14,优,NaN,7,9,0.8,28,14,14,4
20200402,16,技师学院,19,优,NaN,12,19,0.9,36,6,10,5
20200402,17,凤城街办,20,优,NaN,13,19,0.9,39,9,12,6
20200402,17,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,环保大楼,15,优,NaN,10,15,0.8,30,12,14,4
20200402,17,技师学院,20,优,NaN,14,19,0.9,37,5,9,5
20200402,18,凤城街办,23,优,NaN,16,NaN,1.0,41,6,11,6
20200402,18,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,环保大楼,22,优,NaN,13,16,0.9,43,7,13,4
20200402,18,技师学院,21,优,NaN,14,17,0.9,42,5,9,5
20200402,19,凤城街办,20,优,NaN,14,17,1.0,37,9,11,6
20200402,19,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,环保大楼,20,优,NaN,14,NaN,1.0,37,5,12,4
20200402,19,技师学院,22,优,NaN,15,21,0.9,43,3,8,5
20200402,20,凤城街办,20,优,NaN,14,15,0.9,37,8,10,6
20200402,20,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,环保大楼,13,优,NaN,9,13,0.8,25,14,12,4
20200402,20,技师学院,20,优,NaN,14,20,0.9,38,5,7,5
20200402,20,凤城街办,20,优,NaN,14,15,0.9,37,8,10,6
20200402,20,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,环保大楼,13,优,NaN,9,13,0.8,25,14,12,4
20200402,20,技师学院,20,优,NaN,14,20,0.9,38,5,7,5
20200402,22,凤城街办,15,优,NaN,10,NaN,0.8,30,11,10,6
20200402,22,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,环保大楼,10,优,NaN,NaN,3,0.7,19,16,13,4
20200402,22,技师学院,16,优,NaN,11,NaN,0.7,28,9,6,5
20200402,23,凤城街办,17,优,NaN,9,NaN,0.8,34,6,9,6
20200402,23,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,环保大楼,14,优,NaN,6,NaN,0.9,27,8,12,4
20200402,23,技师学院,16,优,NaN,10,NaN,0.8,32,4,5,5
20200403,00,凤城街办,16,优,NaN,8,10,0.8,32,6,9,6
20200403,00,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,环保大楼,15,优,NaN,7,12,0.8,30,4,11,4
20200403,00,技师学院,17,优,NaN,9,NaN,0.8,34,3,5,5
20200403,01,凤城街办,16,优,NaN,11,NaN,0.8,29,11,11,6
20200403,01,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,环保大楼,15,优,NaN,4,11,0.8,29,5,5,4
20200403,01,技师学院,16,优,NaN,9,10,0.7,31,3,3,5
20200403,02,凤城街办,13,优,NaN,8,NaN,0.7,26,14,12,6
20200403,02,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,环保大楼,7,优,NaN,NaN,5,0.7,14,20,12,4
20200403,02,技师学院,16,优,NaN,8,NaN,0.8,31,4,4,4
20200403,03,凤城街办,9,优,NaN,6,NaN,0.7,18,18,14,6
20200403,03,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,环保大楼,7,优,NaN,NaN,5,0.7,12,22,16,4
20200403,03,技师学院,16,优,NaN,8,NaN,0.7,32,4,4,5
20200403,03,凤城街办,9,优,NaN,6,NaN,0.7,18,18,14,6
20200403,03,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,环保大楼,7,优,NaN,NaN,5,0.7,12,22,16,4
20200403,03,技师学院,16,优,NaN,8,NaN,0.7,32,4,4,5
20200403,08,凤城街办,16,优,NaN,7,7,0.9,31,9,13,6
20200403,08,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,环保大楼,14,优,NaN,3,3,0.8,27,6,13,4
20200403,08,技师学院,26,优,NaN,8,26,0.8,33,4,5,5
20200403,09,凤城街办,17,优,NaN,8,11,1.0,33,7,13,6
20200403,09,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,环保大楼,14,优,NaN,4,NaN,0.9,27,7,13,4
20200403,09,技师学院,17,优,NaN,9,17,0.9,33,4,5,5
20200403,10,凤城街办,16,优,NaN,7,10,1.0,32,7,12,6
20200403,10,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,环保大楼,13,优,NaN,8,NaN,0.9,26,7,11,4
20200403,10,技师学院,26,优,NaN,10,26,0.9,33,4,5,5
20200403,11,凤城街办,16,优,NaN,9,11,1.0,31,8,11,6
20200403,11,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,环保大楼,13,优,NaN,9,11,0.8,26,9,10,4
20200403,11,技师学院,17,优,NaN,10,13,0.8,34,5,6,5
20200403,12,凤城街办,15,优,NaN,10,12,0.9,27,13,10,6
20200403,12,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,12,环保大楼,10,优,NaN,3,6,0.8,20,13,9,4
20200403,12,技师学院,15,优,NaN,8,14,0.8,29,9,5,4
20200403,13,凤城街办,16,优,NaN,11,NaN,0.9,21,18,11,6
20200403,13,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,13,环保大楼,8,优,NaN,2,6,0.8,16,16,10,4
20200403,13,技师学院,10,优,NaN,7,9,0.8,20,13,6,4
20200403,14,凤城街办,13,优,NaN,9,11,0.8,20,20,12,6
20200403,14,高新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,14,环保大楼,8,优,NaN,NaN,2,0.8,14,20,11,4
20200403,14,技师学院,10,优,NaN,6,NaN,0.8,20,16,7,4
