Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,瓯海,38,优,NaN,23,38,0.5,25,48,27,6
20200402,08,南浦,45,优,NaN,20,45,0.5,31,39,39,6
20200402,08,龙湾,61,良,颗粒物(PM10),40,72,0.7,64,13,4,10
20200402,08,市站,42,优,NaN,22,42,0.3,31,36,49,10
20200402,09,瓯海,55,良,颗粒物(PM10),37,60,0.7,46,34,23,8
20200402,09,南浦,55,良,颗粒物(PM10),28,60,0.6,43,46,38,8
20200402,09,龙湾,59,良,颗粒物(PM10),38,68,0.6,38,59,11,10
20200402,09,市站,53,良,颗粒物(PM10),34,55,0.5,46,34,44,10
20200402,10,瓯海,65,良,细颗粒物(PM2.5),47,74,0.6,NaN,48,25,10
20200402,10,南浦,57,良,颗粒物(PM10),33,63,0.6,30,80,46,12
20200402,10,龙湾,60,良,颗粒物(PM10),39,70,0.6,28,85,21,13
20200402,10,市站,63,良,细颗粒物(PM2.5),45,66,0.5,41,68,45,13
20200402,11,瓯海,73,良,细颗粒物(PM2.5),53,86,0.7,46,150,39,NaN
20200402,11,南浦,63,良,颗粒物(PM10),42,76,0.6,28,112,58,14
20200402,11,龙湾,64,良,颗粒物(PM10),45,78,0.6,26,111,35,12
20200402,11,市站,74,良,细颗粒物(PM2.5),54,76,0.5,34,103,52,15
20200402,12,瓯海,79,良,细颗粒物(PM2.5),58,98,NaN,36,112,52,NaN
20200402,12,南浦,67,良,颗粒物(PM10),41,83,0.6,32,114,68,12
20200402,12,龙湾,68,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",49,86,0.6,26,121,50,12
20200402,12,市站,80,良,细颗粒物(PM2.5),59,87,0.5,34,124,62,15
20200402,13,瓯海,84,良,细颗粒物(PM2.5),62,105,0.7,37,118,66,13
20200402,13,南浦,71,良,颗粒物(PM10),45,92,0.6,33,121,77,13
20200402,13,龙湾,69,良,颗粒物(PM10),48,87,0.6,23,127,65,14
20200402,13,市站,84,良,细颗粒物(PM2.5),62,94,0.5,35,126,72,15
20200402,14,瓯海,84,良,细颗粒物(PM2.5),62,107,0.7,40,110,80,12
20200402,14,南浦,73,良,颗粒物(PM10),44,95,0.6,38,112,84,12
20200402,14,龙湾,72,良,颗粒物(PM10),50,94,0.7,41,104,78,12
20200402,14,市站,84,良,细颗粒物(PM2.5),62,97,0.6,NaN,112,81,14
20200402,15,瓯海,89,良,细颗粒物(PM2.5),66,116,0.7,55,90,89,9
20200402,15,南浦,76,良,颗粒物(PM10),44,102,0.7,60,86,89,10
20200402,15,龙湾,78,良,颗粒物(PM10),55,105,0.7,74,70,86,11
20200402,15,市站,89,良,细颗粒物(PM2.5),66,102,0.6,NaN,NaN,86,12
20200402,16,瓯海,95,良,细颗粒物(PM2.5),71,123,0.8,77,73,92,8
20200402,16,南浦,83,良,颗粒物(PM10),50,115,0.8,77,71,93,10
20200402,16,龙湾,84,良,细颗粒物(PM2.5),62,112,0.8,94,46,90,10
20200402,16,市站,105,轻度污染,细颗粒物(PM2.5),79,119,NaN,74,76,92,11
20200402,17,瓯海,87,良,细颗粒物(PM2.5),64,104,0.8,54,87,98,8
20200402,17,南浦,81,良,颗粒物(PM10),49,111,0.8,64,81,97,8
20200402,17,龙湾,88,良,细颗粒物(PM2.5),65,112,0.9,97,45,89,8
20200402,17,市站,107,轻度污染,细颗粒物(PM2.5),80,117,0.8,52,101,101,NaN
20200402,18,瓯海,79,良,细颗粒物(PM2.5),58,88,0.8,55,74,102,7
20200402,18,南浦,75,良,颗粒物(PM10),46,99,0.7,54,84,98,7
20200402,18,龙湾,89,良,细颗粒物(PM2.5),66,110,0.9,112,26,81,8
20200402,18,市站,NaN,,NaN,NaN,NaN,0.8,44,95,105,10
20200402,19,瓯海,84,良,细颗粒物(PM2.5),62,92,0.9,76,47,89,8
20200402,19,南浦,77,良,颗粒物(PM10),46,104,0.8,59,66,92,7
20200402,19,龙湾,89,良,细颗粒物(PM2.5),66,107,0.9,110,21,70,8
20200402,19,市站,114,轻度污染,细颗粒物(PM2.5),86,130,0.9,68,54,98,11
20200402,20,瓯海,90,良,细颗粒物(PM2.5),67,101,0.9,92,16,77,8
20200402,20,南浦,81,良,颗粒物(PM10),49,111,0.8,64,52,84,7
20200402,20,龙湾,87,良,细颗粒物(PM2.5),64,106,0.9,111,11,56,8
20200402,20,市站,119,轻度污染,细颗粒物(PM2.5),90,133,0.9,72,42,87,11
20200402,20,瓯海,90,良,细颗粒物(PM2.5),67,101,0.9,92,16,77,8
20200402,20,南浦,81,良,颗粒物(PM10),49,111,0.8,64,52,84,7
20200402,20,龙湾,87,良,细颗粒物(PM2.5),64,106,0.9,111,11,56,8
20200402,20,市站,119,轻度污染,细颗粒物(PM2.5),90,133,0.9,72,42,87,11
20200402,22,瓯海,84,良,细颗粒物(PM2.5),62,102,0.8,89,7,52,8
20200402,22,南浦,83,良,颗粒物(PM10),50,116,0.8,80,20,61,8
20200402,22,龙湾,90,良,细颗粒物(PM2.5),67,122,0.9,88,6,29,8
20200402,22,市站,102,轻度污染,细颗粒物(PM2.5),76,117,0.8,67,34,61,12
20200402,23,瓯海,83,良,细颗粒物(PM2.5),61,99,0.7,81,13,43,9
20200402,23,南浦,85,良,颗粒物(PM10),50,120,0.7,77,21,53,8
20200402,23,龙湾,87,良,细颗粒物(PM2.5),64,121,0.9,95,4,20,8
20200402,23,市站,115,轻度污染,细颗粒物(PM2.5),87,131,0.8,85,15,55,13
20200403,00,瓯海,92,良,细颗粒物(PM2.5),68,102,0.7,78,5,34,9
20200403,00,南浦,87,良,颗粒物(PM10),53,124,0.7,65,24,47,8
20200403,00,龙湾,83,良,细颗粒物(PM2.5),61,112,0.9,90,3,15,8
20200403,00,市站,133,轻度污染,细颗粒物(PM2.5),101,146,0.8,78,7,47,13
20200403,01,瓯海,77,良,细颗粒物(PM2.5),56,84,0.7,62,18,18,8
20200403,01,南浦,92,良,颗粒物(PM10),58,133,0.7,70,11,11,9
20200403,01,龙湾,82,良,细颗粒物(PM2.5),60,109,0.9,88,3,3,8
20200403,01,市站,129,轻度污染,细颗粒物(PM2.5),98,139,0.8,67,10,10,12
20200403,02,瓯海,67,良,细颗粒物(PM2.5),48,73,0.7,59,14,16,8
20200403,02,南浦,72,良,颗粒物(PM10),43,94,0.6,53,23,17,7
20200403,02,龙湾,84,良,细颗粒物(PM2.5),62,113,0.8,83,3,3,8
20200403,02,市站,107,轻度污染,细颗粒物(PM2.5),80,117,0.7,61,13,12,11
20200403,03,瓯海,70,良,细颗粒物(PM2.5),51,80,0.7,61,10,14,8
20200403,03,南浦,72,良,颗粒物(PM10),40,93,0.7,55,16,17,7
20200403,03,龙湾,88,良,细颗粒物(PM2.5),65,119,0.8,75,3,3,8
20200403,03,市站,103,轻度污染,细颗粒物(PM2.5),77,115,0.7,62,6,10,12
20200403,07,瓯海,62,良,细颗粒物(PM2.5),44,70,0.7,48,10,13,8
20200403,07,南浦,71,良,颗粒物(PM10),41,92,0.7,43,13,16,8
