Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,板塘,50,优,NaN,35,NaN,0.8,36,6,22,5
20200402,08,市监测站,52,良,细颗粒物(PM2.5),36,38,0.8,46,10,28,3
20200402,08,江麓,45,优,NaN,31,37,1.3,42,4,27,2
20200402,08,岳塘,50,优,NaN,35,35,0.6,44,14,33,6
20200402,08,科大,48,优,NaN,28,48,1.4,40,5,25,6
20200402,08,昭山,49,优,NaN,34,NaN,0.7,49,4,22,5
20200402,08,韶山,26,优,NaN,18,25,0.6,6,25,34,2
20200402,09,板塘,52,良,细颗粒物(PM2.5),36,NaN,0.8,38,1,21,5
20200402,09,市监测站,54,良,细颗粒物(PM2.5),38,42,0.8,49,6,27,3
20200402,09,江麓,43,优,NaN,30,40,1.2,42,3,23,3
20200402,09,岳塘,54,良,细颗粒物(PM2.5),38,39,0.7,46,10,31,6
20200402,09,科大,42,优,NaN,26,42,1.1,43,6,19,5
20200402,09,昭山,46,优,NaN,32,33,0.7,46,4,18,5
20200402,09,韶山,28,优,NaN,12,28,0.7,10,24,33,2
20200402,10,板塘,49,优,NaN,34,36,0.8,35,2,17,5
20200402,10,市监测站,53,良,细颗粒物(PM2.5),37,44,0.7,48,8,23,3
20200402,10,江麓,50,优,NaN,35,48,0.9,43,5,18,4
20200402,10,岳塘,54,良,细颗粒物(PM2.5),38,40,0.7,46,11,27,6
20200402,10,科大,40,优,NaN,28,40,1.0,40,12,15,5
20200402,10,昭山,45,优,NaN,31,31,0.7,46,6,14,5
20200402,10,韶山,29,优,NaN,20,28,0.7,12,30,31,2
20200402,11,板塘,45,优,NaN,31,35,0.8,36,6,12,5
20200402,11,市监测站,48,优,NaN,33,46,0.6,44,15,18,2
20200402,11,江麓,49,优,NaN,34,41,0.8,40,14,14,4
20200402,11,岳塘,52,良,细颗粒物(PM2.5),36,36,0.7,43,13,22,6
20200402,11,科大,45,优,NaN,31,45,1.0,38,20,13,5
20200402,11,昭山,42,优,NaN,29,NaN,0.7,47,10,11,5
20200402,11,韶山,33,优,NaN,23,26,0.6,8,45,30,3
20200402,12,板塘,39,优,NaN,27,29,0.7,32,13,9,4
20200402,12,市监测站,40,优,NaN,28,38,0.6,41,23,15,2
20200402,12,江麓,43,优,NaN,30,37,0.8,40,20,13,5
20200402,12,岳塘,46,优,NaN,32,38,0.6,42,22,18,6
20200402,12,科大,33,优,NaN,23,33,1.0,38,25,13,5
20200402,12,昭山,38,优,NaN,26,NaN,0.7,40,19,10,5
20200402,12,韶山,38,优,NaN,26,28,0.6,8,54,33,3
20200402,13,板塘,36,优,NaN,25,31,0.7,26,21,9,5
20200402,13,市监测站,38,优,NaN,26,35,0.5,40,25,15,3
20200402,13,江麓,40,优,NaN,28,35,0.8,38,26,13,4
20200402,13,岳塘,40,优,NaN,28,36,0.6,35,31,17,6
20200402,13,科大,35,优,NaN,24,NaN,1.0,34,29,14,6
20200402,13,昭山,35,优,NaN,24,NaN,0.7,32,27,11,5
20200402,13,韶山,32,优,NaN,22,29,0.6,9,52,35,3
20200402,14,板塘,42,优,NaN,29,33,0.7,28,19,10,5
20200402,14,市监测站,39,优,NaN,27,30,0.6,39,24,16,3
20200402,14,江麓,46,优,NaN,32,33,0.8,38,24,13,3
20200402,14,岳塘,42,优,NaN,29,33,0.6,32,34,19,8
20200402,14,科大,51,良,颗粒物(PM10),28,52,1.0,40,22,15,6
20200402,14,昭山,42,优,NaN,29,NaN,0.7,40,22,12,5
20200402,14,韶山,30,优,NaN,19,30,0.6,6,59,39,4
20200402,15,板塘,50,优,NaN,35,42,0.8,37,11,10,5
20200402,15,市监测站,48,优,NaN,33,40,0.7,51,14,16,4
20200402,15,江麓,54,良,细颗粒物(PM2.5),38,40,0.8,44,15,14,3
20200402,15,岳塘,54,良,细颗粒物(PM2.5),38,53,0.6,39,16,19,13
20200402,15,科大,52,良,颗粒物(PM10),32,53,1.1,42,21,18,6
20200402,15,昭山,48,优,NaN,33,33,0.7,46,21,14,6
20200402,15,韶山,45,优,NaN,31,NaN,0.6,7,54,43,4
20200402,16,板塘,58,良,细颗粒物(PM2.5),41,55,0.9,43,2,9,5
20200402,16,市监测站,57,良,细颗粒物(PM2.5),40,45,0.7,55,7,15,4
20200402,16,江麓,59,良,细颗粒物(PM2.5),42,NaN,0.8,46,12,15,4
20200402,16,岳塘,67,良,细颗粒物(PM2.5),48,48,0.7,53,6,18,NaN
20200402,16,科大,51,良,颗粒物(PM10),33,51,0.8,46,13,18,NaN
20200402,16,昭山,54,良,细颗粒物(PM2.5),38,NaN,0.7,57,9,15,6
20200402,16,韶山,43,优,NaN,30,33,0.6,9,33,44,3
20200402,17,板塘,62,良,细颗粒物(PM2.5),44,47,0.9,43,4,10,5
20200402,17,市监测站,58,良,细颗粒物(PM2.5),41,46,0.8,56,10,16,3
20200402,17,江麓,64,良,细颗粒物(PM2.5),46,56,0.9,51,6,15,3
20200402,17,岳塘,70,良,细颗粒物(PM2.5),51,NaN,0.8,54,7,18,8
20200402,17,科大,49,优,NaN,34,36,NaN,48,10,19,5
20200402,17,昭山,58,良,细颗粒物(PM2.5),41,44,0.8,57,6,15,5
20200402,17,韶山,39,优,NaN,27,NaN,0.7,10,33,45,2
20200402,18,板塘,67,良,细颗粒物(PM2.5),48,NaN,1.0,48,4,10,5
20200402,18,市监测站,62,良,细颗粒物(PM2.5),44,48,0.9,60,6,16,3
20200402,18,江麓,68,良,细颗粒物(PM2.5),49,52,0.9,54,3,15,3
20200402,18,岳塘,72,良,细颗粒物(PM2.5),52,NaN,0.8,59,4,17,7
20200402,18,科大,45,优,NaN,31,NaN,0.8,56,5,18,5
20200402,18,昭山,59,良,细颗粒物(PM2.5),42,NaN,0.8,58,5,15,5
20200402,18,韶山,40,优,NaN,28,33,0.7,10,44,47,2
20200402,19,板塘,62,良,细颗粒物(PM2.5),44,49,0.9,48,4,10,6
20200402,19,市监测站,65,良,细颗粒物(PM2.5),47,54,0.8,61,3,14,4
20200402,19,江麓,70,良,细颗粒物(PM2.5),51,53,0.9,59,1,13,3
20200402,19,岳塘,74,良,细颗粒物(PM2.5),54,NaN,0.8,60,2,15,7
20200402,19,科大,52,良,细颗粒物(PM2.5),36,NaN,0.6,53,3,16,5
20200402,19,昭山,59,良,细颗粒物(PM2.5),42,NaN,0.8,59,5,14,5
20200402,19,韶山,42,优,NaN,29,33,0.7,11,38,46,3
20200402,20,板塘,65,良,细颗粒物(PM2.5),47,NaN,0.9,46,4,9,5
20200402,20,市监测站,69,良,细颗粒物(PM2.5),50,56,0.8,59,3,12,3
20200402,20,江麓,64,良,细颗粒物(PM2.5),46,53,0.9,56,2,11,3
20200402,20,岳塘,73,良,细颗粒物(PM2.5),53,NaN,0.8,59,4,13,7
20200402,20,科大,52,良,颗粒物(PM10),27,53,0.7,54,4,13,5
20200402,20,昭山,59,良,细颗粒物(PM2.5),42,NaN,0.8,58,4,12,5
20200402,20,韶山,49,优,NaN,34,35,0.7,11,45,45,2
20200402,20,板塘,65,良,细颗粒物(PM2.5),47,NaN,0.9,46,4,9,5
20200402,20,市监测站,69,良,细颗粒物(PM2.5),50,56,0.8,59,3,12,3
20200402,20,江麓,64,良,细颗粒物(PM2.5),46,53,0.9,56,2,11,3
20200402,20,岳塘,73,良,细颗粒物(PM2.5),53,NaN,0.8,59,4,13,7
20200402,20,科大,52,良,颗粒物(PM10),27,53,0.7,54,4,13,5
20200402,20,昭山,59,良,细颗粒物(PM2.5),42,NaN,0.8,58,4,12,5
20200402,20,韶山,49,优,NaN,34,35,0.7,11,45,45,2
20200402,22,板塘,73,良,细颗粒物(PM2.5),53,NaN,0.9,44,3,5,6
20200402,22,市监测站,70,良,细颗粒物(PM2.5),51,NaN,0.8,53,4,6,2
20200402,22,江麓,78,良,细颗粒物(PM2.5),57,NaN,0.9,47,5,6,2
20200402,22,岳塘,78,良,细颗粒物(PM2.5),57,NaN,0.8,54,4,6,7
20200402,22,科大,54,良,颗粒物(PM10),32,58,0.8,49,5,8,5
20200402,22,昭山,60,良,细颗粒物(PM2.5),43,NaN,0.9,55,4,7,5
20200402,22,韶山,59,良,细颗粒物(PM2.5),42,46,0.8,11,43,42,2
20200402,23,板塘,77,良,细颗粒物(PM2.5),56,NaN,0.9,41,4,4,6
20200402,23,市监测站,77,良,细颗粒物(PM2.5),56,NaN,0.9,46,5,5,3
20200402,23,江麓,83,良,细颗粒物(PM2.5),61,NaN,1.1,49,1,4,2
20200402,23,岳塘,85,良,细颗粒物(PM2.5),63,NaN,0.8,48,7,5,6
20200402,23,科大,54,良,颗粒物(PM10),36,58,1.0,46,4,6,5
20200402,23,昭山,64,良,细颗粒物(PM2.5),46,NaN,0.8,53,4,5,5
20200402,23,韶山,57,良,细颗粒物(PM2.5),40,49,0.8,10,31,39,2
20200403,00,板塘,80,良,细颗粒物(PM2.5),59,NaN,0.9,41,5,4,6
20200403,00,市监测站,80,良,细颗粒物(PM2.5),59,NaN,0.9,47,4,5,2
20200403,00,江麓,88,良,细颗粒物(PM2.5),65,NaN,1.1,48,2,3,2
20200403,00,岳塘,87,良,细颗粒物(PM2.5),64,NaN,0.9,48,4,4,6
20200403,00,科大,50,优,NaN,32,50,1.0,48,2,5,5
20200403,00,昭山,58,良,细颗粒物(PM2.5),41,NaN,0.8,51,4,4,5
20200403,00,韶山,67,良,细颗粒物(PM2.5),48,NaN,0.8,9,34,39,2
20200403,01,板塘,82,良,细颗粒物(PM2.5),60,NaN,0.8,40,5,5,5
20200403,01,市监测站,85,良,细颗粒物(PM2.5),63,NaN,0.7,46,4,4,3
20200403,01,江麓,92,良,细颗粒物(PM2.5),68,NaN,1.0,48,2,2,2
20200403,01,岳塘,92,良,细颗粒物(PM2.5),68,NaN,0.8,47,5,5,6
20200403,01,科大,53,良,颗粒物(PM10),31,56,0.8,47,2,2,6
20200403,01,昭山,59,良,细颗粒物(PM2.5),42,NaN,0.8,52,4,4,5
20200403,01,韶山,69,良,细颗粒物(PM2.5),50,NaN,0.7,8,46,46,4
20200403,02,板塘,87,良,细颗粒物(PM2.5),64,NaN,0.8,38,4,4,4
20200403,02,市监测站,89,良,细颗粒物(PM2.5),66,NaN,0.7,44,4,4,2
20200403,02,江麓,88,良,细颗粒物(PM2.5),65,NaN,1.0,44,1,2,2
20200403,02,岳塘,92,良,细颗粒物(PM2.5),68,NaN,0.8,44,6,6,5
20200403,02,科大,55,良,颗粒物(PM10),33,60,0.8,37,6,4,5
20200403,02,昭山,68,良,细颗粒物(PM2.5),49,NaN,0.8,51,4,4,5
20200403,02,韶山,62,良,细颗粒物(PM2.5),44,NaN,0.7,8,49,48,4
20200403,03,板塘,87,良,细颗粒物(PM2.5),64,NaN,0.9,34,4,4,4
20200403,03,市监测站,88,良,细颗粒物(PM2.5),65,NaN,0.8,38,5,4,2
20200403,03,江麓,87,良,细颗粒物(PM2.5),64,NaN,1.2,36,4,2,2
20200403,03,岳塘,93,良,细颗粒物(PM2.5),69,NaN,0.8,42,4,5,5
