Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,老年大学,62,良,颗粒物(PM10),34,74,0.7,52,38,49,6
20200402,08,人大宾馆,60,良,颗粒物(PM10),42,69,0.8,46,35,50,11
20200402,08,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,市政府原办公楼(190307启用),80,良,颗粒物(PM10),57,110,0.5,18,136,78,16
20200402,08,市政府原办公楼(20190308启用),17,优,NaN,10,17,0.5,27,50,48,5
20200402,08,市政府原办公楼,59,良,颗粒物(PM10),34,68,0.6,47,57,68,9
20200402,09,老年大学,63,良,颗粒物(PM10),28,76,0.7,49,48,47,11
20200402,09,人大宾馆,58,良,细颗粒物(PM2.5),41,64,1.0,40,55,47,14
20200402,09,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,市政府原办公楼(190307启用),80,良,颗粒物(PM10),57,110,0.5,18,136,78,16
20200402,09,市政府原办公楼(20190308启用),17,优,NaN,10,17,0.5,27,50,48,5
20200402,09,市政府原办公楼,58,良,颗粒物(PM10),31,65,0.6,37,78,67,12
20200402,10,老年大学,67,良,颗粒物(PM10),28,84,0.6,36,64,47,8
20200402,10,人大宾馆,59,良,颗粒物(PM10),35,68,0.7,34,74,48,15
20200402,10,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,市政府原办公楼(190307启用),80,良,颗粒物(PM10),57,110,0.5,18,136,78,16
20200402,10,市政府原办公楼(20190308启用),17,优,NaN,10,17,0.5,27,50,48,5
20200402,10,市政府原办公楼,59,良,颗粒物(PM10),26,67,0.5,31,91,68,11
20200402,11,老年大学,63,良,颗粒物(PM10),28,75,0.5,24,73,49,7
20200402,11,人大宾馆,58,良,颗粒物(PM10),31,65,0.6,25,80,51,12
20200402,11,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,市政府原办公楼(190307启用),80,良,颗粒物(PM10),57,110,0.5,18,136,78,16
20200402,11,市政府原办公楼(20190308启用),17,优,NaN,10,17,0.5,27,50,48,5
20200402,11,市政府原办公楼,57,良,颗粒物(PM10),24,63,0.4,18,95,70,6
20200402,12,老年大学,51,良,颗粒物(PM10),20,52,0.5,20,77,52,6
20200402,12,人大宾馆,53,良,颗粒物(PM10),22,55,0.5,19,88,55,10
20200402,12,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,市政府原办公楼(190307启用),80,良,颗粒物(PM10),57,110,0.5,18,136,78,16
20200402,12,市政府原办公楼(20190308启用),17,优,NaN,10,17,0.5,27,50,48,5
20200402,12,市政府原办公楼,52,良,颗粒物(PM10),13,53,0.3,11,96,74,6
20200402,13,老年大学,54,良,颗粒物(PM10),24,58,0.5,17,82,56,6
20200402,13,人大宾馆,49,优,NaN,25,49,0.5,16,94,61,10
20200402,13,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,市政府原办公楼(190307启用),80,良,颗粒物(PM10),57,110,0.5,18,136,78,16
