Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市环保局,36,优,NaN,25,31,0.7,25,66,44,7
20200402,08,第二水厂,33,优,NaN,23,26,0.8,22,67,39,13
20200402,08,北中新校,25,优,NaN,16,25,0.6,25,60,39,12
20200402,09,市环保局,39,优,NaN,25,39,0.7,32,58,49,18
20200402,09,第二水厂,33,优,NaN,20,33,0.8,29,58,46,14
20200402,09,北中新校,33,优,NaN,18,33,0.6,32,53,43,24
20200402,10,市环保局,50,优,NaN,34,50,0.8,28,65,54,18
20200402,10,第二水厂,36,优,NaN,25,34,0.9,23,68,54,20
20200402,10,北中新校,49,优,NaN,34,44,0.7,23,67,49,23
20200402,11,市环保局,53,良,颗粒物(PM10),30,56,0.9,29,69,61,18
20200402,11,第二水厂,42,优,NaN,27,42,1.0,26,68,61,21
20200402,11,北中新校,43,优,NaN,30,32,1.1,23,73,57,31
20200402,12,市环保局,53,良,颗粒物(PM10),30,56,1.0,25,80,69,14
20200402,12,第二水厂,47,优,NaN,30,47,1.1,23,78,70,18
20200402,12,北中新校,51,良,颗粒物(PM10),29,52,1.0,22,83,66,19
20200402,13,市环保局,51,良,颗粒物(PM10),28,52,0.9,19,91,72,10
20200402,13,第二水厂,42,优,NaN,28,42,0.9,16,94,73,13
20200402,13,北中新校,43,优,NaN,30,39,1.0,16,95,72,14
20200402,14,市环保局,44,优,NaN,29,44,0.8,19,90,74,8
20200402,14,第二水厂,44,优,NaN,30,44,1.0,17,92,75,14
20200402,14,北中新校,42,优,NaN,29,36,0.7,15,95,74,12
20200402,14,市环保局,44,优,NaN,29,44,0.8,19,90,74,8
20200402,14,第二水厂,44,优,NaN,30,44,1.0,17,92,75,14
20200402,14,北中新校,42,优,NaN,29,36,0.7,15,95,74,12
20200402,15,市环保局,55,良,细颗粒物(PM2.5),39,53,0.8,18,91,76,7
20200402,15,第二水厂,50,优,NaN,35,40,0.9,16,92,77,13
20200402,15,北中新校,50,优,NaN,35,NaN,0.7,15,94,78,10
20200402,16,市环保局,54,良,细颗粒物(PM2.5),38,51,0.9,23,86,79,10
20200402,16,第二水厂,55,良,细颗粒物(PM2.5),39,48,0.9,20,86,80,13
20200402,16,北中新校,49,优,NaN,34,47,0.8,23,86,81,14
20200402,17,市环保局,59,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",42,68,0.8,26,82,82,11
20200402,17,第二水厂,58,良,细颗粒物(PM2.5),41,51,0.9,21,83,83,12
