Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,西园路,29,优,NaN,20,NaN,0.7,17,57,67,7
20200402,08,档案局,23,优,NaN,16,NaN,0.9,16,60,70,6
20200402,08,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,市政府,19,优,NaN,10,13,0.5,15,58,69,6
20200402,09,西园路,23,优,NaN,16,18,0.7,15,64,65,7
20200402,09,档案局,21,优,NaN,13,NaN,1.0,15,66,67,6
20200402,09,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,市政府,20,优,NaN,8,16,0.6,15,64,67,6
20200402,10,西园路,25,优,NaN,15,25,0.7,19,66,63,8
20200402,10,档案局,22,优,NaN,14,20,0.9,17,69,65,6
20200402,10,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,市政府,22,优,NaN,11,NaN,0.6,16,68,66,7
20200402,11,西园路,26,优,NaN,17,26,0.7,17,78,63,10
20200402,11,档案局,38,优,NaN,15,38,0.9,15,81,66,8
20200402,11,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,市政府,27,优,NaN,13,27,0.6,15,75,66,10
20200402,12,西园路,42,优,NaN,21,42,0.7,20,79,64,12
20200402,12,档案局,40,优,NaN,20,40,1.0,18,81,67,11
20200402,12,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,市政府,32,优,NaN,17,32,0.7,16,76,66,10
20200402,13,西园路,31,优,NaN,21,31,0.7,19,79,66,11
20200402,13,档案局,35,优,NaN,20,35,0.9,17,82,69,10
20200402,13,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,市政府,34,优,NaN,19,34,0.7,15,80,67,11
20200402,14,西园路,40,优,NaN,19,40,0.6,16,86,71,11
20200402,14,档案局,37,优,NaN,18,37,0.9,14,90,74,9
20200402,14,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,市政府,36,优,NaN,18,36,0.6,14,83,71,12
20200402,14,西园路,40,优,NaN,19,40,0.6,16,86,71,11
20200402,14,档案局,37,优,NaN,18,37,0.9,14,90,74,9
20200402,14,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,市政府,36,优,NaN,18,36,0.6,14,83,71,12
20200402,15,西园路,30,优,NaN,20,21,0.7,16,93,75,13
20200402,15,档案局,32,优,NaN,20,32,0.9,14,100,79,12
20200402,15,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,市政府,34,优,NaN,22,34,0.7,16,89,74,12
20200402,16,西园路,39,优,NaN,24,39,0.7,19,92,80,11
20200402,16,档案局,46,优,NaN,25,46,1.0,16,98,83,10
20200402,16,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,市政府,48,优,NaN,24,48,0.6,16,94,79,11
20200402,17,西园路,42,优,NaN,29,38,0.8,23,85,82,12
20200402,17,档案局,43,优,NaN,30,42,1.0,20,90,86,11
20200402,17,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,市政府,43,优,NaN,29,43,0.7,18,88,82,12
20200402,18,西园路,54,良,细颗粒物(PM2.5),38,54,0.9,27,76,84,12
20200402,18,档案局,54,良,细颗粒物(PM2.5),38,52,1.1,25,80,88,11
20200402,18,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,市政府,54,良,细颗粒物(PM2.5),38,51,0.8,22,79,83,12
20200402,19,西园路,65,良,细颗粒物(PM2.5),47,51,0.9,29,71,83,14
20200402,19,档案局,63,良,细颗粒物(PM2.5),45,61,1.1,26,74,87,13
20200402,19,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,市政府,68,良,细颗粒物(PM2.5),49,57,0.8,24,74,83,11
20200402,20,西园路,67,良,细颗粒物(PM2.5),48,54,0.7,26,71,82,15
20200402,20,档案局,62,良,细颗粒物(PM2.5),44,58,1.0,25,73,86,14
20200402,20,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,市政府,69,良,细颗粒物(PM2.5),50,57,0.7,25,72,82,12
20200402,20,西园路,67,良,细颗粒物(PM2.5),48,54,0.7,26,71,82,15
20200402,20,档案局,62,良,细颗粒物(PM2.5),44,58,1.0,25,73,86,14
20200402,20,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,市政府,69,良,细颗粒物(PM2.5),50,57,0.7,25,72,82,12
20200402,22,西园路,60,良,细颗粒物(PM2.5),43,NaN,0.7,23,62,78,10
20200402,22,档案局,57,良,细颗粒物(PM2.5),40,46,0.9,22,62,82,9
20200402,22,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,市政府,58,良,细颗粒物(PM2.5),41,46,0.8,19,66,78,9
20200402,23,西园路,70,良,细颗粒物(PM2.5),51,54,0.8,23,42,71,8
20200402,23,档案局,67,良,细颗粒物(PM2.5),48,NaN,1.0,23,46,75,8
20200402,23,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,市政府,65,良,细颗粒物(PM2.5),47,NaN,0.8,21,50,74,7
20200403,00,西园路,80,良,细颗粒物(PM2.5),59,NaN,0.8,24,44,65,7
20200403,00,档案局,79,良,细颗粒物(PM2.5),58,NaN,1.0,22,49,69,6
20200403,00,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,市政府,72,良,细颗粒物(PM2.5),52,NaN,0.8,19,49,68,6
20200403,01,西园路,84,良,细颗粒物(PM2.5),62,NaN,0.8,22,39,39,7
20200403,01,档案局,83,良,细颗粒物(PM2.5),61,NaN,1.0,21,44,44,6
20200403,01,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,市政府,74,良,细颗粒物(PM2.5),54,NaN,0.7,16,48,48,6
