Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,开发区,72,良,颗粒物(PM10),24,94,0.9,76,13,14,17
20200402,08,轴承厂,44,优,NaN,14,44,0.9,47,47,57,15
20200402,08,西郊化工站,55,良,颗粒物(PM10),24,59,0.8,40,51,55,17
20200402,08,莱山环保局,53,良,颗粒物(PM10),23,56,0.7,48,34,35,17
20200402,08,福山环保局,66,良,颗粒物(PM10),29,82,1.2,60,12,19,15
20200402,08,牟平环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,牟平检察院,68,良,颗粒物(PM10),42,86,1.1,60,31,27,19
20200402,08,牟平环保局(停运170519),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,牟平检察院(启用170519),105,轻度污染,颗粒物(PM10),77,160,1.3,57,34,34,23
20200402,08,中国农业大学(145),78,良,细颗粒物(PM2.5),57,92,1.0,37,10,20,9
20200402,09,开发区,72,良,颗粒物(PM10),29,93,0.8,62,34,15,17
20200402,09,轴承厂,51,良,颗粒物(PM10),15,52,0.8,34,57,57,14
20200402,09,西郊化工站,56,良,颗粒物(PM10),23,61,0.8,42,50,54,17
20200402,09,莱山环保局,61,良,颗粒物(PM10),22,72,0.8,50,36,34,18
20200402,09,福山环保局,74,良,颗粒物(PM10),31,98,0.9,51,32,18,16
20200402,09,牟平环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,牟平检察院,70,良,颗粒物(PM10),37,90,0.8,45,56,31,21
20200402,09,牟平环保局(停运170519),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,牟平检察院(启用170519),105,轻度污染,颗粒物(PM10),77,160,1.3,57,34,34,23
20200402,09,中国农业大学(145),78,良,细颗粒物(PM2.5),57,92,1.0,37,10,20,9
20200402,10,开发区,60,良,颗粒物(PM10),22,69,0.6,31,78,22,16
20200402,10,轴承厂,56,良,颗粒物(PM10),28,62,0.9,44,56,56,17
20200402,10,西郊化工站,64,良,颗粒物(PM10),33,78,0.8,45,56,54,24
20200402,10,莱山环保局,70,良,颗粒物(PM10),28,90,0.7,40,57,36,15
20200402,10,福山环保局,63,良,颗粒物(PM10),22,76,0.6,38,60,22,16
20200402,10,牟平环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,牟平检察院,65,良,颗粒物(PM10),24,79,0.6,33,70,36,18
20200402,10,牟平环保局(停运170519),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,牟平检察院(启用170519),105,轻度污染,颗粒物(PM10),77,160,1.3,57,34,34,23
20200402,10,中国农业大学(145),78,良,细颗粒物(PM2.5),57,92,1.0,37,10,20,9
20200402,11,开发区,57,良,颗粒物(PM10),19,64,0.6,30,88,32,16
20200402,11,轴承厂,68,良,颗粒物(PM10),30,86,0.8,29,76,58,13
20200402,11,西郊化工站,67,良,颗粒物(PM10),33,84,0.7,26,83,57,24
20200402,11,莱山环保局,60,良,颗粒物(PM10),30,70,0.6,33,74,41,15
20200402,11,福山环保局,64,良,颗粒物(PM10),17,78,0.5,24,87,30,14
20200402,11,牟平环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,牟平检察院,57,良,颗粒物(PM10),16,63,0.5,32,77,40,16
20200402,11,牟平环保局(停运170519),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,牟平检察院(启用170519),105,轻度污染,颗粒物(PM10),77,160,1.3,57,34,34,23
20200402,11,中国农业大学(145),78,良,细颗粒物(PM2.5),57,92,1.0,37,10,20,9
20200402,12,开发区,61,良,颗粒物(PM10),24,72,0.6,30,95,42,18
20200402,12,轴承厂,62,良,颗粒物(PM10),38,74,0.9,31,82,61,18
20200402,12,西郊化工站,59,良,颗粒物(PM10),35,68,0.7,27,90,62,18
20200402,12,莱山环保局,62,良,颗粒物(PM10),29,73,0.6,31,87,48,15
20200402,12,福山环保局,51,良,颗粒物(PM10),19,52,0.5,27,94,40,15
20200402,12,牟平环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,牟平检察院,56,良,颗粒物(PM10),21,62,0.5,34,85,46,16
20200402,12,牟平环保局(停运170519),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,牟平检察院(启用170519),105,轻度污染,颗粒物(PM10),77,160,1.3,57,34,34,23
20200402,12,中国农业大学(145),78,良,细颗粒物(PM2.5),57,92,1.0,37,10,20,9
20200402,13,开发区,60,良,颗粒物(PM10),31,70,0.6,26,104,53,14
20200402,13,轴承厂,67,良,颗粒物(PM10),40,83,0.8,26,91,65,13
20200402,13,西郊化工站,73,良,颗粒物(PM10),43,95,0.6,23,101,67,13
20200402,13,莱山环保局,69,良,颗粒物(PM10),36,88,0.6,23,109,58,15
20200402,13,福山环保局,60,良,颗粒物(PM10),29,70,0.5,28,104,52,18
20200402,13,牟平环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,牟平检察院,60,良,颗粒物(PM10),25,70,0.5,22,114,58,16
20200402,13,牟平环保局(停运170519),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,牟平检察院(启用170519),105,轻度污染,颗粒物(PM10),77,160,1.3,57,34,34,23
20200402,13,中国农业大学(145),78,良,细颗粒物(PM2.5),57,92,1.0,37,10,20,9
20200402,14,开发区,69,良,颗粒物(PM10),29,87,0.6,28,114,66,NaN
20200402,14,轴承厂,66,良,颗粒物(PM10),40,82,0.8,29,89,68,14
20200402,14,西郊化工站,69,良,颗粒物(PM10),41,88,0.7,29,101,73,17
20200402,14,莱山环保局,70,良,颗粒物(PM10),40,90,0.6,20,108,67,13
20200402,14,福山环保局,70,良,颗粒物(PM10),29,89,0.5,33,100,63,18
20200402,14,牟平环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,牟平检察院,64,良,细颗粒物(PM2.5),46,70,0.5,22,109,70,14
20200402,14,牟平环保局(停运170519),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,牟平检察院(启用170519),105,轻度污染,颗粒物(PM10),77,160,1.3,57,34,34,23
20200402,14,中国农业大学(145),78,良,细颗粒物(PM2.5),57,92,1.0,37,10,20,9
20200402,15,开发区,74,良,颗粒物(PM10),29,97,NaN,29,130,82,17
20200402,15,轴承厂,69,良,颗粒物(PM10),38,87,0.9,31,97,74,16
20200402,15,西郊化工站,80,良,颗粒物(PM10),49,110,0.8,33,111,80,18
20200402,15,莱山环保局,67,良,颗粒物(PM10),36,84,0.7,24,110,77,15
20200402,15,福山环保局,NaN,,NaN,NaN,NaN,0.6,37,NaN,70,20
20200402,15,牟平环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,牟平检察院,62,良,颗粒物(PM10),21,73,0.6,27,112,82,17
20200402,15,牟平环保局(停运170519),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,牟平检察院(启用170519),105,轻度污染,颗粒物(PM10),77,160,1.3,57,34,34,23
20200402,15,中国农业大学(145),78,良,细颗粒物(PM2.5),57,92,1.0,37,10,20,9
20200402,16,开发区,68,良,颗粒物(PM10),36,85,0.6,29,130,97,13
20200402,16,轴承厂,67,良,颗粒物(PM10),39,84,0.8,34,105,82,15
20200402,16,西郊化工站,74,良,颗粒物(PM10),48,97,0.7,38,115,88,15
20200402,16,莱山环保局,68,良,颗粒物(PM10),40,86,0.6,29,117,87,15
20200402,16,福山环保局,90,良,颗粒物(PM10),41,129,0.5,37,116,85,16
20200402,16,牟平环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,牟平检察院,64,良,颗粒物(PM10),18,77,0.6,27,122,93,17
20200402,16,牟平环保局(停运170519),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,牟平检察院(启用170519),105,轻度污染,颗粒物(PM10),77,160,1.3,57,34,34,23
