Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,东风水库,42,优,NaN,28,42,1.0,16,112,110,11
20200402,08,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,玉溪一中,45,优,NaN,31,43,1.1,21,96,70,12
20200402,08,文体中心,52,良,细颗粒物(PM2.5),36,40,1.5,20,92,83,14
20200402,09,东风水库,46,优,NaN,32,40,1.2,15,107,112,12
20200402,09,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,玉溪一中,58,良,细颗粒物(PM2.5),41,49,0.9,31,81,79,10
20200402,09,文体中心,54,良,细颗粒物(PM2.5),38,NaN,1.2,24,84,88,19
20200402,10,东风水库,54,良,细颗粒物(PM2.5),38,55,1.2,20,106,114,12
20200402,10,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,玉溪一中,58,良,细颗粒物(PM2.5),41,62,1.2,26,92,86,14
20200402,10,文体中心,58,良,细颗粒物(PM2.5),41,49,1.5,18,92,95,16
20200402,11,东风水库,58,良,颗粒物(PM10),36,66,1.0,14,123,116,10
20200402,11,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,玉溪一中,57,良,细颗粒物(PM2.5),40,51,1.2,20,112,90,13
20200402,11,文体中心,54,良,细颗粒物(PM2.5),38,47,1.3,16,110,99,14
20200402,12,东风水库,58,良,细颗粒物(PM2.5),41,56,1.0,13,142,118,10
20200402,12,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,玉溪一中,62,良,细颗粒物(PM2.5),44,58,1.0,18,127,99,12
20200402,12,文体中心,60,良,细颗粒物(PM2.5),43,58,1.1,15,122,100,11
20200402,13,东风水库,64,良,细颗粒物(PM2.5),46,64,0.8,8,154,123,8
20200402,13,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,玉溪一中,65,良,细颗粒物(PM2.5),47,65,0.8,10,139,106,6
20200402,13,文体中心,63,良,细颗粒物(PM2.5),45,59,0.9,11,135,104,7
20200402,14,东风水库,60,良,细颗粒物(PM2.5),43,56,0.7,8,150,126,8
20200402,14,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,玉溪一中,54,良,颗粒物(PM10),36,58,0.8,9,135,111,6
20200402,14,文体中心,55,良,细颗粒物(PM2.5),39,52,0.9,10,133,108,NaN
20200402,15,东风水库,55,良,颗粒物(PM10),35,60,0.7,7,150,130,8
20200402,15,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,玉溪一中,51,良,颗粒物(PM10),35,52,0.8,10,137,115,6
20200402,15,文体中心,56,良,颗粒物(PM10),37,61,NaN,8,136,113,7
20200402,16,东风水库,55,良,颗粒物(PM10),34,60,0.7,7,144,134,8
20200402,16,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,玉溪一中,54,良,颗粒物(PM10),32,57,0.7,10,127,119,7
20200402,16,文体中心,53,良,颗粒物(PM10),34,56,0.8,9,126,117,7
20200402,17,东风水库,62,良,颗粒物(PM10),34,73,0.7,7,143,139,7
20200402,17,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,玉溪一中,52,良,颗粒物(PM10),35,54,0.7,12,125,124,6
20200402,17,文体中心,54,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",38,58,0.8,11,129,123,7
20200402,18,东风水库,65,良,颗粒物(PM10),37,79,0.9,13,129,142,9
20200402,18,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,玉溪一中,59,良,细颗粒物(PM2.5),42,64,0.8,23,112,127,6
20200402,18,文体中心,60,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",43,69,1.2,22,111,125,8
20200402,19,东风水库,64,良,颗粒物(PM10),44,78,1.0,14,129,143,10
20200402,19,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,玉溪一中,64,良,细颗粒物(PM2.5),46,74,1.2,29,102,126,10
20200402,19,文体中心,68,良,细颗粒物(PM2.5),49,73,1.3,26,101,124,8
20200402,20,东风水库,107,轻度污染,颗粒物(PM10),42,164,0.8,10,135,142,9
20200402,20,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,玉溪一中,70,良,颗粒物(PM10),45,89,1.0,18,113,124,10
20200402,20,文体中心,67,良,颗粒物(PM10),47,84,1.1,13,114,123,8
20200402,20,东风水库,107,轻度污染,颗粒物(PM10),42,164,0.8,10,135,142,9
20200402,20,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,玉溪一中,70,良,颗粒物(PM10),45,89,1.0,18,113,124,10
