Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,喜丰,68,良,颗粒物(PM10),45,85,1.2,35,31,29,21
20200402,08,环保局,69,良,颗粒物(PM10),42,87,1.0,22,44,40,26
20200402,09,喜丰,82,良,颗粒物(PM10),50,114,1.6,41,39,30,27
20200402,09,环保局,70,良,颗粒物(PM10),43,89,1.4,37,41,39,34
20200402,10,喜丰,89,良,颗粒物(PM10),56,127,1.5,30,70,35,35
20200402,10,环保局,77,良,颗粒物(PM10),51,104,1.4,32,62,41,53
20200402,11,喜丰,74,良,颗粒物(PM10),47,97,1.5,20,87,42,22
20200402,11,环保局,78,良,颗粒物(PM10),51,106,1.5,24,79,46,41
20200402,12,喜丰,59,良,颗粒物(PM10),28,67,1.4,16,90,49,19
20200402,12,环保局,61,良,颗粒物(PM10),29,72,1.2,16,90,52,31
20200402,13,喜丰,52,良,颗粒物(PM10),20,54,1.1,14,96,57,17
20200402,13,环保局,54,良,颗粒物(PM10),19,58,0.8,8,95,59,16
20200402,14,喜丰,46,优,NaN,16,46,0.7,NaN,97,66,11
20200402,14,环保局,53,良,颗粒物(PM10),19,56,0.7,4,95,67,5
20200402,14,喜丰,46,优,NaN,16,46,0.7,NaN,97,66,11
20200402,14,环保局,53,良,颗粒物(PM10),19,56,0.7,4,95,67,5
20200402,15,喜丰,51,良,颗粒物(PM10),14,52,NaN,9,93,75,NaN
20200402,15,环保局,47,优,NaN,5,47,0.6,4,93,75,5
20200402,16,喜丰,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,环保局,32,优,NaN,6,32,0.7,5,96,81,5
20200402,17,喜丰,63,良,细颗粒物(PM2.5),45,52,0.7,8,98,90,8
20200402,17,环保局,32,优,NaN,10,25,0.7,6,102,89,6
20200402,18,喜丰,46,优,NaN,4,46,0.8,14,91,93,18
20200402,18,环保局,33,优,NaN,6,33,0.8,8,97,93,6
20200402,19,喜丰,46,优,NaN,6,46,0.9,18,88,93,21
20200402,19,环保局,38,优,NaN,10,38,1.4,26,65,92,12
20200402,20,喜丰,47,优,NaN,17,47,1.1,35,61,89,21
20200402,20,环保局,57,良,颗粒物(PM10),34,63,1.2,27,55,87,15
20200402,20,喜丰,47,优,NaN,17,47,1.1,35,61,89,21
20200402,20,环保局,57,良,颗粒物(PM10),34,63,1.2,27,55,87,15
20200402,22,喜丰,64,良,颗粒物(PM10),39,78,1.1,23,65,79,20
20200402,22,环保局,68,良,颗粒物(PM10),33,85,1.2,28,35,73,11
20200402,23,喜丰,60,良,颗粒物(PM10),33,70,1.1,41,35,71,38
20200402,23,环保局,72,良,颗粒物(PM10),42,94,1.1,21,40,66,8
20200403,00,喜丰,61,良,颗粒物(PM10),32,72,1.1,43,30,66,41
20200403,00,环保局,67,良,颗粒物(PM10),38,83,1.1,19,38,59,9
20200403,01,喜丰,69,良,颗粒物(PM10),35,87,1.1,48,24,24,38
20200403,01,环保局,62,良,颗粒物(PM10),28,74,1.0,21,33,33,12
20200403,02,喜丰,69,良,颗粒物(PM10),31,88,1.1,41,27,26,54
20200403,02,环保局,61,良,颗粒物(PM10),30,71,1.0,19,34,34,13
20200403,03,喜丰,67,良,颗粒物(PM10),35,84,1.1,39,21,24,56
20200403,03,环保局,61,良,颗粒物(PM10),34,72,1.0,18,32,33,14
20200403,08,喜丰,74,良,颗粒物(PM10),38,97,1.4,40,26,20,31
20200403,08,环保局,69,良,颗粒物(PM10),38,88,1.3,29,27,28,17
20200403,09,喜丰,93,良,颗粒物(PM10),46,136,1.6,39,42,22,34
20200403,09,环保局,78,良,颗粒物(PM10),42,106,1.6,41,31,27,31
20200403,10,喜丰,92,良,颗粒物(PM10),51,134,1.3,26,73,28,36
20200403,10,环保局,87,良,颗粒物(PM10),49,123,1.5,29,60,31,50
20200403,11,喜丰,72,良,颗粒物(PM10),39,94,1.6,18,92,37,24
20200403,11,环保局,79,良,颗粒物(PM10),46,107,1.6,18,88,38,27
20200403,12,喜丰,58,良,颗粒物(PM10),28,65,1.1,14,100,48,16
20200403,12,环保局,62,良,颗粒物(PM10),32,74,1.0,11,100,47,11
20200403,13,喜丰,62,良,颗粒物(PM10),21,73,0.9,11,106,59,14
20200403,13,环保局,58,良,颗粒物(PM10),20,65,0.8,7,107,57,7
20200403,14,喜丰,64,良,颗粒物(PM10),14,77,0.9,10,111,72,10
20200403,14,环保局,59,良,颗粒物(PM10),19,68,0.8,6,112,68,6
20200403,15,喜丰,62,良,颗粒物(PM10),19,74,0.9,8,115,83,6
20200403,15,环保局,54,良,颗粒物(PM10),18,58,0.8,6,116,80,5
20200403,16,喜丰,60,良,颗粒物(PM10),20,69,0.9,8,112,94,6
20200403,16,环保局,44,优,NaN,19,44,0.8,6,114,91,6
20200403,17,喜丰,51,良,颗粒物(PM10),17,52,0.9,8,108,102,9
20200403,17,环保局,43,优,NaN,24,43,0.8,5,109,101,6
20200403,18,喜丰,47,优,NaN,19,47,0.9,10,105,106,10
20200403,18,环保局,44,优,NaN,16,44,0.8,5,110,107,5
20200403,19,喜丰,53,良,颗粒物(PM10),20,56,0.9,10,112,109,10
20200403,19,环保局,48,优,NaN,17,48,0.8,6,112,110,5
20200403,20,喜丰,99,良,颗粒物(PM10),23,147,1.0,13,103,109,9
20200403,20,环保局,78,良,颗粒物(PM10),22,106,0.9,10,96,110,4
20200403,21,喜丰,319,严重污染,颗粒物(PM10),55,435,1.0,17,88,107,9
20200403,21,环保局,173,中度污染,颗粒物(PM10),47,295,0.8,11,83,106,5
20200403,22,喜丰,431,严重污染,颗粒物(PM10),69,531,0.8,8,86,104,8
20200403,22,环保局,188,中度污染,颗粒物(PM10),66,326,0.7,5,83,103,5
20200403,23,喜丰,165,中度污染,颗粒物(PM10),38,279,0.7,6,82,100,7
20200403,23,环保局,107,轻度污染,颗粒物(PM10),37,164,0.6,4,79,98,5
20200404,00,喜丰,83,良,颗粒物(PM10),28,115,0.7,6,76,95,7
20200404,00,环保局,71,良,颗粒物(PM10),18,91,0.6,4,75,93,5
20200404,01,喜丰,64,良,颗粒物(PM10),26,78,0.6,5,76,76,7
20200404,01,环保局,59,良,颗粒物(PM10),16,68,0.6,3,74,74,5
20200404,02,喜丰,37,优,NaN,10,37,0.6,5,75,76,7
20200404,02,环保局,51,良,颗粒物(PM10),18,52,0.6,3,73,74,5
20200404,03,喜丰,26,优,NaN,4,26,0.6,5,72,74,7
20200404,03,环保局,36,优,NaN,16,36,0.6,3,71,73,5
20200404,08,喜丰,40,优,NaN,10,40,0.7,7,75,71,8
20200404,08,环保局,44,优,NaN,18,44,0.6,5,70,69,5
20200404,09,喜丰,52,良,颗粒物(PM10),14,53,0.7,7,78,71,8
20200404,09,环保局,41,优,NaN,20,41,0.6,4,76,69,6
20200404,10,喜丰,62,良,颗粒物(PM10),18,74,0.7,10,80,72,7
20200404,10,环保局,51,良,颗粒物(PM10),21,51,0.6,4,80,70,7
20200404,11,喜丰,86,良,颗粒物(PM10),14,121,0.7,7,84,73,8
20200404,11,环保局,56,良,颗粒物(PM10),22,61,0.6,5,83,71,5
20200404,12,喜丰,91,良,颗粒物(PM10),11,132,0.7,7,91,76,7
20200404,12,环保局,53,良,颗粒物(PM10),16,55,0.6,5,90,74,5
20200404,13,喜丰,65,良,颗粒物(PM10),12,79,0.7,8,101,80,8
20200404,13,环保局,48,优,NaN,14,48,0.6,5,100,78,5
20200404,14,喜丰,54,良,颗粒物(PM10),22,58,0.7,9,112,86,8
20200404,14,环保局,53,良,颗粒物(PM10),29,56,0.6,5,109,84,4
20200404,15,喜丰,66,良,颗粒物(PM10),35,81,0.8,12,117,92,8
20200404,15,环保局,61,良,颗粒物(PM10),39,72,0.7,6,114,90,4
20200404,16,喜丰,77,良,颗粒物(PM10),39,104,0.7,9,109,96,8
20200404,16,环保局,69,良,颗粒物(PM10),43,88,0.6,5,106,95,3
20200404,17,喜丰,79,良,颗粒物(PM10),35,107,0.8,10,119,102,8
20200404,17,环保局,70,良,颗粒物(PM10),43,89,0.7,6,114,100,5
20200404,18,喜丰,84,良,颗粒物(PM10),42,118,0.8,12,120,107,11
20200404,18,环保局,73,良,颗粒物(PM10),43,95,0.7,6,116,104,6
20200404,19,喜丰,89,良,颗粒物(PM10),46,127,0.8,12,119,111,11
20200404,19,环保局,79,良,颗粒物(PM10),56,108,0.7,7,115,108,7
20200404,20,喜丰,84,良,颗粒物(PM10),45,118,0.8,12,119,114,10
20200404,20,环保局,83,良,细颗粒物(PM2.5),61,112,0.7,7,114,111,5
20200404,21,喜丰,85,良,颗粒物(PM10),54,119,0.8,11,115,116,12
20200404,21,环保局,84,良,细颗粒物(PM2.5),62,106,0.7,8,107,112,6
20200404,22,喜丰,85,良,颗粒物(PM10),54,119,0.9,13,108,116,18
20200404,22,环保局,82,良,细颗粒物(PM2.5),60,104,0.8,8,101,111,6
20200405,08,喜丰,88,良,细颗粒物(PM2.5),65,123,1.2,34,55,48,26
20200405,08,环保局,76,良,颗粒物(PM10),48,102,1.0,29,39,53,36
20200405,09,喜丰,93,良,颗粒物(PM10),63,135,1.1,23,80,55,23
20200405,09,环保局,85,良,颗粒物(PM10),58,120,1.2,34,55,51,76
20200405,10,喜丰,90,良,颗粒物(PM10),55,129,0.9,14,91,61,17
20200405,10,环保局,99,良,细颗粒物(PM2.5),74,124,0.8,25,77,52,30
20200405,11,喜丰,68,良,颗粒物(PM10),46,86,0.8,11,93,66,15
20200405,11,环保局,105,轻度污染,细颗粒物(PM2.5),79,97,0.7,9,86,55,14
20200405,12,喜丰,49,优,NaN,34,49,0.8,8,100,71,8
20200405,12,环保局,73,良,细颗粒物(PM2.5),53,56,0.7,7,94,60,7
20200405,13,喜丰,45,优,NaN,25,45,0.8,10,118,80,8
20200405,13,环保局,53,良,细颗粒物(PM2.5),37,46,0.7,8,116,68,8
20200405,14,喜丰,52,良,颗粒物(PM10),29,54,0.9,11,129,89,9
20200405,14,环保局,63,良,细颗粒物(PM2.5),45,55,0.7,8,126,79,7
20200405,15,喜丰,60,良,细颗粒物(PM2.5),43,61,0.9,13,136,100,11
20200405,15,环保局,74,良,细颗粒物(PM2.5),54,59,0.7,8,130,90,5
20200405,16,喜丰,62,良,细颗粒物(PM2.5),44,65,0.9,12,132,110,9
20200405,16,环保局,69,良,细颗粒物(PM2.5),50,62,0.7,8,127,101,6
20200405,17,喜丰,57,良,颗粒物(PM10),37,63,0.9,13,136,117,9
20200405,17,环保局,60,良,细颗粒物(PM2.5),43,61,0.7,9,133,111,5
20200405,18,喜丰,64,良,细颗粒物(PM2.5),46,67,1.0,31,124,121,11
20200405,18,环保局,69,良,细颗粒物(PM2.5),50,60,0.8,12,130,118,6
20200405,19,喜丰,73,良,细颗粒物(PM2.5),53,77,1.1,27,115,124,12
20200405,19,环保局,82,良,细颗粒物(PM2.5),60,67,0.8,17,112,121,12
20200405,20,喜丰,78,良,细颗粒物(PM2.5),57,88,1.3,37,94,123,16
20200405,20,环保局,80,良,细颗粒物(PM2.5),59,73,1.1,29,81,119,13
20200405,21,喜丰,94,良,细颗粒物(PM2.5),70,103,1.3,30,87,119,16
20200405,21,环保局,89,良,细颗粒物(PM2.5),66,92,1.0,29,71,114,9
20200405,22,喜丰,98,良,细颗粒物(PM2.5),73,112,1.1,44,66,111,17
20200405,22,环保局,102,轻度污染,细颗粒物(PM2.5),76,110,1.0,24,69,107,7
20200405,23,喜丰,85,良,细颗粒物(PM2.5),63,106,1.1,40,65,102,21
20200405,23,环保局,97,良,细颗粒物(PM2.5),72,107,1.0,20,69,99,6
20200406,00,喜丰,79,良,颗粒物(PM10),57,107,1.1,41,62,94,21
20200406,00,环保局,95,良,细颗粒物(PM2.5),71,102,0.9,16,67,92,5
20200406,01,喜丰,83,良,细颗粒物(PM2.5),61,96,1.1,30,64,64,17
20200406,01,环保局,97,良,细颗粒物(PM2.5),72,92,0.9,16,68,68,6
20200406,02,喜丰,78,良,细颗粒物(PM2.5),57,86,1.1,26,62,63,15
20200406,02,环保局,88,良,细颗粒物(PM2.5),65,87,0.8,14,66,67,6
20200406,03,喜丰,71,良,颗粒物(PM10),49,92,1.1,28,58,61,13
20200406,03,环保局,78,良,细颗粒物(PM2.5),57,84,0.8,13,66,67,5
20200407,08,喜丰,58,良,颗粒物(PM10),29,66,1.0,25,62,71,16
20200407,08,环保局,54,良,颗粒物(PM10),21,57,0.9,25,52,65,14
