Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市监测站,41,优,NaN,25,41,1.0,13,21,32,26
20200402,08,市中心血站,37,优,NaN,19,37,0.9,13,23,34,18
20200402,09,市监测站,50,优,NaN,24,50,1.0,17,14,29,18
20200402,09,市中心血站,30,优,NaN,20,30,1.0,20,14,31,12
20200402,10,市监测站,45,优,NaN,28,45,0.9,20,10,25,14
20200402,10,市中心血站,39,优,NaN,27,39,1.1,27,8,27,13
20200402,11,市监测站,33,优,NaN,22,33,0.8,21,9,21,14
20200402,11,市中心血站,40,优,NaN,28,38,1.0,27,7,23,13
20200402,12,市监测站,36,优,NaN,25,35,0.8,26,7,18,10
20200402,12,市中心血站,35,优,NaN,24,33,1.0,27,7,19,11
20200402,13,市监测站,34,优,NaN,20,34,0.9,20,15,16,15
20200402,13,市中心血站,32,优,NaN,18,32,1.0,15,18,17,23
20200402,14,市监测站,26,优,NaN,13,26,0.8,12,23,16,10
20200402,14,市中心血站,NaN,,NaN,NaN,NaN,NaN,NaN,24,16,9
20200402,14,市监测站,26,优,NaN,13,26,0.8,12,23,16,10
20200402,14,市中心血站,NaN,,NaN,NaN,NaN,NaN,NaN,24,16,9
20200402,15,市监测站,17,优,NaN,11,17,0.7,11,27,16,10
20200402,15,市中心血站,21,优,NaN,12,21,0.7,15,NaN,14,7
20200402,16,市监测站,17,优,NaN,11,17,0.7,13,22,16,6
20200402,16,市中心血站,32,优,NaN,22,23,0.7,15,24,15,6
20200402,17,市监测站,18,优,NaN,12,16,0.7,12,21,17,6
20200402,17,市中心血站,30,优,NaN,21,25,0.7,14,25,16,6
20200402,18,市监测站,28,优,NaN,12,28,0.7,13,17,18,5
20200402,18,市中心血站,26,优,NaN,13,26,0.7,19,16,17,6
20200402,19,市监测站,22,优,NaN,13,22,0.8,16,15,18,5
20200402,19,市中心血站,31,优,NaN,12,31,0.8,20,15,18,5
20200402,20,市监测站,33,优,NaN,12,33,0.8,14,18,20,8
20200402,20,市中心血站,19,优,NaN,9,19,0.7,13,21,20,6
20200402,20,市监测站,33,优,NaN,12,33,0.8,14,18,20,8
20200402,20,市中心血站,19,优,NaN,9,19,0.7,13,21,20,6
20200402,22,市监测站,23,优,NaN,16,21,0.9,16,12,18,14
20200402,22,市中心血站,25,优,NaN,17,24,0.9,16,15,19,16
20200402,23,市监测站,26,优,NaN,18,23,0.9,16,7,16,10
20200402,23,市中心血站,28,优,NaN,15,28,0.8,18,10,18,11
20200403,00,市监测站,30,优,NaN,17,30,0.9,16,6,14,8
20200403,00,市中心血站,26,优,NaN,18,21,0.8,17,10,16,10
20200403,01,市监测站,39,优,NaN,18,39,0.9,20,4,4,12
20200403,01,市中心血站,30,优,NaN,20,30,0.9,18,8,8,10
20200403,02,市监测站,39,优,NaN,20,39,1.0,20,5,4,15
20200403,02,市中心血站,28,优,NaN,16,28,0.9,18,8,8,12
20200403,03,市监测站,30,优,NaN,20,30,0.9,19,5,5,14
20200403,03,市中心血站,19,优,NaN,13,19,0.8,18,7,8,11
20200403,08,市监测站,20,优,NaN,11,20,0.9,22,3,4,10
20200403,08,市中心血站,11,优,NaN,2,10,0.8,21,7,7,8
20200403,09,市监测站,18,优,NaN,12,NaN,0.9,19,5,4,8
20200403,09,市中心血站,18,优,NaN,2,18,0.8,21,7,7,7
20200403,10,市监测站,16,优,NaN,11,13,0.8,14,10,5,6
20200403,10,市中心血站,16,优,NaN,2,16,0.8,19,8,7,6
20200403,11,市监测站,15,优,NaN,10,12,0.9,17,10,6,16
20200403,11,市中心血站,11,优,NaN,1,11,0.8,15,13,8,9
