Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,沙湖旅游区,49,优,NaN,31,49,1.3,32,59,60,41
20200402,08,大武口黄河东街,69,良,细颗粒物(PM2.5),50,64,1.3,38,39,54,21
20200402,08,惠农南大街,80,良,二氧化硫,43,99,1.5,62,20,45,357
20200402,08,红果子镇惠新街,53,良,细颗粒物(PM2.5),37,47,0.8,48,34,59,78
20200402,09,沙湖旅游区,43,优,NaN,26,43,0.8,27,67,60,36
20200402,09,大武口黄河东街,54,良,颗粒物(PM10),32,57,1.1,35,59,52,24
20200402,09,惠农南大街,NaN,,NaN,66,NaN,2.4,79,25,46,224
20200402,09,红果子镇惠新街,81,良,颗粒物(PM10),59,112,1.4,57,46,58,121
20200402,10,沙湖旅游区,58,良,细颗粒物(PM2.5),41,57,0.6,29,74,60,66
20200402,10,大武口黄河东街,56,良,颗粒物(PM10),37,62,1.3,36,64,52,65
20200402,10,惠农南大街,117,轻度污染,颗粒物(PM10),44,184,1.1,44,51,48,97
20200402,10,红果子镇惠新街,77,良,颗粒物(PM10),33,104,0.7,25,68,57,54
20200402,11,沙湖旅游区,64,良,颗粒物(PM10),37,78,0.7,28,84,64,64
20200402,11,大武口黄河东街,57,良,颗粒物(PM10),31,63,1.1,29,76,56,50
20200402,11,惠农南大街,59,良,颗粒物(PM10),20,68,0.5,19,89,50,29
20200402,11,红果子镇惠新街,58,良,颗粒物(PM10),14,66,0.4,14,101,62,26
20200402,12,沙湖旅游区,48,优,NaN,18,48,0.3,18,100,69,37
20200402,12,大武口黄河东街,48,优,NaN,19,48,0.7,15,98,59,24
20200402,12,惠农南大街,30,优,NaN,12,27,0.3,9,96,54,11
20200402,12,红果子镇惠新街,35,优,NaN,7,23,0.3,8,111,70,11
20200402,13,沙湖旅游区,38,优,NaN,12,38,0.3,18,107,75,31
20200402,13,大武口黄河东街,33,优,NaN,16,32,0.6,13,105,66,15
20200402,13,惠农南大街,33,优,NaN,10,21,0.4,8,105,59,14
20200402,13,红果子镇惠新街,36,优,NaN,9,24,0.3,6,115,76,12
20200402,14,沙湖旅游区,36,优,NaN,6,35,0.2,14,114,83,22
20200402,14,大武口黄河东街,35,优,NaN,15,30,0.6,13,111,74,13
20200402,14,惠农南大街,34,优,NaN,12,24,0.4,12,106,64,20
20200402,14,红果子镇惠新街,38,优,NaN,7,19,0.3,6,121,82,11
20200402,15,沙湖旅游区,37,优,NaN,4,29,0.1,15,117,90,18
20200402,15,大武口黄河东街,36,优,NaN,13,30,0.5,13,113,83,11
