Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,污水处理厂,115,轻度污染,细颗粒物(PM2.5),87,105,1.2,26,34,74,16
20200402,08,监测站,144,轻度污染,细颗粒物(PM2.5),110,139,2.0,35,45,85,54
20200402,08,州图书馆,149,轻度污染,细颗粒物(PM2.5),114,114,1.9,30,47,88,46
20200402,09,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,污水处理厂,123,轻度污染,细颗粒物(PM2.5),93,106,1.6,37,28,66,26
20200402,09,监测站,165,中度污染,细颗粒物(PM2.5),125,153,2.1,44,42,80,40
20200402,09,州图书馆,169,中度污染,细颗粒物(PM2.5),128,138,1.9,37,47,83,39
20200402,10,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,污水处理厂,142,轻度污染,细颗粒物(PM2.5),108,135,1.7,37,46,60,28
20200402,10,监测站,173,中度污染,细颗粒物(PM2.5),131,163,1.8,32,55,73,26
20200402,10,州图书馆,183,中度污染,细颗粒物(PM2.5),138,160,1.7,30,67,77,26
20200402,11,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,污水处理厂,139,轻度污染,细颗粒物(PM2.5),106,132,1.4,24,76,58,19
20200402,11,监测站,144,轻度污染,细颗粒物(PM2.5),110,117,1.5,34,58,68,15
20200402,11,州图书馆,147,轻度污染,细颗粒物(PM2.5),112,140,1.3,28,61,72,15
20200402,12,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,污水处理厂,143,轻度污染,细颗粒物(PM2.5),109,118,1.4,22,75,58,13
20200402,12,监测站,109,轻度污染,细颗粒物(PM2.5),82,101,1.4,18,64,64,11
20200402,12,州图书馆,138,轻度污染,细颗粒物(PM2.5),105,114,1.3,21,61,66,10
20200402,13,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,污水处理厂,139,轻度污染,细颗粒物(PM2.5),106,120,1.5,16,90,59,11
20200402,13,监测站,115,轻度污染,细颗粒物(PM2.5),87,117,1.6,16,85,63,10
20200402,13,州图书馆,128,轻度污染,细颗粒物(PM2.5),97,112,1.5,16,86,65,8
20200402,14,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,污水处理厂,186,中度污染,细颗粒物(PM2.5),140,157,1.6,16,94,62,10
20200402,14,监测站,147,轻度污染,细颗粒物(PM2.5),112,129,1.7,18,93,64,9
20200402,14,州图书馆,165,中度污染,细颗粒物(PM2.5),125,131,1.6,16,94,66,8
20200402,15,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,污水处理厂,217,重度污染,细颗粒物(PM2.5),167,NaN,1.6,16,99,68,9
20200402,15,监测站,178,中度污染,细颗粒物(PM2.5),134,151,1.8,25,98,68,9
20200402,15,州图书馆,183,中度污染,细颗粒物(PM2.5),138,153,1.6,15,102,71,8
20200402,16,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,污水处理厂,195,中度污染,细颗粒物(PM2.5),146,158,1.5,19,114,78,10
20200402,16,监测站,195,中度污染,细颗粒物(PM2.5),146,168,1.8,26,112,76,10
20200402,16,州图书馆,196,中度污染,细颗粒物(PM2.5),147,154,1.5,16,118,80,8
20200402,17,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,污水处理厂,178,中度污染,细颗粒物(PM2.5),134,149,1.3,15,122,90,10
20200402,17,监测站,201,重度污染,细颗粒物(PM2.5),151,165,1.6,23,119,86,10
20200402,17,州图书馆,178,中度污染,细颗粒物(PM2.5),134,149,1.4,14,118,88,8
20200402,18,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,污水处理厂,147,轻度污染,细颗粒物(PM2.5),112,128,1.5,17,110,98,10
20200402,18,监测站,156,中度污染,细颗粒物(PM2.5),119,138,1.6,24,90,90,10
20200402,18,州图书馆,148,轻度污染,细颗粒物(PM2.5),113,126,1.4,16,106,93,8
20200402,19,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,污水处理厂,206,重度污染,细颗粒物(PM2.5),156,NaN,1.4,18,79,98,10
20200402,19,监测站,152,中度污染,细颗粒物(PM2.5),116,134,1.4,17,68,91,9
20200402,19,州图书馆,173,中度污染,细颗粒物(PM2.5),131,134,1.3,16,80,96,8
20200402,20,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,污水处理厂,162,中度污染,细颗粒物(PM2.5),123,134,1.2,13,71,97,9
20200402,20,监测站,115,轻度污染,细颗粒物(PM2.5),87,92,1.4,18,64,91,11
20200402,20,州图书馆,155,中度污染,细颗粒物(PM2.5),118,NaN,1.2,12,71,97,7
20200402,20,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,污水处理厂,162,中度污染,细颗粒物(PM2.5),123,134,1.2,13,71,97,9
20200402,20,监测站,115,轻度污染,细颗粒物(PM2.5),87,92,1.4,18,64,91,11
20200402,20,州图书馆,155,中度污染,细颗粒物(PM2.5),118,NaN,1.2,12,71,97,7
20200402,22,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,污水处理厂,113,轻度污染,细颗粒物(PM2.5),85,99,1.1,10,60,89,8
20200402,22,监测站,122,轻度污染,细颗粒物(PM2.5),92,105,1.3,12,62,85,8
20200402,22,州图书馆,128,轻度污染,细颗粒物(PM2.5),97,NaN,1.1,12,62,91,8
20200402,23,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,污水处理厂,105,轻度污染,细颗粒物(PM2.5),79,95,1.0,10,58,84,8
20200402,23,监测站,94,良,细颗粒物(PM2.5),70,90,1.1,12,57,80,8
20200402,23,州图书馆,100,良,细颗粒物(PM2.5),75,NaN,1.0,12,58,85,7
20200403,00,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,污水处理厂,72,良,细颗粒物(PM2.5),52,61,1.0,12,56,77,8
20200403,00,监测站,67,良,细颗粒物(PM2.5),48,60,1.2,12,63,74,7
20200403,00,州图书馆,55,良,细颗粒物(PM2.5),39,42,1.0,14,59,78,7
20200403,01,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,污水处理厂,63,良,细颗粒物(PM2.5),45,58,1.1,10,65,65,8
20200403,01,监测站,68,良,细颗粒物(PM2.5),49,56,1.2,10,72,72,7
20200403,01,州图书馆,65,良,细颗粒物(PM2.5),47,52,1.0,12,71,71,6
20200403,02,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,污水处理厂,83,良,细颗粒物(PM2.5),61,75,1.1,9,66,66,8
20200403,02,监测站,95,良,细颗粒物(PM2.5),71,78,1.2,9,72,72,7
20200403,02,州图书馆,105,轻度污染,细颗粒物(PM2.5),79,NaN,1.1,10,74,72,7
20200403,03,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,污水处理厂,89,良,细颗粒物(PM2.5),66,78,1.1,10,61,64,11
20200403,03,监测站,95,良,细颗粒物(PM2.5),71,NaN,1.2,9,67,70,7
20200403,03,州图书馆,100,良,细颗粒物(PM2.5),75,NaN,1.1,9,70,72,6
20200403,08,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,污水处理厂,78,良,细颗粒物(PM2.5),57,71,1.0,17,43,59,10
20200403,08,监测站,72,良,细颗粒物(PM2.5),52,56,1.1,14,47,63,8
20200403,08,州图书馆,100,良,细颗粒物(PM2.5),75,NaN,0.9,16,43,63,7
20200403,09,雨过铺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,污水处理厂,73,良,细颗粒物(PM2.5),53,68,1.0,19,40,56,9
20200403,09,监测站,70,良,细颗粒物(PM2.5),51,60,1.1,17,42,59,8
