Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,区政府,50,优,NaN,35,45,0.6,21,51,65,4
20200402,08,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,聊大东校,55,良,细颗粒物(PM2.5),39,47,0.5,18,50,62,4
20200402,08,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200402,08,监控中心,50,优,NaN,35,40,0.7,20,51,56,5
20200402,09,区政府,51,良,颗粒物(PM10),34,51,0.6,30,42,64,4
20200402,09,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,聊大东校,55,良,细颗粒物(PM2.5),39,46,0.5,28,41,61,3
20200402,09,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200402,09,监控中心,65,良,细颗粒物(PM2.5),47,56,0.7,19,51,54,5
20200402,10,区政府,54,良,细颗粒物(PM2.5),38,48,0.7,28,39,60,4
20200402,10,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,聊大东校,55,良,细颗粒物(PM2.5),39,51,0.5,29,35,57,4
20200402,10,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200402,10,监控中心,65,良,细颗粒物(PM2.5),47,47,0.6,17,47,52,4
20200402,11,区政府,55,良,细颗粒物(PM2.5),39,52,0.7,29,41,56,5
20200402,11,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
