Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,睦岗子站,17,优,NaN,11,17,0.7,20,13,13,9
20200402,08,城中子站,13,优,NaN,9,13,0.8,26,11,9,10
20200402,08,坑口子站,13,优,NaN,9,12,0.7,26,11,9,10
20200402,08,七星岩子站,11,优,NaN,7,10,0.6,21,13,12,6
20200402,09,睦岗子站,16,优,NaN,11,13,0.7,21,12,12,9
20200402,09,城中子站,14,优,NaN,8,14,0.9,27,9,9,11
20200402,09,坑口子站,15,优,NaN,6,12,0.7,30,9,9,10
20200402,09,七星岩子站,15,优,NaN,10,12,0.7,25,9,11,9
20200402,10,睦岗子站,13,优,NaN,8,13,0.7,21,13,12,9
20200402,10,城中子站,15,优,NaN,9,15,0.9,27,10,9,11
20200402,10,坑口子站,16,优,NaN,10,16,0.7,30,10,9,11
20200402,10,七星岩子站,12,优,NaN,8,12,0.6,22,12,11,7
20200402,11,睦岗子站,22,优,NaN,15,17,0.7,20,15,12,10
20200402,11,城中子站,16,优,NaN,11,16,0.9,25,13,10,12
20200402,11,坑口子站,17,优,NaN,NaN,16,0.7,34,10,9,NaN
20200402,11,七星岩子站,18,优,NaN,12,17,0.7,24,11,11,8
20200402,12,睦岗子站,18,优,NaN,10,18,0.7,23,15,13,12
20200402,12,城中子站,16,优,NaN,11,16,0.8,24,17,11,10
20200402,12,坑口子站,15,优,NaN,NaN,15,NaN,NaN,10,9,9
20200402,12,七星岩子站,15,优,NaN,10,15,0.7,25,11,11,8
20200402,13,睦岗子站,22,优,NaN,15,18,0.7,24,14,13,12
20200402,13,城中子站,20,优,NaN,13,20,0.9,27,16,12,9
20200402,13,坑口子站,23,优,NaN,9,17,2.3,31,NaN,9,11
20200402,13,七星岩子站,16,优,NaN,11,14,0.7,25,12,11,6
20200402,14,睦岗子站,19,优,NaN,10,19,0.7,22,17,14,12
20200402,14,城中子站,21,优,NaN,13,21,0.8,27,16,13,9
20200402,14,坑口子站,16,优,NaN,10,16,0.7,32,11,10,12
20200402,14,七星岩子站,18,优,NaN,12,14,0.7,25,14,12,7
20200402,15,睦岗子站,23,优,NaN,16,20,0.7,27,16,14,12
20200402,15,城中子站,23,优,NaN,14,23,0.9,32,12,13,10
20200402,15,坑口子站,18,优,NaN,9,18,0.7,35,9,10,13
20200402,15,七星岩子站,18,优,NaN,12,15,0.6,28,12,12,7
20200402,16,睦岗子站,23,优,NaN,16,20,0.7,29,15,15,12
20200402,16,城中子站,24,优,NaN,15,24,0.9,36,10,13,12
20200402,16,坑口子站,19,优,NaN,9,18,0.7,37,8,10,11
20200402,16,七星岩子站,22,优,NaN,15,18,0.7,32,8,11,8
20200402,17,睦岗子站,21,优,NaN,14,21,0.7,32,14,15,12
20200402,17,城中子站,22,优,NaN,14,22,0.9,38,9,13,11
20200402,17,坑口子站,20,优,NaN,8,14,0.7,39,7,9,11
20200402,17,七星岩子站,17,优,NaN,11,13,0.7,34,7,11,7
20200402,18,睦岗子站,22,优,NaN,15,NaN,0.8,34,9,14,10
20200402,18,城中子站,21,优,NaN,11,16,1.0,41,7,12,10
20200402,18,坑口子站,22,优,NaN,11,15,0.7,43,6,9,11
20200402,18,七星岩子站,19,优,NaN,9,12,0.7,37,4,10,6
20200402,19,睦岗子站,18,优,NaN,12,14,0.7,36,8,14,10
20200402,19,城中子站,22,优,NaN,11,15,1.1,43,6,12,10
20200402,19,坑口子站,22,优,NaN,7,13,0.7,44,6,8,8
20200402,19,七星岩子站,20,优,NaN,9,11,0.7,40,4,9,7
20200402,20,睦岗子站,18,优,NaN,11,11,0.7,36,8,13,10
20200402,20,城中子站,21,优,NaN,8,10,0.9,42,6,10,9
20200402,20,坑口子站,22,优,NaN,5,9,0.7,43,5,7,9
20200402,20,七星岩子站,21,优,NaN,7,8,0.7,41,4,8,6
20200402,20,睦岗子站,18,优,NaN,11,11,0.7,36,8,13,10
20200402,20,城中子站,21,优,NaN,8,10,0.9,42,6,10,9
20200402,20,坑口子站,22,优,NaN,5,9,0.7,43,5,7,9
20200402,20,七星岩子站,21,优,NaN,7,8,0.7,41,4,8,6
20200402,22,睦岗子站,17,优,NaN,5,11,0.7,34,8,11,10
20200402,22,城中子站,21,优,NaN,11,16,0.9,42,6,8,9
20200402,22,坑口子站,21,优,NaN,4,11,0.7,42,5,6,9
20200402,22,七星岩子站,19,优,NaN,7,8,0.7,38,4,6,7
20200402,23,睦岗子站,17,优,NaN,7,14,0.7,34,8,10,10
20200402,23,城中子站,20,优,NaN,9,13,0.9,39,8,7,9
20200402,23,坑口子站,21,优,NaN,1,12,0.6,42,5,6,8
20200402,23,七星岩子站,18,优,NaN,7,8,0.6,36,5,5,5
20200403,00,睦岗子站,17,优,NaN,5,9,0.7,33,9,9,12
20200403,00,城中子站,19,优,NaN,10,13,0.8,37,9,7,10
20200403,00,坑口子站,20,优,NaN,1,11,0.6,40,6,6,8
20200403,00,七星岩子站,19,优,NaN,8,10,0.6,37,4,4,6
20200403,01,睦岗子站,17,优,NaN,7,14,0.7,34,8,8,12
20200403,01,城中子站,19,优,NaN,9,12,0.9,37,7,7,9
20200403,01,坑口子站,19,优,NaN,3,12,0.6,37,6,6,8
20200403,01,七星岩子站,18,优,NaN,7,10,0.6,36,4,4,6
20200403,02,睦岗子站,15,优,NaN,8,10,0.7,30,9,8,12
20200403,02,城中子站,17,优,NaN,11,17,0.8,NaN,8,8,8
20200403,02,坑口子站,16,优,NaN,1,13,0.6,31,12,9,8
20200403,02,七星岩子站,16,优,NaN,5,8,0.6,32,7,6,5
20200403,03,睦岗子站,13,优,NaN,7,9,0.6,26,12,10,13
20200403,03,城中子站,15,优,NaN,10,12,0.7,27,14,10,8
20200403,03,坑口子站,17,优,NaN,1,8,0.6,34,9,9,9
20200403,03,七星岩子站,15,优,NaN,5,6,0.6,29,9,7,5
20200403,07,睦岗子站,10,优,NaN,4,10,0.6,19,17,13,10
20200403,07,城中子站,15,优,NaN,7,9,0.8,29,10,11,8
20200403,07,坑口子站,18,优,NaN,3,9,0.6,35,7,9,10
20200403,07,七星岩子站,13,优,NaN,7,9,0.6,25,10,10,6
20200403,08,睦岗子站,19,优,NaN,8,19,0.9,25,12,13,10
20200403,08,城中子站,16,优,NaN,9,14,0.9,31,10,11,9
