Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,2号子站,48,优,NaN,9,48,0.7,53,38,41,10
20200402,09,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,2号子站,51,良,颗粒物(PM10),14,51,0.7,48,48,42,11
20200402,10,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,2号子站,41,优,NaN,14,41,0.7,41,58,45,8
20200402,11,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,2号子站,34,优,NaN,9,34,0.7,33,72,49,8
20200402,12,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,2号子站,27,优,NaN,9,27,0.6,26,81,54,6
20200402,13,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,2号子站,39,优,NaN,12,39,0.7,35,69,57,9
20200402,14,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,2号子站,27,优,NaN,14,27,0.6,27,84,62,7
20200402,15,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,2号子站,29,优,NaN,7,27,0.6,22,92,68,6
20200402,16,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,2号子站,29,优,NaN,7,24,0.6,22,92,74,6
20200402,17,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,2号子站,30,优,NaN,5,27,0.6,23,95,80,6
20200402,18,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,2号子站,28,优,NaN,9,22,0.6,28,87,84,6
20200402,19,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,2号子站,27,优,NaN,9,27,0.7,35,74,84,7
20200402,20,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,2号子站,36,优,NaN,17,36,0.7,43,64,82,6
20200402,21,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,21,2号子站,36,优,NaN,17,36,0.7,43,64,82,6
20200402,22,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,2号子站,48,优,NaN,19,48,0.7,43,65,78,7
20200402,23,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,2号子站,46,优,NaN,22,46,0.7,39,62,74,10
20200403,00,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,2号子站,36,优,NaN,17,36,0.7,53,47,69,7
20200403,01,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,2号子站,51,良,颗粒物(PM10),19,51,0.7,73,25,25,8
20200403,02,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,2号子站,53,良,颗粒物(PM10),24,56,0.8,83,17,21,8
20200403,03,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,2号子站,58,良,颗粒物(PM10),31,66,0.9,66,29,24,9
20200403,08,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,2号子站,92,良,细颗粒物(PM2.5),68,124,1.3,74,12,24,12
20200403,09,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,2号子站,104,轻度污染,细颗粒物(PM2.5),78,132,1.3,68,34,25,11
20200403,10,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,2号子站,98,良,细颗粒物(PM2.5),73,114,1.2,53,57,30,9
20200403,11,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,2号子站,89,良,细颗粒物(PM2.5),66,110,1.2,46,73,36,10
20200403,12,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,12,2号子站,89,良,细颗粒物(PM2.5),66,102,1.2,34,99,44,10
20200403,13,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,13,2号子站,104,轻度污染,细颗粒物(PM2.5),78,107,NaN,NaN,105,52,NaN
20200403,14,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,14,2号子站,134,轻度污染,细颗粒物(PM2.5),102,110,1.1,28,108,63,9
20200403,15,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,15,2号子站,NaN,,NaN,NaN,NaN,1.0,30,118,76,9
20200403,16,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,16,2号子站,104,轻度污染,细颗粒物(PM2.5),78,95,1.1,32,130,90,10
20200403,17,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,17,2号子站,100,良,细颗粒物(PM2.5),75,97,1.1,33,129,102,9
20200403,18,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,18,2号子站,113,轻度污染,细颗粒物(PM2.5),85,105,1.2,41,127,111,10
20200403,19,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,19,2号子站,122,轻度污染,细颗粒物(PM2.5),92,114,1.6,46,114,116,13
20200403,20,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,20,2号子站,113,轻度污染,细颗粒物(PM2.5),85,114,1.5,50,96,116,13
20200403,21,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,21,2号子站,107,轻度污染,细颗粒物(PM2.5),80,102,1.4,38,102,116,11
20200403,22,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,22,2号子站,132,轻度污染,细颗粒物(PM2.5),100,146,1.5,65,68,110,11
20200403,23,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,23,2号子站,140,轻度污染,细颗粒物(PM2.5),107,161,1.5,82,52,102,11
20200404,00,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,00,2号子站,132,轻度污染,细颗粒物(PM2.5),100,146,1.4,65,61,94,12
20200404,01,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,01,2号子站,138,轻度污染,细颗粒物(PM2.5),105,144,1.6,64,51,51,13
20200404,02,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,02,2号子站,138,轻度污染,细颗粒物(PM2.5),105,151,1.7,67,42,46,13
20200404,03,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,03,2号子站,149,轻度污染,细颗粒物(PM2.5),114,156,1.6,58,46,46,14
20200404,08,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,08,2号子站,190,中度污染,颗粒物(PM10),70,329,1.0,44,57,53,12
20200404,09,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,09,2号子站,181,中度污染,颗粒物(PM10),29,312,0.7,30,73,55,6
20200404,10,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,10,2号子站,173,中度污染,颗粒物(PM10),31,295,0.6,26,79,60,4
20200404,11,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,11,2号子站,118,轻度污染,颗粒物(PM10),17,185,0.6,22,83,65,4
20200404,12,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,12,2号子站,119,轻度污染,颗粒物(PM10),22,188,0.6,22,90,68,4
20200404,13,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,13,2号子站,82,良,颗粒物(PM10),17,114,0.6,20,89,71,4
20200404,14,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,14,2号子站,98,良,颗粒物(PM10),22,146,0.6,22,90,75,4
20200404,15,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,15,2号子站,73,良,颗粒物(PM10),14,95,0.6,19,96,82,4
20200404,16,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,16,2号子站,62,良,颗粒物(PM10),12,73,0.6,18,96,87,4
20200404,17,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,17,2号子站,56,良,颗粒物(PM10),9,61,0.5,20,93,90,4
20200404,18,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,18,2号子站,51,良,颗粒物(PM10),5,51,0.5,23,89,91,4
20200404,19,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,19,2号子站,41,优,NaN,7,41,0.5,21,88,91,4
20200404,20,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,20,2号子站,44,优,NaN,9,44,0.6,24,84,91,4
20200404,21,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200404,21,2号子站,44,优,NaN,7,44,0.6,26,76,89,4
