Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,03,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,03,胶州一中,37,优,NaN,13,37,0.4,42,38,35,7
20200402,03,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,03,胶州一中,37,优,NaN,13,37,0.4,42,38,35,7
20200402,10,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,胶州一中,47,优,NaN,24,47,1.0,29,83,44,12
20200402,11,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,胶州一中,37,优,NaN,18,37,0.6,22,96,51,9
20200402,12,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,胶州一中,49,优,NaN,16,49,0.5,16,111,62,7
20200402,13,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,胶州一中,46,优,NaN,11,46,0.4,12,108,65,5
20200402,14,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,胶州一中,41,优,NaN,24,41,0.4,9,109,74,3
20200402,15,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,胶州一中,48,优,NaN,27,48,0.4,12,107,84,4
20200402,16,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,胶州一中,52,良,颗粒物(PM10),31,53,0.4,15,103,93,4
20200402,17,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,胶州一中,52,良,颗粒物(PM10),31,53,0.4,15,103,93,4
20200402,17,胶州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,胶州一中,52,良,颗粒物(PM10),31,53,0.4,15,103,93,4
