Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,大塘山,94,良,细颗粒物(PM2.5),70,84,0.8,16,26,24,5
20200402,08,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,春华路,73,良,细颗粒物(PM2.5),53,81,0.7,34,18,18,5
20200402,08,青杠林路,78,良,细颗粒物(PM2.5),57,81,0.7,19,31,32,6
20200402,08,檀木林体育馆,78,良,细颗粒物(PM2.5),57,68,0.6,29,20,21,11
20200402,09,大塘山,82,良,细颗粒物(PM2.5),60,78,0.8,20,21,22,6
20200402,09,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,春华路,77,良,细颗粒物(PM2.5),56,82,0.7,38,16,17,5
20200402,09,青杠林路,77,良,细颗粒物(PM2.5),56,78,0.6,24,33,32,7
20200402,09,檀木林体育馆,77,良,细颗粒物(PM2.5),56,65,0.6,29,18,20,11
20200402,10,大塘山,83,良,细颗粒物(PM2.5),61,87,0.7,21,29,22,6
20200402,10,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,春华路,84,良,细颗粒物(PM2.5),62,87,0.7,29,29,17,5
20200402,10,青杠林路,77,良,细颗粒物(PM2.5),56,81,0.7,27,33,30,7
20200402,10,檀木林体育馆,75,良,细颗粒物(PM2.5),55,75,0.6,27,27,20,11
20200402,11,大塘山,77,良,细颗粒物(PM2.5),56,89,0.7,10,53,26,7
20200402,11,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,春华路,85,良,细颗粒物(PM2.5),63,88,0.6,22,44,22,6
20200402,11,青杠林路,73,良,细颗粒物(PM2.5),53,87,0.6,16,51,33,6
20200402,11,檀木林体育馆,82,良,细颗粒物(PM2.5),60,72,0.5,18,50,26,12
20200402,12,大塘山,89,良,细颗粒物(PM2.5),66,88,0.6,11,68,33,5
20200402,12,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,春华路,77,良,细颗粒物(PM2.5),56,86,0.6,15,66,29,5
20200402,12,青杠林路,77,良,细颗粒物(PM2.5),56,81,0.6,11,69,38,5
20200402,12,檀木林体育馆,72,良,细颗粒物(PM2.5),52,63,0.5,16,70,33,11
20200402,13,大塘山,73,良,细颗粒物(PM2.5),53,71,0.6,12,85,41,6
20200402,13,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,春华路,70,良,细颗粒物(PM2.5),51,75,0.5,13,90,39,4
20200402,13,青杠林路,77,良,颗粒物(PM10),42,103,0.5,4,96,47,5
20200402,13,檀木林体育馆,57,良,细颗粒物(PM2.5),40,53,0.5,15,86,41,10
20200402,14,大塘山,79,良,细颗粒物(PM2.5),58,73,0.5,14,99,51,4
20200402,14,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,春华路,59,良,细颗粒物(PM2.5),42,55,0.5,10,104,49,4
20200402,14,青杠林路,50,优,NaN,27,50,0.5,5,112,57,7
20200402,14,檀木林体育馆,50,优,NaN,35,39,0.4,13,100,50,8
20200402,15,大塘山,59,良,细颗粒物(PM2.5),42,63,0.6,13,70,56,10
20200402,15,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,春华路,52,良,细颗粒物(PM2.5),36,48,0.5,26,76,55,6
20200402,15,青杠林路,44,优,NaN,28,44,0.6,11,81,63,8
20200402,15,檀木林体育馆,44,优,NaN,27,44,0.5,24,74,56,13
20200402,16,大塘山,84,良,细颗粒物(PM2.5),62,85,0.7,19,60,61,5
20200402,16,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,春华路,60,良,细颗粒物(PM2.5),43,66,0.6,32,68,62,3
20200402,16,青杠林路,74,良,细颗粒物(PM2.5),54,78,0.6,13,74,69,6
20200402,16,檀木林体育馆,59,良,细颗粒物(PM2.5),42,59,0.6,35,55,60,10
20200402,17,大塘山,98,良,细颗粒物(PM2.5),73,90,0.7,18,66,66,5
20200402,17,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,春华路,79,良,细颗粒物(PM2.5),58,72,0.6,30,59,67,17
20200402,17,青杠林路,68,良,细颗粒物(PM2.5),49,52,NaN,27,60,72,6
20200402,17,檀木林体育馆,74,良,细颗粒物(PM2.5),54,73,0.6,32,58,65,10
20200402,18,大塘山,89,良,细颗粒物(PM2.5),66,90,0.6,14,77,72,5
20200402,18,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,春华路,82,良,细颗粒物(PM2.5),60,80,0.6,32,66,72,4
20200402,18,青杠林路,67,良,细颗粒物(PM2.5),48,81,0.6,18,76,77,6
20200402,18,檀木林体育馆,82,良,细颗粒物(PM2.5),60,79,0.5,27,72,71,9
20200402,19,大塘山,62,良,细颗粒物(PM2.5),44,65,0.6,18,68,74,4
20200402,19,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,檀木林街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,春华路,62,良,细颗粒物(PM2.5),44,62,0.7,40,56,73,4
20200402,19,青杠林路,60,良,细颗粒物(PM2.5),43,67,0.6,18,69,80,5
20200402,19,檀木林体育馆,59,良,细颗粒物(PM2.5),42,56,0.6,28,66,73,8
20200402,20,大塘山,63,良,细颗粒物(PM2.5),45,67,0.7,24,60,73,3
20200402,20,盐马路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
