Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,竹园小学,57,良,细颗粒物(PM2.5),40,NaN,0.5,19,53,54,5
20200402,08,掇刀,54,良,细颗粒物(PM2.5),38,41,0.5,19,59,58,8
20200402,08,石化一小,53,良,细颗粒物(PM2.5),37,NaN,0.5,15,50,53,8
20200402,08,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200402,08,西山林语,46,优,NaN,32,34,0.6,8,66,62,8
20200402,09,竹园小学,68,良,细颗粒物(PM2.5),49,NaN,0.5,21,45,53,5
20200402,09,掇刀,59,良,细颗粒物(PM2.5),42,50,0.5,21,54,58,8
20200402,09,石化一小,67,良,细颗粒物(PM2.5),48,NaN,0.6,15,46,52,8
20200402,09,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200402,09,西山林语,52,良,细颗粒物(PM2.5),36,40,0.6,10,64,62,8
20200402,10,竹园小学,68,良,细颗粒物(PM2.5),49,NaN,0.4,16,60,54,5
20200402,10,掇刀,65,良,细颗粒物(PM2.5),47,55,0.5,20,58,58,8
20200402,10,石化一小,69,良,细颗粒物(PM2.5),50,NaN,0.6,14,54,52,7
20200402,10,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200402,10,西山林语,54,良,细颗粒物(PM2.5),38,41,0.5,10,69,63,8
20200402,11,竹园小学,92,良,细颗粒物(PM2.5),68,NaN,0.5,15,58,55,4
20200402,11,掇刀,87,良,细颗粒物(PM2.5),64,NaN,0.6,18,59,59,8
20200402,11,石化一小,79,良,细颗粒物(PM2.5),58,NaN,0.6,13,58,54,7
20200402,11,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200402,11,西山林语,73,良,细颗粒物(PM2.5),53,55,0.4,12,64,64,7
20200402,12,竹园小学,97,良,细颗粒物(PM2.5),72,NaN,0.5,15,60,56,5
20200402,12,掇刀,94,良,细颗粒物(PM2.5),70,NaN,0.6,20,59,59,19
20200402,12,石化一小,82,良,细颗粒物(PM2.5),60,NaN,0.6,15,60,54,7
20200402,12,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200402,12,西山林语,77,良,细颗粒物(PM2.5),56,NaN,NaN,12,63,64,7
20200402,13,竹园小学,113,轻度污染,细颗粒物(PM2.5),85,NaN,0.5,20,49,55,5
20200402,13,掇刀,112,轻度污染,细颗粒物(PM2.5),84,NaN,0.6,23,53,58,20
20200402,13,石化一小,95,良,细颗粒物(PM2.5),71,NaN,0.6,17,56,54,8
20200402,13,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200402,13,西山林语,92,良,细颗粒物(PM2.5),68,NaN,0.4,15,55,63,7
20200402,14,竹园小学,105,轻度污染,细颗粒物(PM2.5),79,NaN,0.5,18,53,54,4
20200402,14,掇刀,108,轻度污染,细颗粒物(PM2.5),81,NaN,0.6,22,50,57,8
