Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,荔城区仓后路,25,优,NaN,12,16,0.4,16,77,93,4
20200402,08,莆田市监测站,29,优,NaN,11,NaN,0.2,4,90,99,4
20200402,08,涵江区六中,23,优,NaN,12,14,0.4,16,72,93,4
20200402,08,秀屿区政府,28,优,NaN,19,20,0.4,17,86,98,4
20200402,08,东圳水库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,荔城区仓后路,24,优,NaN,12,NaN,0.4,17,75,90,4
20200402,09,莆田市监测站,26,优,NaN,11,13,0.3,NaN,82,96,4
20200402,09,涵江区六中,23,优,NaN,14,22,0.4,16,73,88,6
20200402,09,秀屿区政府,29,优,NaN,20,NaN,0.4,35,65,93,5
20200402,09,东圳水库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,荔城区仓后路,26,优,NaN,11,15,0.4,14,82,87,4
20200402,10,莆田市监测站,29,优,NaN,10,NaN,0.3,6,90,94,4
20200402,10,涵江区六中,26,优,NaN,14,26,0.4,13,83,86,6
20200402,10,秀屿区政府,29,优,NaN,20,27,0.5,21,74,88,5
20200402,10,东圳水库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,荔城区仓后路,30,优,NaN,14,NaN,0.4,13,95,87,5
20200402,11,莆田市监测站,31,优,NaN,8,17,0.2,5,97,94,4
20200402,11,涵江区六中,29,优,NaN,14,20,0.4,12,91,84,5
20200402,11,秀屿区政府,NaN,,NaN,NaN,NaN,0.4,NaN,89,86,5
20200402,11,东圳水库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,荔城区仓后路,26,优,NaN,17,26,0.4,16,83,86,5
20200402,12,莆田市监测站,30,优,NaN,12,20,0.2,5,93,92,4
20200402,12,涵江区六中,37,优,NaN,18,37,0.4,14,87,83,5
20200402,12,秀屿区政府,59,良,颗粒物(PM10),26,68,0.5,19,NaN,84,5
20200402,12,东圳水库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,荔城区仓后路,35,优,NaN,24,29,0.4,15,86,84,5
20200402,13,莆田市监测站,30,优,NaN,17,27,0.2,6,95,92,4
20200402,13,涵江区六中,35,优,NaN,24,NaN,0.4,13,85,82,7
20200402,13,秀屿区政府,41,优,NaN,22,41,0.5,14,92,83,5
20200402,13,东圳水库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,荔城区仓后路,28,优,NaN,19,26,0.4,15,80,83,4
20200402,14,莆田市监测站,28,优,NaN,17,19,0.2,5,88,91,4
20200402,14,涵江区六中,36,优,NaN,25,31,0.4,13,88,82,6
20200402,14,秀屿区政府,38,优,NaN,26,29,0.5,19,82,82,5
20200402,14,东圳水库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,荔城区仓后路,26,优,NaN,18,20,0.5,21,72,81,5
20200402,15,莆田市监测站,29,优,NaN,18,NaN,0.2,5,91,91,4
20200402,15,涵江区六中,32,优,NaN,22,NaN,0.4,14,84,83,5
20200402,15,秀屿区政府,32,优,NaN,22,22,0.5,17,82,81,6
20200402,15,东圳水库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,荔城区仓后路,32,优,NaN,22,29,0.5,19,76,81,4
20200402,16,莆田市监测站,32,优,NaN,22,23,0.3,6,88,90,4
20200402,16,涵江区六中,35,优,NaN,24,32,0.4,14,83,84,6
20200402,16,秀屿区政府,35,优,NaN,24,25,0.5,17,84,81,6
20200402,16,东圳水库,27,优,NaN,14,17,0.4,4,85,85,4
20200402,17,荔城区仓后路,40,优,NaN,28,32,0.6,25,64,80,5
20200402,17,莆田市监测站,35,优,NaN,24,NaN,0.3,5,77,90,4
20200402,17,涵江区六中,52,良,颗粒物(PM10),32,53,0.5,20,71,84,6
20200402,17,秀屿区政府,38,优,NaN,26,28,0.5,22,76,83,5
20200402,17,东圳水库,23,优,NaN,13,18,0.4,5,73,79,4
20200402,18,荔城区仓后路,38,优,NaN,26,27,0.5,20,64,78,5
20200402,18,莆田市监测站,32,优,NaN,22,NaN,0.3,8,73,88,4
20200402,18,涵江区六中,50,优,NaN,35,NaN,0.5,24,63,82,6
20200402,18,秀屿区政府,48,优,NaN,33,NaN,0.5,29,67,82,5
20200402,18,东圳水库,22,优,NaN,15,16,0.3,4,67,75,4
20200402,19,荔城区仓后路,39,优,NaN,27,29,0.5,19,61,73,5
20200402,19,莆田市监测站,33,优,NaN,23,25,0.3,6,73,85,4
20200402,19,涵江区六中,52,良,细颗粒物(PM2.5),36,NaN,0.5,20,62,78,5
20200402,19,秀屿区政府,55,良,细颗粒物(PM2.5),39,NaN,0.6,28,64,78,6
20200402,19,东圳水库,23,优,NaN,16,16,0.3,5,68,73,4
20200402,20,荔城区仓后路,45,优,NaN,31,NaN,0.6,24,52,69,4
20200402,20,莆田市监测站,38,优,NaN,26,NaN,0.3,7,67,82,4
20200402,20,涵江区六中,54,良,细颗粒物(PM2.5),38,NaN,0.5,19,60,74,8
20200402,20,秀屿区政府,55,良,细颗粒物(PM2.5),39,40,0.6,31,62,76,4
20200402,20,东圳水库,29,优,NaN,20,NaN,0.3,5,71,73,4
20200402,20,荔城区仓后路,45,优,NaN,31,NaN,0.6,24,52,69,4
20200402,20,莆田市监测站,38,优,NaN,26,NaN,0.3,7,67,82,4
20200402,20,涵江区六中,54,良,细颗粒物(PM2.5),38,NaN,0.5,19,60,74,8
20200402,20,秀屿区政府,55,良,细颗粒物(PM2.5),39,40,0.6,31,62,76,4
20200402,20,东圳水库,29,优,NaN,20,NaN,0.3,5,71,73,4
20200402,22,荔城区仓后路,32,优,NaN,22,NaN,0.5,12,71,65,4
