Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,03,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,03,莱州外经委,33,优,NaN,20,33,1.0,66,14,13,15
20200402,03,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,03,莱州外经委,33,优,NaN,20,33,1.0,66,14,13,15
20200402,10,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,莱州外经委,52,良,颗粒物(PM10),31,54,1.0,24,85,51,23
20200402,11,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,莱州外经委,54,良,颗粒物(PM10),26,57,0.9,19,94,61,20
20200402,12,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,莱州外经委,52,良,颗粒物(PM10),28,54,0.9,16,105,69,NaN
20200402,13,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,莱州外经委,49,优,NaN,22,49,0.9,NaN,96,70,30
20200402,14,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,莱州外经委,76,良,颗粒物(PM10),38,101,0.9,23,NaN,74,25
20200402,15,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,莱州外经委,71,良,颗粒物(PM10),45,92,NaN,22,108,83,25
20200402,16,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,莱州外经委,59,良,细颗粒物(PM2.5),42,64,0.7,21,118,92,24
20200402,17,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,莱州外经委,59,良,细颗粒物(PM2.5),42,64,0.7,21,118,92,24
20200402,17,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,莱州外经委,59,良,细颗粒物(PM2.5),42,64,0.7,21,118,92,24
20200402,19,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,莱州外经委,68,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",49,86,0.9,31,97,104,23
20200402,20,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,莱州外经委,75,良,细颗粒物(PM2.5),55,92,1.0,33,91,103,27
20200402,21,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,21,莱州外经委,90,良,细颗粒物(PM2.5),67,109,1.5,62,58,102,33
20200402,22,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,莱州外经委,108,轻度污染,细颗粒物(PM2.5),81,145,1.5,93,3,85,27
20200402,23,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,莱州外经委,107,轻度污染,细颗粒物(PM2.5),80,138,1.4,76,15,74,24
20200403,00,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,莱州外经委,114,轻度污染,细颗粒物(PM2.5),86,137,1.5,63,18,61,25
