Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,西炮台,58,良,细颗粒物(PM2.5),41,51,1.3,37,49,54,14
20200402,08,学府南路,42,优,NaN,21,42,1.1,41,42,50,18
20200402,08,大庆路,61,良,颗粒物(PM10),24,71,1.2,42,44,50,17
20200402,08,镜湖西路,57,良,颗粒物(PM10),16,63,1.3,42,44,47,17
20200402,08,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,08,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,09,西炮台,58,良,细颗粒物(PM2.5),41,57,1.5,37,52,51,16
20200402,09,学府南路,47,优,NaN,21,47,1.3,36,50,46,20
20200402,09,大庆路,64,良,颗粒物(PM10),26,77,1.4,43,50,47,24
20200402,09,镜湖西路,59,良,颗粒物(PM10),19,68,1.5,41,53,45,18
20200402,09,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,09,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,10,西炮台,60,良,细颗粒物(PM2.5),43,62,1.5,40,52,50,15
20200402,10,学府南路,51,良,颗粒物(PM10),23,52,1.2,36,55,45,19
20200402,10,大庆路,67,良,颗粒物(PM10),33,84,1.3,42,62,46,24
20200402,10,镜湖西路,61,良,颗粒物(PM10),22,71,1.4,42,56,44,17
20200402,10,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,10,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,11,西炮台,64,良,细颗粒物(PM2.5),46,69,1.5,40,53,49,14
20200402,11,学府南路,54,良,颗粒物(PM10),26,57,1.2,36,54,44,19
20200402,11,大庆路,67,良,颗粒物(PM10),35,84,1.3,38,70,48,18
20200402,11,镜湖西路,62,良,颗粒物(PM10),24,73,1.4,42,58,44,17
20200402,11,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,11,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,12,西炮台,60,良,细颗粒物(PM2.5),43,68,1.5,40,56,49,12
20200402,12,学府南路,50,优,NaN,21,50,1.0,32,64,46,17
20200402,12,大庆路,60,良,颗粒物(PM10),32,70,1.1,35,85,52,19
20200402,12,镜湖西路,56,良,颗粒物(PM10),23,62,1.2,39,76,48,16
20200402,12,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,12,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,13,西炮台,55,良,颗粒物(PM10),36,60,1.4,39,61,51,10
20200402,13,学府南路,43,优,NaN,14,43,0.7,29,77,52,14
20200402,13,大庆路,56,良,颗粒物(PM10),30,62,1.0,38,79,58,31
20200402,13,镜湖西路,49,优,NaN,21,49,0.8,30,91,55,13
20200402,13,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,13,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,14,西炮台,52,良,颗粒物(PM10),30,54,1.2,36,70,55,8
20200402,14,学府南路,40,优,NaN,9,40,0.5,28,83,58,12
20200402,14,大庆路,47,优,NaN,24,47,0.8,32,83,64,18
20200402,14,镜湖西路,45,优,NaN,19,45,0.7,31,90,62,11
20200402,14,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,14,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,15,西炮台,52,良,颗粒物(PM10),32,54,1.1,44,68,58,8
20200402,15,学府南路,36,优,NaN,6,36,0.4,26,88,64,10
20200402,15,大庆路,32,优,NaN,17,32,0.6,26,99,72,9
20200402,15,镜湖西路,42,优,NaN,18,42,0.6,32,92,70,8
20200402,15,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,15,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,16,西炮台,77,良,细颗粒物(PM2.5),56,81,1.2,48,68,60,9
20200402,16,学府南路,46,优,NaN,12,46,0.5,31,90,70,10
20200402,16,大庆路,42,优,NaN,21,42,0.6,25,104,79,7
20200402,16,镜湖西路,60,良,颗粒物(PM10),26,70,0.9,42,79,74,10
20200402,16,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,16,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,17,西炮台,112,轻度污染,细颗粒物(PM2.5),84,113,1.6,59,63,61,11
20200402,17,学府南路,58,良,颗粒物(PM10),27,65,0.9,38,81,74,14
20200402,17,大庆路,67,良,颗粒物(PM10),43,84,0.9,37,94,84,11
20200402,17,镜湖西路,79,良,颗粒物(PM10),39,107,1.3,53,75,77,13
20200402,17,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,17,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,18,西炮台,114,轻度污染,细颗粒物(PM2.5),86,117,1.4,71,49,61,10
20200402,18,学府南路,66,良,颗粒物(PM10),44,82,1.0,56,59,74,15
20200402,18,大庆路,80,良,颗粒物(PM10),57,109,1.1,52,73,86,13
20200402,18,镜湖西路,86,良,颗粒物(PM10),48,122,1.3,70,50,76,12
20200402,18,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,18,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,19,西炮台,133,轻度污染,细颗粒物(PM2.5),101,141,1.1,56,58,62,6
20200402,19,学府南路,82,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",60,114,1.0,54,59,75,10
20200402,19,大庆路,124,轻度污染,细颗粒物(PM2.5),94,177,1.2,57,60,85,11
20200402,19,镜湖西路,98,良,颗粒物(PM10),62,145,1.0,53,62,77,6
20200402,19,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,19,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,20,西炮台,109,轻度污染,细颗粒物(PM2.5),82,123,0.8,30,88,66,4
20200402,20,学府南路,83,良,颗粒物(PM10),54,115,0.6,29,87,78,7
20200402,20,大庆路,127,轻度污染,细颗粒物(PM2.5),96,180,0.9,33,80,84,7
20200402,20,镜湖西路,89,良,颗粒物(PM10),57,127,0.7,32,89,78,5
20200402,20,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,20,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,20,西炮台,109,轻度污染,细颗粒物(PM2.5),82,123,0.8,30,88,66,4
20200402,20,学府南路,83,良,颗粒物(PM10),54,115,0.6,29,87,78,7
20200402,20,大庆路,127,轻度污染,细颗粒物(PM2.5),96,180,0.9,33,80,84,7
20200402,20,镜湖西路,89,良,颗粒物(PM10),57,127,0.7,32,89,78,5
20200402,20,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,20,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,22,西炮台,75,良,细颗粒物(PM2.5),55,86,0.7,25,101,74,5
20200402,22,学府南路,64,良,细颗粒物(PM2.5),46,74,0.4,21,107,84,8
20200402,22,大庆路,78,良,细颗粒物(PM2.5),57,103,0.7,23,103,88,7
20200402,22,镜湖西路,64,良,颗粒物(PM10),40,78,0.5,26,103,81,5
20200402,22,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,22,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200402,23,西炮台,74,良,细颗粒物(PM2.5),54,83,0.7,23,102,79,5
20200402,23,学府南路,67,良,细颗粒物(PM2.5),48,77,0.5,24,99,86,9
20200402,23,大庆路,75,良,细颗粒物(PM2.5),55,98,0.7,25,99,88,8
20200402,23,镜湖西路,68,良,颗粒物(PM10),44,86,0.6,28,92,81,6
20200402,23,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200402,23,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200403,00,西炮台,74,良,细颗粒物(PM2.5),54,82,0.7,26,92,82,5
20200403,00,学府南路,67,良,细颗粒物(PM2.5),48,74,0.5,22,99,87,8
20200403,00,大庆路,73,良,细颗粒物(PM2.5),53,93,0.7,21,96,87,7
20200403,00,镜湖西路,66,良,颗粒物(PM10),42,81,0.6,27,93,83,6
20200403,00,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200403,00,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200403,01,西炮台,68,良,细颗粒物(PM2.5),49,76,0.7,25,94,94,5
20200403,01,学府南路,65,良,细颗粒物(PM2.5),47,70,0.5,25,96,96,9
20200403,01,大庆路,69,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",50,87,0.7,24,93,93,6
20200403,01,镜湖西路,63,良,颗粒物(PM10),40,76,0.6,29,93,93,6
20200403,01,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200403,01,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200403,02,西炮台,67,良,细颗粒物(PM2.5),48,75,0.6,23,97,96,5
20200403,02,学府南路,64,良,细颗粒物(PM2.5),46,69,0.5,22,98,97,9
20200403,02,大庆路,69,良,细颗粒物(PM2.5),50,85,0.6,22,94,94,6
20200403,02,镜湖西路,63,良,颗粒物(PM10),41,75,0.6,28,93,93,6
20200403,02,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200403,02,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200403,03,西炮台,69,良,细颗粒物(PM2.5),50,76,0.6,23,93,95,5
20200403,03,学府南路,63,良,细颗粒物(PM2.5),45,72,0.4,19,97,97,8
20200403,03,大庆路,69,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",50,88,0.6,21,96,94,5
