Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,龙港区,98,良,细颗粒物(PM2.5),73,102,0.8,41,39,44,34
20200402,08,化工街,83,良,颗粒物(PM10),52,116,1.4,85,14,8,22
20200402,08,新区,27,优,NaN,18,25,0.9,53,30,26,16
20200402,08,东城区,132,轻度污染,颗粒物(PM10),81,213,1.3,69,14,8,28
20200402,09,龙港区,75,良,颗粒物(PM10),18,99,0.5,33,62,46,21
20200402,09,化工街,85,良,细颗粒物(PM2.5),63,117,0.8,76,53,14,9
20200402,09,新区,50,优,NaN,15,50,0.6,42,46,29,12
20200402,09,东城区,140,轻度污染,颗粒物(PM10),35,230,0.8,51,35,11,27
20200402,10,龙港区,55,良,颗粒物(PM10),11,60,0.5,29,65,49,17
20200402,10,化工街,77,良,细颗粒物(PM2.5),56,85,0.4,25,77,22,5
20200402,10,新区,36,优,NaN,14,36,0.5,25,64,34,10
20200402,10,东城区,68,良,颗粒物(PM10),8,85,0.4,19,69,19,10
20200402,11,龙港区,57,良,颗粒物(PM10),16,63,0.5,24,61,53,15
20200402,11,化工街,46,优,NaN,32,34,0.3,18,82,32,5
20200402,11,新区,51,良,颗粒物(PM10),25,52,0.6,30,58,40,12
20200402,11,东城区,35,优,NaN,8,35,0.4,18,78,28,7
20200402,12,龙港区,40,优,NaN,13,40,0.5,19,70,56,12
20200402,12,化工街,25,优,NaN,14,23,0.4,16,80,41,5
20200402,12,新区,39,优,NaN,20,39,0.6,24,68,48,9
20200402,12,东城区,42,优,NaN,9,42,0.5,16,76,37,7
20200402,13,龙港区,48,优,NaN,14,48,0.7,22,70,58,10
20200402,13,化工街,40,优,NaN,7,40,0.4,15,82,51,5
20200402,13,新区,42,优,NaN,18,42,0.7,24,75,52,8
20200402,13,东城区,47,优,NaN,9,47,0.5,16,79,46,6
20200402,14,龙港区,45,优,NaN,9,45,0.6,16,80,61,10
20200402,14,化工街,44,优,NaN,11,44,0.4,14,88,61,5
20200402,14,新区,33,优,NaN,11,33,0.6,16,84,58,8
20200402,14,东城区,52,良,颗粒物(PM10),9,54,0.5,16,85,56,5
20200402,15,龙港区,39,优,NaN,12,39,0.7,19,82,66,11
20200402,15,化工街,37,优,NaN,9,37,0.4,12,93,71,5
20200402,15,新区,34,优,NaN,10,34,0.5,14,90,64,8
20200402,15,东城区,42,优,NaN,8,42,0.5,14,88,66,5
